Linux 6.8.0-136-generic (856a17914eb3) 	08/10/26 	_x86_64_	(72 CPU)

10:40:33     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:40:34     all    6.93    0.00    0.37    0.00    0.00    0.00    0.00    0.00    0.00   92.70
10:40:35     all    1.01    0.00    0.83    0.00    0.00    0.00    0.00    0.00    0.00   98.15
10:40:36     all    1.31    0.00    0.35    0.00    0.00    0.00    0.00    0.00    0.00   98.35
10:40:37     all    1.35    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   98.15
10:40:38     all    1.54    0.00    0.24    0.00    0.00    0.00    0.00    0.00    0.00   98.22
10:40:39     all    1.36    0.00    0.22    0.01    0.00    0.00    0.00    0.00    0.00   98.40
10:40:40     all    1.47    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.35
10:40:41     all    1.67    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.12
10:40:42     all    1.31    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   98.44
10:40:43     all    1.63    0.00    0.28    0.00    0.00    0.00    0.00    0.00    0.00   98.10
10:40:44     all    1.89    0.00    0.24    0.00    0.00    0.00    0.00    0.00    0.00   97.87
10:40:45     all    1.39    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.43
10:40:46     all    1.74    0.00    0.31    0.00    0.00    0.00    0.00    0.00    0.00   97.96
10:40:47     all    1.50    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.30
10:40:48     all    1.36    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.46
10:40:49     all    1.60    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   98.25
10:40:50     all    1.64    0.00    0.28    0.00    0.00    0.00    0.00    0.00    0.00   98.08
10:40:51     all    1.51    0.00    0.26    0.00    0.00    0.00    0.00    0.00    0.00   98.22
10:40:52     all    2.25    0.00    0.36    0.00    0.00    0.00    0.00    0.00    0.00   97.39
10:40:53     all    1.94    0.00    0.31    0.00    0.00    0.00    0.00    0.00    0.00   97.75
10:40:54     all    1.54    0.00    0.38    0.00    0.00    0.00    0.00    0.00    0.00   98.08
10:40:55     all    1.54    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.28
