Linux 6.8.0-136-generic (856a17914eb3) 	08/10/26 	_x86_64_	(72 CPU)

15:28:34     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15:28:35     all    6.83    0.00    0.40    0.00    0.00    0.01    0.00    0.00    0.00   92.76
15:28:36     all    1.00    0.00    0.67    0.00    0.00    0.00    0.00    0.00    0.00   98.33
15:28:37     all    1.31    0.00    0.46    0.00    0.00    0.00    0.00    0.00    0.00   98.24
15:28:38     all    1.40    0.00    0.38    0.00    0.00    0.00    0.00    0.00    0.00   98.22
15:28:39     all    1.42    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.40
15:28:40     all    1.71    0.00    0.26    0.00    0.00    0.00    0.00    0.00    0.00   98.03
15:28:41     all    1.39    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.40
15:28:42     all    2.04    0.00    0.31    0.00    0.00    0.00    0.00    0.00    0.00   97.65
15:28:43     all    2.03    0.00    0.43    0.00    0.00    0.00    0.00    0.00    0.00   97.54
15:28:44     all    1.39    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.43
15:28:45     all    1.58    0.00    0.28    0.00    0.00    0.00    0.00    0.00    0.00   98.14
15:28:46     all    1.38    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   98.47
15:28:47     all    1.60    0.01    0.24    0.00    0.00    0.00    0.00    0.00    0.00   98.15
15:28:48     all    1.61    0.00    0.26    0.01    0.00    0.00    0.00    0.00    0.00   98.11
15:28:49     all    1.43    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   98.24
15:28:50     all    1.58    0.00    0.24    0.00    0.00    0.00    0.00    0.00    0.00   98.18
15:28:51     all    1.61    0.00    0.26    0.00    0.00    0.00    0.00    0.00    0.00   98.13
15:28:52     all    1.42    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.40
15:28:53     all    1.63    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   98.12
15:28:54     all    1.33    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.47
15:28:55     all    1.65    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   98.19
15:28:56     all    1.58    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.22
15:28:57     all    1.40    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.42
15:28:58     all    1.54    0.00    0.28    0.00    0.00    0.00    0.00    0.00    0.00   98.18
15:28:59     all    2.13    0.00    0.32    0.00    0.00    0.00    0.00    0.00    0.00   97.55
15:29:00     all    1.39    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   98.46
15:29:01     all    1.54    0.00    0.29    0.00    0.00    0.00    0.00    0.00    0.00   98.17
15:29:02     all    1.56    0.01    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.22
15:29:03     all    1.43    0.00    0.25    0.00    0.00    0.01    0.00    0.00    0.00   98.30
15:29:04     all    2.11    0.00    0.36    0.00    0.00    0.00    0.00    0.00    0.00   97.53
15:29:05     all    2.65    0.00    0.74    0.00    0.00    0.00    0.00    0.00    0.00   96.61
15:29:06     all    1.49    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   98.42
15:29:07     all    3.38    0.00    0.28    0.00    0.00    0.00    0.00    0.00    0.00   96.35
15:29:08     all    1.61    0.00    0.13    0.00    0.00    0.00    0.00    0.00    0.00   98.26
15:29:09     all    4.16    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   95.34
15:29:10     all    3.78    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   96.00
15:29:11     all    1.65    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   98.25
15:29:12     all    3.64    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   96.14
15:29:13     all    1.69    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   98.15
15:29:14     all    3.69    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   95.97
15:29:15     all    1.46    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   98.37
15:29:16     all    3.46    0.00    0.24    0.00    0.00    0.00    0.00    0.00    0.00   96.30
15:29:17     all    3.56    0.00    0.11    0.00    0.00    0.00    0.00    0.00    0.00   96.33
15:29:18     all    1.51    0.00    0.24    0.00    0.00    0.00    0.00    0.00    0.00   98.25
15:29:19     all    3.88    0.00    0.28    0.00    0.00    0.00    0.00    0.00    0.00   95.85
15:29:20     all    2.07    0.00    0.29    0.00    0.00    0.00    0.00    0.00    0.00   97.64
15:29:21     all    3.53    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   96.22
15:29:22     all    1.63    0.00    0.14    0.00    0.00    0.00    0.00    0.00    0.00   98.24
15:29:23     all    3.93    0.00    0.28    0.00    0.00    0.00    0.00    0.00    0.00   95.80
15:29:24     all    1.66    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   98.09
15:29:25     all    3.71    0.00    0.32    0.00    0.00    0.00    0.00    0.00    0.00   95.97
15:29:26     all    4.03    0.00    0.32    0.00    0.00    0.00    0.00    0.00    0.00   95.65
15:29:27     all    1.56    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   98.29
15:29:28     all    3.87    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   95.80
15:29:29     all    1.71    0.00    0.14    0.00    0.00    0.00    0.00    0.00    0.00   98.15
15:29:30     all    3.59    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   96.16
15:29:31     all    3.10    0.00    0.26    0.00    0.00    0.00    0.00    0.00    0.00   96.64
15:29:32     all    2.60    0.00    0.32    0.00    0.00    0.00    0.00    0.00    0.00   97.08
15:29:33     all    3.85    0.00    0.49    0.00    0.00    0.00    0.00    0.00    0.00   95.67
15:29:34     all    1.74    0.00    0.22    0.00    0.00    0.01    0.00    0.00    0.00   98.03
15:29:35     all    3.74    0.00    0.26    0.00    0.00    0.00    0.00    0.00    0.00   96.00
15:29:36     all    1.43    0.00    0.08    0.00    0.00    0.00    0.00    0.00    0.00   98.49
15:29:37     all    3.86    0.00    0.28    0.00    0.00    0.00    0.00    0.00    0.00   95.86
15:29:38     all    1.65    0.00    0.12    0.00    0.00    0.00    0.00    0.00    0.00   98.22
15:29:39     all    3.69    0.00    0.31    0.00    0.00    0.00    0.00    0.00    0.00   96.00
15:29:40     all    3.82    0.00    0.24    0.00    0.00    0.00    0.00    0.00    0.00   95.94
15:29:41     all    1.63    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   98.22
