Linux 6.8.0-136-generic (856a17914eb3) 	08/10/26 	_x86_64_	(72 CPU)

08:59:39     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:59:40     all   11.61    0.00    0.44    0.00    0.00    0.00    0.00    0.00    0.00   87.95
08:59:41     all    1.03    0.00    0.85    0.00    0.00    0.00    0.00    0.00    0.00   98.13
08:59:42     all    1.53    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.26
08:59:43     all    1.65    0.00    0.28    0.00    0.00    0.00    0.00    0.00    0.00   98.07
08:59:44     all    1.38    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.43
08:59:45     all    1.54    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.23
08:59:46     all    1.57    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.21
08:59:47     all    1.33    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   98.51
08:59:48     all    1.46    0.00    0.60    0.00    0.00    0.00    0.00    0.00    0.00   97.94
08:59:49     all    1.61    0.00    0.26    0.00    0.00    0.00    0.00    0.00    0.00   98.13
08:59:50     all    1.46    0.00    0.38    0.00    0.00    0.00    0.00    0.00    0.00   98.17
08:59:51     all    2.50    0.00    1.11    0.01    0.00    0.01    0.00    0.00    0.00   96.35
08:59:52     all    1.54    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   98.21
08:59:53     all    1.47    0.00    0.31    0.00    0.00    0.00    0.00    0.00    0.00   98.22
08:59:54     all    1.91    0.00    1.28    0.00    0.00    0.00    0.00    0.00    0.00   96.81
08:59:55     all   17.03    0.00    3.38    0.00    0.00    0.00    0.00    0.00    0.00   79.58
08:59:56     all   31.42    0.00    1.59    0.00    0.00    0.00    0.00    0.00    0.00   66.99
08:59:57     all   31.82    0.00    1.27    0.01    0.00    0.00    0.00    0.00    0.00   66.90
08:59:58     all   40.20    0.00    2.80    0.00    0.00    0.00    0.00    0.00    0.00   57.00
08:59:59     all   33.84    0.00    1.60    0.00    0.00    0.00    0.00    0.00    0.00   64.56
09:00:00     all   34.77    0.00    1.43    0.00    0.00    0.00    0.00    0.00    0.00   63.79
09:00:01     all   29.91    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   69.09
09:00:02     all   33.19    0.00    1.06    0.00    0.00    0.00    0.00    0.00    0.00   65.75
09:00:03     all   30.66    0.00    1.20    0.00    0.00    0.00    0.00    0.00    0.00   68.15
09:00:04     all   27.93    0.00    1.13    0.00    0.00    0.01    0.00    0.00    0.00   70.92
09:00:05     all   29.61    0.00    0.52    0.00    0.00    0.00    0.00    0.00    0.00   69.88
09:00:06     all   37.28    0.00    0.78    0.00    0.00    0.00    0.00    0.00    0.00   61.94
09:00:07     all   40.24    0.00    0.68    0.00    0.00    0.01    0.00    0.00    0.00   59.06
09:00:08     all   31.40    0.00    0.63    0.00    0.00    0.00    0.00    0.00    0.00   67.97
09:00:09     all   29.22    0.00    0.74    0.00    0.00    0.00    0.00    0.00    0.00   70.04
09:00:10     all   41.51    0.00    0.54    0.00    0.00    0.00    0.00    0.00    0.00   57.95
09:00:11     all   39.57    0.00    1.07    0.00    0.00    0.00    0.00    0.00    0.00   59.36
09:00:12     all   34.48    0.00    1.45    0.00    0.00    0.00    0.00    0.00    0.00   64.07
09:00:13     all   26.51    0.00    1.46    0.00    0.00    0.01    0.00    0.00    0.00   72.01
09:00:14     all   25.84    0.00    1.49    0.00    0.00    0.00    0.00    0.00    0.00   72.67
09:00:15     all   23.42    0.01    0.95    0.00    0.00    0.00    0.00    0.00    0.00   75.62
09:00:16     all   27.53    0.00    1.14    0.00    0.00    0.01    0.00    0.00    0.00   71.32
09:00:17     all   29.63    0.00    1.31    0.00    0.00    0.00    0.00    0.00    0.00   69.07
09:00:18     all   32.53    0.00    1.34    0.01    0.00    0.00    0.00    0.00    0.00   66.12
09:00:19     all   46.26    0.00    2.16    0.00    0.00    0.01    0.00    0.00    0.00   51.57
09:00:20     all   41.41    0.00    2.87    0.00    0.00    0.00    0.00    0.00    0.00   55.72
09:00:21     all   41.29    0.00    1.83    0.00    0.00    0.00    0.00    0.00    0.00   56.88
09:00:22     all   33.79    0.00    2.82    0.00    0.00    0.00    0.00    0.00    0.00   63.39
09:00:23     all   41.15    0.00    3.70    0.00    0.00    0.01    0.00    0.00    0.00   55.14
09:00:24     all   41.75    0.00    3.61    0.00    0.00    0.00    0.00    0.00    0.00   54.65
09:00:25     all   37.72    0.00    2.40    0.00    0.00    0.00    0.00    0.00    0.00   59.88
09:00:26     all   35.17    0.00    2.49    0.00    0.00    0.01    0.00    0.00    0.00   62.33
09:00:27     all   33.75    0.00    2.38    0.00    0.00    0.00    0.00    0.00    0.00   63.87
09:00:28     all   30.46    0.00    2.23    0.00    0.00    0.00    0.00    0.00    0.00   67.32
09:00:29     all   28.69    0.00    1.59    0.00    0.00    0.00    0.00    0.00    0.00   69.72
09:00:30     all   27.53    0.00    2.48    0.00    0.00    0.00    0.00    0.00    0.00   70.00
09:00:31     all   28.41    0.00    1.87    0.00    0.00    0.00    0.00    0.00    0.00   69.72
09:00:32     all   22.91    0.00    1.95    0.00    0.00    0.00    0.00    0.00    0.00   75.14
09:00:33     all   25.89    0.00    1.95    0.00    0.00    0.00    0.00    0.00    0.00   72.16
09:00:34     all   31.63    0.00    1.66    0.00    0.00    0.00    0.00    0.00    0.00   66.71
09:00:35     all   21.95    0.00    1.52    0.00    0.00    0.00    0.00    0.00    0.00   76.53
09:00:36     all   24.34    0.00    1.16    0.00    0.00    0.00    0.00    0.00    0.00   74.51
09:00:37     all   23.13    0.00    1.64    0.00    0.00    0.01    0.00    0.00    0.00   75.21
09:00:38     all   24.68    0.00    1.50    0.00    0.00    0.01    0.00    0.00    0.00   73.81
09:00:39     all   30.64    0.00    1.07    0.00    0.00    0.00    0.00    0.00    0.00   68.28
09:00:40     all   28.93    0.00    1.49    0.00    0.00    0.00    0.00    0.00    0.00   69.58
09:00:41     all   37.78    0.00    1.23    0.00    0.00    0.00    0.00    0.00    0.00   60.99
09:00:42     all   40.72    0.00    1.57    0.00    0.00    0.00    0.00    0.00    0.00   57.71
09:00:43     all   38.48    0.00    1.68    0.00    0.00    0.00    0.00    0.00    0.00   59.83
09:00:44     all   44.88    0.00    1.55    0.00    0.00    0.00    0.00    0.00    0.00   53.58
09:00:45     all   44.29    0.00    1.71    0.00    0.00    0.00    0.00    0.00    0.00   54.00
09:00:46     all   42.66    0.00    1.46    0.00    0.00    0.00    0.00    0.00    0.00   55.88
09:00:47     all   41.12    0.00    2.44    0.00    0.00    0.01    0.00    0.00    0.00   56.43
09:00:48     all   35.15    0.00    2.23    0.00    0.00    0.00    0.00    0.00    0.00   62.61
09:00:49     all   41.50    0.00    1.89    0.00    0.00    0.00    0.00    0.00    0.00   56.60
09:00:50     all   32.60    0.00    1.81    0.00    0.00    0.00    0.00    0.00    0.00   65.59
09:00:51     all   27.34    0.00    0.97    0.00    0.00    0.00    0.00    0.00    0.00   71.69
09:00:52     all   26.73    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   72.26
09:00:53     all   31.77    0.00    1.98    0.00    0.00    0.01    0.00    0.00    0.00   66.24
