Processing [/workspace/warchest-engine/runs/v5_aged_wave_profile/aged_nsys.sqlite] with [/opt/nvidia/nsight-compute/2025.3.1/host/target-linux-x64/reports/cuda_gpu_kern_sum.py]... 
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
22.5,3879834506,24335,159434.3,102657.0,6464,945156,163218.0,head_entry
16.5,2845176912,31685,89795.7,73089.0,14593,992357,68684.4,reach_sweep
13.0,2242940636,26924,83306.4,61568.0,14304,914880,74488.5,backprop_sweep
11.4,1958450589,26924,72740.0,53088.0,3840,918592,70552.1,readout
7.9,1356285746,6667,203432.7,174433.0,11296,828356,102589.9,void cutlass::Kernel2<cutlass_80_tensorop_s1688f16gemm_128x256_16x3_nn_align4>(T1::Params)
6.1,1045421421,24336,42957.8,29472.0,3104,790115,42501.2,belief_sums
6.0,1032005677,17994,57352.8,54464.0,9984,825955,29901.1,void cutlass::Kernel2<cutlass_80_tensorop_s1688f16gemm_128x128_16x5_nn_align4>(T1::Params)
5.6,959950940,7777,123434.6,97920.0,3936,713024,88065.4,void cutlass::Kernel2<cutlass_80_tensorop_s1688f16gemm_64x64_16x6_nn_align4>(T1::Params)
3.1,539841551,13958,38676.1,36224.5,20160,548768,17463.2,void cutlass::Kernel2<cutlass_80_tensorop_s1688f16gemm_64x256_16x4_nn_align4>(T1::Params)
1.5,266535421,21745,12257.3,7264.0,1792,393890,16339.2,root_average
1.1,184097383,340,541462.9,348592.0,31872,2929933,560133.9,assemble
1.1,182320356,2908,62696.1,64097.0,4192,321536,18463.8,void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_64x64_16x6_nn_align4>(T1::Params)
1.1,182201436,308,591563.1,506048.0,139264,2192938,384460.0,void cutlass::Kernel2<cutlass_80_tensorop_s1688f16gemm_256x128_16x3_nn_align1>(T1::Params)
0.7,117797852,4970,23701.8,8704.0,2656,799296,47833.0,seed_reach
0.6,95611231,4681,20425.4,10368.0,2144,688512,34385.0,normalize_strategy
0.5,79637324,2380,33461.1,21872.0,3616,545440,36320.6,gather_carry
0.4,69383611,26,2668600.4,2531967.5,1809791,3547825,551918.4,void cutlass::Kernel2<cutlass_80_tensorop_s1688f16gemm_128x256_16x3_nn_align1>(T1::Params)
0.3,54716595,340,160931.2,105744.5,9472,931136,160978.6,trunk_norm
0.1,24975669,837,29839.5,11968.0,3904,267649,41450.1,ampere_sgemm_32x128_nn
0.1,22234876,5178,4294.1,3040.0,1792,38112,3607.3,collect_root
0.1,14997031,28,535608.3,547168.5,390306,697827,94103.3,void cutlass::Kernel2<cutlass_80_tensorop_s1688f16gemm_256x128_16x3_nn_align4>(T1::Params)
0.1,12810654,669,19149.0,10496.0,2272,295776,29342.9,seed_sum
0.1,9928687,340,29202.0,14352.0,4736,316672,33186.7,holding_in
0.0,5330280,669,7967.5,6656.0,2048,67744,5340.1,init_strategy
0.0,4774886,340,14043.8,8784.0,1984,107808,15235.2,pack_piles
0.0,3994122,1020,3915.8,2656.0,1600,47264,3870.8,bias_act
0.0,3088901,530,5828.1,4480.0,3936,47392,3894.5,ampere_sgemm_32x32_sliced1x4_nn
0.0,1998980,340,5879.4,3360.0,2304,78784,5987.3,slot_sum
0.0,1915170,340,5632.9,3168.0,1824,129537,9477.7,finish_zg
0.0,1402596,207,6775.8,5088.0,4704,35040,4263.1,ampere_sgemm_128x32_nn
0.0,1320741,340,3884.5,2144.0,1824,23840,3663.5,pack_cards
0.0,1318658,230,5733.3,4336.0,3840,30784,3569.6,void cutlass::Kernel2<cutlass_80_tensorop_s1688f16gemm_64x64_16x10_nn_align4>(T1::Params)
