Linux 6.8.0-136-generic (856a17914eb3) 	08/10/26 	_x86_64_	(72 CPU)

09:40:42     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:40:43     all   11.44    0.00    0.47    0.00    0.00    0.00    0.00    0.00    0.00   88.09
09:40:44     all    1.06    0.00    0.89    0.00    0.00    0.00    0.00    0.00    0.00   98.06
09:40:45     all    1.53    0.00    0.31    0.00    0.00    0.00    0.00    0.00    0.00   98.17
09:40:46     all    1.61    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.19
09:40:47     all    1.35    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   98.49
09:40:48     all    1.61    0.00    0.24    0.00    0.00    0.00    0.00    0.00    0.00   98.15
09:40:49     all    1.56    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   98.29
09:40:50     all    1.44    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.33
09:40:51     all    1.57    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.22
09:40:52     all    1.67    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   98.08
09:40:53     all    1.52    0.00    0.42    0.00    0.00    0.00    0.00    0.00    0.00   98.07
09:40:54     all    1.60    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.18
09:40:55     all    1.36    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   98.14
09:40:56     all    1.42    0.00    0.32    0.00    0.00    0.01    0.00    0.00    0.00   98.25
09:40:57     all    1.58    0.00    0.17    0.01    0.00    0.00    0.00    0.00    0.00   98.24
09:40:58     all    1.57    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.22
09:40:59     all    1.46    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   98.37
09:41:00     all    1.99    0.00    0.32    0.00    0.00    0.00    0.00    0.00    0.00   97.69
09:41:01     all    1.72    0.00    0.29    0.00    0.00    0.00    0.00    0.00    0.00   97.99
09:41:02     all    1.41    0.00    0.24    0.00    0.00    0.00    0.00    0.00    0.00   98.36
09:41:03     all    1.67    0.00    0.31    0.00    0.00    0.00    0.00    0.00    0.00   98.03
09:41:04     all    2.18    0.00    0.56    0.00    0.00    0.00    0.00    0.00    0.00   97.26
09:41:05     all    1.82    0.00    0.29    0.04    0.00    0.00    0.00    0.00    0.00   97.85
09:41:06     all   19.78    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   76.18
09:41:07     all   38.13    0.00    1.65    0.00    0.00    0.01    0.00    0.00    0.00   60.21
09:41:08     all   47.72    0.00    2.40    0.00    0.00    0.00    0.00    0.00    0.00   49.87
09:41:09     all   51.71    0.00    2.92    0.00    0.00    0.01    0.00    0.00    0.00   45.35
09:41:10     all   43.53    0.01    2.01    0.00    0.00    0.00    0.00    0.00    0.00   54.45
09:41:11     all   37.82    0.00    1.59    0.00    0.00    0.00    0.00    0.00    0.00   60.59
09:41:12     all   38.12    0.00    1.09    0.00    0.00    0.01    0.00    0.00    0.00   60.78
09:41:13     all   38.93    0.00    0.96    0.00    0.00    0.00    0.00    0.00    0.00   60.11
09:41:14     all   34.07    0.00    0.65    0.00    0.00    0.00    0.00    0.00    0.00   65.28
09:41:15     all   40.29    0.00    0.59    0.00    0.00    0.00    0.00    0.00    0.00   59.12
09:41:16     all   46.07    0.00    0.88    0.00    0.00    0.01    0.00    0.00    0.00   53.04
09:41:17     all   52.67    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   46.82
09:41:18     all   34.73    0.00    0.66    0.00    0.00    0.00    0.00    0.00    0.00   64.61
09:41:19     all   35.79    0.00    0.70    0.00    0.00    0.00    0.00    0.00    0.00   63.51
09:41:20     all   49.18    0.00    0.63    0.00    0.00    0.01    0.00    0.00    0.00   50.17
09:41:21     all   47.55    0.00    1.91    0.00    0.00    0.00    0.00    0.00    0.00   50.54
09:41:22     all   37.10    0.00    2.18    0.00    0.00    0.00    0.00    0.00    0.00   60.71
09:41:23     all   36.21    0.00    1.57    0.00    0.00    0.03    0.00    0.00    0.00   62.18
09:41:24     all   28.81    0.00    1.54    0.00    0.00    0.00    0.00    0.00    0.00   69.66
09:41:25     all   35.85    0.00    1.46    0.00    0.00    0.00    0.00    0.00    0.00   62.69
09:41:26     all   38.84    0.00    1.74    0.00    0.00    0.00    0.00    0.00    0.00   59.42
09:41:27     all   43.82    0.00    2.44    0.00    0.00    0.00    0.00    0.00    0.00   53.74
09:41:28     all   51.59    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   46.37
09:41:29     all   53.70    0.00    2.80    0.00    0.00    0.00    0.00    0.00    0.00   43.50
09:41:30     all   56.34    0.00    3.80    0.00    0.00    0.01    0.00    0.00    0.00   39.85
09:41:31     all   56.48    0.00    4.68    0.00    0.00    0.00    0.00    0.00    0.00   38.84
09:41:32     all   58.55    0.00    3.02    0.00    0.00    0.03    0.00    0.00    0.00   38.40
09:41:33     all   55.63    0.00    3.80    0.00    0.00    0.00    0.00    0.00    0.00   40.57
09:41:34     all   51.87    0.00    3.71    0.00    0.00    0.01    0.00    0.00    0.00   44.41
09:41:35     all   50.93    0.00    2.92    0.00    0.00    0.00    0.00    0.00    0.00   46.15
09:41:36     all   45.47    0.00    3.18    0.00    0.00    0.00    0.00    0.00    0.00   51.35
09:41:37     all   36.41    0.00    3.44    0.00    0.00    0.00    0.00    0.00    0.00   60.15
09:41:38     all   40.93    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   57.05
09:41:39     all   39.65    0.00    1.81    0.00    0.00    0.00    0.00    0.00    0.00   58.54
09:41:40     all   37.33    0.00    2.63    0.00    0.00    0.00    0.00    0.00    0.00   60.04
09:41:41     all   41.22    0.00    2.10    0.00    0.00    0.01    0.00    0.00    0.00   56.67
09:41:42     all   38.93    0.00    2.12    0.00    0.00    0.00    0.00    0.00    0.00   58.95
09:41:43     all   33.39    0.00    1.49    0.00    0.00    0.00    0.00    0.00    0.00   65.12
09:41:44     all   34.57    0.00    1.57    0.00    0.00    0.00    0.00    0.00    0.00   63.86
09:41:45     all   39.18    0.00    1.64    0.00    0.00    0.00    0.00    0.00    0.00   59.18
09:41:46     all   42.98    0.00    1.72    0.00    0.00    0.00    0.00    0.00    0.00   55.30
09:41:47     all   51.58    0.00    1.92    0.00    0.00    0.01    0.00    0.00    0.00   46.49
09:41:48     all   50.38    0.00    1.47    0.00    0.00    0.00    0.00    0.00    0.00   48.14
09:41:49     all   50.06    0.00    1.18    0.00    0.00    0.03    0.00    0.00    0.00   48.73
09:41:50     all   45.94    0.00    1.99    0.00    0.00    0.00    0.00    0.00    0.00   52.07
09:41:51     all   56.81    0.00    1.85    0.00    0.00    0.00    0.00    0.00    0.00   41.34
09:41:52     all   54.61    0.00    2.12    0.00    0.00    0.00    0.00    0.00    0.00   43.27
09:41:53     all   47.95    0.00    2.24    0.00    0.00    0.01    0.00    0.00    0.00   49.79
09:41:54     all   45.98    0.00    1.95    0.00    0.00    0.00    0.00    0.00    0.00   52.07
09:41:55     all   43.39    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   54.59
09:41:56     all   35.48    0.00    1.93    0.00    0.00    0.00    0.00    0.00    0.00   62.59
09:41:57     all   40.59    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   57.43
09:41:58     all   45.54    0.00    1.77    0.00    0.00    0.01    0.00    0.00    0.00   52.67
09:41:59     all   41.92    0.00    1.75    0.00    0.00    0.00    0.00    0.00    0.00   56.33
09:42:00     all   43.77    0.00    1.78    0.00    0.00    0.00    0.00    0.00    0.00   54.44
09:42:01     all   45.29    0.00    1.96    0.00    0.00    0.00    0.00    0.00    0.00   52.75
09:42:02     all   40.15    0.00    1.41    0.00    0.00    0.01    0.00    0.00    0.00   58.43
09:42:03     all   41.88    0.00    1.39    0.00    0.00    0.00    0.00    0.00    0.00   56.73
09:42:04     all   52.68    0.00    1.39    0.00    0.00    0.01    0.00    0.00    0.00   45.91
09:42:05     all   51.11    0.00    2.37    0.00    0.00    0.00    0.00    0.00    0.00   46.52
09:42:06     all   54.06    0.00    3.17    0.00    0.00    0.01    0.00    0.00    0.00   42.76
09:42:07     all   54.79    0.00    3.37    0.00    0.00    0.03    0.00    0.00    0.00   41.81
09:42:08     all   51.97    0.00    2.88    0.00    0.00    0.00    0.00    0.00    0.00   45.15
09:42:09     all   48.43    0.00    1.86    0.00    0.00    0.00    0.00    0.00    0.00   49.71
09:42:10     all   52.67    0.00    3.33    0.00    0.00    0.00    0.00    0.00    0.00   44.00
09:42:11     all   51.37    0.00    2.30    0.00    0.00    0.00    0.00    0.00    0.00   46.33
09:42:12     all   51.40    0.00    3.11    0.00    0.00    0.03    0.00    0.00    0.00   45.46
09:42:13     all   54.28    0.00    2.95    0.00    0.00    0.00    0.00    0.00    0.00   42.76
09:42:14     all   46.60    0.00    3.30    0.00    0.00    0.00    0.00    0.00    0.00   50.10
09:42:15     all   52.35    0.00    2.83    0.00    0.00    0.00    0.00    0.00    0.00   44.83
09:42:16     all   54.50    0.00    3.02    0.00    0.00    0.00    0.00    0.00    0.00   42.47
09:42:17     all   52.91    0.00    3.19    0.00    0.00    0.00    0.00    0.00    0.00   43.90
09:42:18     all   51.06    0.00    2.49    0.00    0.00    0.00    0.00    0.00    0.00   46.45
09:42:19     all   51.53    0.00    3.23    0.00    0.00    0.00    0.00    0.00    0.00   45.24
09:42:20     all   51.31    0.01    3.49    0.00    0.00    0.01    0.00    0.00    0.00   45.17
09:42:21     all   53.15    0.00    3.72    0.00    0.00    0.00    0.00    0.00    0.00   43.14
09:42:22     all   55.33    0.00    4.21    0.00    0.00    0.00    0.00    0.00    0.00   40.46
09:42:23     all   56.79    0.00    4.33    0.00    0.00    0.00    0.00    0.00    0.00   38.87
09:42:24     all   48.08    0.00    4.59    0.00    0.00    0.00    0.00    0.00    0.00   47.33
09:42:25     all   53.26    0.00    3.64    0.00    0.00    0.01    0.00    0.00    0.00   43.09
09:42:26     all   54.10    0.00    3.20    0.00    0.00    0.00    0.00    0.00    0.00   42.70
09:42:27     all   53.23    0.00    3.64    0.00    0.00    0.00    0.00    0.00    0.00   43.14
09:42:28     all   50.91    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   45.05
09:42:29     all   49.53    0.00    3.87    0.00    0.00    0.01    0.00    0.00    0.00   46.58
09:42:30     all   53.41    0.00    3.19    0.00    0.00    0.00    0.00    0.00    0.00   43.40
09:42:31     all   54.68    0.00    3.13    0.00    0.00    0.01    0.00    0.00    0.00   42.17
09:42:32     all   51.39    0.00    3.29    0.00    0.00    0.00    0.00    0.00    0.00   45.32
09:42:33     all   54.15    0.00    3.12    0.00    0.00    0.00    0.00    0.00    0.00   42.73
09:42:34     all   53.66    0.00    3.32    0.00    0.00    0.00    0.00    0.00    0.00   43.03
09:42:35     all   54.34    0.00    2.74    0.00    0.00    0.00    0.00    0.00    0.00   42.92
09:42:36     all   47.42    0.00    4.12    0.00    0.00    0.00    0.00    0.00    0.00   48.46
09:42:37     all   52.87    0.00    2.81    0.00    0.00    0.00    0.00    0.00    0.00   44.32
09:42:38     all   51.25    0.00    3.79    0.00    0.00    0.00    0.00    0.00    0.00   44.96
09:42:39     all   51.34    0.00    3.48    0.00    0.00    0.00    0.00    0.00    0.00   45.18
09:42:40     all   52.11    0.00    3.65    0.00    0.00    0.00    0.00    0.00    0.00   44.23
09:42:41     all   56.96    0.01    2.41    0.00    0.00    0.00    0.00    0.00    0.00   40.61
09:42:42     all   49.46    0.00    3.16    0.00    0.00    0.00    0.00    0.00    0.00   47.38
09:42:43     all   54.14    0.00    3.79    0.00    0.00    0.01    0.00    0.00    0.00   42.06
09:42:44     all   55.33    0.00    3.96    0.00    0.00    0.00    0.00    0.00    0.00   40.71
09:42:45     all   54.14    0.00    4.97    0.00    0.00    0.00    0.00    0.00    0.00   40.89
09:42:46     all   54.57    0.00    3.26    0.00    0.00    0.00    0.00    0.00    0.00   42.17
09:42:47     all   55.63    0.00    4.11    0.00    0.00    0.00    0.00    0.00    0.00   40.26
09:42:48     all   54.39    0.00    3.38    0.00    0.00    0.00    0.00    0.00    0.00   42.23
09:42:49     all   55.88    0.00    3.57    0.00    0.00    0.00    0.00    0.00    0.00   40.55
09:42:50     all   55.95    0.00    3.30    0.00    0.00    0.00    0.00    0.00    0.00   40.75
09:42:51     all   55.67    0.00    3.80    0.00    0.00    0.01    0.00    0.00    0.00   40.51
09:42:52     all   54.20    0.00    3.01    0.00    0.00    0.01    0.00    0.00    0.00   42.78
09:42:53     all   52.62    0.00    3.64    0.00    0.00    0.00    0.00    0.00    0.00   43.74
09:42:54     all   53.33    0.00    3.70    0.00    0.00    0.01    0.00    0.00    0.00   42.95
09:42:55     all   51.55    0.00    3.57    0.00    0.00    0.00    0.00    0.00    0.00   44.88
09:42:56     all   55.95    0.00    3.29    0.00    0.00    0.00    0.00    0.00    0.00   40.76
