Linux 6.8.0-136-generic (856a17914eb3) 	08/10/26 	_x86_64_	(72 CPU)

17:44:28     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:44:29     all    6.90    0.00    0.46    0.00    0.00    0.00    0.00    0.00    0.00   92.65
17:44:30     all    1.14    0.00    1.22    0.00    0.00    0.00    0.00    0.00    0.00   97.64
17:44:31     all    1.88    0.00    0.38    0.00    0.00    0.00    0.00    0.00    0.00   97.75
17:44:32     all    1.67    0.00    0.56    0.00    0.00    0.00    0.00    0.00    0.00   97.78
17:44:33     all    1.56    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.26
17:44:34     all    1.63    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   98.12
17:44:35     all    1.54    0.00    0.29    0.00    0.00    0.00    0.00    0.00    0.00   98.17
17:44:36     all    1.56    0.00    0.13    0.00    0.00    0.00    0.00    0.00    0.00   98.32
17:44:37     all    1.67    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.11
17:44:38     all    1.56    0.00    0.29    0.00    0.00    0.00    0.00    0.00    0.00   98.15
17:44:39     all    1.82    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   97.93
17:44:40     all    1.72    0.00    0.26    0.00    0.00    0.00    0.00    0.00    0.00   98.01
17:44:41     all    1.36    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   98.47
17:44:42     all    1.58    0.00    0.29    0.00    0.00    0.00    0.00    0.00    0.00   98.13
17:44:43     all    1.57    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.24
17:44:44     all    1.43    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.39
17:44:45     all    1.76    0.00    0.35    0.00    0.00    0.00    0.00    0.00    0.00   97.89
17:44:46     all    1.66    0.00    0.40    0.00    0.00    0.00    0.00    0.00    0.00   97.94
17:44:47     all    1.96    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   97.71
17:44:48     all    1.89    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   97.86
17:44:49     all    1.70    0.00    0.24    0.00    0.00    0.00    0.00    0.00    0.00   98.07
17:44:50     all    1.46    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   98.29
17:44:51     all    1.60    0.01    0.28    0.00    0.00    0.00    0.00    0.00    0.00   98.11
17:44:52     all    1.64    0.00    0.24    0.00    0.00    0.00    0.00    0.00    0.00   98.12
17:44:53     all    1.46    0.00    0.26    0.00    0.00    0.00    0.00    0.00    0.00   98.28
17:44:54     all    1.94    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   97.83
17:44:55     all    1.74    0.00    0.24    0.00    0.00    0.00    0.00    0.00    0.00   98.03
