Linux 6.8.0-136-generic (856a17914eb3) 	08/10/26 	_x86_64_	(72 CPU)

16:33:25     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
16:33:26     all    7.05    0.00    0.47    0.00    0.00    0.00    0.00    0.00    0.00   92.47
16:33:27     all    1.01    0.00    1.04    0.00    0.00    0.00    0.00    0.00    0.00   97.94
16:33:28     all    1.22    0.00    0.35    0.00    0.00    0.00    0.00    0.00    0.00   98.43
16:33:29     all    1.33    0.00    0.36    0.00    0.00    0.00    0.00    0.00    0.00   98.30
16:33:30     all    1.63    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.17
16:33:31     all    1.50    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   98.25
16:33:32     all    1.58    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.21
16:33:33     all    2.18    0.00    0.39    0.00    0.00    0.00    0.00    0.00    0.00   97.43
16:33:34     all    2.07    0.00    0.46    0.00    0.00    0.00    0.00    0.00    0.00   97.47
16:33:35     all    1.49    0.04    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.28
16:33:36     all    1.61    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   98.14
16:33:37     all    1.44    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.35
16:33:38     all    1.67    0.00    0.32    0.00    0.00    0.00    0.00    0.00    0.00   98.01
16:33:39     all    1.62    0.00    0.26    0.00    0.00    0.00    0.00    0.00    0.00   98.11
16:33:40     all    1.49    0.00    0.29    0.00    0.00    0.00    0.00    0.00    0.00   98.22
16:33:41     all    1.94    0.00    0.32    0.00    0.00    0.00    0.00    0.00    0.00   97.74
16:33:42     all    1.58    0.00    0.24    0.00    0.00    0.00    0.00    0.00    0.00   98.18
16:33:43     all    1.46    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   98.37
16:33:44     all    1.50    0.01    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.28
16:33:45     all    1.61    0.00    0.24    0.00    0.00    0.00    0.00    0.00    0.00   98.15
16:33:46     all    1.61    0.00    0.26    0.00    0.00    0.00    0.00    0.00    0.00   98.12
16:33:47     all    1.54    0.00    0.14    0.00    0.00    0.00    0.00    0.00    0.00   98.32
16:33:48     all    1.60    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.21
16:33:49     all    1.46    0.01    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.30
16:33:50     all    1.51    0.00    0.26    0.00    0.00    0.00    0.00    0.00    0.00   98.22
16:33:51     all    1.60    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.21
16:33:52     all    1.54    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.26
16:33:53     all    1.51    0.00    0.24    0.00    0.00    0.00    0.00    0.00    0.00   98.25
16:33:54     all    1.97    0.00    0.40    0.00    0.00    0.00    0.00    0.00    0.00   97.62
16:33:55     all    5.53    0.00    0.85    0.00    0.00    0.00    0.00    0.00    0.00   93.62
16:33:56     all   21.02    0.00    2.59    0.00    0.00    0.01    0.00    0.00    0.00   76.37
16:33:57     all   22.12    0.00    2.13    0.00    0.00    0.00    0.00    0.00    0.00   75.75
16:33:58     all   19.03    0.00    1.77    0.01    0.00    0.00    0.00    0.00    0.00   79.18
16:33:59     all   34.88    0.00    5.97    0.00    0.00    0.00    0.00    0.00    0.00   59.14
16:34:00     all   31.84    0.00    4.77    0.00    0.00    0.01    0.00    0.00    0.00   63.37
16:34:01     all   29.53    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   66.39
16:34:02     all   30.92    0.00    2.99    0.00    0.00    0.03    0.00    0.00    0.00   66.06
16:34:03     all   31.48    0.00    3.13    0.00    0.00    0.00    0.00    0.00    0.00   65.39
16:34:04     all   29.76    0.00    2.42    0.00    0.00    0.00    0.00    0.00    0.00   67.82
16:34:05     all   32.76    0.00    1.69    0.00    0.00    0.00    0.00    0.00    0.00   65.56
16:34:06     all   22.85    0.00    1.09    0.00    0.00    0.00    0.00    0.00    0.00   76.06
16:34:07     all   23.21    0.00    1.20    0.00    0.00    0.00    0.00    0.00    0.00   75.59
16:34:08     all   22.23    0.00    1.14    0.00    0.00    0.00    0.00    0.00    0.00   76.63
16:34:09     all   31.85    0.00    1.20    0.00    0.00    0.01    0.00    0.00    0.00   66.94
16:34:10     all   37.07    0.00    4.11    0.00    0.00    0.00    0.00    0.00    0.00   58.82
16:34:11     all   26.19    0.00    4.02    0.00    0.00    0.00    0.00    0.00    0.00   69.80
16:34:12     all   24.38    0.00    4.60    0.00    0.00    0.00    0.00    0.00    0.00   71.03
16:34:13     all   27.36    0.00    5.35    0.00    0.00    0.00    0.00    0.00    0.00   67.29
16:34:14     all   26.09    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   68.86
16:34:15     all   24.95    0.00    3.75    0.00    0.00    0.00    0.00    0.00    0.00   71.30
16:34:16     all   26.37    0.00    4.05    0.00    0.00    0.00    0.00    0.00    0.00   69.58
16:34:17     all   37.69    0.00    5.58    0.00    0.00    0.00    0.00    0.00    0.00   56.73
16:34:18     all   37.94    0.00    5.87    0.00    0.00    0.03    0.00    0.00    0.00   56.16
16:34:19     all   37.06    0.00    7.97    0.00    0.00    0.00    0.00    0.00    0.00   54.98
16:34:20     all   39.51    0.00    9.34    0.00    0.00    0.00    0.00    0.00    0.00   51.15
16:34:21     all   39.25    0.00   10.44    0.00    0.00    0.00    0.00    0.00    0.00   50.31
16:34:22     all   35.70    0.00    9.58    0.00    0.00    0.01    0.00    0.00    0.00   54.71
16:34:23     all   33.18    0.00    7.47    0.00    0.00    0.00    0.00    0.00    0.00   59.35
16:34:24     all   28.69    0.00    8.11    0.00    0.00    0.00    0.00    0.00    0.00   63.20
16:34:25     all   28.29    0.00    5.88    0.00    0.00    0.01    0.00    0.00    0.00   65.81
16:34:26     all   29.60    0.00    7.27    0.00    0.00    0.00    0.00    0.00    0.00   63.13
16:34:27     all   23.36    0.00    6.45    0.00    0.00    0.00    0.00    0.00    0.00   70.19
16:34:28     all   23.05    0.00    6.34    0.00    0.00    0.00    0.00    0.00    0.00   70.61
16:34:29     all   20.50    0.00    5.06    0.00    0.00    0.01    0.00    0.00    0.00   74.42
16:34:30     all   24.65    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   69.29
16:34:31     all   25.04    0.00    5.40    0.00    0.00    0.00    0.00    0.00    0.00   69.56
16:34:32     all   23.16    0.00    5.40    0.00    0.00    0.00    0.00    0.00    0.00   71.43
16:34:33     all   31.39    0.00    5.51    0.00    0.00    0.00    0.00    0.00    0.00   63.09
16:34:34     all   31.84    0.00    5.26    0.00    0.00    0.00    0.00    0.00    0.00   62.90
16:34:35     all   37.62    0.00    5.94    0.00    0.00    0.01    0.00    0.00    0.00   56.43
16:34:36     all   33.10    0.00    6.43    0.00    0.00    0.00    0.00    0.00    0.00   60.48
16:34:37     all   32.84    0.00    7.66    0.00    0.00    0.00    0.00    0.00    0.00   59.50
16:34:38     all   38.64    0.00    8.74    0.00    0.00    0.00    0.00    0.00    0.00   52.62
16:34:39     all   35.61    0.00    7.93    0.00    0.00    0.00    0.00    0.00    0.00   56.46
16:34:40     all   27.79    0.00    7.11    0.00    0.00    0.00    0.00    0.00    0.00   65.10
16:34:41     all   26.59    0.00    7.03    0.00    0.00    0.00    0.00    0.00    0.00   66.38
16:34:42     all   18.83    0.01    5.07    0.00    0.00    0.01    0.00    0.00    0.00   76.07
16:34:43     all   26.94    0.00    6.46    0.00    0.00    0.00    0.00    0.00    0.00   66.60
16:34:44     all   21.61    0.00    5.72    0.00    0.00    0.01    0.00    0.00    0.00   72.66
16:34:45     all   22.81    0.00    5.27    0.00    0.00    0.01    0.00    0.00    0.00   71.91
16:34:46     all   20.30    0.00    6.55    0.00    0.00    0.00    0.00    0.00    0.00   73.16
16:34:47     all   23.01    0.00    6.22    0.00    0.00    0.01    0.00    0.00    0.00   70.75
16:34:48     all   25.29    0.00    6.62    0.00    0.00    0.00    0.00    0.00    0.00   68.10
16:34:49     all   32.99    0.00    7.59    0.00    0.00    0.00    0.00    0.00    0.00   59.43
16:34:50     all   30.53    0.00    7.27    0.00    0.00    0.00    0.00    0.00    0.00   62.20
16:34:51     all   30.39    0.00    6.86    0.00    0.00    0.00    0.00    0.00    0.00   62.75
16:34:52     all   31.98    0.00    7.59    0.00    0.00    0.00    0.00    0.00    0.00   60.44
16:34:53     all   35.29    0.00    8.51    0.00    0.00    0.00    0.00    0.00    0.00   56.20
16:34:54     all   37.34    0.00   10.52    0.00    0.00    0.01    0.00    0.00    0.00   52.13
16:34:55     all   32.62    0.00   10.39    0.00    0.00    0.00    0.00    0.00    0.00   56.98
16:34:56     all   38.05    0.00    9.90    0.00    0.00    0.00    0.00    0.00    0.00   52.05
16:34:57     all   35.07    0.00   11.20    0.00    0.00    0.00    0.00    0.00    0.00   53.73
16:34:58     all   31.25    0.00   10.18    0.01    0.00    0.01    0.00    0.00    0.00   58.54
16:34:59     all   33.06    0.00    8.15    0.00    0.00    0.00    0.00    0.00    0.00   58.79
16:35:00     all   34.46    0.00    9.59    0.00    0.00    0.01    0.00    0.00    0.00   55.93
16:35:01     all   35.11    0.00    9.85    0.00    0.00    0.00    0.00    0.00    0.00   55.04
16:35:02     all   38.08    0.00   11.93    0.00    0.00    0.03    0.00    0.00    0.00   49.96
16:35:03     all   35.43    0.00    9.93    0.00    0.00    0.00    0.00    0.00    0.00   54.63
16:35:04     all   33.26    0.00   10.31    0.00    0.00    0.03    0.00    0.00    0.00   56.40
16:35:05     all   37.75    0.00   10.81    0.00    0.00    0.00    0.00    0.00    0.00   51.44
16:35:06     all   38.55    0.00   12.13    0.00    0.00    0.00    0.00    0.00    0.00   49.32
16:35:07     all   37.76    0.00   11.20    0.00    0.00    0.00    0.00    0.00    0.00   51.04
16:35:08     all   38.48    0.00   11.52    0.00    0.00    0.01    0.00    0.00    0.00   49.99
16:35:09     all   37.80    0.00   12.59    0.00    0.00    0.00    0.00    0.00    0.00   49.61
16:35:10     all   37.99    0.00   12.16    0.00    0.00    0.00    0.00    0.00    0.00   49.85
16:35:11     all   38.01    0.00   12.30    0.00    0.00    0.01    0.00    0.00    0.00   49.68
16:35:12     all   38.12    0.00   12.14    0.00    0.00    0.00    0.00    0.00    0.00   49.75
16:35:13     all   36.52    0.00   12.66    0.01    0.00    0.00    0.00    0.00    0.00   50.81
16:35:14     all   36.62    0.00   12.73    0.00    0.00    0.00    0.00    0.00    0.00   50.65
16:35:15     all   36.61    0.00   12.66    0.00    0.00    0.01    0.00    0.00    0.00   50.72
16:35:16     all   37.63    0.00   12.18    0.00    0.00    0.00    0.00    0.00    0.00   50.19
