Linux 6.8.0-136-generic (856a17914eb3) 	08/10/26 	_x86_64_	(72 CPU)

14:57:50     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
14:57:51     all    7.03    0.00    0.57    0.00    0.00    0.00    0.00    0.00    0.00   92.40
14:57:52     all    1.27    0.00    1.08    0.01    0.00    0.00    0.00    0.00    0.00   97.64
14:57:53     all    1.45    0.00    0.39    0.00    0.00    0.00    0.00    0.00    0.00   98.17
14:57:54     all    1.40    0.00    0.53    0.00    0.00    0.00    0.00    0.00    0.00   98.07
14:57:55     all    1.38    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.42
14:57:56     all    2.03    0.00    0.35    0.00    0.00    0.00    0.00    0.00    0.00   97.62
14:57:57     all    1.85    0.00    0.35    0.00    0.00    0.00    0.00    0.00    0.00   97.81
14:57:58     all    1.45    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.33
14:57:59     all    1.56    0.00    0.24    0.00    0.00    0.00    0.00    0.00    0.00   98.21
14:58:00     all    1.56    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.24
14:58:01     all    1.33    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.44
14:58:02     all    1.64    0.00    0.26    0.00    0.00    0.00    0.00    0.00    0.00   98.10
14:58:03     all    1.74    0.00    0.29    0.00    0.00    0.00    0.00    0.00    0.00   97.97
14:58:04     all    1.47    0.00    0.38    0.00    0.00    0.00    0.00    0.00    0.00   98.15
14:58:05     all    1.54    0.00    0.24    0.00    0.00    0.00    0.00    0.00    0.00   98.22
14:58:06     all    1.63    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.18
14:58:07     all    1.32    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.48
14:58:08     all    1.61    0.00    0.32    0.00    0.00    0.00    0.00    0.00    0.00   98.07
14:58:09     all    1.57    0.00    0.26    0.00    0.00    0.00    0.00    0.00    0.00   98.17
14:58:10     all    1.35    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   98.50
14:58:11     all    1.72    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   98.03
14:58:12     all    1.64    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   98.11
14:58:13     all    1.92    0.00    0.36    0.00    0.00    0.00    0.00    0.00    0.00   97.72
14:58:14     all    2.12    0.00    0.37    0.00    0.00    0.00    0.00    0.00    0.00   97.50
14:58:15     all    1.58    0.00    0.14    0.00    0.00    0.00    0.00    0.00    0.00   98.28
14:58:16     all    1.38    0.00    0.24    0.00    0.00    0.00    0.00    0.00    0.00   98.39
14:58:17     all    1.54    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.28
14:58:18     all    1.67    0.00    0.26    0.00    0.00    0.00    0.00    0.00    0.00   98.07
14:58:19     all    1.58    0.00    0.28    0.00    0.00    0.00    0.00    0.00    0.00   98.14
14:58:20     all    2.08    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   97.41
14:58:21     all    6.49    0.00    1.54    0.00    0.00    0.00    0.00    0.00    0.00   91.97
14:58:22     all   29.08    0.00    2.88    0.01    0.00    0.00    0.00    0.00    0.00   68.02
14:58:23     all   13.66    0.00    1.50    0.00    0.00    0.01    0.00    0.00    0.00   84.83
14:58:24     all   34.98    0.00    4.51    0.00    0.00    0.00    0.00    0.00    0.00   60.51
14:58:25     all   30.24    0.00    4.25    0.00    0.00    0.00    0.00    0.00    0.00   65.51
14:58:26     all   31.81    0.00    4.48    0.00    0.00    0.00    0.00    0.00    0.00   63.71
14:58:27     all   29.39    0.00    3.90    0.00    0.00    0.00    0.00    0.00    0.00   66.71
14:58:28     all   33.17    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   63.77
14:58:29     all   30.39    0.00    2.95    0.00    0.00    0.01    0.00    0.00    0.00   66.65
14:58:30     all   31.60    0.00    2.61    0.00    0.00    0.01    0.00    0.00    0.00   65.77
14:58:31     all   30.53    0.00    1.38    0.00    0.00    0.00    0.00    0.00    0.00   68.09
14:58:32     all   26.71    0.00    1.04    0.00    0.00    0.00    0.00    0.00    0.00   72.25
14:58:33     all   26.52    0.00    1.36    0.00    0.00    0.01    0.00    0.00    0.00   72.10
14:58:34     all   18.65    0.00    1.41    0.00    0.00    0.00    0.00    0.00    0.00   79.94
14:58:35     all   33.25    0.00    1.71    0.00    0.00    0.00    0.00    0.00    0.00   65.04
14:58:36     all   40.13    0.00    5.82    0.00    0.00    0.01    0.00    0.00    0.00   54.04
14:58:37     all   36.17    0.00    8.94    0.00    0.00    0.00    0.00    0.00    0.00   54.89
14:58:38     all   24.46    0.00    5.24    0.00    0.00    0.01    0.00    0.00    0.00   70.29
14:58:39     all   27.44    0.00    6.28    0.00    0.00    0.01    0.00    0.00    0.00   66.27
14:58:40     all   24.86    0.00    4.90    0.00    0.00    0.00    0.00    0.00    0.00   70.24
14:58:41     all   28.76    0.00    6.39    0.00    0.00    0.01    0.00    0.00    0.00   64.84
14:58:42     all   32.31    0.00    5.74    0.00    0.00    0.00    0.00    0.00    0.00   61.94
14:58:43     all   39.68    0.00    8.40    0.00    0.00    0.00    0.00    0.00    0.00   51.92
14:58:44     all   39.22    0.00   10.93    0.00    0.00    0.03    0.00    0.00    0.00   49.82
14:58:45     all   40.20    0.00   10.09    0.00    0.00    0.00    0.00    0.00    0.00   49.71
14:58:46     all   38.35    0.00   11.18    0.00    0.00    0.00    0.00    0.00    0.00   50.47
14:58:47     all   36.85    0.00   13.04    0.00    0.00    0.00    0.00    0.00    0.00   50.11
14:58:48     all   37.80    0.00   12.13    0.00    0.00    0.00    0.00    0.00    0.00   50.07
14:58:49     all   34.82    0.00   11.89    0.00    0.00    0.00    0.00    0.00    0.00   53.29
14:58:50     all   33.83    0.00    9.53    0.00    0.00    0.01    0.00    0.00    0.00   56.62
14:58:51     all   29.94    0.00    8.56    0.00    0.00    0.00    0.00    0.00    0.00   61.50
14:58:52     all   25.33    0.00    7.97    0.00    0.00    0.00    0.00    0.00    0.00   66.70
14:58:53     all   35.32    0.01    8.62    0.00    0.00    0.01    0.00    0.00    0.00   56.03
14:58:54     all   30.16    0.00    7.57    0.00    0.00    0.00    0.00    0.00    0.00   62.27
14:58:55     all   28.44    0.00    7.88    0.00    0.00    0.00    0.00    0.00    0.00   63.68
14:58:56     all   28.94    0.00    7.74    0.00    0.00    0.01    0.00    0.00    0.00   63.30
14:58:57     all   26.15    0.00    7.40    0.00    0.00    0.00    0.00    0.00    0.00   66.45
14:58:58     all   29.62    0.00    7.88    0.00    0.00    0.00    0.00    0.00    0.00   62.50
14:58:59     all   34.08    0.00    8.97    0.00    0.00    0.01    0.00    0.00    0.00   56.93
14:59:00     all   38.81    0.00    9.48    0.00    0.00    0.00    0.00    0.00    0.00   51.71
14:59:01     all   39.16    0.00    9.67    0.00    0.00    0.00    0.00    0.00    0.00   51.17
14:59:02     all   39.30    0.00    9.70    0.00    0.00    0.01    0.00    0.00    0.00   50.99
14:59:03     all   35.52    0.00    8.83    0.00    0.00    0.00    0.00    0.00    0.00   55.65
14:59:04     all   38.66    0.00    9.42    0.00    0.00    0.03    0.00    0.00    0.00   51.89
14:59:05     all   37.73    0.01   11.63    0.00    0.00    0.00    0.00    0.00    0.00   50.63
14:59:06     all   38.80    0.00   12.02    0.00    0.00    0.00    0.00    0.00    0.00   49.19
14:59:07     all   34.27    0.00   11.68    0.00    0.00    0.01    0.00    0.00    0.00   54.04
14:59:08     all   27.79    0.00    9.11    0.00    0.00    0.00    0.00    0.00    0.00   63.10
14:59:09     all   26.95    0.00    8.85    0.00    0.00    0.00    0.00    0.00    0.00   64.19
14:59:10     all   32.15    0.00    9.91    0.00    0.00    0.00    0.00    0.00    0.00   57.95
14:59:11     all   30.49    0.00   10.52    0.00    0.00    0.00    0.00    0.00    0.00   58.99
14:59:12     all   32.87    0.00   11.72    0.00    0.00    0.00    0.00    0.00    0.00   55.41
14:59:13     all   33.50    0.00   13.52    0.00    0.00    0.00    0.00    0.00    0.00   52.98
14:59:14     all   34.37    0.00   14.91    0.00    0.00    0.01    0.00    0.00    0.00   50.71
14:59:15     all   32.00    0.00   12.96    0.00    0.00    0.00    0.00    0.00    0.00   55.05
14:59:16     all   35.93    0.00   14.12    0.00    0.00    0.00    0.00    0.00    0.00   49.95
14:59:17     all   36.14    0.00   13.46    0.00    0.00    0.00    0.00    0.00    0.00   50.40
14:59:18     all   33.52    0.00   15.56    0.01    0.00    0.00    0.00    0.00    0.00   50.91
14:59:19     all   34.10    0.00   15.70    0.00    0.00    0.03    0.00    0.00    0.00   50.17
14:59:20     all   34.40    0.00   15.26    0.00    0.00    0.00    0.00    0.00    0.00   50.34
14:59:21     all   35.72    0.00   14.75    0.00    0.00    0.01    0.00    0.00    0.00   49.52
14:59:22     all   35.65    0.00   16.09    0.00    0.00    0.01    0.00    0.00    0.00   48.25
14:59:23     all   33.78    0.00   15.80    0.00    0.00    0.00    0.00    0.00    0.00   50.42
14:59:24     all   33.65    0.00   16.00    0.00    0.00    0.03    0.00    0.00    0.00   50.33
14:59:25     all   33.65    0.00   13.67    0.00    0.00    0.00    0.00    0.00    0.00   52.69
14:59:26     all   32.44    0.00   16.77    0.00    0.00    0.00    0.00    0.00    0.00   50.79
14:59:27     all   30.98    0.00   17.02    0.00    0.00    0.00    0.00    0.00    0.00   52.00
14:59:28     all   32.35    0.00   17.85    0.00    0.00    0.00    0.00    0.00    0.00   49.80
14:59:29     all   33.28    0.00   16.70    0.00    0.00    0.00    0.00    0.00    0.00   50.02
14:59:30     all   33.92    0.01   16.53    0.00    0.00    0.01    0.00    0.00    0.00   49.52
14:59:31     all   33.22    0.00   16.41    0.00    0.00    0.00    0.00    0.00    0.00   50.37
14:59:32     all   34.53    0.00   15.60    0.00    0.00    0.00    0.00    0.00    0.00   49.87
14:59:33     all   33.62    0.00   16.33    0.00    0.00    0.00    0.00    0.00    0.00   50.05
14:59:34     all   32.63    0.00   17.77    0.00    0.00    0.00    0.00    0.00    0.00   49.60
14:59:35     all   33.05    0.00   17.60    0.00    0.00    0.01    0.00    0.00    0.00   49.34
14:59:36     all   32.54    0.00   17.27    0.00    0.00    0.01    0.00    0.00    0.00   50.18
14:59:37     all   33.35    0.00   16.91    0.00    0.00    0.00    0.00    0.00    0.00   49.74
14:59:38     all   32.78    0.00   17.49    0.00    0.00    0.00    0.00    0.00    0.00   49.73
14:59:39     all   32.70    0.00   17.75    0.00    0.00    0.00    0.00    0.00    0.00   49.55
14:59:40     all   34.86    0.00   15.92    0.00    0.00    0.00    0.00    0.00    0.00   49.21
14:59:41     all   33.87    0.00   15.33    0.00    0.00    0.03    0.00    0.00    0.00   50.78
14:59:42     all   32.40    0.00   17.64    0.00    0.00    0.00    0.00    0.00    0.00   49.97
14:59:43     all   31.66    0.00   18.62    0.00    0.00    0.00    0.00    0.00    0.00   49.72
14:59:44     all   30.76    0.00   19.62    0.00    0.00    0.01    0.00    0.00    0.00   49.61
14:59:45     all   31.86    0.00   19.75    0.00    0.00    0.00    0.00    0.00    0.00   48.39
14:59:46     all   32.14    0.00   19.57    0.01    0.00    0.00    0.00    0.00    0.00   48.28
14:59:47     all   29.00    0.00   21.34    0.00    0.00    0.01    0.00    0.00    0.00   49.64
14:59:48     all   30.45    0.00   19.59    0.00    0.00    0.00    0.00    0.00    0.00   49.96
14:59:49     all   31.89    0.00   18.39    0.00    0.00    0.00    0.00    0.00    0.00   49.72
14:59:50     all   30.71    0.00   19.40    0.00    0.00    0.00    0.00    0.00    0.00   49.89
14:59:51     all   30.69    0.00   19.43    0.00    0.00    0.00    0.00    0.00    0.00   49.87
14:59:52     all   33.70    0.00   18.28    0.00    0.00    0.03    0.00    0.00    0.00   47.98
14:59:53     all   31.69    0.00   18.80    0.00    0.00    0.00    0.00    0.00    0.00   49.51
14:59:54     all   31.66    0.00   18.22    0.00    0.00    0.00    0.00    0.00    0.00   50.12
14:59:55     all   31.43    0.00   18.36    0.00    0.00    0.01    0.00    0.00    0.00   50.19
14:59:56     all   32.05    0.00   19.69    0.00    0.00    0.01    0.00    0.00    0.00   48.24
14:59:57     all   32.45    0.00   18.34    0.00    0.00    0.00    0.00    0.00    0.00   49.21
14:59:58     all   32.78    0.00   17.48    0.00    0.00    0.00    0.00    0.00    0.00   49.74
14:59:59     all   30.79    0.00   19.41    0.00    0.00    0.00    0.00    0.00    0.00   49.81
15:00:00     all   30.88    0.01   19.16    0.00    0.00    0.00    0.00    0.00    0.00   49.94
15:00:01     all   32.81    0.00   18.53    0.00    0.00    0.01    0.00    0.00    0.00   48.64
15:00:02     all   30.69    0.00   18.17    0.00    0.00    0.01    0.00    0.00    0.00   51.12
15:00:03     all   31.57    0.00   20.42    0.00    0.00    0.00    0.00    0.00    0.00   48.01
15:00:04     all   32.42    0.00   19.36    0.00    0.00    0.01    0.00    0.00    0.00   48.20
15:00:05     all   31.98    0.00   17.75    0.00    0.00    0.00    0.00    0.00    0.00   50.27
15:00:06     all   32.01    0.00   18.21    0.00    0.00    0.00    0.00    0.00    0.00   49.78
15:00:07     all   30.63    0.00   19.59    0.00    0.00    0.00    0.00    0.00    0.00   49.78
15:00:08     all   31.07    0.00   19.70    0.00    0.00    0.01    0.00    0.00    0.00   49.22
15:00:09     all   33.33    0.00   17.53    0.00    0.00    0.01    0.00    0.00    0.00   49.12
15:00:10     all   32.27    0.00   18.06    0.00    0.00    0.00    0.00    0.00    0.00   49.67
15:00:11     all   31.78    0.00   18.50    0.00    0.00    0.00    0.00    0.00    0.00   49.72
15:00:12     all   31.80    0.00   18.59    0.00    0.00    0.00    0.00    0.00    0.00   49.60
15:00:13     all   32.21    0.00   18.16    0.00    0.00    0.01    0.00    0.00    0.00   49.62
15:00:14     all   31.20    0.00   19.11    0.00    0.00    0.00    0.00    0.00    0.00   49.69
15:00:15     all   31.83    0.00   18.53    0.00    0.00    0.00    0.00    0.00    0.00   49.64
15:00:16     all   31.55    0.00   18.21    0.01    0.00    0.00    0.00    0.00    0.00   50.22
15:00:17     all   30.73    0.00   19.45    0.00    0.00    0.01    0.00    0.00    0.00   49.81
15:00:18     all   31.74    0.00   18.04    0.00    0.00    0.00    0.00    0.00    0.00   50.22
15:00:19     all   30.64    0.00   18.58    0.00    0.00    0.00    0.00    0.00    0.00   50.78
