Linux 6.8.0-136-generic (856a17914eb3) 	08/10/26 	_x86_64_	(72 CPU)

09:28:05     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:28:06     all   11.58    0.00    0.39    0.00    0.00    0.00    0.00    0.00    0.00   88.03
09:28:07     all    0.93    0.01    0.82    0.00    0.00    0.00    0.00    0.00    0.00   98.24
09:28:08     all    1.50    0.00    0.24    0.00    0.00    0.00    0.00    0.00    0.00   98.26
09:28:09     all    1.61    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.16
09:28:10     all    1.46    0.00    0.32    0.00    0.00    0.00    0.00    0.00    0.00   98.22
09:28:11     all    1.63    0.00    0.22    0.00    0.00    0.01    0.00    0.00    0.00   98.14
09:28:12     all    1.54    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.26
09:28:13     all    1.50    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.28
09:28:14     all    1.31    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   98.19
09:28:15     all    1.75    0.00    0.35    0.00    0.00    0.00    0.00    0.00    0.00   97.90
09:28:16     all    1.78    0.00    0.28    0.00    0.00    0.00    0.00    0.00    0.00   97.94
09:28:17     all    1.99    0.00    0.28    0.00    0.00    0.00    0.00    0.00    0.00   97.74
09:28:18     all    1.58    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.21
09:28:19     all    1.36    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   98.47
09:28:20     all    1.61    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.18
09:28:21     all   19.81    0.00    3.61    0.00    0.00    0.03    0.00    0.00    0.00   76.55
09:28:22     all   31.17    0.00    1.55    0.00    0.00    0.01    0.00    0.00    0.00   67.27
09:28:23     all   37.22    0.00    1.42    0.00    0.00    0.01    0.00    0.00    0.00   61.34
09:28:24     all   39.09    0.00    2.47    0.00    0.00    0.00    0.00    0.00    0.00   58.44
09:28:25     all   30.94    0.00    1.47    0.00    0.00    0.00    0.00    0.00    0.00   67.59
09:28:26     all   33.99    0.00    1.35    0.00    0.00    0.00    0.00    0.00    0.00   64.66
09:28:27     all   29.78    0.00    1.27    0.00    0.00    0.00    0.00    0.00    0.00   68.96
09:28:28     all   30.00    0.00    0.74    0.00    0.00    0.00    0.00    0.00    0.00   69.26
09:28:29     all   31.11    0.00    1.10    0.00    0.00    0.01    0.00    0.00    0.00   67.77
09:28:30     all   24.31    0.00    0.72    0.00    0.00    0.00    0.00    0.00    0.00   74.97
09:28:31     all   30.55    0.00    0.68    0.00    0.00    0.00    0.00    0.00    0.00   68.76
09:28:32     all   33.76    0.00    0.78    0.00    0.00    0.00    0.00    0.00    0.00   65.47
09:28:33     all   38.91    0.00    0.56    0.00    0.00    0.00    0.00    0.00    0.00   60.53
09:28:34     all   32.03    0.00    0.49    0.00    0.00    0.01    0.00    0.00    0.00   67.47
09:28:35     all   28.33    0.00    0.77    0.01    0.00    0.00    0.00    0.00    0.00   70.89
09:28:36     all   35.92    0.00    0.81    0.00    0.00    0.01    0.00    0.00    0.00   63.26
09:28:37     all   42.46    0.00    1.11    0.00    0.00    0.01    0.00    0.00    0.00   56.41
09:28:38     all   36.95    0.00    1.66    0.00    0.00    0.00    0.00    0.00    0.00   61.39
09:28:39     all   28.65    0.00    1.45    0.00    0.00    0.00    0.00    0.00    0.00   69.91
09:28:40     all   28.50    0.00    1.32    0.00    0.00    0.00    0.00    0.00    0.00   70.18
09:28:41     all   23.61    0.00    1.34    0.00    0.00    0.00    0.00    0.00    0.00   75.05
09:28:42     all   27.29    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   71.69
09:28:43     all   33.18    0.00    1.52    0.00    0.00    0.01    0.00    0.00    0.00   65.28
09:28:44     all   32.25    0.00    1.68    0.00    0.00    0.00    0.00    0.00    0.00   66.07
09:28:45     all   36.43    0.00    1.70    0.00    0.00    0.00    0.00    0.00    0.00   61.88
09:28:46     all   46.35    0.00    2.53    0.00    0.00    0.00    0.00    0.00    0.00   51.12
09:28:47     all   47.95    0.00    2.46    0.00    0.00    0.00    0.00    0.00    0.00   49.58
09:28:48     all   41.25    0.00    1.88    0.00    0.00    0.00    0.00    0.00    0.00   56.87
09:28:49     all   42.97    0.00    2.87    0.00    0.00    0.00    0.00    0.00    0.00   54.16
09:28:50     all   43.66    0.00    3.21    0.00    0.00    0.03    0.00    0.00    0.00   53.11
09:28:51     all   39.94    0.00    3.04    0.00    0.00    0.00    0.00    0.00    0.00   57.03
09:28:52     all   41.16    0.00    3.35    0.00    0.00    0.00    0.00    0.00    0.00   55.49
09:28:53     all   38.92    0.00    3.82    0.00    0.00    0.00    0.00    0.00    0.00   57.27
09:28:54     all   34.32    0.00    2.73    0.00    0.00    0.03    0.00    0.00    0.00   62.93
09:28:55     all   27.59    0.00    1.56    0.00    0.00    0.00    0.00    0.00    0.00   70.85
09:28:56     all   26.52    0.00    1.56    0.00    0.00    0.01    0.00    0.00    0.00   71.91
09:28:57     all   24.28    0.00    1.68    0.00    0.00    0.00    0.00    0.00    0.00   74.03
09:28:58     all   29.36    0.00    1.00    0.00    0.00    0.01    0.00    0.00    0.00   69.63
09:28:59     all   27.98    0.00    1.49    0.00    0.00    0.00    0.00    0.00    0.00   70.53
09:29:00     all   31.59    0.00    1.70    0.00    0.00    0.00    0.00    0.00    0.00   66.71
09:29:01     all   28.33    0.00    1.29    0.00    0.00    0.00    0.00    0.00    0.00   70.37
09:29:02     all   30.55    0.00    1.14    0.00    0.00    0.00    0.00    0.00    0.00   68.31
09:29:03     all   25.28    0.00    1.18    0.00    0.00    0.00    0.00    0.00    0.00   73.54
09:29:04     all   22.68    0.00    1.24    0.00    0.00    0.00    0.00    0.00    0.00   76.08
09:29:05     all   28.06    0.00    1.53    0.00    0.00    0.00    0.00    0.00    0.00   70.41
09:29:06     all   39.77    0.00    1.36    0.00    0.00    0.00    0.00    0.00    0.00   58.87
09:29:07     all   34.84    0.00    1.63    0.00    0.00    0.00    0.00    0.00    0.00   63.53
09:29:08     all   41.19    0.00    1.46    0.00    0.00    0.00    0.00    0.00    0.00   57.35
09:29:09     all   38.35    0.00    1.60    0.00    0.00    0.00    0.00    0.00    0.00   60.05
09:29:10     all   42.48    0.00    1.06    0.00    0.00    0.00    0.00    0.00    0.00   56.46
09:29:11     all   44.55    0.00    1.74    0.00    0.00    0.00    0.00    0.00    0.00   53.71
09:29:12     all   46.47    0.00    2.28    0.00    0.00    0.00    0.00    0.00    0.00   51.25
09:29:13     all   46.54    0.00    2.24    0.00    0.00    0.01    0.00    0.00    0.00   51.20
09:29:14     all   35.29    0.00    1.95    0.00    0.00    0.00    0.00    0.00    0.00   62.76
09:29:15     all   33.80    0.00    1.28    0.00    0.00    0.00    0.00    0.00    0.00   64.92
09:29:16     all   31.34    0.00    1.85    0.00    0.00    0.00    0.00    0.00    0.00   66.81
09:29:17     all   35.00    0.00    1.54    0.00    0.00    0.00    0.00    0.00    0.00   63.46
09:29:18     all   28.92    0.00    1.67    0.00    0.00    0.00    0.00    0.00    0.00   69.41
09:29:19     all   31.53    0.00    1.74    0.00    0.00    0.00    0.00    0.00    0.00   66.73
09:29:20     all   30.77    0.00    2.11    0.00    0.00    0.00    0.00    0.00    0.00   67.12
09:29:21     all   25.10    0.00    1.35    0.00    0.00    0.00    0.00    0.00    0.00   73.55
09:29:22     all   30.58    0.00    1.50    0.00    0.00    0.01    0.00    0.00    0.00   67.91
09:29:23     all   41.61    0.00    1.95    0.01    0.00    0.00    0.00    0.00    0.00   56.43
09:29:24     all   35.98    0.00    1.58    0.00    0.00    0.00    0.00    0.00    0.00   62.45
09:29:25     all   43.69    0.00    2.77    0.00    0.00    0.00    0.00    0.00    0.00   53.54
09:29:26     all   46.64    0.00    1.91    0.00    0.00    0.01    0.00    0.00    0.00   51.44
09:29:27     all   44.27    0.00    1.67    0.00    0.00    0.00    0.00    0.00    0.00   54.05
09:29:28     all   44.61    0.00    2.45    0.00    0.00    0.00    0.00    0.00    0.00   52.94
09:29:29     all   46.63    0.00    2.72    0.00    0.00    0.00    0.00    0.00    0.00   50.65
09:29:30     all   47.16    0.01    2.41    0.00    0.00    0.00    0.00    0.00    0.00   50.42
09:29:31     all   45.88    0.00    2.66    0.00    0.00    0.03    0.00    0.00    0.00   51.43
09:29:32     all   38.46    0.00    2.62    0.00    0.00    0.00    0.00    0.00    0.00   58.92
09:29:33     all   37.58    0.00    2.61    0.00    0.00    0.00    0.00    0.00    0.00   59.81
09:29:34     all   34.15    0.00    1.64    0.00    0.00    0.00    0.00    0.00    0.00   64.20
09:29:35     all   32.79    0.00    1.32    0.00    0.00    0.00    0.00    0.00    0.00   65.89
09:29:36     all   39.34    0.00    1.76    0.00    0.00    0.00    0.00    0.00    0.00   58.90
09:29:37     all   37.44    0.00    2.26    0.00    0.00    0.00    0.00    0.00    0.00   60.31
09:29:38     all   36.23    0.00    2.10    0.00    0.00    0.00    0.00    0.00    0.00   61.67
09:29:39     all   41.02    0.00    2.70    0.00    0.00    0.00    0.00    0.00    0.00   56.27
09:29:40     all   43.75    0.00    3.33    0.00    0.00    0.01    0.00    0.00    0.00   52.90
09:29:41     all   48.67    0.00    3.02    0.00    0.00    0.00    0.00    0.00    0.00   48.31
09:29:42     all   44.01    0.00    3.44    0.00    0.00    0.00    0.00    0.00    0.00   52.56
09:29:43     all   44.81    0.00    3.68    0.00    0.00    0.01    0.00    0.00    0.00   51.50
09:29:44     all   49.39    0.00    2.67    0.00    0.00    0.00    0.00    0.00    0.00   47.93
09:29:45     all   48.59    0.00    2.88    0.00    0.00    0.00    0.00    0.00    0.00   48.53
09:29:46     all   47.52    0.00    2.52    0.00    0.00    0.00    0.00    0.00    0.00   49.97
09:29:47     all   39.18    0.00    2.39    0.00    0.00    0.00    0.00    0.00    0.00   58.43
09:29:48     all   49.71    0.00    3.05    0.00    0.00    0.01    0.00    0.00    0.00   47.23
09:29:49     all   50.19    0.00    3.60    0.00    0.00    0.00    0.00    0.00    0.00   46.20
09:29:50     all   44.73    0.00    3.81    0.00    0.00    0.00    0.00    0.00    0.00   51.46
09:29:51     all   46.36    0.00    4.22    0.00    0.00    0.01    0.00    0.00    0.00   49.40
09:29:52     all   39.61    0.00    3.09    0.00    0.00    0.00    0.00    0.00    0.00   57.30
09:29:53     all   37.27    0.00    2.24    0.00    0.00    0.00    0.00    0.00    0.00   60.49
09:29:54     all   39.78    0.00    2.84    0.00    0.00    0.00    0.00    0.00    0.00   57.38
09:29:55     all   40.99    0.00    4.05    0.00    0.00    0.01    0.00    0.00    0.00   54.95
09:29:56     all   43.27    0.00    2.56    0.00    0.00    0.00    0.00    0.00    0.00   54.17
09:29:57     all   49.32    0.00    3.17    0.00    0.00    0.00    0.00    0.00    0.00   47.50
09:29:58     all   53.97    0.00    3.49    0.00    0.00    0.01    0.00    0.00    0.00   42.53
09:29:59     all   49.01    0.00    3.24    0.00    0.00    0.00    0.00    0.00    0.00   47.75
09:30:00     all   39.70    0.00    3.09    0.00    0.00    0.00    0.00    0.00    0.00   57.21
09:30:01     all   39.16    0.01    2.24    0.00    0.00    0.00    0.00    0.00    0.00   58.58
09:30:02     all   46.16    0.00    3.27    0.00    0.00    0.00    0.00    0.00    0.00   50.56
09:30:03     all   45.90    0.00    2.76    0.00    0.00    0.00    0.00    0.00    0.00   51.34
09:30:04     all   39.99    0.00    2.44    0.00    0.00    0.00    0.00    0.00    0.00   57.57
09:30:05     all   39.50    0.00    2.91    0.00    0.00    0.00    0.00    0.00    0.00   57.59
09:30:06     all   44.99    0.00    3.10    0.00    0.00    0.01    0.00    0.00    0.00   51.89
09:30:07     all   37.00    0.00    3.54    0.00    0.00    0.00    0.00    0.00    0.00   59.47
09:30:08     all   43.05    0.00    2.99    0.00    0.00    0.00    0.00    0.00    0.00   53.96
09:30:09     all   38.99    0.00    3.12    0.00    0.00    0.00    0.00    0.00    0.00   57.88
09:30:10     all   32.98    0.00    3.02    0.00    0.00    0.00    0.00    0.00    0.00   64.00
09:30:11     all   37.24    0.00    2.88    0.00    0.00    0.00    0.00    0.00    0.00   59.87
09:30:12     all   32.55    0.00    2.38    0.00    0.00    0.00    0.00    0.00    0.00   65.07
09:30:13     all   33.14    0.00    1.77    0.00    0.00    0.01    0.00    0.00    0.00   65.08
09:30:14     all   39.30    0.00    2.69    0.00    0.00    0.00    0.00    0.00    0.00   58.02
09:30:15     all   42.72    0.00    2.49    0.00    0.00    0.00    0.00    0.00    0.00   54.79
09:30:16     all   46.49    0.00    2.27    0.00    0.00    0.00    0.00    0.00    0.00   51.23
09:30:17     all   37.51    0.01    2.10    0.00    0.00    0.00    0.00    0.00    0.00   60.37
