Linux 6.8.0-136-generic (856a17914eb3) 	08/10/26 	_x86_64_	(72 CPU)

09:35:50     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:35:51     all   11.38    0.00    0.39    0.00    0.00    0.00    0.00    0.00    0.00   88.23
09:35:52     all    2.02    0.00    1.10    0.01    0.00    0.00    0.00    0.00    0.00   96.87
09:35:53     all    1.60    0.00    0.29    0.00    0.00    0.00    0.00    0.00    0.00   98.11
09:35:54     all    1.37    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.43
09:35:55     all    1.60    0.00    0.24    0.00    0.00    0.00    0.00    0.00    0.00   98.17
09:35:56     all    1.56    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.24
09:35:57     all    1.46    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.32
09:35:58     all    1.65    0.00    0.32    0.00    0.00    0.00    0.00    0.00    0.00   98.03
09:35:59     all    1.32    0.00    0.60    0.00    0.00    0.00    0.00    0.00    0.00   98.08
09:36:00     all    1.33    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.49
09:36:01     all    1.60    0.00    0.29    0.00    0.00    0.00    0.00    0.00    0.00   98.11
09:36:02     all    1.68    0.00    0.18    0.01    0.00    0.00    0.00    0.00    0.00   98.12
09:36:03     all    1.47    0.00    0.38    0.00    0.00    0.00    0.00    0.00    0.00   98.15
09:36:04     all    1.99    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   97.68
09:36:05     all    1.74    0.00    0.40    0.00    0.00    0.00    0.00    0.00    0.00   97.86
09:36:06     all   25.64    0.00    9.93    0.00    0.00    0.00    0.00    0.00    0.00   64.43
09:36:07     all   37.45    0.00    1.38    0.00    0.00    0.00    0.00    0.00    0.00   61.17
09:36:08     all   57.66    0.00    4.87    0.00    0.00    0.00    0.00    0.00    0.00   37.47
09:36:09     all   45.70    0.00    3.33    0.00    0.00    0.00    0.00    0.00    0.00   50.97
09:36:10     all   30.43    0.00    1.09    0.00    0.00    0.00    0.00    0.00    0.00   68.48
