Linux 6.8.0-136-generic (856a17914eb3) 	08/10/26 	_x86_64_	(72 CPU)

09:10:49     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:10:50     all   11.60    0.00    0.54    0.00    0.00    0.00    0.00    0.00    0.00   87.86
09:10:51     all    1.24    0.00    0.64    0.00    0.00    0.00    0.00    0.00    0.00   98.12
09:10:52     all    1.58    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.21
09:10:53     all    1.53    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.28
09:10:54     all    1.60    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.21
09:10:55     all    1.61    0.00    0.32    0.00    0.00    0.00    0.00    0.00    0.00   98.07
09:10:56     all    1.38    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.44
09:10:57     all    1.68    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   98.07
09:10:58     all    1.26    0.00    0.58    0.00    0.00    0.00    0.00    0.00    0.00   98.15
09:10:59     all    1.38    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.43
09:11:00     all    1.75    0.00    0.31    0.00    0.00    0.00    0.00    0.00    0.00   97.94
09:11:01     all    1.67    0.00    0.38    0.00    0.00    0.00    0.00    0.00    0.00   97.96
09:11:02     all    1.43    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.35
09:11:03     all    1.63    0.01    0.28    0.00    0.00    0.00    0.00    0.00    0.00   98.08
09:11:04     all    1.56    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   98.28
09:11:05     all   19.23    0.00    5.20    0.00    0.00    0.00    0.00    0.00    0.00   75.57
09:11:06     all   29.70    0.00    1.06    0.00    0.00    0.00    0.00    0.00    0.00   69.24
09:11:07     all   36.19    0.00    1.71    0.00    0.00    0.00    0.00    0.00    0.00   62.10
09:11:08     all   46.43    0.00    3.61    0.00    0.00    0.00    0.00    0.00    0.00   49.95
09:11:09     all   35.50    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   62.49
09:11:10     all   32.37    0.01    1.70    0.00    0.00    0.00    0.00    0.00    0.00   65.92
09:11:11     all   30.93    0.00    1.27    0.00    0.00    0.00    0.00    0.00    0.00   67.81
09:11:12     all   30.79    0.00    0.63    0.00    0.00    0.00    0.00    0.00    0.00   68.58
09:11:13     all   26.93    0.00    0.61    0.00    0.00    0.00    0.00    0.00    0.00   72.46
09:11:14     all   25.09    0.00    0.42    0.00    0.00    0.00    0.00    0.00    0.00   74.49
09:11:15     all   33.06    0.00    0.63    0.00    0.00    0.00    0.00    0.00    0.00   66.31
09:11:16     all   39.04    0.00    0.72    0.00    0.00    0.00    0.00    0.00    0.00   60.24
09:11:17     all   40.81    0.00    0.56    0.00    0.00    0.00    0.00    0.00    0.00   58.64
09:11:18     all   29.12    0.00    0.63    0.00    0.00    0.00    0.00    0.00    0.00   70.25
09:11:19     all   28.55    0.00    0.78    0.00    0.00    0.01    0.00    0.00    0.00   70.65
09:11:20     all   44.28    0.00    0.59    0.00    0.00    0.00    0.00    0.00    0.00   55.13
09:11:21     all   52.33    0.00    2.10    0.00    0.00    0.00    0.00    0.00    0.00   45.57
09:11:22     all   30.82    0.00    2.75    0.00    0.00    0.01    0.00    0.00    0.00   66.41
09:11:23     all   26.94    0.00    1.39    0.00    0.00    0.00    0.00    0.00    0.00   71.67
09:11:24     all   23.70    0.00    1.49    0.00    0.00    0.00    0.00    0.00    0.00   74.81
09:11:25     all   26.55    0.00    1.34    0.01    0.00    0.00    0.00    0.00    0.00   72.10
09:11:26     all   28.32    0.00    1.59    0.00    0.00    0.00    0.00    0.00    0.00   70.09
09:11:27     all   30.56    0.00    1.42    0.00    0.00    0.00    0.00    0.00    0.00   68.02
09:11:28     all   40.63    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   57.35
09:11:29     all   49.53    0.00    3.30    0.00    0.00    0.01    0.00    0.00    0.00   47.16
09:11:30     all   51.65    0.00    3.28    0.00    0.00    0.00    0.00    0.00    0.00   45.06
09:11:31     all   48.41    0.00    3.80    0.00    0.00    0.00    0.00    0.00    0.00   47.79
09:11:32     all   42.97    0.00    4.57    0.00    0.00    0.00    0.00    0.00    0.00   52.46
09:11:33     all   43.15    0.00    3.84    0.00    0.00    0.00    0.00    0.00    0.00   53.01
09:11:34     all   36.12    0.00    3.81    0.00    0.00    0.00    0.00    0.00    0.00   60.07
09:11:35     all   36.62    0.00    3.55    0.00    0.00    0.00    0.00    0.00    0.00   59.83
09:11:36     all   31.68    0.00    2.55    0.00    0.00    0.01    0.00    0.00    0.00   65.76
09:11:37     all   33.41    0.00    2.74    0.00    0.00    0.00    0.00    0.00    0.00   63.85
09:11:38     all   18.01    0.00    1.72    0.00    0.00    0.00    0.00    0.00    0.00   80.26
09:11:39     all    0.25    0.00    1.53    0.00    0.00    0.00    0.00    0.00    0.00   98.22
09:11:40     all    0.06    0.00    0.71    0.00    0.00    0.00    0.00    0.00    0.00   99.24
09:11:41     all    0.31    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   99.54
09:11:42     all    0.29    0.00    0.11    0.00    0.00    0.00    0.00    0.00    0.00   99.60
09:11:43     all    0.01    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   99.89
09:11:44     all    0.22    0.00    0.08    0.00    0.00    0.00    0.00    0.00    0.00   99.69
09:11:45     all    0.26    0.00    0.13    0.00    0.00    0.00    0.00    0.00    0.00   99.61
09:11:46     all    0.11    0.00    0.14    0.00    0.00    0.00    0.00    0.00    0.00   99.75
09:11:47     all    0.24    0.00    0.06    0.00    0.00    0.00    0.00    0.00    0.00   99.71
09:11:48     all    0.33    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   99.50
09:11:49     all    0.28    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   99.39
09:11:50     all    0.24    0.00    0.08    0.00    0.00    0.00    0.00    0.00    0.00   99.68
09:11:51     all    0.40    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   99.44
09:11:52     all    0.58    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   99.26
09:11:53     all    0.29    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   99.61
09:11:54     all    0.79    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   99.01
09:11:55     all    0.58    0.00    0.26    0.00    0.00    0.00    0.00    0.00    0.00   99.15
09:11:56     all    0.11    0.00    0.06    0.00    0.00    0.00    0.00    0.00    0.00   99.83
09:11:57     all    0.33    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   99.49
09:11:58     all    0.25    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   99.60
09:11:59     all    0.17    0.00    0.11    0.00    0.00    0.00    0.00    0.00    0.00   99.72
09:12:00     all    0.79    0.00    0.28    0.00    0.00    0.00    0.00    0.00    0.00   98.93
09:12:01     all    0.21    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   99.69
09:12:02     all    0.18    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   99.65
09:12:03     all    0.19    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   99.71
09:12:04     all    0.18    0.00    0.14    0.00    0.00    0.00    0.00    0.00    0.00   99.68
09:12:05     all    0.11    0.00    0.11    0.00    0.00    0.00    0.00    0.00    0.00   99.78
09:12:06     all    0.33    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   99.51
09:12:07     all    0.53    0.01    0.46    0.00    0.00    0.00    0.00    0.00    0.00   99.00
09:12:08     all    0.08    0.00    0.11    0.00    0.00    0.00    0.00    0.00    0.00   99.81
09:12:09     all    0.26    0.01    0.08    0.00    0.00    0.00    0.00    0.00    0.00   99.64
09:12:10     all    0.21    0.00    0.11    0.00    0.00    0.00    0.00    0.00    0.00   99.68
09:12:11     all    0.11    0.00    0.08    0.00    0.00    0.00    0.00    0.00    0.00   99.81
09:12:12     all    0.33    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   99.51
09:12:13     all    0.19    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   99.74
09:12:14     all    0.08    0.00    0.11    0.00    0.00    0.00    0.00    0.00    0.00   99.81
09:12:15     all    0.25    0.00    0.14    0.00    0.00    0.00    0.00    0.00    0.00   99.61
09:12:16     all    0.31    0.00    0.08    0.00    0.00    0.00    0.00    0.00    0.00   99.61
09:12:17     all    0.38    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.37
09:12:18     all    0.46    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   99.38
09:12:19     all    0.19    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   99.74
09:12:20     all    0.21    0.00    0.14    0.00    0.00    0.00    0.00    0.00    0.00   99.65
09:12:21     all    0.36    0.00    0.32    0.00    0.00    0.00    0.00    0.00    0.00   99.32
09:12:22     all    0.28    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   99.53
09:12:23     all    0.25    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   99.60
09:12:24     all    0.26    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   99.67
09:12:25     all    0.19    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   99.71
09:12:26     all    0.11    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   99.82
09:12:27     all    0.35    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   99.49
09:12:28     all    0.24    0.00    0.08    0.00    0.00    0.00    0.00    0.00    0.00   99.68
09:12:29     all    0.06    0.00    0.08    0.00    0.00    0.00    0.00    0.00    0.00   99.86
09:12:30     all    0.29    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   99.54
09:12:31     all    0.19    0.00    0.08    0.00    0.00    0.00    0.00    0.00    0.00   99.72
09:12:32     all    0.17    0.00    0.14    0.00    0.00    0.00    0.00    0.00    0.00   99.69
09:12:33     all    0.24    0.00    0.06    0.00    0.00    0.00    0.00    0.00    0.00   99.71
09:12:34     all    0.19    0.00    0.08    0.00    0.00    0.00    0.00    0.00    0.00   99.72
09:12:35     all    0.17    0.00    0.19    0.01    0.00    0.00    0.00    0.00    0.00   99.62
09:12:36     all    0.36    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   99.47
09:12:37     all    0.44    0.00    0.36    0.00    0.00    0.00    0.00    0.00    0.00   99.19
09:12:38     all    0.15    0.00    0.13    0.00    0.00    0.00    0.00    0.00    0.00   99.72
09:12:39     all    1.32    0.00    0.42    0.00    0.00    0.00    0.00    0.00    0.00   98.26
09:12:40     all    2.00    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   97.78
09:12:41     all    1.42    0.00    0.14    0.00    0.00    0.00    0.00    0.00    0.00   98.44
09:12:42     all    1.71    0.00    0.29    0.00    0.00    0.00    0.00    0.00    0.00   98.00
09:12:43     all    1.60    0.00    0.13    0.00    0.00    0.00    0.00    0.00    0.00   98.28
09:12:44     all    1.47    0.00    0.11    0.00    0.00    0.00    0.00    0.00    0.00   98.42
09:12:45     all    2.07    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   97.76
09:12:46     all    1.68    0.01    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.12
09:12:47     all    1.47    0.00    0.08    0.00    0.00    0.00    0.00    0.00    0.00   98.44
09:12:48     all    1.71    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.07
09:12:49     all    1.65    0.00    0.12    0.00    0.00    0.00    0.00    0.00    0.00   98.22
09:12:50     all    1.45    0.00    0.14    0.00    0.00    0.00    0.00    0.00    0.00   98.42
09:12:51     all    1.61    0.00    0.08    0.00    0.00    0.00    0.00    0.00    0.00   98.30
09:12:52     all    1.74    0.00    0.11    0.00    0.00    0.00    0.00    0.00    0.00   98.15
09:12:53     all    1.56    0.00    0.26    0.00    0.00    0.00    0.00    0.00    0.00   98.18
09:12:54     all    1.67    0.00    0.14    0.00    0.00    0.00    0.00    0.00    0.00   98.19
09:12:55     all    1.69    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   98.24
09:12:56     all    1.21    0.00    0.28    0.00    0.00    0.00    0.00    0.00    0.00   98.51
09:12:57     all    1.67    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.12
09:12:58     all    1.64    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.17
09:12:59     all    1.43    0.00    0.08    0.00    0.00    0.00    0.00    0.00    0.00   98.49
09:13:00     all    1.67    0.00    0.13    0.00    0.00    0.00    0.00    0.00    0.00   98.21
09:13:01     all    1.71    0.00    0.11    0.00    0.00    0.00    0.00    0.00    0.00   98.18
09:13:02     all    1.87    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   97.93
09:13:03     all    1.70    0.00    0.13    0.00    0.00    0.00    0.00    0.00    0.00   98.18
09:13:04     all    1.67    0.00    0.08    0.00    0.00    0.00    0.00    0.00    0.00   98.25
09:13:05     all    1.42    0.00    0.08    0.00    0.00    0.00    0.00    0.00    0.00   98.50
09:13:06     all    1.65    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   98.19
09:13:07     all    1.99    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   97.79
09:13:08     all    1.68    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.14
09:13:09     all    1.84    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   98.00
09:13:10     all    1.72    0.01    0.24    0.00    0.00    0.00    0.00    0.00    0.00   98.03
09:13:11     all    1.40    0.00    0.06    0.00    0.00    0.00    0.00    0.00    0.00   98.54
09:13:12     all    1.65    0.00    0.11    0.00    0.00    0.00    0.00    0.00    0.00   98.24
09:13:13     all    1.85    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   97.94
09:13:14     all    1.06    0.01    0.43    0.00    0.00    0.00    0.00    0.00    0.00   98.50
09:13:15     all    1.60    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.21
09:13:16     all    1.60    0.00    0.11    0.00    0.00    0.00    0.00    0.00    0.00   98.29
09:13:17     all    1.32    0.00    0.14    0.00    0.00    0.00    0.00    0.00    0.00   98.54
09:13:18     all    1.60    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.18
09:13:19     all    1.65    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   98.25
09:13:20     all    1.50    0.00    0.13    0.00    0.00    0.00    0.00    0.00    0.00   98.37
09:13:21     all    1.64    0.00    0.08    0.00    0.00    0.00    0.00    0.00    0.00   98.28
09:13:22     all    1.65    0.00    0.11    0.00    0.00    0.00    0.00    0.00    0.00   98.24
09:13:23     all    1.51    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   98.33
