Linux 6.8.0-136-generic (856a17914eb3) 	08/10/26 	_x86_64_	(72 CPU)

09:03:45     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:03:46     all   11.35    0.00    0.46    0.00    0.00    0.00    0.00    0.00    0.00   88.19
09:03:47     all    1.15    0.00    0.85    0.00    0.00    0.00    0.00    0.00    0.00   98.00
09:03:48     all    1.62    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   98.13
09:03:49     all    1.90    0.00    0.38    0.00    0.00    0.00    0.00    0.00    0.00   97.72
09:03:50     all    1.61    0.00    0.31    0.00    0.00    0.00    0.00    0.00    0.00   98.08
09:03:51     all    1.58    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.21
09:03:52     all    1.46    0.00    0.25    0.00    0.00    0.01    0.00    0.00    0.00   98.28
09:03:53     all    1.54    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.28
09:03:54     all    1.28    0.00    0.70    0.00    0.00    0.00    0.00    0.00    0.00   98.03
09:03:55     all    1.50    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.29
09:03:56     all    1.39    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.43
09:03:57     all    1.62    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.19
09:03:58     all    1.47    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.30
09:03:59     all    1.45    0.00    0.28    0.00    0.00    0.00    0.00    0.00    0.00   98.28
09:04:00     all    1.58    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   98.26
09:04:01     all   21.85    0.00    3.79    0.00    0.00    0.01    0.00    0.00    0.00   74.35
09:04:02     all   31.01    0.00    1.24    0.00    0.00    0.00    0.00    0.00    0.00   67.75
09:04:03     all   41.77    0.00    2.47    0.00    0.00    0.00    0.00    0.00    0.00   55.76
09:04:04     all   35.61    0.00    2.09    0.00    0.00    0.00    0.00    0.00    0.00   62.30
09:04:05     all   33.08    0.00    1.74    0.00    0.00    0.00    0.00    0.00    0.00   65.18
