Linux 6.8.0-136-generic (856a17914eb3) 	08/10/26 	_x86_64_	(72 CPU)

09:09:19     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:09:20     all   11.30    0.00    0.38    0.00    0.00    0.00    0.00    0.00    0.00   88.33
09:09:21     all    1.37    0.00    0.74    0.00    0.00    0.00    0.00    0.00    0.00   97.89
09:09:22     all    1.50    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.32
09:09:23     all    1.43    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.35
09:09:24     all    1.57    0.00    0.31    0.00    0.00    0.00    0.00    0.00    0.00   98.12
09:09:25     all    1.60    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.18
09:09:26     all    1.35    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.47
09:09:27     all    1.68    0.00    0.24    0.00    0.00    0.00    0.00    0.00    0.00   98.08
09:09:28     all    1.35    0.00    0.64    0.00    0.00    0.00    0.00    0.00    0.00   98.01
09:09:29     all    1.36    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.44
09:09:30     all    1.68    0.00    0.18    0.01    0.00    0.00    0.00    0.00    0.00   98.13
09:09:31     all    1.58    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.22
09:09:32     all    1.46    0.00    0.38    0.00    0.00    0.01    0.00    0.00    0.00   98.15
09:09:33     all    1.72    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   97.94
09:09:34     all    1.58    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.22
09:09:35     all   21.40    0.00   14.32    0.00    0.00    0.00    0.00    0.00    0.00   64.27
09:09:36     all   31.57    0.00    0.86    0.00    0.00    0.01    0.00    0.00    0.00   67.56
09:09:37     all   49.76    0.00    2.69    0.00    0.00    0.00    0.00    0.00    0.00   47.55
09:09:38     all   58.07    0.00    4.16    0.00    0.00    0.01    0.00    0.00    0.00   37.75
09:09:39     all   34.85    0.00    1.94    0.00    0.00    0.00    0.00    0.00    0.00   63.21
09:09:40     all   32.28    0.00    1.48    0.00    0.00    0.00    0.00    0.00    0.00   66.24
09:09:41     all   34.16    0.00    1.31    0.00    0.00    0.00    0.00    0.00    0.00   64.53
09:09:42     all   32.85    0.00    1.02    0.00    0.00    0.01    0.00    0.00    0.00   66.12
09:09:43     all   26.53    0.00    0.53    0.00    0.00    0.00    0.00    0.00    0.00   72.94
09:09:44     all   27.73    0.00    0.65    0.00    0.00    0.00    0.00    0.00    0.00   71.61
09:09:45     all   37.91    0.00    0.68    0.00    0.00    0.00    0.00    0.00    0.00   61.41
09:09:46     all   43.67    0.00    0.52    0.00    0.00    0.01    0.00    0.00    0.00   55.80
09:09:47     all   36.12    0.00    0.70    0.00    0.00    0.00    0.00    0.00    0.00   63.18
09:09:48     all   29.44    0.00    0.68    0.00    0.00    0.00    0.00    0.00    0.00   69.87
09:09:49     all   37.39    0.00    0.73    0.00    0.00    0.00    0.00    0.00    0.00   61.88
09:09:50     all   56.90    0.00    1.09    0.00    0.00    0.00    0.00    0.00    0.00   42.01
09:09:51     all   58.10    0.00    2.10    0.00    0.00    0.01    0.00    0.00    0.00   39.79
09:09:52     all   36.90    0.00    1.81    0.00    0.00    0.00    0.00    0.00    0.00   61.29
09:09:53     all   27.92    0.00    2.31    0.00    0.00    0.00    0.00    0.00    0.00   69.76
09:09:54     all   29.00    0.00    1.96    0.00    0.00    0.00    0.00    0.00    0.00   69.04
09:09:55     all   36.34    0.00    1.71    0.00    0.00    0.00    0.00    0.00    0.00   61.95
09:09:56     all   46.82    0.00    2.59    0.01    0.00    0.00    0.00    0.00    0.00   50.57
09:09:57     all   53.29    0.00    2.67    0.00    0.00    0.00    0.00    0.00    0.00   44.03
09:09:58     all   46.96    0.00    3.24    0.00    0.00    0.00    0.00    0.00    0.00   49.80
09:09:59     all   47.56    0.00    2.75    0.00    0.00    0.00    0.00    0.00    0.00   49.69
09:10:00     all   40.97    0.00    2.71    0.00    0.00    0.00    0.00    0.00    0.00   56.32
09:10:01     all   45.62    0.00    3.92    0.00    0.00    0.01    0.00    0.00    0.00   50.44
09:10:02     all   41.60    0.00    3.65    0.00    0.00    0.01    0.00    0.00    0.00   54.74
09:10:03     all   41.67    0.00    4.76    0.00    0.00    0.00    0.00    0.00    0.00   53.57
09:10:04     all   43.73    0.00    4.27    0.00    0.00    0.00    0.00    0.00    0.00   52.00
09:10:05     all   35.10    0.00    2.47    0.00    0.00    0.00    0.00    0.00    0.00   62.43
09:10:06     all   38.03    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   59.99
09:10:07     all   29.59    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   68.40
09:10:08     all   28.33    0.00    1.92    0.00    0.00    0.00    0.00    0.00    0.00   69.75
09:10:09     all   30.16    0.00    1.41    0.00    0.00    0.00    0.00    0.00    0.00   68.43
09:10:10     all   27.70    0.00    1.84    0.00    0.00    0.00    0.00    0.00    0.00   70.46
09:10:11     all   26.33    0.00    1.96    0.00    0.00    0.00    0.00    0.00    0.00   71.71
09:10:12     all   33.79    0.00    2.31    0.00    0.00    0.00    0.00    0.00    0.00   63.90
09:10:13     all   20.24    0.00    2.17    0.00    0.00    0.00    0.00    0.00    0.00   77.58
09:10:14     all   33.55    0.00    2.10    0.00    0.00    0.00    0.00    0.00    0.00   64.35
09:10:15     all   29.96    0.00    1.56    0.00    0.00    0.01    0.00    0.00    0.00   68.46
09:10:16     all   33.20    0.00    1.78    0.00    0.00    0.00    0.00    0.00    0.00   65.01
09:10:17     all   26.40    0.00    1.70    0.00    0.00    0.00    0.00    0.00    0.00   71.90
09:10:18     all   44.32    0.00    2.42    0.00    0.00    0.00    0.00    0.00    0.00   53.26
09:10:19     all   25.40    0.00    1.64    0.00    0.00    0.00    0.00    0.00    0.00   72.96
09:10:20     all   27.59    0.00    1.80    0.00    0.00    0.00    0.00    0.00    0.00   70.61
09:10:21     all   40.09    0.00    1.69    0.00    0.00    0.00    0.00    0.00    0.00   58.22
09:10:22     all   53.09    0.00    1.85    0.00    0.00    0.00    0.00    0.00    0.00   45.07
09:10:23     all   33.39    0.00    1.34    0.00    0.00    0.01    0.00    0.00    0.00   65.26
09:10:24     all   39.89    0.00    1.74    0.00    0.00    0.01    0.00    0.00    0.00   58.35
09:10:25     all   35.68    0.00    1.81    0.00    0.00    0.00    0.00    0.00    0.00   62.51
09:10:26     all   35.58    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   62.40
09:10:27     all   38.03    0.00    2.16    0.00    0.00    0.01    0.00    0.00    0.00   59.81
09:10:28     all   40.21    0.00    2.05    0.00    0.00    0.00    0.00    0.00    0.00   57.74
09:10:29     all   29.27    0.00    1.60    0.00    0.00    0.00    0.00    0.00    0.00   69.13
