Linux 6.8.0-136-generic (856a17914eb3) 	08/10/26 	_x86_64_	(72 CPU)

09:26:35     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:26:36     all   11.52    0.00    0.39    0.00    0.00    0.00    0.00    0.00    0.00   88.09
09:26:37     all    1.32    0.00    0.74    0.00    0.00    0.00    0.00    0.00    0.00   97.95
09:26:38     all    1.35    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.47
09:26:39     all    1.79    0.00    0.38    0.00    0.00    0.00    0.00    0.00    0.00   97.83
09:26:40     all    1.84    0.00    0.26    0.00    0.00    0.00    0.00    0.00    0.00   97.90
09:26:41     all    1.42    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.36
09:26:42     all    1.63    0.00    0.29    0.00    0.00    0.00    0.00    0.00    0.00   98.08
09:26:43     all    1.63    0.00    0.13    0.01    0.00    0.00    0.00    0.00    0.00   98.24
09:26:44     all    1.24    0.00    0.63    0.00    0.00    0.00    0.00    0.00    0.00   98.14
09:26:45     all    1.72    0.00    0.49    0.00    0.00    0.00    0.00    0.00    0.00   97.79
09:26:46     all    1.97    0.01    0.29    0.00    0.00    0.00    0.00    0.00    0.00   97.72
09:26:47     all    1.38    0.00    0.15    0.01    0.00    0.00    0.00    0.00    0.00   98.46
09:26:48     all    1.56    0.00    0.26    0.00    0.00    0.00    0.00    0.00    0.00   98.18
09:26:49     all    1.71    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   98.04
09:26:50     all    1.36    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   98.39
09:26:51     all   19.33    0.00    3.62    0.00    0.00    0.00    0.00    0.00    0.00   77.05
09:26:52     all   30.26    0.00    1.37    0.00    0.00    0.03    0.00    0.00    0.00   68.34
09:26:53     all   38.90    0.00    1.51    0.00    0.00    0.00    0.00    0.00    0.00   59.59
09:26:54     all   38.61    0.00    2.84    0.00    0.00    0.03    0.00    0.00    0.00   58.52
09:26:55     all   34.81    0.00    1.63    0.00    0.00    0.00    0.00    0.00    0.00   63.56
09:26:56     all   32.03    0.00    1.42    0.00    0.00    0.00    0.00    0.00    0.00   66.55
09:26:57     all   28.22    0.00    1.15    0.00    0.00    0.01    0.00    0.00    0.00   70.61
