Linux 6.8.0-136-generic (856a17914eb3) 	08/10/26 	_x86_64_	(72 CPU)

09:13:49     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:13:50     all   11.58    0.00    0.47    0.00    0.00    0.00    0.00    0.00    0.00   87.95
09:13:51     all    1.18    0.00    0.89    0.00    0.00    0.00    0.00    0.00    0.00   97.93
09:13:52     all    1.68    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   98.07
09:13:53     all    1.68    0.00    0.24    0.00    0.00    0.00    0.00    0.00    0.00   98.08
09:13:54     all    1.44    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   98.22
09:13:55     all    1.50    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   98.25
09:13:56     all    1.68    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.13
09:13:57     all    1.43    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   98.42
09:13:58     all    1.25    0.00    0.61    0.00    0.00    0.00    0.00    0.00    0.00   98.14
09:13:59     all    1.61    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.18
09:14:00     all    1.42    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   98.42
09:14:01     all    1.53    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.25
09:14:02     all    1.75    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   97.91
09:14:03     all    1.52    0.00    0.28    0.00    0.00    0.00    0.00    0.00    0.00   98.20
09:14:04     all    1.64    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.16
09:14:05     all   20.67    0.00    3.27    0.00    0.00    0.01    0.00    0.00    0.00   76.04
09:14:06     all   29.25    0.00    1.60    0.00    0.00    0.00    0.00    0.00    0.00   69.15
09:14:07     all   31.34    0.00    1.17    0.00    0.00    0.00    0.00    0.00    0.00   67.49
09:14:08     all   40.64    0.00    3.04    0.00    0.00    0.00    0.00    0.00    0.00   56.32
09:14:09     all   37.83    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   60.19
09:14:10     all   33.60    0.00    1.21    0.00    0.00    0.00    0.00    0.00    0.00   65.19
09:14:11     all   31.20    0.00    0.82    0.01    0.00    0.00    0.00    0.00    0.00   67.96
09:14:12     all   30.53    0.00    0.71    0.00    0.00    0.00    0.00    0.00    0.00   68.76
09:14:13     all   31.36    0.00    1.00    0.00    0.00    0.01    0.00    0.00    0.00   67.62
09:14:14     all   27.02    0.00    0.86    0.00    0.00    0.00    0.00    0.00    0.00   72.12
09:14:15     all   33.05    0.00    0.42    0.00    0.00    0.01    0.00    0.00    0.00   66.51
09:14:16     all   35.63    0.00    0.56    0.00    0.00    0.00    0.00    0.00    0.00   63.82
09:14:17     all   41.01    0.00    0.80    0.00    0.00    0.00    0.00    0.00    0.00   58.19
09:14:18     all   32.26    0.00    0.58    0.00    0.00    0.01    0.00    0.00    0.00   67.14
09:14:19     all   27.76    0.00    0.71    0.00    0.00    0.00    0.00    0.00    0.00   71.52
09:14:20     all   38.99    0.00    0.59    0.00    0.00    0.00    0.00    0.00    0.00   60.42
