Linux 6.8.0-136-generic (856a17914eb3) 	08/10/26 	_x86_64_	(72 CPU)

06:21:19     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:21:20     all   11.49    0.00    0.35    0.00    0.00    0.00    0.00    0.00    0.00   88.16
06:21:21     all    1.11    0.00    0.85    0.00    0.00    0.00    0.00    0.00    0.00   98.04
06:21:22     all    1.33    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   98.51
06:21:23     all    1.63    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.19
06:21:24     all    1.72    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   97.78
06:21:25     all    1.39    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.39
06:21:26     all    1.60    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   98.24
06:21:27     all    1.62    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   98.21
06:21:28     all    1.10    0.00    0.40    0.00    0.00    0.00    0.00    0.00    0.00   98.50
06:21:29     all    1.61    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.18
06:21:30     all    1.56    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   98.29
06:21:31     all    1.40    0.00    0.12    0.00    0.00    0.00    0.00    0.00    0.00   98.47
06:21:32     all    1.63    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.18
06:21:33     all    1.67    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   98.08
06:21:34     all    1.42    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.37
06:21:35     all   20.18    0.00    3.82    0.00    0.00    0.00    0.00    0.00    0.00   75.99
06:21:36     all   31.09    0.00    1.36    0.00    0.00    0.00    0.00    0.00    0.00   67.55
06:21:37     all   38.98    0.00    1.58    0.00    0.00    0.00    0.00    0.00    0.00   59.44
06:21:38     all   37.55    0.00    3.12    0.00    0.00    0.01    0.00    0.00    0.00   59.32
06:21:39     all   33.74    0.00    2.58    0.00    0.00    0.00    0.00    0.00    0.00   63.68
06:21:40     all   30.83    0.00    2.51    0.00    0.00    0.00    0.00    0.00    0.00   66.66
