Linux 6.8.0-136-generic (856a17914eb3) 	08/10/26 	_x86_64_	(72 CPU)

10:03:47     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:03:48     all    7.05    0.00    0.44    0.00    0.00    0.00    0.00    0.00    0.00   92.50
10:03:49     all    0.81    0.00    0.78    0.00    0.00    0.00    0.00    0.00    0.00   98.42
10:03:50     all    1.67    0.00    0.53    0.00    0.00    0.00    0.00    0.00    0.00   97.80
10:03:51     all    1.21    0.00    0.53    0.00    0.00    0.00    0.00    0.00    0.00   98.26
10:03:52     all    1.50    0.01    0.24    0.00    0.00    0.00    0.00    0.00    0.00   98.25
10:03:53     all    1.56    0.00    0.24    0.00    0.00    0.00    0.00    0.00    0.00   98.21
10:03:54     all    1.52    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.28
10:03:55     all    1.57    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   98.18
10:03:56     all    1.71    0.00    0.24    0.00    0.00    0.00    0.00    0.00    0.00   98.06
10:03:57     all    1.51    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.31
10:03:58     all    1.42    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.39
10:03:59     all    1.54    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.26
10:04:00     all    1.57    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   98.10
10:04:01     all    1.35    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   98.40
10:04:02     all    1.60    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.21
10:04:03     all    1.56    0.00    0.24    0.00    0.00    0.00    0.00    0.00    0.00   98.21
10:04:04     all    1.60    0.00    0.31    0.00    0.00    0.00    0.00    0.00    0.00   98.10
10:04:05     all    2.04    0.00    0.35    0.00    0.00    0.00    0.00    0.00    0.00   97.61
10:04:06     all    1.82    0.00    0.51    0.00    0.00    0.00    0.00    0.00    0.00   97.66
10:04:07     all    1.50    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.30
