Linux 6.8.0-136-generic (856a17914eb3) 	08/10/26 	_x86_64_	(72 CPU)

06:43:54     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:43:55     all   11.69    0.00    0.43    0.00    0.00    0.00    0.00    0.00    0.00   87.88
06:43:56     all    1.14    0.00    0.75    0.00    0.00    0.00    0.00    0.00    0.00   98.11
06:43:57     all    1.36    0.00    0.19    0.03    0.00    0.00    0.00    0.00    0.00   98.42
06:43:58     all    1.46    0.00    0.14    0.00    0.00    0.00    0.00    0.00    0.00   98.40
06:43:59     all    1.58    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   98.25
06:44:00     all    1.56    0.00    0.28    0.00    0.00    0.00    0.00    0.00    0.00   98.17
06:44:01     all    1.54    0.01    0.25    0.00    0.00    0.00    0.00    0.00    0.00   98.19
06:44:02     all    2.11    0.00    0.32    0.00    0.00    0.00    0.00    0.00    0.00   97.57
06:44:03     all    1.26    0.00    0.57    0.00    0.00    0.00    0.00    0.00    0.00   98.17
06:44:04     all    1.53    0.00    0.40    0.00    0.00    0.00    0.00    0.00    0.00   98.07
06:44:05     all    1.67    0.01    0.26    0.00    0.00    0.00    0.00    0.00    0.00   98.06
06:44:06     all    1.56    0.00    0.14    0.00    0.00    0.00    0.00    0.00    0.00   98.30
06:44:07     all    1.40    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   98.44
06:44:08     all    1.54    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   98.30
06:44:09     all    1.53    0.00    0.24    0.00    0.00    0.00    0.00    0.00    0.00   98.24
06:44:10     all   21.10    0.00    3.27    0.00    0.00    0.00    0.00    0.00    0.00   75.63
06:44:11     all   30.51    0.00    1.16    0.00    0.00    0.00    0.00    0.00    0.00   68.33
06:44:12     all   35.94    0.00    1.17    0.00    0.00    0.00    0.00    0.00    0.00   62.88
06:44:13     all   39.37    0.00    3.79    0.00    0.00    0.00    0.00    0.00    0.00   56.85
06:44:14     all   34.67    0.00    3.08    0.00    0.00    0.00    0.00    0.00    0.00   62.25
06:44:15     all   30.66    0.00    2.59    0.00    0.00    0.00    0.00    0.00    0.00   66.75
06:44:16     all   26.79    0.00    1.74    0.00    0.00    0.00    0.00    0.00    0.00   71.47
06:44:17     all   32.69    0.00    1.18    0.00    0.00    0.00    0.00    0.00    0.00   66.13
06:44:18     all   31.26    0.00    0.98    0.00    0.00    0.00    0.00    0.00    0.00   67.76
06:44:19     all   25.45    0.00    0.72    0.00    0.00    0.00    0.00    0.00    0.00   73.83
06:44:20     all   29.25    0.01    0.96    0.00    0.00    0.01    0.00    0.00    0.00   69.76
06:44:21     all   32.18    0.00    0.49    0.00    0.00    0.00    0.00    0.00    0.00   67.34
06:44:22     all   37.91    0.00    0.63    0.00    0.00    0.00    0.00    0.00    0.00   61.46
06:44:23     all   35.39    0.00    0.57    0.00    0.00    0.00    0.00    0.00    0.00   64.04
06:44:24     all   27.40    0.00    0.84    0.00    0.00    0.00    0.00    0.00    0.00   71.76
06:44:25     all   24.59    0.00    0.65    0.00    0.00    0.00    0.00    0.00    0.00   74.76
06:44:26     all   37.69    0.00    0.67    0.00    0.00    0.01    0.00    0.00    0.00   61.62
06:44:27     all   41.51    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   57.50
06:44:28     all   32.74    0.00    1.81    0.00    0.00    0.00    0.00    0.00    0.00   65.45
06:44:29     all   26.33    0.00    1.84    0.00    0.00    0.00    0.00    0.00    0.00   71.83
06:44:30     all   20.92    0.00    1.20    0.00    0.00    0.00    0.00    0.00    0.00   77.88
06:44:31     all   28.07    0.00    1.59    0.00    0.00    0.00    0.00    0.00    0.00   70.35
06:44:32     all   27.59    0.00    1.42    0.00    0.00    0.00    0.00    0.00    0.00   70.99
06:44:33     all   28.18    0.00    1.75    0.00    0.00    0.00    0.00    0.00    0.00   70.07
06:44:34     all   28.06    0.00    1.81    0.00    0.00    0.00    0.00    0.00    0.00   70.13
06:44:35     all   32.36    0.00    1.54    0.00    0.00    0.00    0.00    0.00    0.00   66.10
06:44:36     all   34.79    0.00    2.86    0.01    0.00    0.00    0.00    0.00    0.00   62.34
06:44:37     all   40.20    0.00    3.22    0.00    0.00    0.00    0.00    0.00    0.00   56.58
06:44:38     all   45.81    0.00    3.98    0.00    0.00    0.00    0.00    0.00    0.00   50.21
06:44:39     all   41.38    0.00    3.95    0.00    0.00    0.00    0.00    0.00    0.00   54.67
06:44:40     all   42.05    0.00    5.26    0.00    0.00    0.00    0.00    0.00    0.00   52.69
06:44:41     all   38.95    0.00    4.67    0.00    0.00    0.00    0.00    0.00    0.00   56.38
06:44:42     all   32.87    0.00    4.25    0.00    0.00    0.00    0.00    0.00    0.00   62.88
06:44:43     all   31.67    0.00    2.89    0.00    0.00    0.00    0.00    0.00    0.00   65.44
06:44:44     all   32.97    0.00    4.22    0.00    0.00    0.00    0.00    0.00    0.00   62.81
06:44:45     all   24.17    0.00    3.38    0.00    0.00    0.01    0.00    0.00    0.00   72.43
