Linux 6.8.0-136-generic (856a17914eb3) 	08/10/26 	_x86_64_	(72 CPU)

11:56:06     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:56:07     all   11.56    0.00    0.40    0.00    0.00    0.00    0.00    0.00    0.00   88.04
11:56:08     all    1.10    0.00    0.89    0.00    0.00    0.00    0.00    0.00    0.00   98.01
11:56:09     all    1.54    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.26
11:56:10     all    1.60    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.18
11:56:11     all    1.53    0.00    0.31    0.00    0.00    0.00    0.00    0.00    0.00   98.17
11:56:12     all    1.54    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.23
11:56:13     all    1.60    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.21
11:56:14     all    1.40    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   98.44
11:56:15     all    1.56    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.22
11:56:16     all    2.12    0.00    0.46    0.00    0.00    0.00    0.00    0.00    0.00   97.42
11:56:17     all    1.35    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.44
11:56:18     all    1.58    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   98.25
11:56:19     all    1.56    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.22
11:56:20     all    1.35    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.44
11:56:21     all    1.66    0.00    0.29    0.00    0.00    0.00    0.00    0.00    0.00   98.05
11:56:22     all    1.40    0.00    0.54    0.00    0.00    0.00    0.00    0.00    0.00   98.06
11:56:23     all    1.35    0.00    0.32    0.00    0.00    0.00    0.00    0.00    0.00   98.33
11:56:24     all    1.71    0.00    0.44    0.00    0.00    0.00    0.00    0.00    0.00   97.85
11:56:25     all    1.57    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.24
11:56:26     all    1.39    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.39
11:56:27     all    1.67    0.00    0.29    0.00    0.00    0.00    0.00    0.00    0.00   98.04
11:56:28     all    1.57    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   98.18
11:56:29     all    1.31    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.50
11:56:30     all    1.61    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   98.22
11:56:31     all    1.63    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.17
11:56:32     all    1.39    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.39
11:56:33     all    1.65    0.00    0.24    0.00    0.00    0.00    0.00    0.00    0.00   98.11
11:56:34     all    1.64    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.14
11:56:35     all    8.80    0.00    1.84    0.00    0.00    0.00    0.00    0.00    0.00   89.36
11:56:36     all   37.81    0.00    3.37    0.00    0.00    0.00    0.00    0.00    0.00   58.82
11:56:37     all   45.28    0.00    2.91    0.00    0.00    0.00    0.00    0.00    0.00   51.80
11:56:38     all   54.64    0.00    8.50    0.00    0.00    0.01    0.00    0.00    0.00   36.85
11:56:39     all   40.11    0.00    5.51    0.00    0.00    0.01    0.00    0.00    0.00   54.36
11:56:40     all   37.74    0.00    5.25    0.00    0.00    0.00    0.00    0.00    0.00   57.01
11:56:41     all   41.58    0.00    3.82    0.00    0.00    0.00    0.00    0.00    0.00   54.60
11:56:42     all   37.68    0.00    3.62    0.00    0.00    0.01    0.00    0.00    0.00   58.69
11:56:43     all   34.71    0.00    3.38    0.00    0.00    0.00    0.00    0.00    0.00   61.91
11:56:44     all   45.32    0.00    2.66    0.00    0.00    0.01    0.00    0.00    0.00   52.01
11:56:45     all   49.62    0.00    1.83    0.00    0.00    0.00    0.00    0.00    0.00   48.55
11:56:46     all   34.45    0.00    1.52    0.00    0.00    0.00    0.00    0.00    0.00   64.03
11:56:47     all   34.93    0.00    1.52    0.00    0.00    0.00    0.00    0.00    0.00   63.55
11:56:48     all   60.80    0.00    4.01    0.00    0.00    0.01    0.00    0.00    0.00   35.17
11:56:49     all   45.18    0.00    9.73    0.00    0.00    0.00    0.00    0.00    0.00   45.10
11:56:50     all   29.61    0.00    6.49    0.00    0.00    0.00    0.00    0.00    0.00   63.90
11:56:51     all   26.05    0.00    5.15    0.00    0.00    0.00    0.00    0.00    0.00   68.80
11:56:52     all   25.94    0.00    4.87    0.00    0.00    0.00    0.00    0.00    0.00   69.18
11:56:53     all   34.49    0.00    7.22    0.00    0.00    0.00    0.00    0.00    0.00   58.29
11:56:54     all   39.81    0.00    8.51    0.01    0.00    0.00    0.00    0.00    0.00   51.66
11:56:55     all   37.67    0.00    7.85    0.00    0.00    0.00    0.00    0.00    0.00   54.48
11:56:56     all   46.37    0.00   10.22    0.00    0.00    0.00    0.00    0.00    0.00   43.42
11:56:57     all   53.16    0.00   12.57    0.00    0.00    0.01    0.00    0.00    0.00   34.26
11:56:58     all   55.44    0.00   14.98    0.00    0.00    0.00    0.00    0.00    0.00   29.57
11:56:59     all   51.63    0.00   16.41    0.00    0.00    0.01    0.00    0.00    0.00   31.95
11:57:00     all   56.26    0.00   16.34    0.00    0.00    0.00    0.00    0.00    0.00   27.40
11:57:01     all   48.18    0.00   15.52    0.00    0.00    0.00    0.00    0.00    0.00   36.30
11:57:02     all   42.74    0.00   13.14    0.00    0.00    0.00    0.00    0.00    0.00   44.12
11:57:03     all   30.91    0.00    8.65    0.00    0.00    0.01    0.00    0.00    0.00   60.42
11:57:04     all   38.68    0.00   10.83    0.00    0.00    0.00    0.00    0.00    0.00   50.49
11:57:05     all   24.02    0.00    7.49    0.00    0.00    0.00    0.00    0.00    0.00   68.48
11:57:06     all   33.91    0.00    8.88    0.00    0.00    0.00    0.00    0.00    0.00   57.21
11:57:07     all   26.26    0.00    7.94    0.00    0.00    0.00    0.00    0.00    0.00   65.80
11:57:08     all   33.47    0.00    8.25    0.00    0.00    0.00    0.00    0.00    0.00   58.28
11:57:09     all   29.05    0.00    7.98    0.00    0.00    0.00    0.00    0.00    0.00   62.97
11:57:10     all   29.08    0.00    9.25    0.00    0.00    0.00    0.00    0.00    0.00   61.67
11:57:11     all   35.47    0.00   11.02    0.00    0.00    0.00    0.00    0.00    0.00   53.51
11:57:12     all   30.02    0.00    8.86    0.00    0.00    0.01    0.00    0.00    0.00   61.11
11:57:13     all   30.26    0.00    8.12    0.00    0.00    0.00    0.00    0.00    0.00   61.62
11:57:14     all   34.03    0.00    7.39    0.00    0.00    0.00    0.00    0.00    0.00   58.58
11:57:15     all   46.93    0.00   10.89    0.00    0.00    0.00    0.00    0.00    0.00   42.18
11:57:16     all   37.52    0.00    8.08    0.00    0.00    0.01    0.00    0.00    0.00   54.39
11:57:17     all   45.56    0.00   10.91    0.00    0.00    0.01    0.00    0.00    0.00   43.52
11:57:18     all   39.86    0.00    8.99    0.00    0.00    0.00    0.00    0.00    0.00   51.15
