Linux 6.8.0-136-generic (856a17914eb3) 	08/10/26 	_x86_64_	(72 CPU)

12:00:37     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:00:38     all   11.63    0.00    0.51    0.00    0.00    0.00    0.00    0.00    0.00   87.86
12:00:39     all    1.18    0.00    0.82    0.00    0.00    0.00    0.00    0.00    0.00   98.00
12:00:40     all    2.00    0.00    0.56    0.00    0.00    0.00    0.00    0.00    0.00   97.44
12:00:41     all    1.58    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.20
12:00:42     all    1.43    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.36
12:00:43     all    1.61    0.00    0.32    0.01    0.00    0.00    0.00    0.00    0.00   98.06
12:00:44     all    1.61    0.00    0.29    0.00    0.00    0.00    0.00    0.00    0.00   98.10
12:00:45     all    1.53    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   98.22
12:00:46     all    1.54    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.25
12:00:47     all    1.63    0.00    0.29    0.00    0.00    0.00    0.00    0.00    0.00   98.08
12:00:48     all    1.93    0.00    0.31    0.00    0.00    0.00    0.00    0.00    0.00   97.76
12:00:49     all    1.46    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.32
12:00:50     all    1.57    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.25
12:00:51     all    1.50    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.28
12:00:52     all    1.35    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.43
12:00:53     all    1.38    0.00    0.49    0.00    0.00    0.00    0.00    0.00    0.00   98.14
12:00:54     all    1.68    0.00    0.32    0.00    0.00    0.00    0.00    0.00    0.00   98.00
12:00:55     all    1.39    0.00    0.24    0.00    0.00    0.00    0.00    0.00    0.00   98.37
12:00:56     all    1.83    0.00    0.40    0.00    0.00    0.00    0.00    0.00    0.00   97.76
12:00:57     all    1.58    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.21
12:00:58     all    1.40    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.39
12:00:59     all    1.59    0.00    0.28    0.00    0.00    0.00    0.00    0.00    0.00   98.14
12:01:00     all    1.53    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   98.30
12:01:01     all    1.39    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.43
12:01:02     all    1.57    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.22
12:01:03     all    1.53    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   98.31
12:01:04     all    1.42    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   98.33
12:01:05     all    1.64    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.18
12:01:06     all   12.30    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   85.64
12:01:07     all   31.08    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   65.92
12:01:08     all   38.51    0.00    3.24    0.00    0.00    0.00    0.00    0.00    0.00   58.24
12:01:09     all   56.22    0.00    8.94    0.00    0.00    0.00    0.00    0.00    0.00   34.84
12:01:10     all   46.41    0.00    6.46    0.00    0.00    0.00    0.00    0.00    0.00   47.13
12:01:11     all   41.90    0.00    5.33    0.00    0.00    0.00    0.00    0.00    0.00   52.76
12:01:12     all   43.15    0.00    4.78    0.00    0.00    0.01    0.00    0.00    0.00   52.05
12:01:13     all   39.15    0.00    3.44    0.00    0.00    0.00    0.00    0.00    0.00   57.41
12:01:14     all   37.90    0.00    3.28    0.00    0.00    0.00    0.00    0.00    0.00   58.82
12:01:15     all   39.55    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   57.45
12:01:16     all   47.74    0.00    2.82    0.00    0.00    0.00    0.00    0.00    0.00   49.44
12:01:17     all   45.89    0.00    1.71    0.00    0.00    0.00    0.00    0.00    0.00   52.39
12:01:18     all   28.14    0.00    1.39    0.00    0.00    0.00    0.00    0.00    0.00   70.47
12:01:19     all   22.82    0.00    2.16    0.00    0.00    0.01    0.00    0.00    0.00   75.01
12:01:20     all   28.58    0.00    1.35    0.00    0.00    0.03    0.00    0.00    0.00   70.04
12:01:21     all   45.75    0.01    2.80    0.01    0.00    0.00    0.00    0.00    0.00   51.42
12:01:22     all   47.29    0.00    9.43    0.00    0.00    0.01    0.00    0.00    0.00   43.27
12:01:23     all   33.23    0.00    7.95    0.00    0.00    0.00    0.00    0.00    0.00   58.83
12:01:24     all   26.90    0.00    5.44    0.00    0.00    0.00    0.00    0.00    0.00   67.66
12:01:25     all   24.78    0.00    4.82    0.00    0.00    0.00    0.00    0.00    0.00   70.40
12:01:26     all   32.07    0.00    5.83    0.00    0.00    0.00    0.00    0.00    0.00   62.10
12:01:27     all   35.36    0.00    7.53    0.00    0.00    0.01    0.00    0.00    0.00   57.10
12:01:28     all   44.80    0.00    9.01    0.00    0.00    0.00    0.00    0.00    0.00   46.19
12:01:29     all   46.03    0.00    8.68    0.00    0.00    0.00    0.00    0.00    0.00   45.28
12:01:30     all   47.92    0.00   10.92    0.00    0.00    0.03    0.00    0.00    0.00   41.13
