Linux 6.8.0-136-generic (856a17914eb3) 	08/10/26 	_x86_64_	(72 CPU)

11:51:38     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:51:39     all   11.61    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   87.89
11:51:40     all    0.99    0.00    0.81    0.00    0.00    0.00    0.00    0.00    0.00   98.21
11:51:41     all    1.49    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.32
11:51:42     all    1.58    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.19
11:51:43     all    1.40    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.39
11:51:44     all    1.65    0.00    0.31    0.00    0.00    0.00    0.00    0.00    0.00   98.04
11:51:45     all    2.04    0.00    0.35    0.00    0.00    0.00    0.00    0.00    0.00   97.61
11:51:46     all    1.36    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   98.49
11:51:47     all    1.60    0.00    0.26    0.01    0.00    0.00    0.00    0.00    0.00   98.12
11:51:48     all    1.57    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.25
11:51:49     all    1.43    0.00    0.26    0.00    0.00    0.00    0.00    0.00    0.00   98.31
11:51:50     all    1.64    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.16
11:51:51     all    1.59    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   98.25
11:51:52     all    1.33    0.00    0.28    0.00    0.00    0.00    0.00    0.00    0.00   98.39
11:51:53     all    1.49    0.00    0.29    0.00    0.00    0.00    0.00    0.00    0.00   98.22
11:51:54     all    1.44    0.00    0.49    0.00    0.00    0.00    0.00    0.00    0.00   98.07
11:51:55     all    1.46    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.36
11:51:56     all    1.85    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   97.82
11:51:57     all    1.74    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.07
11:51:58     all    1.45    0.00    0.28    0.00    0.00    0.01    0.00    0.00    0.00   98.26
11:51:59     all    1.80    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   97.86
11:52:00     all    1.54    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.23
11:52:01     all    1.40    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.40
11:52:02     all    1.64    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.15
11:52:03     all    1.58    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   98.26
11:52:04     all    1.40    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.39
11:52:05     all    1.56    0.00    0.24    0.00    0.00    0.00    0.00    0.00    0.00   98.21
11:52:06     all    1.99    0.00    0.44    0.00    0.00    0.00    0.00    0.00    0.00   97.57
11:52:07     all   16.94    0.00    2.99    0.00    0.00    0.00    0.00    0.00    0.00   80.07
11:52:08     all   45.77    0.00    3.63    0.00    0.00    0.01    0.00    0.00    0.00   50.59
11:52:09     all   57.32    0.00    5.73    0.00    0.00    0.00    0.00    0.00    0.00   36.95
11:52:10     all   43.45    0.00    6.90    0.00    0.00    0.00    0.00    0.00    0.00   49.65
11:52:11     all   38.25    0.01    4.85    0.00    0.00    0.00    0.00    0.00    0.00   56.88
11:52:12     all   34.12    0.00    3.94    0.00    0.00    0.01    0.00    0.00    0.00   61.93
11:52:13     all   37.06    0.00    3.44    0.00    0.00    0.00    0.00    0.00    0.00   59.50
11:52:14     all   34.42    0.00    2.98    0.00    0.00    0.00    0.00    0.00    0.00   62.59
11:52:15     all   37.72    0.00    3.05    0.00    0.00    0.00    0.00    0.00    0.00   59.23
11:52:16     all   47.17    0.00    2.34    0.00    0.00    0.01    0.00    0.00    0.00   50.47
11:52:17     all   53.11    0.00    1.71    0.00    0.00    0.00    0.00    0.00    0.00   45.18
11:52:18     all   33.92    0.00    1.68    0.00    0.00    0.00    0.00    0.00    0.00   64.40
11:52:19     all   40.63    0.00    1.73    0.00    0.00    0.01    0.00    0.00    0.00   57.63
11:52:20     all   63.41    0.00    4.92    0.00    0.00    0.00    0.00    0.00    0.00   31.67
11:52:21     all   47.39    0.00   10.37    0.00    0.00    0.00    0.00    0.00    0.00   42.23
11:52:22     all   34.18    0.00    7.62    0.00    0.00    0.00    0.00    0.00    0.00   58.20
11:52:23     all   28.90    0.00    5.88    0.00    0.00    0.00    0.00    0.00    0.00   65.22
11:52:24     all   31.55    0.00    5.63    0.00    0.00    0.00    0.00    0.00    0.00   62.82
11:52:25     all   41.17    0.00   10.22    0.00    0.00    0.00    0.00    0.00    0.00   48.61
11:52:26     all   47.12    0.00    8.99    0.00    0.00    0.00    0.00    0.00    0.00   43.90
11:52:27     all   42.88    0.00    9.89    0.00    0.00    0.01    0.00    0.00    0.00   47.22
11:52:28     all   55.66    0.00   12.48    0.00    0.00    0.01    0.00    0.00    0.00   31.84
11:52:29     all   53.26    0.00   12.67    0.00    0.00    0.00    0.00    0.00    0.00   34.07
11:52:30     all   51.55    0.00   15.19    0.00    0.00    0.00    0.00    0.00    0.00   33.26
11:52:31     all   53.27    0.00   16.42    0.00    0.00    0.01    0.00    0.00    0.00   30.30
11:52:32     all   54.42    0.00   15.93    0.00    0.00    0.00    0.00    0.00    0.00   29.65
11:52:33     all   49.07    0.00   16.79    0.00    0.00    0.01    0.00    0.00    0.00   34.13
11:52:34     all   46.30    0.00   13.97    0.00    0.00    0.00    0.00    0.00    0.00   39.73
11:52:35     all   37.89    0.00   13.10    0.00    0.00    0.00    0.00    0.00    0.00   49.01
11:52:36     all   23.77    0.00    7.41    0.00    0.00    0.00    0.00    0.00    0.00   68.81
11:52:37     all   32.81    0.00    9.99    0.00    0.00    0.00    0.00    0.00    0.00   57.20
11:52:38     all   28.41    0.00    7.68    0.00    0.00    0.00    0.00    0.00    0.00   63.90
11:52:39     all   33.28    0.00    8.66    0.00    0.00    0.00    0.00    0.00    0.00   58.06
11:52:40     all   32.26    0.00    8.88    0.00    0.00    0.00    0.00    0.00    0.00   58.86
11:52:41     all   38.15    0.00   10.83    0.00    0.00    0.01    0.00    0.00    0.00   51.01
11:52:42     all   31.73    0.00    9.09    0.00    0.00    0.00    0.00    0.00    0.00   59.18
11:52:43     all   26.49    0.00    7.58    0.00    0.00    0.00    0.00    0.00    0.00   65.93
11:52:44     all   37.58    0.00    8.95    0.00    0.00    0.00    0.00    0.00    0.00   53.47
11:52:45     all   38.36    0.00    9.60    0.00    0.00    0.00    0.00    0.00    0.00   52.04
11:52:46     all   39.65    0.00   10.14    0.00    0.00    0.00    0.00    0.00    0.00   50.22
11:52:47     all   50.69    0.00   12.65    0.00    0.00    0.03    0.00    0.00    0.00   36.63
11:52:48     all   46.33    0.00   12.97    0.00    0.00    0.00    0.00    0.00    0.00   40.70
11:52:49     all   43.18    0.00    9.75    0.00    0.00    0.00    0.00    0.00    0.00   47.08
11:52:50     all   35.14    0.00    8.92    0.00    0.00    0.00    0.00    0.00    0.00   55.94
11:52:51     all   39.61    0.00   10.37    0.00    0.00    0.01    0.00    0.00    0.00   50.01
11:52:52     all   38.42    0.00   11.71    0.00    0.00    0.01    0.00    0.00    0.00   49.86
11:52:53     all   46.49    0.00   12.30    0.00    0.00    0.00    0.00    0.00    0.00   41.21
11:52:54     all   38.54    0.00   11.69    0.00    0.00    0.01    0.00    0.00    0.00   49.76
11:52:55     all   27.65    0.00    7.57    0.00    0.00    0.00    0.00    0.00    0.00   64.77
