Linux 6.8.0-136-generic (856a17914eb3) 	08/10/26 	_x86_64_	(72 CPU)

14:14:52     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
14:14:53     all    7.03    0.00    0.39    0.01    0.00    0.00    0.00    0.00    0.00   92.57
14:14:54     all    0.97    0.00    0.78    0.00    0.00    0.00    0.00    0.00    0.00   98.25
14:14:55     all    1.28    0.01    0.47    0.00    0.00    0.00    0.00    0.00    0.00   98.24
14:14:56     all    1.43    0.00    0.43    0.00    0.00    0.00    0.00    0.00    0.00   98.14
14:14:57     all    1.59    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.23
14:14:58     all    1.33    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.46
14:14:59     all    1.62    0.00    0.24    0.00    0.00    0.00    0.00    0.00    0.00   98.14
14:15:00     all    2.02    0.00    0.24    0.00    0.00    0.00    0.00    0.00    0.00   97.75
14:15:01     all    1.74    0.00    0.57    0.00    0.00    0.00    0.00    0.00    0.00   97.70
14:15:02     all    2.14    0.00    0.72    0.00    0.00    0.01    0.00    0.00    0.00   97.12
14:15:03     all    2.98    0.00    0.72    0.00    0.00    0.00    0.00    0.00    0.00   96.30
14:15:04     all    1.39    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   98.44
14:15:05     all    1.56    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.22
14:15:06     all    1.71    0.00    0.39    0.01    0.00    0.00    0.00    0.00    0.00   97.89
14:15:07     all    1.42    0.00    0.26    0.00    0.00    0.00    0.00    0.00    0.00   98.32
14:15:08     all    1.78    0.00    0.39    0.00    0.00    0.00    0.00    0.00    0.00   97.83
14:15:09     all    2.04    0.00    0.35    0.00    0.00    0.00    0.00    0.00    0.00   97.61
14:15:10     all    1.36    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   98.49
14:15:11     all    1.72    0.00    0.26    0.00    0.00    0.00    0.00    0.00    0.00   98.01
14:15:12     all    1.58    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.24
14:15:13     all    1.38    0.00    0.13    0.00    0.00    0.00    0.00    0.00    0.00   98.50
14:15:14     all    1.56    0.00    0.24    0.00    0.00    0.00    0.00    0.00    0.00   98.21
14:15:15     all    1.58    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.19
14:15:16     all    1.39    0.00    0.31    0.00    0.00    0.00    0.00    0.00    0.00   98.31
14:15:17     all    1.61    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   98.22
14:15:18     all    1.84    0.00    0.43    0.00    0.00    0.00    0.00    0.00    0.00   97.73
14:15:19     all    1.35    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.46
14:15:20     all    1.57    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   98.26
14:15:21     all    1.68    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.10
14:15:22     all    1.47    0.00    0.38    0.00    0.00    0.00    0.00    0.00    0.00   98.15
14:15:23     all    3.09    0.00    0.86    0.00    0.00    0.00    0.00    0.00    0.00   96.05
14:15:24     all    1.65    0.00    0.43    0.00    0.00    0.01    0.00    0.00    0.00   97.90
14:15:25     all    3.07    0.00    0.29    0.00    0.00    0.00    0.00    0.00    0.00   96.64
14:15:26     all    1.63    0.04    0.17    0.00    0.00    0.00    0.00    0.00    0.00   98.17
14:15:27     all    3.62    0.00    0.29    0.00    0.00    0.00    0.00    0.00    0.00   96.08
14:15:28     all    1.45    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   98.46
14:15:29     all    3.66    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   96.16
14:15:30     all    1.72    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.07
14:15:31     all    3.68    0.00    0.31    0.00    0.00    0.00    0.00    0.00    0.00   96.02
14:15:32     all    3.80    0.00    0.24    0.00    0.00    0.00    0.00    0.00    0.00   95.97
14:15:33     all    1.64    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   98.19
