Linux 6.8.0-136-generic (856a17914eb3) 	08/10/26 	_x86_64_	(72 CPU)

11:25:34     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:25:35     all   11.51    0.00    0.39    0.00    0.00    0.00    0.00    0.00    0.00   88.10
11:25:36     all    1.33    0.00    0.90    0.00    0.00    0.00    0.00    0.00    0.00   97.76
11:25:37     all    1.86    0.00    0.33    0.01    0.00    0.00    0.00    0.00    0.00   97.79
11:25:38     all    1.61    0.00    0.31    0.00    0.00    0.00    0.00    0.00    0.00   98.08
11:25:39     all    1.58    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.21
11:25:40     all    1.39    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.39
11:25:41     all    1.63    0.00    0.29    0.00    0.00    0.00    0.00    0.00    0.00   98.08
11:25:42     all    1.61    0.00    0.26    0.00    0.00    0.00    0.00    0.00    0.00   98.12
11:25:43     all    1.63    0.00    0.53    0.00    0.00    0.00    0.00    0.00    0.00   97.84
11:25:44     all    1.51    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.28
11:25:45     all    1.60    0.01    0.24    0.00    0.00    0.00    0.00    0.00    0.00   98.15
11:25:46     all    1.46    0.00    0.18    0.01    0.00    0.00    0.00    0.00    0.00   98.35
11:25:47     all    1.57    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   98.18
11:25:48     all    1.71    0.00    0.35    0.00    0.00    0.00    0.00    0.00    0.00   97.94
11:25:49     all    1.40    0.00    0.31    0.00    0.00    0.00    0.00    0.00    0.00   98.29
11:25:50     all    1.25    0.00    0.35    0.00    0.00    0.00    0.00    0.00    0.00   98.40
11:25:51     all    1.58    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   98.17
11:25:52     all    1.54    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.25
11:25:53     all    1.57    0.00    0.32    0.00    0.00    0.00    0.00    0.00    0.00   98.11
11:25:54     all    1.57    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   98.28
11:25:55     all    1.53    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   98.22
11:25:56     all    1.40    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.40
11:25:57     all    1.71    0.00    0.31    0.00    0.00    0.00    0.00    0.00    0.00   97.99
11:25:58     all    1.68    0.00    0.24    0.00    0.00    0.00    0.00    0.00    0.00   98.08
11:25:59     all    1.95    0.00    0.42    0.00    0.00    0.00    0.00    0.00    0.00   97.64
11:26:00     all    1.61    0.00    0.35    0.00    0.00    0.00    0.00    0.00    0.00   98.04
11:26:01     all    1.57    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.24
11:26:02     all    1.42    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.36
11:26:03     all   15.71    0.00    2.67    0.00    0.00    0.00    0.00    0.00    0.00   81.62
11:26:04     all   42.97    0.00    3.23    0.00    0.00    0.00    0.00    0.00    0.00   53.79
11:26:05     all   53.97    0.00    5.19    0.00    0.00    0.00    0.00    0.00    0.00   40.84
11:26:06     all   40.06    0.00    6.08    0.00    0.00    0.01    0.00    0.00    0.00   53.85
11:26:07     all   43.05    0.00    5.56    0.00    0.00    0.00    0.00    0.00    0.00   51.39
11:26:08     all   35.44    0.00    4.48    0.00    0.00    0.00    0.00    0.00    0.00   60.08
11:26:09     all   38.42    0.00    3.58    0.00    0.00    0.00    0.00    0.00    0.00   58.00
11:26:10     all   36.25    0.00    3.34    0.00    0.00    0.00    0.00    0.00    0.00   60.41
