Linux 6.8.0-136-generic (856a17914eb3) 	08/10/26 	_x86_64_	(72 CPU)

11:16:51     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:16:52     all   11.31    0.00    0.46    0.00    0.00    0.00    0.00    0.00    0.00   88.23
11:16:53     all    1.14    0.01    0.85    0.00    0.00    0.00    0.00    0.00    0.00   98.00
11:16:54     all    1.45    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.33
11:16:55     all    1.58    0.00    0.32    0.00    0.00    0.00    0.00    0.00    0.00   98.10
11:16:56     all    1.45    0.00    0.28    0.00    0.00    0.00    0.00    0.00    0.00   98.28
11:16:57     all    1.74    0.00    0.28    0.00    0.00    0.00    0.00    0.00    0.00   97.99
11:16:58     all    2.01    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   97.65
11:16:59     all    1.40    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.39
11:17:00     all    1.69    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   97.97
11:17:01     all    1.50    0.00    0.24    0.00    0.00    0.00    0.00    0.00    0.00   98.26
11:17:02     all    1.40    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   98.44
11:17:03     all    1.61    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.18
11:17:04     all    1.60    0.00    0.29    0.00    0.00    0.00    0.00    0.00    0.00   98.11
11:17:05     all    1.58    0.00    0.28    0.00    0.00    0.00    0.00    0.00    0.00   98.14
11:17:06     all    2.04    0.00    0.28    0.00    0.00    0.00    0.00    0.00    0.00   97.68
11:17:07     all    1.37    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   98.13
11:17:08     all    1.38    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.42
11:17:09     all    1.63    0.00    0.29    0.00    0.00    0.00    0.00    0.00    0.00   98.08
11:17:10     all    1.68    0.00    0.28    0.00    0.00    0.00    0.00    0.00    0.00   98.04
11:17:11     all    1.58    0.00    0.36    0.00    0.00    0.00    0.00    0.00    0.00   98.05
11:17:12     all    1.58    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.21
11:17:13     all    1.47    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.30
11:17:14     all    1.42    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   98.43
11:17:15     all    1.71    0.00    0.26    0.00    0.00    0.00    0.00    0.00    0.00   98.03
11:17:16     all    1.60    0.00    0.32    0.00    0.00    0.00    0.00    0.00    0.00   98.08
11:17:17     all    1.46    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.33
11:17:18     all    1.64    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.18
11:17:19     all    1.57    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.22
11:17:20     all   14.56    0.00    2.59    0.00    0.00    0.00    0.00    0.00    0.00   82.85
11:17:21     all   40.81    0.00    3.41    0.00    0.00    0.01    0.00    0.00    0.00   55.76
11:17:22     all   53.23    0.00    5.71    0.00    0.00    0.00    0.00    0.00    0.00   41.06
11:17:23     all   38.82    0.00    5.74    0.00    0.00    0.00    0.00    0.00    0.00   55.44
11:17:24     all   39.05    0.00    5.12    0.01    0.00    0.00    0.00    0.00    0.00   55.82
11:17:25     all   35.68    0.00    4.38    0.00    0.00    0.01    0.00    0.00    0.00   59.93
11:17:26     all   34.76    0.00    3.17    0.00    0.00    0.01    0.00    0.00    0.00   62.06
11:17:27     all   34.30    0.00    3.38    0.00    0.00    0.00    0.00    0.00    0.00   62.33
11:17:28     all   33.05    0.00    2.83    0.00    0.00    0.00    0.00    0.00    0.00   64.12
11:17:29     all   40.89    0.00    2.14    0.00    0.00    0.00    0.00    0.00    0.00   56.96
11:17:30     all   44.96    0.00    1.70    0.00    0.00    0.00    0.00    0.00    0.00   53.34
11:17:31     all   31.79    0.00    1.60    0.00    0.00    0.00    0.00    0.00    0.00   66.61
11:17:32     all   34.86    0.00    1.74    0.00    0.00    0.01    0.00    0.00    0.00   63.39
11:17:33     all   51.51    0.00    3.30    0.00    0.00    0.00    0.00    0.00    0.00   45.19
11:17:34     all   39.73    0.00    8.29    0.00    0.00    0.00    0.00    0.00    0.00   51.98
11:17:35     all   32.44    0.00    6.57    0.00    0.00    0.00    0.00    0.00    0.00   61.00
11:17:36     all   24.03    0.00    4.40    0.00    0.00    0.01    0.00    0.00    0.00   71.56
11:17:37     all   27.26    0.00    5.71    0.00    0.00    0.00    0.00    0.00    0.00   67.02
11:17:38     all   32.07    0.00    6.60    0.00    0.00    0.01    0.00    0.00    0.00   61.32
11:17:39     all   33.21    0.00    6.40    0.00    0.00    0.00    0.00    0.00    0.00   60.38
11:17:40     all   37.90    0.00    6.95    0.00    0.00    0.00    0.00    0.00    0.00   55.15
11:17:41     all   47.51    0.00   11.39    0.00    0.00    0.01    0.00    0.00    0.00   41.09
11:17:42     all   45.95    0.00   11.77    0.00    0.00    0.00    0.00    0.00    0.00   42.28
11:17:43     all   44.87    0.00   13.91    0.00    0.00    0.00    0.00    0.00    0.00   41.22
11:17:44     all   45.57    0.00   13.41    0.00    0.00    0.00    0.00    0.00    0.00   41.03
11:17:45     all   39.02    0.00   12.91    0.00    0.00    0.00    0.00    0.00    0.00   48.07
11:17:46     all   38.67    0.00   11.22    0.00    0.00    0.00    0.00    0.00    0.00   50.12
11:17:47     all   34.33    0.00   10.65    0.00    0.00    0.01    0.00    0.00    0.00   55.00
11:17:48     all   31.03    0.00    9.09    0.00    0.00    0.00    0.00    0.00    0.00   59.88
11:17:49     all   30.02    0.00    8.59    0.00    0.00    0.00    0.00    0.00    0.00   61.40
11:17:50     all   30.99    0.00    9.17    0.00    0.00    0.00    0.00    0.00    0.00   59.84
11:17:51     all   33.78    0.00    9.01    0.00    0.00    0.00    0.00    0.00    0.00   57.21
11:17:52     all   19.58    0.00    6.74    0.00    0.00    0.01    0.00    0.00    0.00   73.66
11:17:53     all   27.32    0.00    8.33    0.00    0.00    0.00    0.00    0.00    0.00   64.35
11:17:54     all   23.46    0.00    7.16    0.00    0.00    0.00    0.00    0.00    0.00   69.38
11:17:55     all   22.52    0.00    6.16    0.00    0.00    0.00    0.00    0.00    0.00   71.32
11:17:56     all   26.95    0.00    8.12    0.00    0.00    0.00    0.00    0.00    0.00   64.93
11:17:57     all   26.66    0.00    7.21    0.00    0.00    0.00    0.00    0.00    0.00   66.13
11:17:58     all   33.38    0.00    8.07    0.00    0.00    0.00    0.00    0.00    0.00   58.56
11:17:59     all   36.86    0.00    9.63    0.00    0.00    0.00    0.00    0.00    0.00   53.51
11:18:00     all   38.51    0.00    9.01    0.00    0.00    0.00    0.00    0.00    0.00   52.49
11:18:01     all   33.30    0.00    7.79    0.00    0.00    0.00    0.00    0.00    0.00   58.91
11:18:02     all   40.43    0.00    9.87    0.00    0.00    0.00    0.00    0.00    0.00   49.70
11:18:03     all   44.47    0.01    9.92    0.00    0.00    0.00    0.00    0.00    0.00   45.60
11:18:04     all   41.94    0.00   10.57    0.00    0.00    0.00    0.00    0.00    0.00   47.49
11:18:05     all   32.06    0.00    8.49    0.00    0.00    0.01    0.00    0.00    0.00   59.44
11:18:06     all   30.89    0.00    6.66    0.00    0.00    0.01    0.00    0.00    0.00   62.44
11:18:07     all   31.24    0.00    8.65    0.00    0.00    0.00    0.00    0.00    0.00   60.11
11:18:08     all   28.64    0.00    7.56    0.00    0.00    0.00    0.00    0.00    0.00   63.80
11:18:09     all   29.16    0.00    8.18    0.00    0.00    0.00    0.00    0.00    0.00   62.66
11:18:10     all   31.97    0.00    9.71    0.00    0.00    0.00    0.00    0.00    0.00   58.32
11:18:11     all   30.37    0.01   10.12    0.00    0.00    0.01    0.00    0.00    0.00   59.48
11:18:12     all   27.84    0.00    8.46    0.00    0.00    0.01    0.00    0.00    0.00   63.69
11:18:13     all   33.97    0.00    9.40    0.00    0.00    0.00    0.00    0.00    0.00   56.63
11:18:14     all   40.47    0.00    9.97    0.00    0.00    0.00    0.00    0.00    0.00   49.55
11:18:15     all   43.60    0.01   12.75    0.00    0.00    0.03    0.00    0.00    0.00   43.61
11:18:16     all   45.29    0.00   11.20    0.01    0.00    0.00    0.00    0.00    0.00   43.50
11:18:17     all   46.14    0.00   10.83    0.00    0.00    0.00    0.00    0.00    0.00   43.04
11:18:18     all   39.22    0.00   11.48    0.00    0.00    0.00    0.00    0.00    0.00   49.30
11:18:19     all   37.09    0.00   11.25    0.00    0.00    0.01    0.00    0.00    0.00   51.64
11:18:20     all   36.46    0.00   11.02    0.00    0.00    0.00    0.00    0.00    0.00   52.52
11:18:21     all   31.25    0.00    9.99    0.00    0.00    0.00    0.00    0.00    0.00   58.76
11:18:22     all   34.63    0.00   10.33    0.00    0.00    0.00    0.00    0.00    0.00   55.04
11:18:23     all   27.54    0.00   10.20    0.00    0.00    0.00    0.00    0.00    0.00   62.25
11:18:24     all   31.57    0.00   10.30    0.00    0.00    0.00    0.00    0.00    0.00   58.14
11:18:25     all   32.85    0.00   11.73    0.00    0.00    0.00    0.00    0.00    0.00   55.41
11:18:26     all   38.04    0.00   13.78    0.00    0.00    0.00    0.00    0.00    0.00   48.18
11:18:27     all   41.90    0.00   14.92    0.00    0.00    0.01    0.00    0.00    0.00   43.17
11:18:28     all   38.09    0.00   12.32    0.00    0.00    0.00    0.00    0.00    0.00   49.59
11:18:29     all   38.71    0.00   11.75    0.00    0.00    0.01    0.00    0.00    0.00   49.53
11:18:30     all   45.12    0.00   14.26    0.00    0.00    0.00    0.00    0.00    0.00   40.63
11:18:31     all   47.30    0.00   16.07    0.00    0.00    0.01    0.00    0.00    0.00   36.61
11:18:32     all   36.07    0.00   14.89    0.00    0.00    0.00    0.00    0.00    0.00   49.04
11:18:33     all   35.49    0.00   12.43    0.00    0.00    0.00    0.00    0.00    0.00   52.09
11:18:34     all   37.62    0.00   11.83    0.00    0.00    0.00    0.00    0.00    0.00   50.55
11:18:35     all   33.95    0.00    9.85    0.03    0.00    0.00    0.00    0.00    0.00   56.17
11:18:36     all   40.08    0.00   13.03    0.00    0.00    0.01    0.00    0.00    0.00   46.88
11:18:37     all   39.00    0.00   14.79    0.00    0.00    0.00    0.00    0.00    0.00   46.21
11:18:38     all   40.49    0.00   15.68    0.00    0.00    0.01    0.00    0.00    0.00   43.82
11:18:39     all   34.58    0.00   13.99    0.00    0.00    0.01    0.00    0.00    0.00   51.42
11:18:40     all   39.84    0.00   12.69    0.00    0.00    0.00    0.00    0.00    0.00   47.47
11:18:41     all   41.54    0.00   13.36    0.00    0.00    0.00    0.00    0.00    0.00   45.10
11:18:42     all   37.53    0.00   12.84    0.00    0.00    0.01    0.00    0.00    0.00   49.61
11:18:43     all   41.25    0.00   14.38    0.00    0.00    0.00    0.00    0.00    0.00   44.38
11:18:44     all   42.98    0.00   14.36    0.00    0.00    0.00    0.00    0.00    0.00   42.66
11:18:45     all   44.61    0.00   16.14    0.00    0.00    0.00    0.00    0.00    0.00   39.26
11:18:46     all   40.96    0.00   14.60    0.00    0.00    0.00    0.00    0.00    0.00   44.44
11:18:47     all   43.78    0.00   14.43    0.00    0.00    0.00    0.00    0.00    0.00   41.79
11:18:48     all   34.55    0.00   12.80    0.00    0.00    0.00    0.00    0.00    0.00   52.65
11:18:49     all   37.57    0.00   13.49    0.00    0.00    0.01    0.00    0.00    0.00   48.92
11:18:50     all   34.62    0.00   12.07    0.00    0.00    0.00    0.00    0.00    0.00   53.30
11:18:51     all   39.10    0.00   13.45    0.00    0.00    0.00    0.00    0.00    0.00   47.45
11:18:52     all   37.38    0.00   13.00    0.00    0.00    0.00    0.00    0.00    0.00   49.62
11:18:53     all   36.78    0.00   11.89    0.00    0.00    0.01    0.00    0.00    0.00   51.32
11:18:54     all   34.24    0.00   12.44    0.00    0.00    0.00    0.00    0.00    0.00   53.32
11:18:55     all   38.31    0.00   13.27    0.00    0.00    0.00    0.00    0.00    0.00   48.41
11:18:56     all   31.16    0.00   10.91    0.00    0.00    0.00    0.00    0.00    0.00   57.93
11:18:57     all   36.38    0.00   12.69    0.00    0.00    0.00    0.00    0.00    0.00   50.93
11:18:58     all   37.41    0.00   12.10    0.00    0.00    0.00    0.00    0.00    0.00   50.48
11:18:59     all   33.96    0.00   12.03    0.00    0.00    0.00    0.00    0.00    0.00   54.01
11:19:00     all   32.53    0.00   11.37    0.00    0.00    0.00    0.00    0.00    0.00   56.10
11:19:01     all   38.51    0.00   13.02    0.00    0.00    0.00    0.00    0.00    0.00   48.47
11:19:02     all   33.38    0.00   11.64    0.00    0.00    0.01    0.00    0.00    0.00   54.97
11:19:03     all   34.50    0.00   11.59    0.00    0.00    0.00    0.00    0.00    0.00   53.92
11:19:04     all   35.43    0.00   11.38    0.00    0.00    0.00    0.00    0.00    0.00   53.20
11:19:05     all   38.22    0.00   12.36    0.00    0.00    0.00    0.00    0.00    0.00   49.42
11:19:06     all   42.71    0.00   14.96    0.00    0.00    0.00    0.00    0.00    0.00   42.33
11:19:07     all   46.74    0.00   15.12    0.00    0.00    0.00    0.00    0.00    0.00   38.15
11:19:08     all   39.57    0.00   14.91    0.00    0.00    0.01    0.00    0.00    0.00   45.51
11:19:09     all   32.43    0.00   13.11    0.00    0.00    0.00    0.00    0.00    0.00   54.47
11:19:10     all   43.10    0.00   17.26    0.01    0.00    0.01    0.00    0.00    0.00   39.62
11:19:11     all   44.01    0.00   15.50    0.00    0.00    0.00    0.00    0.00    0.00   40.49
11:19:12     all   46.38    0.00   12.87    0.00    0.00    0.00    0.00    0.00    0.00   40.75
11:19:13     all   42.79    0.00   13.76    0.00    0.00    0.00    0.00    0.00    0.00   43.45
11:19:14     all   36.71    0.00   11.14    0.00    0.00    0.00    0.00    0.00    0.00   52.15
11:19:15     all   39.96    0.00   11.94    0.00    0.00    0.00    0.00    0.00    0.00   48.10
11:19:16     all   36.76    0.00   13.24    0.00    0.00    0.00    0.00    0.00    0.00   50.00
11:19:17     all   42.40    0.00   13.43    0.01    0.00    0.01    0.00    0.00    0.00   44.15
11:19:18     all   38.33    0.00   12.70    0.00    0.00    0.00    0.00    0.00    0.00   48.97
11:19:19     all   45.02    0.00   14.59    0.00    0.00    0.00    0.00    0.00    0.00   40.38
11:19:20     all   42.51    0.00   15.74    0.00    0.00    0.00    0.00    0.00    0.00   41.75
11:19:21     all   36.40    0.00   14.65    0.00    0.00    0.00    0.00    0.00    0.00   48.95
11:19:22     all   39.17    0.00   15.28    0.00    0.00    0.00    0.00    0.00    0.00   45.55
11:19:23     all   44.29    0.01   14.89    0.00    0.00    0.01    0.00    0.00    0.00   40.79
11:19:24     all   42.74    0.00   15.81    0.00    0.00    0.00    0.00    0.00    0.00   41.44
