Linux 6.8.0-136-generic (856a17914eb3) 	08/10/26 	_x86_64_	(72 CPU)

11:12:13     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:12:14     all    6.78    0.00    0.47    0.00    0.00    0.00    0.00    0.00    0.00   92.74
11:12:15     all    1.22    0.00    0.79    0.00    0.00    0.00    0.00    0.00    0.00   97.98
11:12:16     all    1.64    0.00    0.28    0.00    0.00    0.00    0.00    0.00    0.00   98.08
11:12:17     all    1.40    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.37
11:12:18     all    1.63    0.00    0.26    0.00    0.00    0.00    0.00    0.00    0.00   98.11
11:12:19     all    1.57    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   98.18
11:12:20     all    1.36    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   98.47
11:12:21     all    1.83    0.00    0.33    0.00    0.00    0.01    0.00    0.00    0.00   97.82
11:12:22     all    1.74    0.00    0.53    0.00    0.00    0.00    0.00    0.00    0.00   97.74
11:12:23     all    1.54    0.00    0.29    0.00    0.00    0.01    0.00    0.00    0.00   98.15
11:12:24     all    2.06    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   97.61
11:12:25     all    1.57    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.22
11:12:26     all    1.42    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   98.33
11:12:27     all    1.58    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.19
11:12:28     all    1.58    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.21
11:12:29     all    1.08    0.00    0.49    0.00    0.00    0.00    0.00    0.00    0.00   98.43
11:12:30     all    1.61    0.00    0.28    0.00    0.00    0.00    0.00    0.00    0.00   98.11
11:12:31     all    1.88    0.00    0.32    0.00    0.00    0.00    0.00    0.00    0.00   97.80
11:12:32     all    1.40    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.42
11:12:33     all    1.69    0.00    0.28    0.00    0.00    0.00    0.00    0.00    0.00   98.03
11:12:34     all    1.57    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.21
11:12:35     all    1.39    0.00    0.24    0.00    0.00    0.00    0.00    0.00    0.00   98.38
11:12:36     all    1.54    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.26
11:12:37     all    1.72    0.01    0.28    0.00    0.00    0.00    0.00    0.00    0.00   97.99
11:12:38     all    1.49    0.00    0.38    0.00    0.00    0.00    0.00    0.00    0.00   98.14
11:12:39     all    1.54    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.25
11:12:40     all    1.58    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.24
11:12:41     all    1.38    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.42
11:12:42     all    5.74    0.00    2.10    0.00    0.00    0.00    0.00    0.00    0.00   92.16
11:12:43     all   30.94    0.00    1.61    0.00    0.00    0.01    0.00    0.00    0.00   67.44
11:12:44     all   35.88    0.00    1.21    0.00    0.00    0.01    0.00    0.00    0.00   62.89
11:12:45     all   47.10    0.00    2.95    0.00    0.00    0.01    0.00    0.00    0.00   49.94
11:12:46     all   46.31    0.00    2.41    0.00    0.00    0.00    0.00    0.00    0.00   51.28
11:12:47     all   39.37    0.00    2.42    0.00    0.00    0.00    0.00    0.00    0.00   58.21
11:12:48     all   38.24    0.00    1.12    0.00    0.00    0.00    0.00    0.00    0.00   60.64
11:12:49     all   37.77    0.00    0.95    0.00    0.00    0.00    0.00    0.00    0.00   61.28
11:12:50     all   34.07    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   64.93
11:12:51     all   41.29    0.00    0.63    0.00    0.00    0.01    0.00    0.00    0.00   58.07
11:12:52     all   44.96    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   54.05
11:12:53     all   28.95    0.00    0.85    0.00    0.00    0.00    0.00    0.00    0.00   70.19
11:12:54     all   24.61    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   74.36
11:12:55     all   41.38    0.00    1.07    0.00    0.00    0.00    0.00    0.00    0.00   57.55
11:12:56     all   46.96    0.00    1.95    0.00    0.00    0.01    0.00    0.00    0.00   51.08
11:12:57     all   40.08    0.00    2.31    0.00    0.00    0.01    0.00    0.00    0.00   57.59
11:12:58     all   26.35    0.00    1.22    0.00    0.00    0.00    0.00    0.00    0.00   72.43
11:12:59     all   30.01    0.00    1.39    0.00    0.00    0.00    0.00    0.00    0.00   68.60
11:13:00     all   32.18    0.00    1.48    0.00    0.00    0.00    0.00    0.00    0.00   66.34
11:13:01     all   41.25    0.00    2.62    0.00    0.00    0.00    0.00    0.00    0.00   56.12
11:13:02     all   39.84    0.00    2.19    0.00    0.00    0.00    0.00    0.00    0.00   57.98
11:13:03     all   44.79    0.00    2.89    0.00    0.00    0.03    0.00    0.00    0.00   52.29
