Linux 6.8.0-136-generic (856a17914eb3) 	08/10/26 	_x86_64_	(72 CPU)

08:49:08     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:49:09     all   11.55    0.00    0.54    0.00    0.00    0.00    0.00    0.00    0.00   87.91
08:49:10     all    1.21    0.00    0.85    0.00    0.00    0.00    0.00    0.00    0.00   97.95
08:49:11     all    1.49    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.32
08:49:12     all    1.39    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.43
08:49:13     all    1.65    0.00    0.29    0.00    0.00    0.00    0.00    0.00    0.00   98.06
08:49:14     all    1.61    0.00    0.28    0.00    0.00    0.00    0.00    0.00    0.00   98.11
08:49:15     all    1.35    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.44
08:49:16     all    1.54    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.26
08:49:17     all    1.35    0.00    0.42    0.00    0.00    0.00    0.00    0.00    0.00   98.23
08:49:18     all    1.33    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.44
08:49:19     all    1.67    0.00    0.26    0.00    0.00    0.00    0.00    0.00    0.00   98.07
08:49:20     all    1.97    0.00    0.26    0.00    0.00    0.00    0.00    0.00    0.00   97.76
08:49:21     all    1.35    0.00    0.14    0.00    0.00    0.00    0.00    0.00    0.00   98.51
08:49:22     all    1.61    0.00    0.26    0.00    0.00    0.00    0.00    0.00    0.00   98.12
08:49:23     all    2.23    0.00    0.53    0.00    0.00    0.00    0.00    0.00    0.00   97.24
08:49:24     all   25.10    0.00    2.37    0.00    0.00    0.00    0.00    0.00    0.00   72.53
08:49:25     all   35.59    0.00    1.89    0.00    0.00    0.00    0.00    0.00    0.00   62.51
08:49:26     all   49.03    0.00    5.47    0.00    0.00    0.00    0.00    0.00    0.00   45.50
08:49:27     all   39.94    0.00    4.46    0.00    0.00    0.01    0.00    0.00    0.00   55.59
08:49:28     all   40.52    0.00    3.53    0.00    0.00    0.00    0.00    0.00    0.00   55.96
08:49:29     all   35.75    0.00    3.77    0.00    0.00    0.00    0.00    0.00    0.00   60.48
08:49:30     all   37.69    0.00    2.34    0.00    0.00    0.00    0.00    0.00    0.00   59.97
08:49:31     all   35.59    0.00    2.06    0.00    0.00    0.01    0.00    0.00    0.00   62.33
08:49:32     all   34.70    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   63.32
08:49:33     all   37.85    0.00    1.33    0.00    0.00    0.00    0.00    0.00    0.00   60.82
08:49:34     all   44.29    0.00    1.41    0.00    0.00    0.00    0.00    0.00    0.00   54.31
08:49:35     all   43.93    0.00    1.10    0.00    0.00    0.00    0.00    0.00    0.00   54.97
08:49:36     all   42.50    0.00    1.45    0.00    0.00    0.00    0.00    0.00    0.00   56.05
08:49:37     all   47.87    0.00    1.17    0.00    0.00    0.01    0.00    0.00    0.00   50.95
08:49:38     all   41.57    0.00    1.32    0.00    0.00    0.00    0.00    0.00    0.00   57.11
08:49:39     all   42.51    0.00    2.44    0.00    0.00    0.00    0.00    0.00    0.00   55.05
08:49:40     all   54.17    0.00    6.20    0.00    0.00    0.00    0.00    0.00    0.00   39.62
08:49:41     all   49.44    0.00   10.55    0.00    0.00    0.00    0.00    0.00    0.00   40.00
08:49:42     all   42.34    0.00    9.66    0.00    0.00    0.00    0.00    0.00    0.00   48.00
08:49:43     all   41.51    0.00    8.51    0.00    0.00    0.00    0.00    0.00    0.00   49.98
08:49:44     all   34.17    0.00    7.92    0.00    0.00    0.01    0.00    0.00    0.00   57.90
08:49:45     all   31.51    0.00    6.15    0.00    0.00    0.00    0.00    0.00    0.00   62.35
08:49:46     all   30.44    0.00    5.74    0.00    0.00    0.00    0.00    0.00    0.00   63.82
