Linux 6.8.0-136-generic (856a17914eb3) 	08/10/26 	_x86_64_	(72 CPU)

08:47:23     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:47:24     all   11.57    0.00    0.42    0.00    0.00    0.00    0.00    0.00    0.00   88.02
08:47:25     all    1.03    0.00    0.93    0.01    0.00    0.00    0.00    0.00    0.00   98.02
08:47:26     all    1.45    0.00    0.26    0.00    0.00    0.00    0.00    0.00    0.00   98.29
08:47:27     all    1.57    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   98.26
08:47:28     all    1.64    0.00    0.26    0.00    0.00    0.00    0.00    0.00    0.00   98.10
08:47:29     all    1.86    0.00    0.29    0.00    0.00    0.00    0.00    0.00    0.00   97.85
08:47:30     all    1.57    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   98.28
08:47:31     all    1.79    0.00    0.39    0.00    0.00    0.00    0.00    0.00    0.00   97.82
08:47:32     all    1.26    0.00    0.56    0.00    0.00    0.00    0.00    0.00    0.00   98.18
08:47:33     all    1.51    0.00    0.36    0.00    0.00    0.00    0.00    0.00    0.00   98.12
08:47:34     all    1.54    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.26
08:47:35     all    1.51    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.28
08:47:36     all    1.72    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   97.78
08:47:37     all    1.95    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   97.72
08:47:38     all    1.49    0.00    0.14    0.00    0.00    0.00    0.00    0.00    0.00   98.37
08:47:39     all   19.79    0.00   16.01    0.00    0.00    0.01    0.00    0.00    0.00   64.19
08:47:40     all   46.61    0.00    1.79    0.00    0.00    0.00    0.00    0.00    0.00   51.60
08:47:41     all   76.20    0.00    5.44    0.00    0.00    0.01    0.00    0.00    0.00   18.35
08:47:42     all   62.54    0.00    4.46    0.00    0.00    0.00    0.00    0.00    0.00   33.00
