Generating SQLite file /workspace/warchest-engine/runs/v5_headfull16_cap0_nsys/aged_nsys.sqlite from /workspace/warchest-engine/runs/v5_headfull16_cap0_nsys/aged_nsys.nsys-rep
Processing [/workspace/warchest-engine/runs/v5_headfull16_cap0_nsys/aged_nsys.sqlite] with [/opt/nvidia/nsight-compute/2025.3.1/host/target-linux-x64/reports/cuda_gpu_kern_sum.py]... 
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
21.9,4344207236,69904,62145.3,54416.5,7232,838404,39672.5,reach_sweep
17.8,3524176190,59445,59284.7,45152.0,7713,828001,58736.3,backprop_sweep
14.8,2937503418,59446,49414.7,35296.0,3072,934789,53794.5,readout
12.3,2442061991,53608,45554.1,26336.0,3872,691012,66815.9,head_entry_f16
8.4,1662425397,40130,41426.0,26528.0,8672,552097,45396.3,ampere_fp16_s1688gemm_fp16_128x128_ldg8_f2f_stages_32x1_nn
8.3,1652755202,53608,30830.4,21056.0,2784,735204,35274.1,belief_sums_f16
2.4,478647385,10693,44762.7,33248.0,20224,639844,36438.5,void cutlass::Kernel2<cutlass_80_tensorop_s16816gemm_f16_64x256_32x4_nn_align8>(T1::Params)
2.2,437639267,47765,9162.3,6848.0,1600,162753,7478.4,root_average
2.1,426004947,28864,14759.0,12960.0,3776,521536,10719.5,void cutlass::Kernel2<cutlass_80_tensorop_s16816gemm_f16_64x64_32x6_nn_align8>(T1::Params)
1.4,287459516,2111,136172.2,134432.0,53504,375905,49712.6,ampere_s1688gemm_fp16_64x128_sliced1x2_ldg8_nn
1.0,199296426,747,266795.8,144001.0,6880,3327428,430721.9,assemble
1.0,198957070,516,385575.7,294945.5,135488,2386083,324222.4,void cutlass::Kernel2<cutlass_80_tensorop_s1688f16gemm_256x128_16x3_nn_align1>(T1::Params)
0.9,183280861,11069,16558.0,6400.0,1984,566659,36513.8,seed_reach
0.7,144262777,10375,13904.8,10368.0,2368,194305,12154.0,normalize_strategy
0.7,133183148,4121,32318.2,23424.0,19424,597411,35538.9,ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_stages_32x1_nn
0.5,99762744,5228,19082.4,10624.0,3008,626692,28584.9,gather_carry
