Linux 6.8.0-136-generic (856a17914eb3) 	08/10/26 	_x86_64_	(72 CPU)

08:42:07     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:42:08     all   11.53    0.00    0.43    0.00    0.00    0.00    0.00    0.00    0.00   88.04
08:42:09     all    1.11    0.00    0.92    0.00    0.00    0.00    0.00    0.00    0.00   97.97
08:42:10     all    1.50    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.29
08:42:11     all    1.49    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.29
08:42:12     all    1.82    0.01    0.42    0.00    0.00    0.00    0.00    0.00    0.00   97.75
08:42:13     all    1.96    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   97.54
08:42:14     all    1.43    0.00    0.24    0.00    0.00    0.00    0.00    0.00    0.00   98.33
08:42:15     all    1.88    0.00    0.31    0.00    0.00    0.00    0.00    0.00    0.00   97.82
08:42:16     all    1.29    0.00    0.43    0.00    0.00    0.00    0.00    0.00    0.00   98.28
08:42:17     all    1.42    0.00    0.26    0.00    0.00    0.00    0.00    0.00    0.00   98.32
08:42:18     all    1.58    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.24
08:42:19     all    1.69    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.12
08:42:20     all    1.57    0.00    0.28    0.00    0.00    0.00    0.00    0.00    0.00   98.15
08:42:21     all    1.83    0.00    0.26    0.00    0.00    0.00    0.00    0.00    0.00   97.90
08:42:22     all    1.64    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.17
08:42:23     all   18.81    0.00    3.88    0.00    0.00    0.00    0.00    0.00    0.00   77.31
08:42:24     all   39.68    0.00    1.61    0.00    0.00    0.01    0.00    0.00    0.00   58.70
08:42:25     all   51.17    0.00    2.82    0.00    0.00    0.00    0.00    0.00    0.00   46.01
08:42:26     all   57.91    0.00    3.27    0.00    0.00    0.00    0.00    0.00    0.00   38.82
08:42:27     all   52.56    0.00    2.26    0.00    0.00    0.00    0.00    0.00    0.00   45.19
08:42:28     all   45.81    0.00    1.78    0.00    0.00    0.00    0.00    0.00    0.00   52.41
08:42:29     all   43.75    0.00    1.58    0.00    0.00    0.00    0.00    0.00    0.00   54.68
08:42:30     all   43.46    0.00    1.06    0.00    0.00    0.01    0.00    0.00    0.00   55.47
08:42:31     all   41.11    0.00    0.70    0.00    0.00    0.00    0.00    0.00    0.00   58.19
08:42:32     all   42.79    0.00    0.46    0.00    0.00    0.01    0.00    0.00    0.00   56.73
08:42:33     all   49.29    0.00    0.53    0.00    0.00    0.01    0.00    0.00    0.00   50.17
