Linux 6.8.0-136-generic (856a17914eb3) 	08/10/26 	_x86_64_	(72 CPU)

08:45:21     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:45:22     all   11.61    0.00    0.44    0.00    0.00    0.00    0.00    0.00    0.00   87.94
08:45:23     all    1.22    0.00    0.74    0.00    0.00    0.00    0.00    0.00    0.00   98.04
08:45:24     all    1.57    0.00    0.36    0.00    0.00    0.00    0.00    0.00    0.00   98.07
08:45:25     all    1.74    0.00    0.24    0.00    0.00    0.00    0.00    0.00    0.00   98.03
08:45:26     all    1.47    0.00    0.24    0.00    0.00    0.00    0.00    0.00    0.00   98.29
08:45:27     all    1.43    0.00    0.26    0.00    0.00    0.00    0.00    0.00    0.00   98.30
08:45:28     all    1.57    0.00    0.24    0.00    0.00    0.00    0.00    0.00    0.00   98.19
08:45:29     all    1.53    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.29
08:45:30     all    1.17    0.00    0.56    0.00    0.00    0.00    0.00    0.00    0.00   98.28
08:45:31     all    1.61    0.00    0.26    0.00    0.00    0.00    0.00    0.00    0.00   98.13
08:45:32     all    1.51    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.28
08:45:33     all    1.46    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.35
08:45:34     all    1.58    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.22
08:45:35     all    1.54    0.00    0.29    0.00    0.00    0.00    0.00    0.00    0.00   98.17
08:45:36     all    1.63    0.00    0.31    0.00    0.00    0.00    0.00    0.00    0.00   98.07
08:45:37     all   30.21    0.00   19.17    0.00    0.00    0.00    0.00    0.00    0.00   50.61
08:45:38     all   45.54    0.00    2.21    0.00    0.00    0.01    0.00    0.00    0.00   52.24
08:45:39     all   44.77    0.00    1.76    0.00    0.00    0.00    0.00    0.00    0.00   53.47
08:45:40     all   46.35    0.00    1.49    0.00    0.00    0.00    0.00    0.00    0.00   52.16
08:45:41     all   86.80    0.00    6.61    0.00    0.00    0.01    0.00    0.00    0.00    6.58
08:45:42     all   58.21    0.00    3.37    0.00    0.00    0.00    0.00    0.00    0.00   38.42
08:45:43     all   55.84    0.00    2.35    0.00    0.00    0.00    0.00    0.00    0.00   41.80
08:45:44     all   56.71    0.00    1.88    0.00    0.00    0.00    0.00    0.00    0.00   41.40
08:45:45     all   57.45    0.00    1.75    0.00    0.00    0.00    0.00    0.00    0.00   40.79
08:45:46     all   56.07    0.00    2.01    0.00    0.00    0.00    0.00    0.00    0.00   41.92
08:45:47     all   47.00    0.00    2.45    0.00    0.00    0.00    0.00    0.00    0.00   50.55
08:45:48     all   49.39    0.00    1.77    0.00    0.00    0.01    0.00    0.00    0.00   48.83
08:45:49     all   47.62    0.00    1.37    0.00    0.00    0.00    0.00    0.00    0.00   51.02
08:45:50     all   48.70    0.00    1.32    0.00    0.00    0.00    0.00    0.00    0.00   49.97
08:45:51     all   49.48    0.00    1.27    0.00    0.00    0.00    0.00    0.00    0.00   49.25
