Linux 6.8.0-136-generic (856a17914eb3) 	08/10/26 	_x86_64_	(72 CPU)

12:27:54     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:27:55     all   11.51    0.00    0.37    0.00    0.00    0.00    0.00    0.00    0.00   88.11
12:27:56     all    1.36    0.00    0.92    0.01    0.00    0.00    0.00    0.00    0.00   97.71
12:27:57     all    1.49    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   98.36
12:27:58     all    1.39    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.42
12:27:59     all    1.61    0.00    0.31    0.00    0.00    0.00    0.00    0.00    0.00   98.08
12:28:00     all    1.55    0.00    0.31    0.00    0.00    0.00    0.00    0.00    0.00   98.14
12:28:01     all    1.47    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   98.28
12:28:02     all    1.63    0.00    0.26    0.00    0.00    0.00    0.00    0.00    0.00   98.11
12:28:03     all    1.58    0.00    0.29    0.00    0.00    0.00    0.00    0.00    0.00   98.13
12:28:04     all    1.90    0.00    0.31    0.00    0.00    0.00    0.00    0.00    0.00   97.79
12:28:05     all    1.57    0.00    0.24    0.00    0.00    0.00    0.00    0.00    0.00   98.19
12:28:06     all    2.27    0.00    0.46    0.00    0.00    0.00    0.00    0.00    0.00   97.28
12:28:07     all    1.45    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.33
12:28:08     all    1.71    0.00    0.44    0.00    0.00    0.00    0.00    0.00    0.00   97.85
12:28:09     all    1.53    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   98.31
12:28:10     all    1.19    0.00    0.40    0.00    0.00    0.00    0.00    0.00    0.00   98.40
12:28:11     all    1.65    0.01    0.32    0.00    0.00    0.00    0.00    0.00    0.00   98.01
12:28:12     all    1.52    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   98.32
12:28:13     all    1.52    0.00    0.31    0.00    0.00    0.00    0.00    0.00    0.00   98.18
12:28:14     all    1.65    0.00    0.32    0.00    0.00    0.00    0.00    0.00    0.00   98.03
12:28:15     all    1.51    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.31
12:28:16     all    1.39    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.39
12:28:17     all    1.68    0.00    0.29    0.00    0.00    0.00    0.00    0.00    0.00   98.03
12:28:18     all    1.54    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.25
12:28:19     all    1.42    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.36
12:28:20     all    1.54    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.25
