Linux 6.8.0-136-generic (856a17914eb3) 	08/10/26 	_x86_64_	(72 CPU)

12:18:59     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:19:00     all   11.62    0.00    0.47    0.00    0.00    0.00    0.00    0.00    0.00   87.90
12:19:01     all    1.14    0.00    0.87    0.00    0.00    0.00    0.00    0.00    0.00   97.99
12:19:02     all    1.47    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   98.28
12:19:03     all    1.66    0.00    0.28    0.00    0.00    0.00    0.00    0.00    0.00   98.07
12:19:04     all    1.57    0.00    0.36    0.00    0.00    0.00    0.00    0.00    0.00   98.07
12:19:05     all    1.49    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   98.26
12:19:06     all    1.56    0.00    0.24    0.00    0.00    0.01    0.00    0.00    0.00   98.19
12:19:07     all    1.51    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.28
12:19:08     all    1.45    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   98.40
12:19:09     all    1.50    0.00    0.24    0.00    0.00    0.00    0.00    0.00    0.00   98.26
12:19:10     all    1.69    0.00    0.32    0.01    0.00    0.00    0.00    0.00    0.00   97.97
12:19:11     all    1.40    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.40
12:19:12     all    1.74    0.00    0.40    0.00    0.00    0.00    0.00    0.00    0.00   97.86
12:19:13     all    1.53    0.00    0.24    0.00    0.00    0.00    0.00    0.00    0.00   98.24
12:19:14     all    1.10    0.00    0.51    0.00    0.00    0.00    0.00    0.00    0.00   98.39
12:19:15     all    1.65    0.00    0.26    0.00    0.00    0.00    0.00    0.00    0.00   98.08
12:19:16     all    1.56    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   98.29
12:19:17     all    1.37    0.00    0.24    0.00    0.00    0.00    0.00    0.00    0.00   98.39
12:19:18     all    1.67    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.11
12:19:19     all    1.63    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   98.21
12:19:20     all    1.94    0.00    0.56    0.00    0.00    0.00    0.00    0.00    0.00   97.50
12:19:21     all    1.71    0.01    0.32    0.00    0.00    0.00    0.00    0.00    0.00   97.96
12:19:22     all    1.61    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.16
12:19:23     all    1.36    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.46
12:19:24     all    1.58    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   98.25
12:19:25     all    1.53    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   98.22
12:19:26     all    1.43    0.00    0.26    0.00    0.00    0.00    0.00    0.00    0.00   98.30
12:19:27     all    1.60    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.21
12:19:28     all   21.93    0.00    4.33    0.00    0.00    0.00    0.00    0.00    0.00   73.74
12:19:29     all   41.21    0.00    3.27    0.00    0.00    0.00    0.00    0.00    0.00   55.52
12:19:30     all   73.33    0.00    8.08    0.00    0.00    0.01    0.00    0.00    0.00   18.58
12:19:31     all   53.87    0.00    9.00    0.00    0.00    0.00    0.00    0.00    0.00   37.13
12:19:32     all   37.03    0.00    5.51    0.00    0.00    0.00    0.00    0.00    0.00   57.46
12:19:33     all   37.51    0.00    3.81    0.00    0.00    0.00    0.00    0.00    0.00   58.68
12:19:34     all   33.66    0.00    3.43    0.00    0.00    0.00    0.00    0.00    0.00   62.91
12:19:35     all   33.02    0.00    3.13    0.00    0.00    0.01    0.00    0.00    0.00   63.83
12:19:36     all   39.74    0.00    3.06    0.00    0.00    0.01    0.00    0.00    0.00   57.18
12:19:37     all   49.24    0.00    2.54    0.00    0.00    0.00    0.00    0.00    0.00   48.22
12:19:38     all   33.34    0.00    1.70    0.00    0.00    0.00    0.00    0.00    0.00   64.97
12:19:39     all   39.77    0.00    1.95    0.00    0.00    0.00    0.00    0.00    0.00   58.28
12:19:40     all   61.12    0.00    2.90    0.00    0.00    0.00    0.00    0.00    0.00   35.99
12:19:41     all   60.92    0.00    8.31    0.00    0.00    0.00    0.00    0.00    0.00   30.77
12:19:42     all   55.95    0.01   10.70    0.00    0.00    0.01    0.00    0.00    0.00   33.33
12:19:43     all   50.20    0.00    9.84    0.01    0.00    0.00    0.00    0.00    0.00   39.94
12:19:44     all   44.80    0.00    8.49    0.00    0.00    0.01    0.00    0.00    0.00   46.70
12:19:45     all   43.08    0.00    7.27    0.00    0.00    0.00    0.00    0.00    0.00   49.65
12:19:46     all   42.43    0.00    8.48    0.00    0.00    0.00    0.00    0.00    0.00   49.09
12:19:47     all   48.20    0.00    7.98    0.00    0.00    0.03    0.00    0.00    0.00   43.79
12:19:48     all   46.06    0.00   11.44    0.00    0.00    0.01    0.00    0.00    0.00   42.48
12:19:49     all   51.74    0.00   12.32    0.00    0.00    0.00    0.00    0.00    0.00   35.94
12:19:50     all   53.16    0.00   13.91    0.00    0.00    0.00    0.00    0.00    0.00   32.93
12:19:51     all   52.71    0.00   14.05    0.00    0.00    0.00    0.00    0.00    0.00   33.24
12:19:52     all   48.62    0.00   12.82    0.00    0.00    0.01    0.00    0.00    0.00   38.55
12:19:53     all   44.78    0.00   12.07    0.00    0.00    0.00    0.00    0.00    0.00   43.14
12:19:54     all   41.81    0.00   12.58    0.00    0.00    0.00    0.00    0.00    0.00   45.61
12:19:55     all   40.65    0.00   10.53    0.00    0.00    0.00    0.00    0.00    0.00   48.82
12:19:56     all   33.73    0.00   10.09    0.00    0.00    0.00    0.00    0.00    0.00   56.18
12:19:57     all   30.38    0.00    8.35    0.00    0.00    0.00    0.00    0.00    0.00   61.27
12:19:58     all   33.33    0.00    9.25    0.00    0.00    0.01    0.00    0.00    0.00   57.41
12:19:59     all   33.67    0.00    9.88    0.00    0.00    0.00    0.00    0.00    0.00   56.45
12:20:00     all   38.66    0.00    9.58    0.00    0.00    0.00    0.00    0.00    0.00   51.76
