Linux 6.8.0-136-generic (856a17914eb3) 	08/10/26 	_x86_64_	(72 CPU)

12:32:43     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:32:44     all   11.42    0.00    0.64    0.00    0.00    0.00    0.00    0.00    0.00   87.94
12:32:45     all    1.11    0.00    0.93    0.00    0.00    0.00    0.00    0.00    0.00   97.96
12:32:46     all    1.47    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.30
12:32:47     all    1.61    0.00    0.29    0.00    0.00    0.00    0.00    0.00    0.00   98.10
12:32:48     all    1.39    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.43
12:32:49     all    1.58    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.19
12:32:50     all    1.61    0.00    0.31    0.00    0.00    0.00    0.00    0.00    0.00   98.08
12:32:51     all    1.53    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.25
12:32:52     all    1.57    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.25
12:32:53     all    1.57    0.00    0.24    0.00    0.00    0.00    0.00    0.00    0.00   98.19
12:32:54     all    1.93    0.00    0.40    0.00    0.00    0.00    0.00    0.00    0.00   97.67
12:32:55     all    1.65    0.00    0.24    0.00    0.00    0.00    0.00    0.00    0.00   98.11
12:32:56     all    1.64    0.00    0.40    0.00    0.00    0.00    0.00    0.00    0.00   97.96
12:32:57     all    1.47    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.33
12:32:58     all    1.51    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.26
12:32:59     all    1.58    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.21
12:33:00     all    1.76    0.00    0.31    0.00    0.00    0.00    0.00    0.00    0.00   97.93
12:33:01     all    1.46    0.00    0.54    0.00    0.00    0.00    0.00    0.00    0.00   98.00
12:33:02     all    1.57    0.00    0.38    0.00    0.00    0.00    0.00    0.00    0.00   98.05
12:33:03     all    1.42    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   98.43
12:33:04     all    1.58    0.00    0.14    0.00    0.00    0.00    0.00    0.00    0.00   98.28
12:33:05     all    1.61    0.01    0.26    0.00    0.00    0.00    0.00    0.00    0.00   98.11
12:33:06     all    1.69    0.00    0.29    0.00    0.00    0.00    0.00    0.00    0.00   98.01
12:33:07     all    1.89    0.00    0.31    0.00    0.00    0.00    0.00    0.00    0.00   97.81
12:33:08     all    1.51    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.30
12:33:09     all    1.82    0.00    0.35    0.00    0.00    0.00    0.00    0.00    0.00   97.83
12:33:10     all    1.76    0.00    0.31    0.00    0.00    0.00    0.00    0.00    0.00   97.93
12:33:11     all    1.46    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.36
12:33:12     all    1.68    0.00    0.43    0.00    0.00    0.00    0.00    0.00    0.00   97.89
12:33:13     all    1.67    0.00    0.26    0.00    0.00    0.00    0.00    0.00    0.00   98.07
12:33:14     all    1.40    0.00    0.28    0.00    0.00    0.00    0.00    0.00    0.00   98.32
12:33:15     all    1.51    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.29
12:33:16     all    1.58    0.00    0.18    0.01    0.00    0.00    0.00    0.00    0.00   98.22
12:33:17     all   16.12    0.00    3.93    0.00    0.00    0.00    0.00    0.00    0.00   79.95
12:33:18     all   41.10    0.00    2.94    0.00    0.00    0.00    0.00    0.00    0.00   55.96
12:33:19     all   69.32    0.00    6.43    0.00    0.00    0.01    0.00    0.00    0.00   24.23
12:33:20     all   66.65    0.00   10.84    0.00    0.00    0.00    0.00    0.00    0.00   22.51
12:33:21     all   39.33    0.00    5.51    0.00    0.00    0.00    0.00    0.00    0.00   55.16
12:33:22     all   37.62    0.00    3.63    0.00    0.00    0.01    0.00    0.00    0.00   58.73
12:33:23     all   35.52    0.00    3.55    0.00    0.00    0.00    0.00    0.00    0.00   60.93
12:33:24     all   36.15    0.00    3.25    0.00    0.00    0.00    0.00    0.00    0.00   60.61
12:33:25     all   40.35    0.00    3.43    0.00    0.00    0.00    0.00    0.00    0.00   56.23
12:33:26     all   49.23    0.00    2.59    0.00    0.00    0.00    0.00    0.00    0.00   48.18
12:33:27     all   39.66    0.00    1.91    0.00    0.00    0.01    0.00    0.00    0.00   58.42
12:33:28     all   41.10    0.00    2.34    0.00    0.00    0.00    0.00    0.00    0.00   56.56
12:33:29     all   58.01    0.00    2.84    0.00    0.00    0.00    0.00    0.00    0.00   39.15
12:33:30     all   62.50    0.00    5.50    0.00    0.00    0.00    0.00    0.00    0.00   32.01
12:33:32     all   45.53    0.00    6.47    0.00    0.00    0.00    0.00    0.00    0.00   48.00
12:33:33     all   50.19    0.00    9.27    0.00    0.00    0.00    0.00    0.00    0.00   40.54
12:33:34     all   57.11    0.00    9.60    0.00    0.00    0.01    0.00    0.00    0.00   33.27
12:33:35     all   54.96    0.00   10.13    0.00    0.00    0.00    0.00    0.00    0.00   34.91
12:33:36     all   51.30    0.00    9.53    0.00    0.00    0.00    0.00    0.00    0.00   39.17
12:33:37     all   60.62    0.00   13.75    0.00    0.00    0.00    0.00    0.00    0.00   25.63
12:33:38     all   52.12    0.00   12.66    0.00    0.00    0.00    0.00    0.00    0.00   35.22
12:33:39     all   56.01    0.00   12.47    0.00    0.00    0.03    0.00    0.00    0.00   31.49
12:33:40     all   56.24    0.00   12.95    0.00    0.00    0.00    0.00    0.00    0.00   30.81
12:33:41     all   51.43    0.00   13.43    0.00    0.00    0.00    0.00    0.00    0.00   35.14
12:33:42     all   49.09    0.00   12.16    0.00    0.00    0.01    0.00    0.00    0.00   38.74
12:33:43     all   47.49    0.00   12.16    0.00    0.00    0.00    0.00    0.00    0.00   40.35
12:33:44     all   44.49    0.00   10.93    0.00    0.00    0.00    0.00    0.00    0.00   44.58
12:33:45     all   47.68    0.00   12.35    0.00    0.00    0.01    0.00    0.00    0.00   39.95
12:33:46     all   44.66    0.00   11.43    0.00    0.00    0.00    0.00    0.00    0.00   43.91
12:33:47     all   38.80    0.00   11.12    0.00    0.00    0.00    0.00    0.00    0.00   50.08
12:33:48     all   45.48    0.00   11.47    0.00    0.00    0.01    0.00    0.00    0.00   43.03
12:33:49     all   37.65    0.00   10.85    0.00    0.00    0.00    0.00    0.00    0.00   51.50
12:33:50     all   36.16    0.00   12.48    0.00    0.00    0.00    0.00    0.00    0.00   51.36
12:33:51     all   48.24    0.00   12.00    0.00    0.00    0.00    0.00    0.00    0.00   39.76
12:33:52     all   37.00    0.00   11.09    0.00    0.00    0.01    0.00    0.00    0.00   51.89
12:33:53     all   41.95    0.00   10.43    0.00    0.00    0.00    0.00    0.00    0.00   47.62
12:33:54     all   47.52    0.00   12.12    0.00    0.00    0.01    0.00    0.00    0.00   40.34
12:33:55     all   46.72    0.00   12.85    0.00    0.00    0.00    0.00    0.00    0.00   40.43
12:33:56     all   40.76    0.00   12.25    0.00    0.00    0.01    0.00    0.00    0.00   46.98
12:33:57     all   52.73    0.00   12.05    0.00    0.00    0.01    0.00    0.00    0.00   35.20
12:33:58     all   44.07    0.00   13.19    0.00    0.00    0.00    0.00    0.00    0.00   42.73
12:33:59     all   33.16    0.00   10.47    0.00    0.00    0.00    0.00    0.00    0.00   56.37
12:34:00     all   35.09    0.00    8.46    0.00    0.00    0.03    0.00    0.00    0.00   56.42
12:34:01     all   40.58    0.00   10.93    0.00    0.00    0.00    0.00    0.00    0.00   48.49
12:34:02     all   44.46    0.01   10.29    0.00    0.00    0.00    0.00    0.00    0.00   45.23
12:34:03     all   39.55    0.00   12.74    0.00    0.00    0.01    0.00    0.00    0.00   47.69
12:34:04     all   45.93    0.00   12.31    0.03    0.00    0.00    0.00    0.00    0.00   41.74
12:34:05     all   40.90    0.00   12.76    0.00    0.00    0.01    0.00    0.00    0.00   46.33
12:34:06     all   44.29    0.00   15.98    0.00    0.00    0.00    0.00    0.00    0.00   39.73
12:34:07     all   45.42    0.00   13.07    0.00    0.00    0.01    0.00    0.00    0.00   41.50
12:34:08     all   46.21    0.00   14.57    0.01    0.00    0.00    0.00    0.00    0.00   39.20
12:34:09     all   46.63    0.00   15.37    0.00    0.00    0.01    0.00    0.00    0.00   37.99
12:34:10     all   51.28    0.00   12.66    0.00    0.00    0.00    0.00    0.00    0.00   36.06
12:34:11     all   47.85    0.00   16.78    0.00    0.00    0.00    0.00    0.00    0.00   35.37
12:34:12     all   43.74    0.00   12.05    0.03    0.00    0.00    0.00    0.00    0.00   44.18
12:34:13     all   47.73    0.00   13.80    0.00    0.00    0.00    0.00    0.00    0.00   38.46
12:34:14     all   46.24    0.00   14.38    0.00    0.00    0.01    0.00    0.00    0.00   39.36
12:34:15     all   44.82    0.00   12.48    0.00    0.00    0.00    0.00    0.00    0.00   42.70
12:34:16     all   43.09    0.00   12.87    0.00    0.00    0.00    0.00    0.00    0.00   44.05
