Linux 6.8.0-136-generic (856a17914eb3) 	08/10/26 	_x86_64_	(72 CPU)

08:50:55     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:50:56     all   11.46    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   88.04
08:50:57     all    1.40    0.00    0.97    0.00    0.00    0.00    0.00    0.00    0.00   97.63
08:50:58     all    1.58    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.24
08:50:59     all    1.64    0.00    0.26    0.00    0.00    0.00    0.00    0.00    0.00   98.10
08:51:00     all    1.84    0.00    0.31    0.00    0.00    0.00    0.00    0.00    0.00   97.86
08:51:01     all    1.69    0.00    0.46    0.00    0.00    0.00    0.00    0.00    0.00   97.85
08:51:02     all    1.56    0.00    0.32    0.00    0.00    0.00    0.00    0.00    0.00   98.12
08:51:03     all    1.43    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   98.40
08:51:04     all    1.33    0.00    0.46    0.00    0.00    0.00    0.00    0.00    0.00   98.21
08:51:05     all    1.53    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.29
08:51:06     all    1.38    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   98.46
08:51:07     all    1.74    0.00    0.29    0.00    0.00    0.00    0.00    0.00    0.00   97.97
08:51:08     all    1.67    0.00    0.36    0.00    0.00    0.00    0.00    0.00    0.00   97.97
08:51:09     all    1.46    0.03    0.24    0.00    0.00    0.00    0.00    0.00    0.00   98.28
08:51:10     all    2.01    0.00    0.26    0.00    0.00    0.01    0.00    0.00    0.00   97.71
08:51:11     all   15.16    0.00    2.28    0.00    0.00    0.01    0.00    0.00    0.00   82.55
08:51:12     all   26.28    0.00    2.60    0.01    0.00    0.00    0.00    0.00    0.00   71.10
08:51:13     all   26.20    0.00    1.82    0.00    0.00    0.00    0.00    0.00    0.00   71.97
08:51:14     all   32.98    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   62.94
08:51:15     all   30.55    0.00    3.76    0.01    0.00    0.00    0.00    0.00    0.00   65.68
08:51:16     all   28.06    0.00    3.39    0.00    0.00    0.00    0.00    0.00    0.00   68.55
08:51:17     all   26.38    0.00    2.91    0.00    0.00    0.00    0.00    0.00    0.00   70.71
08:51:18     all   26.26    0.00    2.30    0.00    0.00    0.00    0.00    0.00    0.00   71.45
08:51:19     all   28.14    0.00    2.31    0.00    0.00    0.01    0.00    0.00    0.00   69.54
08:51:20     all   24.35    0.00    2.16    0.00    0.00    0.00    0.00    0.00    0.00   73.50
08:51:21     all   27.03    0.00    1.53    0.00    0.00    0.04    0.00    0.00    0.00   71.40
08:51:22     all   30.89    0.00    1.88    0.00    0.00    0.01    0.00    0.00    0.00   67.22
08:51:23     all   36.39    0.01    1.21    0.00    0.00    0.01    0.00    0.00    0.00   62.37
08:51:24     all   26.42    0.00    1.42    0.00    0.00    0.00    0.00    0.00    0.00   72.16
08:51:25     all   26.37    0.00    1.51    0.00    0.00    0.00    0.00    0.00    0.00   72.12
08:51:26     all   34.27    0.00    1.53    0.00    0.00    0.00    0.00    0.00    0.00   64.20
08:51:27     all   32.61    0.00    5.72    0.00    0.00    0.00    0.00    0.00    0.00   61.67
08:51:28     all   26.20    0.00    5.15    0.00    0.00    0.00    0.00    0.00    0.00   68.65
08:51:29     all   18.48    0.00    3.72    0.00    0.00    0.00    0.00    0.00    0.00   77.80
08:51:30     all   18.60    0.00    4.17    0.00    0.00    0.00    0.00    0.00    0.00   77.22
08:51:31     all   22.28    0.00    4.22    0.00    0.00    0.00    0.00    0.00    0.00   73.51
08:51:32     all   21.68    0.00    3.65    0.01    0.00    0.00    0.00    0.00    0.00   74.66
08:51:33     all   23.51    0.00    5.31    0.00    0.00    0.00    0.00    0.00    0.00   71.18
08:51:34     all   21.63    0.00    3.51    0.00    0.00    0.00    0.00    0.00    0.00   74.86
08:51:35     all   28.78    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   65.16
08:51:36     all   31.62    0.00    5.75    0.00    0.00    0.00    0.00    0.00    0.00   62.63
08:51:37     all   34.82    0.00    8.39    0.00    0.00    0.01    0.00    0.00    0.00   56.78
08:51:38     all   31.78    0.00    8.63    0.00    0.00    0.00    0.00    0.00    0.00   59.59
08:51:39     all   24.51    0.00    5.96    0.00    0.00    0.00    0.00    0.00    0.00   69.53
08:51:40     all   28.92    0.00    9.03    0.00    0.00    0.00    0.00    0.00    0.00   62.06
08:51:41     all   27.80    0.00    8.74    0.00    0.00    0.00    0.00    0.00    0.00   63.46
08:51:42     all   26.41    0.00    7.30    0.00    0.00    0.00    0.00    0.00    0.00   66.28
08:51:43     all   22.23    0.00    6.09    0.00    0.00    0.00    0.00    0.00    0.00   71.69
08:51:44     all   18.82    0.00    6.56    0.01    0.00    0.00    0.00    0.00    0.00   74.61
08:51:45     all   18.03    0.00    4.94    0.00    0.00    0.03    0.00    0.00    0.00   77.01
08:51:46     all   19.82    0.00    5.40    0.00    0.00    0.00    0.00    0.00    0.00   74.78
08:51:47     all   19.35    0.00    5.41    0.00    0.00    0.00    0.00    0.00    0.00   75.24
08:51:48     all   16.44    0.00    4.07    0.00    0.00    0.01    0.00    0.00    0.00   79.47
08:51:49     all   19.67    0.00    5.38    0.00    0.00    0.00    0.00    0.00    0.00   74.94
08:51:50     all   17.76    0.00    4.98    0.00    0.00    0.00    0.00    0.00    0.00   77.27
08:51:51     all   20.94    0.00    6.61    0.00    0.00    0.00    0.00    0.00    0.00   72.45
08:51:52     all   19.61    0.00    4.93    0.00    0.00    0.00    0.00    0.00    0.00   75.46
08:51:53     all   18.26    0.00    5.83    0.00    0.00    0.00    0.00    0.00    0.00   75.91
08:51:54     all   16.60    0.00    5.26    0.00    0.00    0.00    0.00    0.00    0.00   78.14
08:51:55     all   16.48    0.01    5.15    0.00    0.00    0.00    0.00    0.00    0.00   78.35
08:51:56     all   23.66    0.00    5.09    0.00    0.00    0.00    0.00    0.00    0.00   71.25
08:51:57     all   23.29    0.00    5.12    0.00    0.00    0.00    0.00    0.00    0.00   71.59
08:51:58     all   29.41    0.00    6.08    0.00    0.00    0.00    0.00    0.00    0.00   64.51
08:51:59     all   31.53    0.00    7.40    0.00    0.00    0.00    0.00    0.00    0.00   61.08
08:52:00     all   30.17    0.00    5.67    0.00    0.00    0.01    0.00    0.00    0.00   64.15
08:52:01     all   26.81    0.00    5.86    0.00    0.00    0.00    0.00    0.00    0.00   67.33
08:52:02     all   29.62    0.00    6.30    0.00    0.00    0.00    0.00    0.00    0.00   64.08
08:52:03     all   27.52    0.00    4.96    0.00    0.00    0.00    0.00    0.00    0.00   67.52
08:52:04     all   27.91    0.00    6.32    0.00    0.00    0.00    0.00    0.00    0.00   65.77
08:52:05     all   25.45    0.00    7.46    0.00    0.00    0.00    0.00    0.00    0.00   67.09
08:52:06     all   24.50    0.00    6.92    0.01    0.00    0.00    0.00    0.00    0.00   68.57
08:52:07     all   18.42    0.00    6.34    0.00    0.00    0.00    0.00    0.00    0.00   75.24
08:52:08     all   20.74    0.00    6.89    0.00    0.00    0.00    0.00    0.00    0.00   72.37
08:52:09     all   17.80    0.00    5.61    0.00    0.00    0.00    0.00    0.00    0.00   76.60
08:52:10     all   16.54    0.00    4.20    0.00    0.00    0.01    0.00    0.00    0.00   79.25
08:52:11     all   17.19    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   76.81
08:52:12     all    8.38    0.00   12.94    0.00    0.00    0.00    0.00    0.00    0.00   78.68
08:52:13     all    0.54    0.00    3.10    0.00    0.00    0.00    0.00    0.00    0.00   96.36
08:52:14     all    0.63    0.00    1.85    0.00    0.00    0.00    0.00    0.00    0.00   97.52
08:52:15     all    0.19    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   99.74
08:52:16     all    0.35    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   99.43
08:52:17     all    0.04    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   99.86
08:52:18     all    0.24    0.00    0.11    0.00    0.00    0.00    0.00    0.00    0.00   99.65
08:52:19     all    0.44    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   99.39
08:52:20     all    0.06    0.00    0.06    0.00    0.00    0.00    0.00    0.00    0.00   99.89
08:52:21     all    0.38    0.00    0.36    0.00    0.00    0.00    0.00    0.00    0.00   99.26
08:52:22     all    0.24    0.00    0.10    0.00    0.00    0.01    0.00    0.00    0.00   99.65
08:52:23     all    0.17    0.00    0.24    0.00    0.00    0.00    0.00    0.00    0.00   99.60
08:52:24     all    0.33    0.00    0.14    0.00    0.00    0.00    0.00    0.00    0.00   99.53
08:52:25     all    0.32    0.00    0.08    0.00    0.00    0.00    0.00    0.00    0.00   99.60
08:52:26     all    0.04    0.00    0.08    0.00    0.00    0.00    0.00    0.00    0.00   99.87
08:52:27     all    0.32    0.01    0.17    0.00    0.00    0.00    0.00    0.00    0.00   99.50
08:52:28     all    0.31    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   99.54
08:52:29     all    0.25    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   99.53
08:52:30     all    0.58    0.00    0.13    0.00    0.00    0.00    0.00    0.00    0.00   99.29
08:52:31     all    0.33    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   99.57
08:52:32     all    0.44    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.31
08:52:33     all    0.35    0.01    0.12    0.00    0.00    0.01    0.00    0.00    0.00   99.50
08:52:34     all    0.49    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.26
08:52:35     all    0.40    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   99.40
Average:     all   15.49    0.00    3.25    0.00    0.00    0.00    0.00    0.00    0.00   81.26
