Linux 6.8.0-136-generic (856a17914eb3) 	08/10/26 	_x86_64_	(72 CPU)

12:05:44     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:05:45     all   11.41    0.00    0.58    0.00    0.00    0.00    0.00    0.00    0.00   88.00
12:05:46     all    1.14    0.00    0.79    0.00    0.00    0.00    0.00    0.00    0.00   98.07
12:05:47     all    1.50    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.30
12:05:48     all    1.43    0.00    0.26    0.00    0.00    0.00    0.00    0.00    0.00   98.31
12:05:49     all    1.56    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.22
12:05:50     all    1.58    0.00    0.24    0.00    0.00    0.00    0.00    0.00    0.00   98.18
12:05:51     all    1.36    0.00    0.31    0.00    0.00    0.00    0.00    0.00    0.00   98.33
12:05:52     all    1.64    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   98.19
12:05:53     all    1.71    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   98.04
12:05:54     all    1.40    0.00    0.28    0.00    0.00    0.00    0.00    0.00    0.00   98.32
12:05:55     all    1.79    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   97.88
12:05:56     all    1.81    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   97.98
12:05:57     all    1.32    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.48
12:05:58     all    1.63    0.01    0.26    0.00    0.00    0.00    0.00    0.00    0.00   98.10
12:05:59     all    1.64    0.00    0.29    0.00    0.00    0.00    0.00    0.00    0.00   98.07
12:06:00     all    1.28    0.00    0.63    0.00    0.00    0.00    0.00    0.00    0.00   98.10
12:06:01     all    1.60    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   98.15
12:06:02     all    1.54    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   98.21
12:06:03     all    1.44    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.33
12:06:04     all    1.60    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.21
12:06:05     all    2.10    0.00    0.40    0.00    0.00    0.00    0.00    0.00    0.00   97.50
12:06:06     all    1.35    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.46
12:06:07     all    1.61    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   98.24
12:06:08     all    1.74    0.00    0.31    0.00    0.00    0.00    0.00    0.00    0.00   97.96
12:06:09     all    1.32    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.47
12:06:10     all    1.58    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.19
12:06:11     all    1.64    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.17
12:06:12     all    1.38    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   98.46
12:06:13     all   13.27    0.00    3.13    0.00    0.00    0.00    0.00    0.00    0.00   83.60
12:06:14     all   36.73    0.00    3.39    0.00    0.00    0.00    0.00    0.00    0.00   59.89
12:06:15     all   60.38    0.00    4.62    0.00    0.00    0.00    0.00    0.00    0.00   35.00
12:06:16     all   62.28    0.01    9.57    0.00    0.00    0.01    0.00    0.00    0.00   28.12
12:06:17     all   38.39    0.00    6.03    0.00    0.00    0.01    0.00    0.00    0.00   55.56
12:06:18     all   37.16    0.00    4.50    0.00    0.00    0.00    0.00    0.00    0.00   58.34
12:06:19     all   37.59    0.00    4.10    0.00    0.00    0.00    0.00    0.00    0.00   58.31
12:06:20     all   30.14    0.00    2.94    0.00    0.00    0.00    0.00    0.00    0.00   66.92
12:06:21     all   35.41    0.00    3.17    0.00    0.00    0.00    0.00    0.00    0.00   61.42
12:06:22     all   44.30    0.00    2.41    0.00    0.00    0.00    0.00    0.00    0.00   53.29
12:06:23     all   46.18    0.00    1.88    0.00    0.00    0.00    0.00    0.00    0.00   51.94
12:06:24     all   31.98    0.00    1.78    0.00    0.00    0.00    0.00    0.00    0.00   66.24
12:06:25     all   48.20    0.00    2.41    0.00    0.00    0.00    0.00    0.00    0.00   49.39
12:06:26     all   71.17    0.00    6.39    0.01    0.00    0.00    0.00    0.00    0.00   22.42
12:06:27     all   59.48    0.00   12.61    0.00    0.00    0.01    0.00    0.00    0.00   27.90
12:06:28     all   45.50    0.00    8.63    0.01    0.00    0.00    0.00    0.00    0.00   45.85
12:06:29     all   30.39    0.00    6.07    0.00    0.00    0.00    0.00    0.00    0.00   63.54
12:06:30     all   34.94    0.00    7.50    0.00    0.00    0.00    0.00    0.00    0.00   57.56
12:06:31     all   38.15    0.00    7.82    0.00    0.00    0.00    0.00    0.00    0.00   54.03
12:06:32     all   55.33    0.00   10.73    0.00    0.00    0.00    0.00    0.00    0.00   33.94
12:06:33     all   59.87    0.00   12.01    0.00    0.00    0.00    0.00    0.00    0.00   28.12
12:06:34     all   59.58    0.00   14.55    0.00    0.00    0.01    0.00    0.00    0.00   25.86
12:06:35     all   55.14    0.00   15.05    0.00    0.00    0.00    0.00    0.00    0.00   29.80
12:06:36     all   51.22    0.00   16.77    0.00    0.00    0.00    0.00    0.00    0.00   32.00
12:06:37     all   50.29    0.00   13.48    0.00    0.00    0.00    0.00    0.00    0.00   36.23
12:06:38     all   46.48    0.00   15.23    0.00    0.00    0.00    0.00    0.00    0.00   38.29
12:06:39     all   42.58    0.00   13.26    0.00    0.00    0.00    0.00    0.00    0.00   44.15
12:06:40     all   37.42    0.00   10.94    0.00    0.00    0.00    0.00    0.00    0.00   51.64
12:06:41     all   34.01    0.00    8.57    0.00    0.00    0.01    0.00    0.00    0.00   57.41
12:06:42     all   30.85    0.00    8.12    0.00    0.00    0.00    0.00    0.00    0.00   61.03
12:06:43     all   33.87    0.00    9.25    0.00    0.00    0.00    0.00    0.00    0.00   56.88
12:06:44     all   30.05    0.00   10.02    0.00    0.00    0.00    0.00    0.00    0.00   59.93
12:06:45     all   34.48    0.00   10.33    0.00    0.00    0.00    0.00    0.00    0.00   55.19
12:06:46     all   39.29    0.00   12.87    0.00    0.00    0.03    0.00    0.00    0.00   47.81
12:06:47     all   39.32    0.00   10.77    0.00    0.00    0.00    0.00    0.00    0.00   49.91
