Linux 6.8.0-136-generic (856a17914eb3) 	08/10/26 	_x86_64_	(72 CPU)

07:40:10     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:40:11     all   11.50    0.00    0.39    0.00    0.00    0.00    0.00    0.00    0.00   88.11
07:40:12     all    1.04    0.00    0.78    0.00    0.00    0.00    0.00    0.00    0.00   98.18
07:40:13     all    1.32    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.50
07:40:14     all    1.61    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.18
07:40:15     all    1.62    0.00    0.31    0.00    0.00    0.00    0.00    0.00    0.00   98.07
07:40:16     all    1.43    0.00    0.14    0.00    0.00    0.00    0.00    0.00    0.00   98.43
07:40:17     all    2.08    0.00    0.28    0.00    0.00    0.00    0.00    0.00    0.00   97.64
07:40:18     all    1.68    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.11
07:40:19     all    1.14    0.00    0.53    0.00    0.00    0.00    0.00    0.00    0.00   98.33
07:40:20     all    1.67    0.00    0.42    0.00    0.00    0.00    0.00    0.00    0.00   97.91
07:40:21     all    1.54    0.00    0.13    0.00    0.00    0.00    0.00    0.00    0.00   98.33
07:40:22     all    1.35    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   98.50
07:40:23     all    1.63    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.15
07:40:24     all    1.63    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.18
07:40:25     all    1.40    0.00    0.12    0.00    0.00    0.00    0.00    0.00    0.00   98.47
07:40:26     all   15.48    0.00    3.52    0.01    0.00    0.00    0.00    0.00    0.00   80.98
07:40:27     all   34.11    0.00    1.62    0.00    0.00    0.01    0.00    0.00    0.00   64.26
07:40:28     all   40.68    0.00    1.87    0.00    0.00    0.00    0.00    0.00    0.00   57.45
07:40:29     all   43.52    0.00    2.73    0.00    0.00    0.00    0.00    0.00    0.00   53.74
07:40:30     all   43.07    0.00    1.89    0.00    0.00    0.00    0.00    0.00    0.00   55.04
07:40:31     all   37.47    0.00    1.77    0.00    0.00    0.00    0.00    0.00    0.00   60.76
07:40:32     all   37.21    0.00    0.88    0.00    0.00    0.00    0.00    0.00    0.00   61.91
07:40:33     all   36.45    0.00    0.82    0.00    0.00    0.00    0.00    0.00    0.00   62.73
07:40:34     all   34.94    0.00    0.77    0.00    0.00    0.00    0.00    0.00    0.00   64.29
07:40:35     all   41.75    0.00    0.71    0.00    0.00    0.01    0.00    0.00    0.00   57.52
07:40:36     all   46.44    0.00    0.75    0.00    0.00    0.00    0.00    0.00    0.00   52.81
07:40:37     all   37.21    0.00    0.54    0.00    0.00    0.00    0.00    0.00    0.00   62.25
07:40:38     all   39.09    0.00    0.92    0.00    0.00    0.04    0.00    0.00    0.00   59.95
07:40:39     all   51.05    0.00    0.87    0.01    0.00    0.00    0.00    0.00    0.00   48.07
07:40:40     all   45.33    0.00    2.13    0.00    0.00    0.00    0.00    0.00    0.00   52.54
07:40:41     all   34.87    0.00    1.67    0.00    0.00    0.00    0.00    0.00    0.00   63.46
07:40:42     all   31.38    0.00    1.39    0.00    0.00    0.00    0.00    0.00    0.00   67.23
07:40:43     all   36.20    0.00    1.70    0.00    0.00    0.01    0.00    0.00    0.00   62.09
07:40:44     all   39.39    0.00    2.16    0.00    0.00    0.00    0.00    0.00    0.00   58.45
07:40:45     all   42.19    0.00    1.44    0.00    0.00    0.00    0.00    0.00    0.00   56.38
07:40:46     all   47.49    0.00    2.14    0.00    0.00    0.00    0.00    0.00    0.00   50.37
07:40:47     all   49.41    0.00    2.23    0.00    0.00    0.00    0.00    0.00    0.00   48.36
07:40:48     all   53.79    0.00    3.37    0.00    0.00    0.01    0.00    0.00    0.00   42.83
07:40:49     all   51.71    0.00    3.66    0.00    0.00    0.00    0.00    0.00    0.00   44.63
07:40:50     all   46.97    0.00    3.59    0.00    0.00    0.00    0.00    0.00    0.00   49.44
07:40:51     all   49.17    0.00    3.16    0.00    0.00    0.00    0.00    0.00    0.00   47.67
07:40:52     all   44.44    0.00    3.84    0.00    0.00    0.00    0.00    0.00    0.00   51.72
07:40:53     all   44.65    0.00    1.92    0.00    0.00    0.01    0.00    0.00    0.00   53.41
07:40:54     all   38.44    0.00    1.47    0.00    0.00    0.00    0.00    0.00    0.00   60.09
07:40:55     all   33.10    0.00    1.21    0.01    0.00    0.00    0.00    0.00    0.00   65.68
07:40:56     all   36.36    0.00    2.20    0.00    0.00    0.00    0.00    0.00    0.00   61.44
07:40:57     all   38.88    0.00    1.94    0.00    0.00    0.00    0.00    0.00    0.00   59.18
