Linux 6.8.0-136-generic (856a17914eb3) 	08/10/26 	_x86_64_	(72 CPU)

10:35:43     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:35:44     all   11.47    0.00    0.39    0.00    0.00    0.00    0.00    0.00    0.00   88.14
10:35:45     all    1.59    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   97.41
10:35:46     all    1.51    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.29
10:35:47     all    1.39    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.39
10:35:48     all    1.64    0.00    0.26    0.00    0.00    0.00    0.00    0.00    0.00   98.10
10:35:49     all    1.63    0.00    0.28    0.00    0.00    0.00    0.00    0.00    0.00   98.10
10:35:50     all    1.60    0.00    0.38    0.00    0.00    0.00    0.00    0.00    0.00   98.03
10:35:51     all    1.83    0.00    0.61    0.01    0.00    0.00    0.00    0.00    0.00   97.54
10:35:52     all    2.24    0.00    0.26    0.01    0.00    0.00    0.00    0.00    0.00   97.48
10:35:53     all    1.39    0.00    0.29    0.00    0.00    0.00    0.00    0.00    0.00   98.32
10:35:54     all    1.57    0.00    0.24    0.00    0.00    0.00    0.00    0.00    0.00   98.19
10:35:55     all    1.61    0.00    0.18    0.01    0.00    0.00    0.00    0.00    0.00   98.19
10:35:56     all    1.43    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.38
10:35:57     all    1.74    0.00    0.35    0.00    0.00    0.00    0.00    0.00    0.00   97.92
10:35:58     all    2.07    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   97.43
10:35:59     all    1.39    0.00    0.31    0.00    0.00    0.00    0.00    0.00    0.00   98.30
10:36:00     all    1.62    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.20
10:36:01     all    1.33    0.00    0.53    0.00    0.00    0.00    0.00    0.00    0.00   98.14
10:36:02     all    1.40    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.39
10:36:03     all    1.71    0.00    0.28    0.00    0.00    0.00    0.00    0.00    0.00   98.01
10:36:04     all    1.61    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   98.22
10:36:05     all    1.46    0.00    0.28    0.00    0.00    0.00    0.00    0.00    0.00   98.26
10:36:06     all    1.64    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   98.03
10:36:07     all    2.03    0.00    0.57    0.03    0.00    0.00    0.00    0.00    0.00   97.37
10:36:08     all    1.99    0.00    0.35    0.00    0.00    0.00    0.00    0.00    0.00   97.67
10:36:09     all    1.60    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.22
10:36:10     all    1.50    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   98.25
10:36:11     all    1.43    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   98.40
10:36:12     all    1.57    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.21
10:36:13     all    1.67    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.12
10:36:14     all    1.46    0.00    0.28    0.00    0.00    0.00    0.00    0.00    0.00   98.26
