Linux 6.8.0-136-generic (856a17914eb3) 	08/10/26 	_x86_64_	(72 CPU)

09:50:43     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:50:44     all   11.49    0.00    0.40    0.00    0.00    0.00    0.00    0.00    0.00   88.10
09:50:45     all    1.10    0.00    0.83    0.00    0.00    0.00    0.00    0.00    0.00   98.07
09:50:46     all    1.39    0.00    0.28    0.00    0.00    0.00    0.00    0.00    0.00   98.33
09:50:47     all    1.74    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   97.93
09:50:48     all    1.57    0.00    0.24    0.00    0.00    0.00    0.00    0.00    0.00   98.19
09:50:49     all    1.82    0.00    0.53    0.00    0.00    0.00    0.00    0.00    0.00   97.65
09:50:50     all    2.22    0.00    0.39    0.00    0.00    0.00    0.00    0.00    0.00   97.39
09:50:51     all    1.51    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.31
09:50:52     all    1.50    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   98.25
09:50:53     all    1.50    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.32
09:50:54     all    1.50    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   98.25
09:50:55     all    1.43    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.39
09:50:56     all    1.33    0.00    0.47    0.00    0.00    0.00    0.00    0.00    0.00   98.19
09:50:57     all    1.67    0.00    0.35    0.00    0.00    0.00    0.00    0.00    0.00   97.99
09:50:58     all    1.40    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.42
09:50:59     all    1.58    0.00    0.26    0.00    0.00    0.00    0.00    0.00    0.00   98.15
09:51:00     all    1.57    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.24
09:51:01     all    1.44    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.33
09:51:02     all    1.72    0.00    0.26    0.00    0.00    0.00    0.00    0.00    0.00   98.01
09:51:03     all    2.15    0.00    0.42    0.01    0.00    0.00    0.00    0.00    0.00   97.41
09:51:04     all    1.99    0.00    0.31    0.00    0.00    0.00    0.00    0.00    0.00   97.71
09:51:05     all    1.61    0.01    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.18
09:51:06     all    8.45    0.00    5.91    0.00    0.00    0.00    0.00    0.00    0.00   85.64
09:51:07     all   40.79    0.00    1.97    0.00    0.00    0.00    0.00    0.00    0.00   57.24
09:51:08     all   49.19    0.00    1.73    0.00    0.00    0.00    0.00    0.00    0.00   49.08
09:51:09     all   60.17    0.00    4.73    0.00    0.00    0.01    0.00    0.00    0.00   35.09
09:51:10     all   48.03    0.03    2.58    0.00    0.00    0.00    0.00    0.00    0.00   49.37
09:51:11     all   45.04    0.00    2.24    0.00    0.00    0.01    0.00    0.00    0.00   52.70
09:51:12     all   40.92    0.00    1.45    0.00    0.00    0.00    0.00    0.00    0.00   57.63
