Linux 6.8.0-136-generic (856a17914eb3) 	08/10/26 	_x86_64_	(72 CPU)

09:47:32     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:47:33     all   11.48    0.00    0.61    0.00    0.00    0.00    0.00    0.00    0.00   87.91
09:47:34     all    1.28    0.00    0.74    0.00    0.00    0.00    0.00    0.00    0.00   97.98
09:47:35     all    1.54    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.26
09:47:36     all    1.39    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   98.44
09:47:37     all    1.57    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   98.26
09:47:38     all    1.57    0.00    0.31    0.00    0.00    0.00    0.00    0.00    0.00   98.12
09:47:39     all    1.39    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.40
09:47:40     all    1.58    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.24
09:47:41     all    1.57    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.22
09:47:42     all    1.33    0.00    0.26    0.00    0.00    0.00    0.00    0.00    0.00   98.40
09:47:43     all    1.68    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.11
09:47:44     all    1.67    0.00    0.29    0.00    0.00    0.00    0.00    0.00    0.00   98.04
09:47:45     all    1.35    0.00    0.24    0.00    0.00    0.00    0.00    0.00    0.00   98.42
09:47:46     all    1.57    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.21
09:47:47     all    1.60    0.00    0.26    0.00    0.00    0.00    0.00    0.00    0.00   98.14
09:47:48     all    1.74    0.00    0.38    0.00    0.00    0.00    0.00    0.00    0.00   97.89
09:47:49     all    1.86    0.00    0.26    0.00    0.00    0.00    0.00    0.00    0.00   97.87
09:47:50     all    1.29    0.00    0.53    0.00    0.00    0.00    0.00    0.00    0.00   98.18
09:47:51     all    1.33    0.00    0.24    0.00    0.00    0.00    0.00    0.00    0.00   98.43
09:47:52     all    1.68    0.00    0.24    0.00    0.00    0.00    0.00    0.00    0.00   98.08
09:47:53     all    1.65    0.00    0.31    0.00    0.00    0.00    0.00    0.00    0.00   98.04
09:47:54     all    1.39    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   98.44
09:47:55     all    1.61    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.18
09:47:56     all    1.63    0.00    0.14    0.00    0.00    0.00    0.00    0.00    0.00   98.24
09:47:57     all    1.35    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.44
09:47:58     all    1.61    0.00    0.24    0.00    0.00    0.00    0.00    0.00    0.00   98.15
09:47:59     all    1.67    0.00    0.24    0.00    0.00    0.00    0.00    0.00    0.00   98.10
09:48:00     all    1.36    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   98.49
09:48:01     all    1.62    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.17
09:48:02     all    1.53    0.00    0.24    0.00    0.00    0.00    0.00    0.00    0.00   98.23
09:48:03     all    1.42    0.00    0.24    0.00    0.00    0.00    0.00    0.00    0.00   98.35
09:48:04     all    1.68    0.00    0.24    0.00    0.00    0.00    0.00    0.00    0.00   98.08
09:48:05     all    1.75    0.00    0.42    0.00    0.00    0.00    0.00    0.00    0.00   97.83
09:48:06     all    7.48    0.00    3.35    0.00    0.00    0.00    0.00    0.00    0.00   89.17
09:48:07     all   43.12    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   54.84
09:48:08     all   48.71    0.00    1.60    0.00    0.00    0.01    0.00    0.00    0.00   49.67
09:48:09     all   65.90    0.00    4.09    0.01    0.00    0.00    0.00    0.00    0.00   30.00
09:48:10     all   69.59    0.00    3.10    0.00    0.00    0.01    0.00    0.00    0.00   27.30
09:48:11     all   53.89    0.00    2.34    0.00    0.00    0.00    0.00    0.00    0.00   43.77
09:48:12     all   41.91    0.00    1.34    0.00    0.00    0.03    0.00    0.00    0.00   56.72
09:48:13     all   48.67    0.00    1.66    0.00    0.00    0.00    0.00    0.00    0.00   49.67
09:48:14     all   44.36    0.00    1.12    0.00    0.00    0.00    0.00    0.00    0.00   54.53
09:48:15     all   50.80    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   48.18
09:48:16     all   54.15    0.00    0.81    0.00    0.00    0.00    0.00    0.00    0.00   45.04
09:48:17     all   48.79    0.00    0.84    0.00    0.00    0.00    0.00    0.00    0.00   50.38
09:48:18     all   35.84    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   63.14
09:48:19     all   46.36    0.00    0.92    0.00    0.00    0.00    0.00    0.00    0.00   52.72
09:48:20     all   53.32    0.00    1.69    0.00    0.00    0.00    0.00    0.00    0.00   44.99
09:48:21     all   57.83    0.00    2.83    0.00    0.00    0.01    0.00    0.00    0.00   39.33
09:48:22     all   43.90    0.00    2.16    0.00    0.00    0.00    0.00    0.00    0.00   53.94
09:48:23     all   37.60    0.00    1.74    0.00    0.00    0.00    0.00    0.00    0.00   60.66
09:48:24     all   37.43    0.00    1.91    0.00    0.00    0.00    0.00    0.00    0.00   60.66
09:48:25     all   45.42    0.00    2.26    0.00    0.00    0.00    0.00    0.00    0.00   52.32
09:48:26     all   48.79    0.00    2.11    0.00    0.00    0.00    0.00    0.00    0.00   49.11
09:48:27     all   52.61    0.00    1.81    0.00    0.00    0.00    0.00    0.00    0.00   45.58
09:48:28     all   58.33    0.00    2.21    0.00    0.00    0.00    0.00    0.00    0.00   39.46
09:48:29     all   59.98    0.00    4.21    0.00    0.00    0.00    0.00    0.00    0.00   35.81
09:48:30     all   60.38    0.00    3.99    0.00    0.00    0.00    0.00    0.00    0.00   35.63
09:48:31     all   58.08    0.01    4.42    0.00    0.00    0.01    0.00    0.00    0.00   37.48
09:48:32     all   59.62    0.00    5.17    0.00    0.00    0.01    0.00    0.00    0.00   35.19
09:48:33     all   59.36    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   36.64
09:48:34     all   59.88    0.00    5.36    0.00    0.00    0.00    0.00    0.00    0.00   34.76
09:48:35     all   57.92    0.00    3.50    0.00    0.00    0.00    0.00    0.00    0.00   38.59
09:48:36     all   60.65    0.00    3.37    0.00    0.00    0.01    0.00    0.00    0.00   35.97
09:48:37     all   47.90    0.00    3.08    0.00    0.00    0.00    0.00    0.00    0.00   49.02
09:48:38     all   55.95    0.00    2.93    0.00    0.00    0.00    0.00    0.00    0.00   41.12
09:48:39     all   56.02    0.00    3.48    0.00    0.00    0.00    0.00    0.00    0.00   40.50
09:48:40     all   47.98    0.00    2.97    0.00    0.00    0.00    0.00    0.00    0.00   49.05
09:48:41     all   43.62    0.00    2.29    0.00    0.00    0.00    0.00    0.00    0.00   54.09
09:48:42     all   39.36    0.00    3.00    0.00    0.00    0.01    0.00    0.00    0.00   57.63
09:48:43     all   47.66    0.00    2.41    0.00    0.00    0.00    0.00    0.00    0.00   49.93
09:48:44     all   42.00    0.00    2.55    0.00    0.00    0.00    0.00    0.00    0.00   55.45
09:48:45     all   52.61    0.00    2.34    0.00    0.00    0.01    0.00    0.00    0.00   45.03
09:48:46     all   57.24    0.00    2.03    0.00    0.00    0.00    0.00    0.00    0.00   40.73
09:48:47     all   47.86    0.00    2.82    0.00    0.00    0.01    0.00    0.00    0.00   49.31
09:48:48     all   49.66    0.00    2.08    0.00    0.00    0.00    0.00    0.00    0.00   48.26
09:48:49     all   50.08    0.00    2.17    0.00    0.00    0.00    0.00    0.00    0.00   47.75
09:48:50     all   56.50    0.00    1.42    0.00    0.00    0.00    0.00    0.00    0.00   42.08
09:48:51     all   57.79    0.00    1.64    0.00    0.00    0.01    0.00    0.00    0.00   40.56
09:48:52     all   51.12    0.00    2.40    0.00    0.00    0.00    0.00    0.00    0.00   46.48
09:48:53     all   58.00    0.00    2.42    0.00    0.00    0.00    0.00    0.00    0.00   39.58
09:48:54     all   56.85    0.00    3.03    0.00    0.00    0.01    0.00    0.00    0.00   40.11
09:48:55     all   57.58    0.00    2.46    0.00    0.00    0.00    0.00    0.00    0.00   39.96
09:48:56     all   57.83    0.00    3.04    0.00    0.00    0.01    0.00    0.00    0.00   39.12
09:48:57     all   55.56    0.00    3.84    0.00    0.00    0.00    0.00    0.00    0.00   40.60
09:48:58     all   55.40    0.00    1.88    0.00    0.00    0.01    0.00    0.00    0.00   42.70
09:48:59     all   52.77    0.00    2.63    0.00    0.00    0.00    0.00    0.00    0.00   44.60
09:49:00     all   54.04    0.00    2.12    0.00    0.00    0.01    0.00    0.00    0.00   43.82
09:49:01     all   57.37    0.01    2.23    0.00    0.00    0.00    0.00    0.00    0.00   40.39
09:49:02     all   56.53    0.00    2.86    0.00    0.00    0.00    0.00    0.00    0.00   40.62
09:49:03     all   55.09    0.00    3.44    0.00    0.00    0.00    0.00    0.00    0.00   41.47
09:49:04     all   57.72    0.00    2.34    0.00    0.00    0.00    0.00    0.00    0.00   39.93
09:49:05     all   51.46    0.00    2.30    0.00    0.00    0.00    0.00    0.00    0.00   46.24
09:49:06     all   53.19    0.00    3.26    0.00    0.00    0.00    0.00    0.00    0.00   43.55
09:49:07     all   56.95    0.00    2.93    0.00    0.00    0.00    0.00    0.00    0.00   40.12
09:49:08     all   50.63    0.00    4.13    0.00    0.00    0.01    0.00    0.00    0.00   45.23
09:49:09     all   55.72    0.00    4.01    0.00    0.00    0.00    0.00    0.00    0.00   40.27
09:49:10     all   54.81    0.01    3.51    0.00    0.00    0.00    0.00    0.00    0.00   41.67
09:49:11     all   50.06    0.00    3.19    0.00    0.00    0.00    0.00    0.00    0.00   46.76
09:49:12     all   53.42    0.00    2.51    0.00    0.00    0.00    0.00    0.00    0.00   44.08
09:49:13     all   56.64    0.00    2.40    0.00    0.00    0.01    0.00    0.00    0.00   40.95
09:49:14     all   55.65    0.00    3.09    0.00    0.00    0.00    0.00    0.00    0.00   41.25
09:49:15     all   58.04    0.00    3.83    0.00    0.00    0.00    0.00    0.00    0.00   38.13
09:49:16     all   54.54    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   40.46
09:49:17     all   56.16    0.00    3.99    0.00    0.00    0.00    0.00    0.00    0.00   39.86
09:49:18     all   57.19    0.00    4.46    0.00    0.00    0.01    0.00    0.00    0.00   38.33
09:49:19     all   51.02    0.00    3.78    0.00    0.00    0.01    0.00    0.00    0.00   45.19
09:49:20     all   55.44    0.00    3.26    0.00    0.00    0.01    0.00    0.00    0.00   41.28
09:49:21     all   57.22    0.00    3.78    0.00    0.00    0.00    0.00    0.00    0.00   39.00
09:49:22     all   57.23    0.00    3.99    0.00    0.00    0.00    0.00    0.00    0.00   38.79
09:49:23     all   58.21    0.00    3.13    0.00    0.00    0.01    0.00    0.00    0.00   38.64
09:49:24     all   57.69    0.00    2.89    0.00    0.00    0.00    0.00    0.00    0.00   39.42
09:49:25     all   57.24    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   38.71
09:49:26     all   57.60    0.00    4.14    0.01    0.00    0.00    0.00    0.00    0.00   38.25
09:49:27     all   57.20    0.00    3.11    0.00    0.00    0.01    0.00    0.00    0.00   39.67
09:49:28     all   57.75    0.00    4.75    0.00    0.00    0.01    0.00    0.00    0.00   37.49
09:49:29     all   55.50    0.00    3.27    0.00    0.00    0.03    0.00    0.00    0.00   41.20
09:49:30     all   57.28    0.00    3.99    0.00    0.00    0.00    0.00    0.00    0.00   38.73
09:49:31     all   54.32    0.00    4.25    0.00    0.00    0.00    0.00    0.00    0.00   41.43
09:49:32     all   56.73    0.00    4.44    0.00    0.00    0.00    0.00    0.00    0.00   38.83
09:49:33     all   57.21    0.00    2.96    0.00    0.00    0.00    0.00    0.00    0.00   39.83
09:49:34     all   56.50    0.00    3.88    0.00    0.00    0.00    0.00    0.00    0.00   39.62
09:49:35     all   57.54    0.00    3.36    0.00    0.00    0.00    0.00    0.00    0.00   39.10
09:49:36     all   58.98    0.00    3.33    0.00    0.00    0.00    0.00    0.00    0.00   37.69
