Linux 6.8.0-136-generic (856a17914eb3) 	08/10/26 	_x86_64_	(72 CPU)

08:32:44     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:32:45     all   11.73    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   87.77
08:32:46     all    1.15    0.00    0.86    0.00    0.00    0.00    0.00    0.00    0.00   97.99
08:32:47     all    1.31    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.48
08:32:48     all    1.65    0.00    0.26    0.00    0.00    0.00    0.00    0.00    0.00   98.08
08:32:49     all    1.61    0.00    0.21    0.00    0.00    0.01    0.00    0.00    0.00   98.17
08:32:50     all    1.52    0.00    0.36    0.00    0.00    0.00    0.00    0.00    0.00   98.12
08:32:51     all    1.90    0.00    0.35    0.00    0.00    0.00    0.00    0.00    0.00   97.75
08:32:52     all    1.58    0.00    0.19    0.01    0.00    0.00    0.00    0.00    0.00   98.21
08:32:53     all    1.15    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   98.35
08:32:54     all    1.56    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   98.29
08:32:55     all    1.64    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.15
08:32:56     all    1.42    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.36
08:32:57     all    1.56    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.26
08:32:58     all    1.60    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.19
08:32:59     all    1.42    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.40
08:33:00     all   20.35    0.00    3.51    0.00    0.00    0.00    0.00    0.00    0.00   76.14
08:33:01     all   29.61    0.00    1.37    0.00    0.00    0.00    0.00    0.00    0.00   69.03
08:33:02     all   38.93    0.00    2.01    0.00    0.00    0.01    0.00    0.00    0.00   59.04
08:33:03     all   34.16    0.00    1.82    0.00    0.00    0.00    0.00    0.00    0.00   64.02
08:33:04     all   31.83    0.00    1.18    0.00    0.00    0.01    0.00    0.00    0.00   66.97
08:33:05     all   30.91    0.00    1.45    0.00    0.00    0.00    0.00    0.00    0.00   67.64
08:33:06     all   26.33    0.00    0.78    0.00    0.00    0.01    0.00    0.00    0.00   72.88
08:33:07     all   28.73    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   70.29
08:33:08     all   28.35    0.00    0.68    0.00    0.00    0.00    0.00    0.00    0.00   70.97
08:33:09     all   25.12    0.00    0.74    0.00    0.00    0.00    0.00    0.00    0.00   74.14
08:33:10     all   27.98    0.00    0.63    0.00    0.00    0.00    0.00    0.00    0.00   71.39
08:33:11     all   29.94    0.00    0.46    0.00    0.00    0.00    0.00    0.00    0.00   69.60
08:33:12     all   37.70    0.00    0.70    0.00    0.00    0.00    0.00    0.00    0.00   61.61
08:33:13     all   36.09    0.00    0.74    0.00    0.00    0.00    0.00    0.00    0.00   63.17
08:33:14     all   28.97    0.00    0.66    0.00    0.00    0.00    0.00    0.00    0.00   70.38
08:33:15     all   32.14    0.00    0.81    0.00    0.00    0.01    0.00    0.00    0.00   67.03
08:33:16     all   41.75    0.00    0.64    0.00    0.00    0.00    0.00    0.00    0.00   57.61
08:33:17     all   35.57    0.00    1.66    0.00    0.00    0.00    0.00    0.00    0.00   62.77
08:33:18     all   28.48    0.00    1.60    0.00    0.00    0.00    0.00    0.00    0.00   69.92
08:33:19     all   24.43    0.00    1.20    0.00    0.00    0.01    0.00    0.00    0.00   74.36
08:33:20     all   22.52    0.00    1.04    0.00    0.00    0.00    0.00    0.00    0.00   76.44
08:33:21     all   24.45    0.00    1.42    0.00    0.00    0.00    0.00    0.00    0.00   74.13
08:33:22     all   24.65    0.00    1.09    0.00    0.00    0.01    0.00    0.00    0.00   74.25
08:33:23     all   29.40    0.00    1.67    0.00    0.00    0.00    0.00    0.00    0.00   68.93
08:33:24     all   31.30    0.00    1.60    0.00    0.00    0.00    0.00    0.00    0.00   67.10
08:33:25     all   39.54    0.00    2.49    0.00    0.00    0.00    0.00    0.00    0.00   57.97
08:33:26     all   41.56    0.00    2.59    0.00    0.00    0.00    0.00    0.00    0.00   55.84
08:33:27     all   35.83    0.00    2.60    0.00    0.00    0.00    0.00    0.00    0.00   61.57
08:33:28     all   37.64    0.00    2.81    0.01    0.00    0.00    0.00    0.00    0.00   59.53
08:33:29     all   40.78    0.00    2.49    0.00    0.00    0.00    0.00    0.00    0.00   56.73
08:33:30     all   38.35    0.00    2.60    0.00    0.00    0.00    0.00    0.00    0.00   59.05
08:33:31     all   38.48    0.00    2.30    0.00    0.00    0.00    0.00    0.00    0.00   59.23
08:33:32     all   33.60    0.00    3.30    0.00    0.00    0.01    0.00    0.00    0.00   63.09
08:33:33     all   33.46    0.00    2.10    0.00    0.00    0.00    0.00    0.00    0.00   64.44
08:33:34     all   33.14    0.00    2.46    0.00    0.00    0.01    0.00    0.00    0.00   64.38
08:33:35     all   24.54    0.00    2.54    0.00    0.00    0.00    0.00    0.00    0.00   72.92
08:33:36     all   21.95    0.00    1.60    0.00    0.00    0.00    0.00    0.00    0.00   76.45
08:33:37     all   26.69    0.00    1.07    0.00    0.00    0.01    0.00    0.00    0.00   72.22
08:33:38     all   26.00    0.00    1.23    0.00    0.00    0.00    0.00    0.00    0.00   72.78
08:33:39     all   26.12    0.00    0.95    0.00    0.00    0.00    0.00    0.00    0.00   72.93
08:33:40     all   22.22    0.00    1.79    0.00    0.00    0.00    0.00    0.00    0.00   75.98
08:33:41     all   31.13    0.00    1.64    0.00    0.00    0.00    0.00    0.00    0.00   67.23
08:33:42     all   26.36    0.00    1.64    0.00    0.00    0.00    0.00    0.00    0.00   71.99
08:33:43     all   24.47    0.00    1.66    0.00    0.00    0.00    0.00    0.00    0.00   73.87
08:33:44     all   17.98    0.00    1.13    0.00    0.00    0.00    0.00    0.00    0.00   80.89
08:33:45     all   26.26    0.00    1.13    0.00    0.00    0.00    0.00    0.00    0.00   72.61
08:33:46     all   27.18    0.00    0.68    0.00    0.00    0.00    0.00    0.00    0.00   72.14
08:33:47     all   33.88    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   65.11
08:33:48     all   41.68    0.00    1.63    0.00    0.00    0.00    0.00    0.00    0.00   56.69
08:33:49     all   40.90    0.00    1.53    0.00    0.00    0.00    0.00    0.00    0.00   57.57
08:33:50     all   33.08    0.00    1.62    0.00    0.00    0.00    0.00    0.00    0.00   65.31
08:33:51     all   39.70    0.00    1.24    0.00    0.00    0.00    0.00    0.00    0.00   59.06
08:33:52     all   40.16    0.00    1.17    0.00    0.00    0.00    0.00    0.00    0.00   58.67
08:33:53     all   41.40    0.00    1.21    0.00    0.00    0.00    0.00    0.00    0.00   57.38
08:33:54     all   40.63    0.00    2.12    0.00    0.00    0.00    0.00    0.00    0.00   57.26
08:33:55     all   31.48    0.00    1.68    0.00    0.00    0.00    0.00    0.00    0.00   66.84
08:33:56     all   33.96    0.00    1.42    0.00    0.00    0.00    0.00    0.00    0.00   64.62
08:33:57     all   26.17    0.00    1.66    0.00    0.00    0.00    0.00    0.00    0.00   72.18
