Linux 6.8.0-136-generic (856a17914eb3) 	08/10/26 	_x86_64_	(72 CPU)

08:34:47     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:34:48     all   11.38    0.00    0.35    0.00    0.00    0.00    0.00    0.00    0.00   88.27
08:34:49     all    1.10    0.00    0.82    0.00    0.00    0.00    0.00    0.00    0.00   98.08
08:34:50     all    1.54    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.26
08:34:51     all    1.46    0.00    0.28    0.00    0.00    0.00    0.00    0.00    0.00   98.26
08:34:52     all    2.20    0.00    0.46    0.00    0.00    0.00    0.00    0.00    0.00   97.35
08:34:53     all    1.60    0.00    0.24    0.00    0.00    0.00    0.00    0.00    0.00   98.17
08:34:54     all    1.39    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.42
08:34:55     all    1.56    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.25
08:34:56     all    1.31    0.00    0.61    0.00    0.00    0.00    0.00    0.00    0.00   98.08
08:34:57     all    1.43    0.00    0.26    0.00    0.00    0.01    0.00    0.00    0.00   98.29
08:34:58     all    1.62    0.00    0.24    0.00    0.00    0.01    0.00    0.00    0.00   98.13
08:34:59     all    1.72    0.00    0.19    0.00    0.00    0.01    0.00    0.00    0.00   98.07
08:35:00     all    1.43    0.00    0.51    0.00    0.00    0.00    0.00    0.00    0.00   98.06
08:35:01     all    1.83    0.00    0.38    0.00    0.00    0.00    0.00    0.00    0.00   97.79
08:35:02     all    3.19    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   95.78
08:35:03     all   24.16    0.00    4.31    0.00    0.00    0.00    0.00    0.00    0.00   71.53
08:35:04     all   30.60    0.00    1.13    0.00    0.00    0.00    0.00    0.00    0.00   68.27
08:35:05     all   41.51    0.00    2.42    0.00    0.00    0.01    0.00    0.00    0.00   56.06
08:35:06     all   32.48    0.00    1.45    0.00    0.00    0.00    0.00    0.00    0.00   66.07
08:35:07     all   35.46    0.00    1.51    0.00    0.00    0.00    0.00    0.00    0.00   63.04
08:35:08     all   30.43    0.01    1.25    0.00    0.00    0.01    0.00    0.00    0.00   68.29
08:35:09     all   29.85    0.00    0.53    0.00    0.00    0.00    0.00    0.00    0.00   69.62
08:35:10     all   30.19    0.00    0.84    0.00    0.00    0.00    0.00    0.00    0.00   68.97
08:35:11     all   28.37    0.00    0.74    0.00    0.00    0.01    0.00    0.00    0.00   70.88
