Linux 6.8.0-136-generic (856a17914eb3) 	08/10/26 	_x86_64_	(72 CPU)

08:36:47     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:36:48     all   11.52    0.00    0.44    0.00    0.00    0.00    0.00    0.00    0.00   88.04
08:36:49     all    1.05    0.01    0.75    0.00    0.00    0.00    0.00    0.00    0.00   98.18
08:36:50     all    1.51    0.00    0.26    0.00    0.00    0.00    0.00    0.00    0.00   98.22
08:36:51     all    1.71    0.00    0.29    0.00    0.00    0.00    0.00    0.00    0.00   98.00
08:36:52     all    1.33    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.46
08:36:53     all    1.74    0.00    0.51    0.00    0.00    0.00    0.00    0.00    0.00   97.75
08:36:54     all    1.62    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.18
08:36:55     all    1.33    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   98.51
08:36:56     all    1.43    0.00    0.72    0.00    0.00    0.01    0.00    0.00    0.00   97.83
08:36:57     all    2.30    0.00    0.46    0.00    0.00    0.00    0.00    0.00    0.00   97.25
08:36:58     all    2.17    0.00    0.47    0.01    0.00    0.00    0.00    0.00    0.00   97.34
08:36:59     all    1.57    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.25
08:37:00     all    1.60    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.21
08:37:01     all    1.39    0.00    0.24    0.00    0.00    0.00    0.00    0.00    0.00   98.37
08:37:02     all    6.80    0.00    4.34    0.00    0.00    0.00    0.00    0.00    0.00   88.86
08:37:03     all   25.53    0.00    1.86    0.00    0.00    0.01    0.00    0.00    0.00   72.59
08:37:04     all   29.97    0.00    0.78    0.00    0.00    0.00    0.00    0.00    0.00   69.25
08:37:05     all   50.91    0.00    3.88    0.00    0.00    0.01    0.00    0.00    0.00   45.19
08:37:06     all   32.67    0.00    1.66    0.00    0.00    0.00    0.00    0.00    0.00   65.67
08:37:07     all   30.49    0.00    1.45    0.00    0.00    0.00    0.00    0.00    0.00   68.06
08:37:08     all   30.99    0.00    1.03    0.00    0.00    0.03    0.00    0.00    0.00   67.95
08:37:09     all   28.51    0.00    0.92    0.00    0.00    0.00    0.00    0.00    0.00   70.57
08:37:10     all   27.65    0.00    0.67    0.00    0.00    0.00    0.00    0.00    0.00   71.68
08:37:11     all   22.65    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   76.84
08:37:12     all   25.64    0.00    0.40    0.00    0.00    0.00    0.00    0.00    0.00   73.96
08:37:13     all   31.93    0.00    0.78    0.00    0.00    0.00    0.00    0.00    0.00   67.29
08:37:14     all   36.20    0.00    0.78    0.01    0.00    0.00    0.00    0.00    0.00   63.01
08:37:15     all   32.06    0.00    0.54    0.00    0.00    0.00    0.00    0.00    0.00   67.40
08:37:16     all   26.27    0.00    0.70    0.00    0.00    0.00    0.00    0.00    0.00   73.04
08:37:17     all   26.81    0.00    0.89    0.00    0.00    0.00    0.00    0.00    0.00   72.30
08:37:18     all   42.73    0.00    0.59    0.00    0.00    0.01    0.00    0.00    0.00   56.67
08:37:19     all   50.52    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   47.46
08:37:20     all   33.69    0.00    1.89    0.00    0.00    0.00    0.00    0.00    0.00   64.42
08:37:21     all   23.90    0.00    1.54    0.00    0.00    0.00    0.00    0.00    0.00   74.56
08:37:22     all   21.45    0.00    1.00    0.00    0.00    0.01    0.00    0.00    0.00   77.54
08:37:23     all   21.69    0.00    1.23    0.00    0.00    0.00    0.00    0.00    0.00   77.09
