Linux 6.8.0-136-generic (856a17914eb3) 	08/10/26 	_x86_64_	(72 CPU)

08:38:47     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:38:48     all   11.48    0.00    0.44    0.00    0.00    0.00    0.00    0.00    0.00   88.07
08:38:49     all    1.07    0.00    0.79    0.00    0.00    0.00    0.00    0.00    0.00   98.14
08:38:50     all    1.60    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.22
08:38:51     all    1.38    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   98.46
08:38:52     all    1.58    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   98.17
08:38:53     all    1.67    0.00    0.26    0.00    0.00    0.00    0.00    0.00    0.00   98.07
08:38:54     all    1.35    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.47
08:38:55     all    1.60    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.19
08:38:56     all    1.58    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.22
08:38:57     all    1.20    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   98.47
08:38:58     all    1.71    0.00    0.44    0.00    0.00    0.00    0.00    0.00    0.00   97.85
08:38:59     all    2.08    0.00    0.36    0.00    0.00    0.00    0.00    0.00    0.00   97.55
08:39:00     all    1.32    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   98.43
08:39:01     all    1.61    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.21
08:39:02     all    1.58    0.00    0.14    0.00    0.00    0.00    0.00    0.00    0.00   98.28
08:39:03     all    1.54    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   98.12
08:39:04     all    1.57    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.22
08:39:05     all    3.92    0.00    2.56    0.00    0.00    0.00    0.00    0.00    0.00   93.53
08:39:06     all   26.42    0.00    4.36    0.00    0.00    0.00    0.00    0.00    0.00   69.22
08:39:07     all   33.68    0.00    0.98    0.00    0.00    0.01    0.00    0.00    0.00   65.33
08:39:08     all   54.48    0.00    3.77    0.00    0.00    0.01    0.00    0.00    0.00   41.73
08:39:09     all   36.78    0.00    1.92    0.00    0.00    0.00    0.00    0.00    0.00   61.30
08:39:10     all   33.30    0.00    1.22    0.00    0.00    0.00    0.00    0.00    0.00   65.48
08:39:11     all   32.56    0.00    0.82    0.00    0.00    0.00    0.00    0.00    0.00   66.62
08:39:12     all   32.82    0.00    0.63    0.00    0.00    0.00    0.00    0.00    0.00   66.56
08:39:13     all   30.18    0.00    0.82    0.00    0.00    0.00    0.00    0.00    0.00   69.00
08:39:14     all   26.26    0.01    0.52    0.00    0.00    0.00    0.00    0.00    0.00   73.21
