Linux 6.8.0-136-generic (856a17914eb3) 	08/10/26 	_x86_64_	(72 CPU)

11:49:42     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:49:43     all   10.69    0.00    0.44    0.00    0.00    0.00    0.00    0.00    0.00   88.87
11:49:44     all    0.24    0.01    0.13    0.00    0.00    0.00    0.00    0.00    0.00   99.62
11:49:45     all    0.26    0.00    0.21    0.00    0.00    0.01    0.00    0.00    0.00   99.51
11:49:46     all    0.19    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   99.61
11:49:47     all    0.22    0.00    0.10    0.01    0.00    0.00    0.00    0.00    0.00   99.67
11:49:48     all    0.28    0.00    0.08    0.00    0.00    0.00    0.00    0.00    0.00   99.64
11:49:49     all    0.07    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   99.78
11:49:50     all    0.28    0.00    0.11    0.00    0.00    0.00    0.00    0.00    0.00   99.61
11:49:51     all    0.78    0.00    0.28    0.00    0.00    0.00    0.00    0.00    0.00   98.94
11:49:52     all    0.08    0.00    0.08    0.01    0.00    0.00    0.00    0.00    0.00   99.82
11:49:53     all    0.85    0.00    0.26    0.00    0.00    0.01    0.00    0.00    0.00   98.88
11:49:54     all    0.74    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   99.06
11:49:55     all    0.01    0.00    0.11    0.00    0.00    0.00    0.00    0.00    0.00   99.88
11:49:56     all    0.38    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   99.43
11:49:57     all    0.28    0.00    0.19    0.00    0.00    0.01    0.00    0.00    0.00   99.51
11:49:58     all    0.08    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   99.85
11:49:59     all    0.53    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   99.31
11:50:00     all    0.56    0.00    0.12    0.00    0.00    0.00    0.00    0.00    0.00   99.32
11:50:01     all    0.86    0.00    0.74    0.00    0.00    0.00    0.00    0.00    0.00   98.40
11:50:02     all    1.10    0.00    0.60    0.00    0.00    0.00    0.00    0.00    0.00   98.30
11:50:03     all    0.26    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   99.67
11:50:04     all    0.04    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   99.89
11:50:05     all    0.71    0.00    0.28    0.00    0.00    0.00    0.00    0.00    0.00   99.01
11:50:06     all    0.64    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   99.15
11:50:07     all    0.35    0.00    0.28    0.00    0.00    0.01    0.00    0.00    0.00   99.36
11:50:08     all    0.25    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   99.68
11:50:09     all    0.26    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   99.64
11:50:10     all    0.04    0.00    0.06    0.00    0.00    0.00    0.00    0.00    0.00   99.90
11:50:11     all    0.32    0.00    0.11    0.01    0.00    0.00    0.00    0.00    0.00   99.56
11:50:12     all    0.32    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   99.53
11:50:13     all    0.03    0.00    0.08    0.00    0.00    0.00    0.00    0.00    0.00   99.89
11:50:14     all    0.25    0.00    0.11    0.00    0.00    0.00    0.00    0.00    0.00   99.64
11:50:15     all    0.32    0.00    0.08    0.00    0.00    0.00    0.00    0.00    0.00   99.60
11:50:16     all    0.47    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   99.31
11:50:17     all    0.36    0.00    0.29    0.00    0.00    0.00    0.00    0.00    0.00   99.35
11:50:18     all    0.28    0.00    0.06    0.00    0.00    0.00    0.00    0.00    0.00   99.67
11:50:19     all    0.11    0.00    0.12    0.00    0.00    0.00    0.00    0.00    0.00   99.76
11:50:20     all    0.26    0.00    0.06    0.00    0.00    0.00    0.00    0.00    0.00   99.68
11:50:21     all    0.28    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   99.56
11:50:22     all    0.06    0.00    0.14    0.00    0.00    0.00    0.00    0.00    0.00   99.81
11:50:23     all    0.26    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   99.64
11:50:24     all    0.24    0.00    0.08    0.00    0.00    0.00    0.00    0.00    0.00   99.68
11:50:25     all    0.01    0.00    0.08    0.00    0.00    0.00    0.00    0.00    0.00   99.90
11:50:26     all    0.33    0.00    0.11    0.00    0.00    0.00    0.00    0.00    0.00   99.56
11:50:27     all    0.33    0.00    0.17    0.00    0.00    0.01    0.00    0.00    0.00   99.49
11:50:28     all    0.01    0.00    0.04    0.00    0.00    0.00    0.00    0.00    0.00   99.94
11:50:29     all    0.39    0.00    0.14    0.00    0.00    0.00    0.00    0.00    0.00   99.47
11:50:30     all    0.36    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   99.43
11:50:31     all    0.15    0.00    0.31    0.00    0.00    0.00    0.00    0.00    0.00   99.54
11:50:32     all    0.32    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   99.53
11:50:33     all    0.25    0.00    0.11    0.00    0.00    0.00    0.00    0.00    0.00   99.64
11:50:34     all    0.01    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   99.92
11:50:35     all    0.25    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   99.65
11:50:36     all    0.26    0.00    0.11    0.00    0.00    0.00    0.00    0.00    0.00   99.62
11:50:37     all    0.17    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   99.67
11:50:38     all    0.61    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.14
11:50:39     all    0.40    0.00    0.07    0.00    0.00    0.01    0.00    0.00    0.00   99.51
11:50:40     all    0.03    0.01    0.04    0.00    0.00    0.00    0.00    0.00    0.00   99.92
11:50:41     all    0.24    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   99.69
11:50:42     all    0.49    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.26
11:50:43     all    0.03    0.00    0.08    0.00    0.00    0.00    0.00    0.00    0.00   99.89
11:50:44     all    0.25    0.00    0.11    0.00    0.00    0.01    0.00    0.00    0.00   99.62
11:50:45     all    0.26    0.00    0.11    0.00    0.00    0.00    0.00    0.00    0.00   99.62
11:50:46     all    0.08    0.00    0.08    0.00    0.00    0.00    0.00    0.00    0.00   99.83
11:50:47     all    0.53    0.00    0.42    0.00    0.00    0.00    0.00    0.00    0.00   99.06
11:50:48     all    0.25    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   99.65
11:50:49     all    0.10    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   99.57
11:50:50     all    0.25    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   99.68
11:50:51     all    0.28    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   99.57
11:50:52     all    0.04    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   99.86
11:50:53     all    0.43    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   99.40
11:50:54     all    0.24    0.00    0.08    0.00    0.00    0.00    0.00    0.00    0.00   99.68
11:50:55     all    0.04    0.00    0.08    0.00    0.00    0.00    0.00    0.00    0.00   99.88
11:50:56     all    0.28    0.00    0.11    0.00    0.00    0.01    0.00    0.00    0.00   99.60
11:50:57     all    0.25    0.00    0.04    0.00    0.00    0.00    0.00    0.00    0.00   99.71
11:50:58     all    0.22    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   99.60
11:50:59     all    0.32    0.00    0.14    0.00    0.00    0.00    0.00    0.00    0.00   99.54
11:51:00     all    0.62    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   99.17
