Linux 6.8.0-136-generic (856a17914eb3) 	08/10/26 	_x86_64_	(72 CPU)

08:56:48     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:56:49     all   11.51    0.00    0.54    0.00    0.00    0.00    0.00    0.00    0.00   87.95
08:56:50     all    1.18    0.00    0.83    0.00    0.00    0.00    0.00    0.00    0.00   97.99
08:56:51     all    1.51    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   98.32
08:56:52     all    1.54    0.00    0.31    0.00    0.00    0.00    0.00    0.00    0.00   98.15
08:56:53     all    1.72    0.00    0.39    0.00    0.00    0.00    0.00    0.00    0.00   97.89
08:56:54     all    1.63    0.00    0.28    0.00    0.00    0.00    0.00    0.00    0.00   98.10
08:56:55     all    1.46    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.32
08:56:56     all    1.65    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   98.18
08:56:57     all    2.20    0.00    0.70    0.00    0.00    0.00    0.00    0.00    0.00   97.11
08:56:58     all    1.38    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   98.37
08:56:59     all    1.64    0.00    0.26    0.00    0.00    0.00    0.00    0.00    0.00   98.10
08:57:00     all    1.64    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.14
08:57:01     all    1.38    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.43
08:57:02     all    1.50    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.28
08:57:03     all    6.08    0.00    2.56    0.00    0.00    0.00    0.00    0.00    0.00   91.36
08:57:04     all   34.40    0.00    1.80    0.00    0.00    0.00    0.00    0.00    0.00   63.80
08:57:05     all   39.94    0.00    1.26    0.00    0.00    0.01    0.00    0.00    0.00   58.79
08:57:06     all   55.71    0.00    3.86    0.00    0.00    0.00    0.00    0.00    0.00   40.43
08:57:07     all   46.31    0.00    1.78    0.00    0.00    0.00    0.00    0.00    0.00   51.91
08:57:08     all   46.25    0.00    1.49    0.00    0.00    0.00    0.00    0.00    0.00   52.26
08:57:09     all   41.24    0.04    1.87    0.00    0.00    0.00    0.00    0.00    0.00   56.85
08:57:10     all   41.93    0.00    1.16    0.00    0.00    0.00    0.00    0.00    0.00   56.91
08:57:11     all   41.76    0.00    0.79    0.00    0.00    0.00    0.00    0.00    0.00   57.45
08:57:12     all   39.76    0.00    0.80    0.01    0.00    0.00    0.00    0.00    0.00   59.43
08:57:13     all   42.88    0.00    0.56    0.00    0.00    0.00    0.00    0.00    0.00   56.56
08:57:14     all   48.93    0.00    0.61    0.00    0.00    0.00    0.00    0.00    0.00   50.45
08:57:15     all   55.58    0.00    0.57    0.00    0.00    0.00    0.00    0.00    0.00   43.85
08:57:16     all   41.21    0.00    0.69    0.00    0.00    0.01    0.00    0.00    0.00   58.09
08:57:17     all   56.04    0.00    0.68    0.00    0.00    0.01    0.00    0.00    0.00   43.26
08:57:18     all   51.42    0.00    0.52    0.00    0.00    0.01    0.00    0.00    0.00   48.06
08:57:19     all   49.23    0.00    1.05    0.00    0.00    0.00    0.00    0.00    0.00   49.73
08:57:20     all   51.34    0.00    0.63    0.00    0.00    0.00    0.00    0.00    0.00   48.03
08:57:21     all   57.38    0.00    0.85    0.00    0.00    0.00    0.00    0.00    0.00   41.77
08:57:22     all   58.20    0.00    3.51    0.00    0.00    0.00    0.00    0.00    0.00   38.29
08:57:23     all   57.02    0.00    3.07    0.00    0.00    0.00    0.00    0.00    0.00   39.91
08:57:24     all   54.59    0.00    3.73    0.00    0.00    0.00    0.00    0.00    0.00   41.68
08:57:25     all   48.71    0.00    3.78    0.00    0.00    0.00    0.00    0.00    0.00   47.51
08:57:26     all   44.08    0.00    3.41    0.00    0.00    0.00    0.00    0.00    0.00   52.51
08:57:27     all   47.07    0.01    2.14    0.00    0.00    0.00    0.00    0.00    0.00   50.78
08:57:28     all   44.86    0.00    1.84    0.00    0.00    0.00    0.00    0.00    0.00   53.30
08:57:29     all   43.76    0.00    1.70    0.00    0.00    0.01    0.00    0.00    0.00   54.53
08:57:30     all   47.05    0.00    1.56    0.00    0.00    0.00    0.00    0.00    0.00   51.39
08:57:31     all   45.52    0.00    1.23    0.00    0.00    0.01    0.00    0.00    0.00   53.24
08:57:32     all   47.51    0.00    2.09    0.00    0.00    0.00    0.00    0.00    0.00   50.40
08:57:33     all   46.66    0.00    0.95    0.00    0.00    0.01    0.00    0.00    0.00   52.38
08:57:34     all   43.81    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   55.17
08:57:35     all   47.55    0.00    0.82    0.00    0.00    0.00    0.00    0.00    0.00   51.63
08:57:36     all   52.56    0.00    0.81    0.00    0.00    0.00    0.00    0.00    0.00   46.63
08:57:37     all   57.01    0.00    0.61    0.00    0.00    0.01    0.00    0.00    0.00   42.37
08:57:38     all   55.00    0.00    1.25    0.00    0.00    0.00    0.00    0.00    0.00   43.75
08:57:39     all   56.42    0.00    1.07    0.00    0.00    0.00    0.00    0.00    0.00   42.51
08:57:40     all   57.20    0.00    1.52    0.00    0.00    0.03    0.00    0.00    0.00   41.26
08:57:41     all   57.44    0.00    1.50    0.00    0.00    0.00    0.00    0.00    0.00   41.06
08:57:42     all   60.19    0.00    2.46    0.00    0.00    0.01    0.00    0.00    0.00   37.33
08:57:43     all   54.76    0.00    1.85    0.00    0.00    0.01    0.00    0.00    0.00   43.38
08:57:44     all   52.04    0.00    2.50    0.00    0.00    0.00    0.00    0.00    0.00   45.46
08:57:45     all   53.77    0.00    2.38    0.00    0.00    0.03    0.00    0.00    0.00   43.82
08:57:46     all   41.89    0.00    2.10    0.00    0.00    0.00    0.00    0.00    0.00   56.01
08:57:47     all   48.69    0.00    1.45    0.00    0.00    0.00    0.00    0.00    0.00   49.86
08:57:48     all   48.24    0.00    1.74    0.00    0.00    0.01    0.00    0.00    0.00   50.01
08:57:49     all   47.72    0.00    2.42    0.00    0.00    0.00    0.00    0.00    0.00   49.86
08:57:50     all   47.87    0.00    1.59    0.00    0.00    0.00    0.00    0.00    0.00   50.54
08:57:51     all   47.41    0.00    1.62    0.00    0.00    0.00    0.00    0.00    0.00   50.98
08:57:52     all   49.58    0.00    0.86    0.00    0.00    0.00    0.00    0.00    0.00   49.56
08:57:53     all   47.39    0.00    0.90    0.00    0.00    0.00    0.00    0.00    0.00   51.70
08:57:54     all   46.63    0.00    0.89    0.00    0.00    0.03    0.00    0.00    0.00   52.45
08:57:55     all   54.70    0.00    1.31    0.00    0.00    0.00    0.00    0.00    0.00   43.99
08:57:56     all   57.52    0.00    1.27    0.00    0.00    0.00    0.00    0.00    0.00   41.21
08:57:57     all   57.29    0.00    1.27    0.00    0.00    0.00    0.00    0.00    0.00   41.45
08:57:58     all   53.59    0.00    1.46    0.00    0.00    0.00    0.00    0.00    0.00   44.95
08:57:59     all   55.85    0.00    1.04    0.00    0.00    0.00    0.00    0.00    0.00   43.11
08:58:00     all   54.87    0.00    1.61    0.00    0.00    0.01    0.00    0.00    0.00   43.50
08:58:01     all   58.01    0.00    1.42    0.00    0.00    0.00    0.00    0.00    0.00   40.57
08:58:02     all   55.22    0.00    1.28    0.00    0.00    0.00    0.00    0.00    0.00   43.50
08:58:03     all   54.91    0.01    1.00    0.00    0.00    0.00    0.00    0.00    0.00   44.07
08:58:04     all   42.90    0.00    1.31    0.00    0.00    0.00    0.00    0.00    0.00   55.79
08:58:05     all   28.31    0.00    0.94    0.00    0.00    0.00    0.00    0.00    0.00   70.75
08:58:06     all   10.07    0.00    1.14    0.01    0.00    0.00    0.00    0.00    0.00   88.77
08:58:07     all    4.63    0.00    1.04    0.00    0.00    0.00    0.00    0.00    0.00   94.33
08:58:08     all    3.21    0.00    1.08    0.00    0.00    0.00    0.00    0.00    0.00   95.71
08:58:09     all    3.30    0.00    1.22    0.00    0.00    0.00    0.00    0.00    0.00   95.48
08:58:10     all    2.56    0.00    0.60    0.00    0.00    0.01    0.00    0.00    0.00   96.83
08:58:11     all    2.67    0.00    0.40    0.00    0.00    0.00    0.00    0.00    0.00   96.93
08:58:12     all    1.50    0.00    0.36    0.00    0.00    0.00    0.00    0.00    0.00   98.14
08:58:13     all    1.75    0.00    0.42    0.00    0.00    0.00    0.00    0.00    0.00   97.83
08:58:14     all    1.37    0.00    0.32    0.00    0.00    0.00    0.00    0.00    0.00   98.31
08:58:15     all    1.54    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.28
08:58:16     all    1.53    0.00    0.39    0.00    0.00    0.00    0.00    0.00    0.00   98.08
