Linux 6.8.0-136-generic (856a17914eb3) 	08/10/26 	_x86_64_	(72 CPU)

15:56:36     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15:56:37     all   11.42    0.00    0.69    0.00    0.00    0.01    0.00    0.00    0.00   87.87
15:56:38     all    1.11    0.00    0.85    0.00    0.00    0.00    0.00    0.00    0.00   98.04
15:56:39     all    1.53    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.25
15:56:40     all    1.42    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.40
15:56:41     all    1.60    0.00    0.24    0.00    0.00    0.00    0.00    0.00    0.00   98.17
15:56:42     all    1.64    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   98.11
15:56:43     all    1.74    0.00    0.28    0.00    0.00    0.00    0.00    0.00    0.00   97.98
15:56:44     all    1.80    0.00    0.28    0.00    0.00    0.01    0.00    0.00    0.00   97.90
15:56:45     all    1.74    0.00    0.42    0.00    0.00    0.00    0.00    0.00    0.00   97.85
15:56:46     all    1.49    0.00    0.36    0.00    0.00    0.00    0.00    0.00    0.00   98.15
15:56:47     all    1.89    0.00    0.31    0.00    0.00    0.00    0.00    0.00    0.00   97.81
15:56:48     all    1.59    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.19
15:56:49     all    1.50    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.31
15:56:50     all    1.49    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.31
15:56:51     all    1.50    0.00    0.47    0.00    0.00    0.01    0.00    0.00    0.00   98.01
15:56:52     all    1.25    0.00    0.26    0.00    0.00    0.00    0.00    0.00    0.00   98.49
15:56:53     all    1.57    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   98.28
15:56:54     all    1.50    0.00    0.26    0.00    0.00    0.00    0.00    0.00    0.00   98.24
15:56:55     all    1.40    0.00    0.26    0.00    0.00    0.00    0.00    0.00    0.00   98.33
15:56:56     all    1.63    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.18
15:56:57     all    1.58    0.00    0.26    0.00    0.00    0.00    0.00    0.00    0.00   98.15
15:56:58     all    1.96    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   97.71
15:56:59     all    1.58    0.00    0.24    0.00    0.00    0.00    0.00    0.00    0.00   98.18
15:57:00     all    1.65    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.12
15:57:01     all    1.71    0.00    0.44    0.00    0.00    0.00    0.00    0.00    0.00   97.85
15:57:02     all    1.45    0.00    0.29    0.00    0.00    0.00    0.00    0.00    0.00   98.26
15:57:03     all    1.58    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   98.17
15:57:04     all    1.50    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   98.33
15:57:05     all   17.10    0.00    2.49    0.01    0.00    0.01    0.00    0.00    0.00   80.39
15:57:06     all   41.87    0.00    3.53    0.00    0.00    0.00    0.00    0.00    0.00   54.60
15:57:07     all   50.40    0.00    5.82    0.00    0.00    0.00    0.00    0.00    0.00   43.77
15:57:08     all   42.87    0.00    6.13    0.00    0.00    0.00    0.00    0.00    0.00   51.00
15:57:09     all   42.53    0.00    5.65    0.00    0.00    0.01    0.00    0.00    0.00   51.80
