Linux 6.8.0-136-generic (856a17914eb3) 	08/10/26 	_x86_64_	(72 CPU)

11:41:09     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:41:10     all   11.57    0.00    0.47    0.00    0.00    0.00    0.00    0.00    0.00   87.96
11:41:11     all    1.18    0.00    0.86    0.00    0.00    0.00    0.00    0.00    0.00   97.96
11:41:12     all    1.61    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.19
11:41:13     all    1.61    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   98.22
11:41:14     all    1.33    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.47
11:41:15     all    1.70    0.00    0.26    0.00    0.00    0.00    0.00    0.00    0.00   98.04
11:41:16     all    1.93    0.00    0.25    0.01    0.00    0.00    0.00    0.00    0.00   97.81
11:41:17     all    1.49    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.29
11:41:18     all    1.64    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   98.11
11:41:19     all    1.97    0.00    0.38    0.00    0.00    0.00    0.00    0.00    0.00   97.65
11:41:20     all    1.38    0.00    0.26    0.00    0.00    0.00    0.00    0.00    0.00   98.36
11:41:21     all    1.64    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.15
11:41:22     all    1.57    0.01    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.19
11:41:23     all    1.34    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.46
11:41:24     all    1.63    0.00    0.26    0.00    0.00    0.00    0.00    0.00    0.00   98.11
11:41:25     all    1.40    0.00    0.46    0.00    0.00    0.00    0.00    0.00    0.00   98.14
11:41:26     all    1.78    0.00    0.40    0.00    0.00    0.00    0.00    0.00    0.00   97.82
11:41:27     all    1.63    0.00    0.22    0.00    0.00    0.01    0.00    0.00    0.00   98.14
11:41:28     all    1.74    0.00    0.35    0.00    0.00    0.00    0.00    0.00    0.00   97.92
11:41:29     all    1.36    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.44
11:41:30     all    1.64    0.00    0.26    0.00    0.00    0.00    0.00    0.00    0.00   98.10
11:41:31     all    1.56    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.25
11:41:32     all    1.39    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   98.46
11:41:33     all    1.61    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   98.14
11:41:34     all    1.60    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.18
11:41:35     all    1.52    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   98.23
11:41:36     all    1.56    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.26
11:41:37     all    1.65    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.15
11:41:38     all   11.72    0.00    2.15    0.00    0.00    0.00    0.00    0.00    0.00   86.13
11:41:39     all   41.95    0.00    3.49    0.00    0.00    0.01    0.00    0.00    0.00   54.55
11:41:40     all   53.94    0.00    4.56    0.00    0.00    0.01    0.00    0.00    0.00   41.48
11:41:41     all   48.06    0.00    7.37    0.00    0.00    0.00    0.00    0.00    0.00   44.57
11:41:42     all   41.78    0.00    5.55    0.00    0.00    0.00    0.00    0.00    0.00   52.67
11:41:43     all   34.11    0.00    3.66    0.00    0.00    0.00    0.00    0.00    0.00   62.23
11:41:44     all   37.41    0.00    3.70    0.00    0.00    0.00    0.00    0.00    0.00   58.89
11:41:45     all   37.32    0.00    3.31    0.00    0.00    0.01    0.00    0.00    0.00   59.35
11:41:46     all   35.37    0.00    3.19    0.00    0.00    0.00    0.00    0.00    0.00   61.44
11:41:47     all   42.24    0.00    2.43    0.00    0.00    0.00    0.00    0.00    0.00   55.32
11:41:48     all   47.60    0.00    1.78    0.00    0.00    0.00    0.00    0.00    0.00   50.62
11:41:49     all   34.88    0.00    1.49    0.00    0.00    0.00    0.00    0.00    0.00   63.63
11:41:50     all   38.38    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   59.56
11:41:51     all   63.23    0.00    3.96    0.00    0.00    0.00    0.00    0.00    0.00   32.80
11:41:52     all   50.93    0.00    8.57    0.00    0.00    0.00    0.00    0.00    0.00   40.51
11:41:53     all   32.56    0.00    7.34    0.00    0.00    0.00    0.00    0.00    0.00   60.09
11:41:54     all   29.97    0.00    6.60    0.00    0.00    0.01    0.00    0.00    0.00   63.41
11:41:55     all   25.77    0.00    5.09    0.00    0.00    0.00    0.00    0.00    0.00   69.13
11:41:56     all   34.31    0.00    6.70    0.00    0.00    0.00    0.00    0.00    0.00   58.99
11:41:57     all   46.74    0.00    8.97    0.00    0.00    0.00    0.00    0.00    0.00   44.29
11:41:58     all   51.92    0.00   10.77    0.00    0.00    0.00    0.00    0.00    0.00   37.31
11:41:59     all   55.21    0.00   14.42    0.00    0.00    0.00    0.00    0.00    0.00   30.38
11:42:00     all   57.00    0.00   15.36    0.00    0.00    0.01    0.00    0.00    0.00   27.62
11:42:01     all   59.88    0.00   14.24    0.00    0.00    0.00    0.00    0.00    0.00   25.88
11:42:02     all   51.03    0.00   15.63    0.00    0.00    0.00    0.00    0.00    0.00   33.34
11:42:03     all   47.86    0.00   14.75    0.01    0.00    0.01    0.00    0.00    0.00   37.36
11:42:04     all   44.57    0.00   12.22    0.00    0.00    0.00    0.00    0.00    0.00   43.22
11:42:05     all   41.22    0.00   14.29    0.00    0.00    0.01    0.00    0.00    0.00   44.48
11:42:06     all   34.56    0.00    9.86    0.00    0.00    0.00    0.00    0.00    0.00   55.58
11:42:07     all   39.21    0.00   12.39    0.00    0.00    0.00    0.00    0.00    0.00   48.40
11:42:08     all   33.89    0.00   11.32    0.00    0.00    0.00    0.00    0.00    0.00   54.79
11:42:09     all   27.58    0.00    9.21    0.00    0.00    0.00    0.00    0.00    0.00   63.21
11:42:10     all   27.62    0.00    7.21    0.00    0.00    0.00    0.00    0.00    0.00   65.17
11:42:11     all   30.09    0.00    9.28    0.01    0.00    0.00    0.00    0.00    0.00   60.62
11:42:12     all   22.95    0.00    6.29    0.00    0.00    0.01    0.00    0.00    0.00   70.76
11:42:13     all   31.19    0.00    8.77    0.00    0.00    0.00    0.00    0.00    0.00   60.04
11:42:14     all   40.68    0.00   10.54    0.00    0.00    0.00    0.00    0.00    0.00   48.77
11:42:15     all   43.09    0.01    9.37    0.00    0.00    0.00    0.00    0.00    0.00   47.53
11:42:16     all   42.54    0.00   10.51    0.00    0.00    0.01    0.00    0.00    0.00   46.93
11:42:17     all   40.55    0.00   10.26    0.00    0.00    0.03    0.00    0.00    0.00   49.16
11:42:18     all   46.47    0.00   11.55    0.00    0.00    0.00    0.00    0.00    0.00   41.98
11:42:19     all   44.79    0.00   12.68    0.00    0.00    0.00    0.00    0.00    0.00   42.53
11:42:20     all   39.45    0.00   11.63    0.00    0.00    0.00    0.00    0.00    0.00   48.92
11:42:21     all   36.01    0.00    9.29    0.00    0.00    0.00    0.00    0.00    0.00   54.70
11:42:22     all   41.24    0.00   10.32    0.00    0.00    0.03    0.00    0.00    0.00   48.41
11:42:23     all   33.45    0.00   10.53    0.00    0.00    0.00    0.00    0.00    0.00   56.02
11:42:24     all   36.03    0.00   12.41    0.00    0.00    0.00    0.00    0.00    0.00   51.55
11:42:25     all   31.79    0.00    9.39    0.00    0.00    0.03    0.00    0.00    0.00   58.80
11:42:26     all   33.03    0.00    9.00    0.00    0.00    0.00    0.00    0.00    0.00   57.97
11:42:27     all   35.57    0.00    8.50    0.00    0.00    0.01    0.00    0.00    0.00   55.92
11:42:28     all   29.56    0.00    8.91    0.00    0.00    0.00    0.00    0.00    0.00   61.53
11:42:29     all   37.95    0.00    9.49    0.00    0.00    0.00    0.00    0.00    0.00   52.55
11:42:30     all   39.80    0.00   10.40    0.00    0.00    0.00    0.00    0.00    0.00   49.81
11:42:31     all   41.09    0.00   11.25    0.00    0.00    0.00    0.00    0.00    0.00   47.67
11:42:32     all   45.29    0.00   13.97    0.00    0.00    0.01    0.00    0.00    0.00   40.72
11:42:33     all   42.05    0.00   14.07    0.00    0.00    0.00    0.00    0.00    0.00   43.88
11:42:34     all   44.31    0.00   13.85    0.00    0.00    0.00    0.00    0.00    0.00   41.84
11:42:35     all   41.63    0.00   17.76    0.00    0.00    0.00    0.00    0.00    0.00   40.61
11:42:36     all   36.60    0.00   11.59    0.00    0.00    0.00    0.00    0.00    0.00   51.81
11:42:37     all   37.26    0.00   14.42    0.00    0.00    0.03    0.00    0.00    0.00   48.29
11:42:38     all   40.37    0.00   13.52    0.00    0.00    0.00    0.00    0.00    0.00   46.11
11:42:39     all   40.20    0.00   12.99    0.00    0.00    0.00    0.00    0.00    0.00   46.80
11:42:40     all   39.30    0.00   13.75    0.00    0.00    0.00    0.00    0.00    0.00   46.95
11:42:41     all   39.31    0.00   11.83    0.00    0.00    0.00    0.00    0.00    0.00   48.86
11:42:42     all   37.51    0.00   13.88    0.00    0.00    0.01    0.00    0.00    0.00   48.59
11:42:43     all   39.73    0.00   13.59    0.00    0.00    0.00    0.00    0.00    0.00   46.68
11:42:44     all   38.92    0.00   15.28    0.01    0.00    0.00    0.00    0.00    0.00   45.79
11:42:45     all   52.82    0.00   16.07    0.00    0.00    0.00    0.00    0.00    0.00   31.11
11:42:46     all   42.42    0.00   16.84    0.00    0.00    0.01    0.00    0.00    0.00   40.72
11:42:47     all   40.93    0.00   16.52    0.00    0.00    0.00    0.00    0.00    0.00   42.55
11:42:48     all   44.36    0.00   16.05    0.00    0.00    0.00    0.00    0.00    0.00   39.60
11:42:49     all   40.14    0.00   14.55    0.01    0.00    0.01    0.00    0.00    0.00   45.28
11:42:50     all   45.10    0.00   13.69    0.00    0.00    0.00    0.00    0.00    0.00   41.21
11:42:51     all   45.89    0.00   15.40    0.00    0.00    0.00    0.00    0.00    0.00   38.70
11:42:52     all   50.17    0.00   17.32    0.00    0.00    0.01    0.00    0.00    0.00   32.50
11:42:53     all   45.30    0.00   15.15    0.00    0.00    0.00    0.00    0.00    0.00   39.54
11:42:54     all   36.21    0.00   14.54    0.00    0.00    0.00    0.00    0.00    0.00   49.25
11:42:55     all   44.18    0.00   15.93    0.00    0.00    0.01    0.00    0.00    0.00   39.87
11:42:56     all   51.06    0.00   19.09    0.00    0.00    0.00    0.00    0.00    0.00   29.86
11:42:57     all   53.60    0.00   17.46    0.00    0.00    0.00    0.00    0.00    0.00   28.95
11:42:58     all   51.80    0.00   19.82    0.00    0.00    0.00    0.00    0.00    0.00   28.38
11:42:59     all   48.61    0.00   18.85    0.00    0.00    0.00    0.00    0.00    0.00   32.55
11:43:00     all   45.23    0.00   17.49    0.00    0.00    0.00    0.00    0.00    0.00   37.27
11:43:01     all   43.69    0.00   17.18    0.00    0.00    0.00    0.00    0.00    0.00   39.13
11:43:02     all   44.89    0.01   16.50    0.00    0.00    0.01    0.00    0.00    0.00   38.59
11:43:03     all   32.55    0.00   13.30    0.00    0.00    0.00    0.00    0.00    0.00   54.16
11:43:04     all   45.04    0.00   15.11    0.00    0.00    0.00    0.00    0.00    0.00   39.85
11:43:05     all   43.17    0.00   15.22    0.00    0.00    0.00    0.00    0.00    0.00   41.61
11:43:06     all   46.37    0.00   17.50    0.00    0.00    0.01    0.00    0.00    0.00   36.12
11:43:07     all   47.33    0.00   18.46    0.00    0.00    0.00    0.00    0.00    0.00   34.21
11:43:08     all   50.60    0.00   17.96    0.00    0.00    0.00    0.00    0.00    0.00   31.44
11:43:09     all   45.56    0.00   16.55    0.00    0.00    0.01    0.00    0.00    0.00   37.88
11:43:10     all   50.56    0.00   17.55    0.00    0.00    0.00    0.00    0.00    0.00   31.88
11:43:11     all   40.50    0.00   15.17    0.00    0.00    0.00    0.00    0.00    0.00   44.33
11:43:12     all   48.77    0.00   19.98    0.00    0.00    0.00    0.00    0.00    0.00   31.25
11:43:13     all   48.77    0.00   19.04    0.00    0.00    0.01    0.00    0.00    0.00   32.18
11:43:14     all   47.86    0.00   16.11    0.00    0.00    0.00    0.00    0.00    0.00   36.03
11:43:15     all   40.02    0.00   15.65    0.00    0.00    0.00    0.00    0.00    0.00   44.33
11:43:16     all   42.89    0.00   14.13    0.00    0.00    0.00    0.00    0.00    0.00   42.97
11:43:17     all   46.88    0.00   18.06    0.00    0.00    0.01    0.00    0.00    0.00   35.05
11:43:18     all   50.59    0.00   18.06    0.00    0.00    0.00    0.00    0.00    0.00   31.35
11:43:19     all   48.94    0.00   18.42    0.00    0.00    0.01    0.00    0.00    0.00   32.63
11:43:20     all   51.94    0.00   16.84    0.00    0.00    0.01    0.00    0.00    0.00   31.21
11:43:21     all   47.58    0.00   18.54    0.00    0.00    0.00    0.00    0.00    0.00   33.87
11:43:22     all   49.96    0.00   18.37    0.00    0.00    0.00    0.00    0.00    0.00   31.68
11:43:23     all   51.95    0.00   18.60    0.00    0.00    0.00    0.00    0.00    0.00   29.44
11:43:24     all   53.28    0.00   19.54    0.00    0.00    0.00    0.00    0.00    0.00   27.18
11:43:25     all   48.73    0.00   18.65    0.00    0.00    0.01    0.00    0.00    0.00   32.60
11:43:26     all   52.77    0.00   21.02    0.00    0.00    0.00    0.00    0.00    0.00   26.22
11:43:27     all   49.18    0.00   19.10    0.00    0.00    0.00    0.00    0.00    0.00   31.72
11:43:28     all   44.02    0.00   19.10    0.00    0.00    0.00    0.00    0.00    0.00   36.88
11:43:29     all   46.26    0.00   18.41    0.01    0.00    0.00    0.00    0.00    0.00   35.31
11:43:30     all   45.73    0.00   17.56    0.00    0.00    0.01    0.00    0.00    0.00   36.69
11:43:31     all   46.61    0.00   20.78    0.00    0.00    0.00    0.00    0.00    0.00   32.61
11:43:32     all   43.78    0.00   19.28    0.00    0.00    0.00    0.00    0.00    0.00   36.94
11:43:33     all   45.98    0.00   18.81    0.00    0.00    0.01    0.00    0.00    0.00   35.20
11:43:34     all   49.14    0.00   23.23    0.00    0.00    0.01    0.00    0.00    0.00   27.62
11:43:35     all   52.63    0.00   20.92    0.00    0.00    0.00    0.00    0.00    0.00   26.45
11:43:36     all   52.82    0.00   20.96    0.00    0.00    0.03    0.00    0.00    0.00   26.19
11:43:37     all   46.92    0.00   19.25    0.00    0.00    0.01    0.00    0.00    0.00   33.82
11:43:38     all   50.56    0.00   20.81    0.00    0.00    0.00    0.00    0.00    0.00   28.63
11:43:39     all   49.26    0.00   21.02    0.00    0.00    0.01    0.00    0.00    0.00   29.71
11:43:40     all   49.31    0.00   22.69    0.00    0.00    0.00    0.00    0.00    0.00   28.00
11:43:41     all   48.98    0.00   20.86    0.00    0.00    0.03    0.00    0.00    0.00   30.13
11:43:42     all   52.18    0.00   18.70    0.00    0.00    0.01    0.00    0.00    0.00   29.10
11:43:43     all   48.68    0.00   20.63    0.00    0.00    0.01    0.00    0.00    0.00   30.68
11:43:44     all   48.95    0.00   18.74    0.00    0.00    0.00    0.00    0.00    0.00   32.31
11:43:45     all   47.45    0.00   19.64    0.00    0.00    0.01    0.00    0.00    0.00   32.90
11:43:46     all   44.79    0.00   21.26    0.00    0.00    0.00    0.00    0.00    0.00   33.95
11:43:47     all   50.80    0.00   19.02    0.00    0.00    0.00    0.00    0.00    0.00   30.18
11:43:48     all   49.15    0.00   18.44    0.00    0.00    0.00    0.00    0.00    0.00   32.41
11:43:49     all   48.61    0.00   19.39    0.00    0.00    0.00    0.00    0.00    0.00   32.00
11:43:50     all   53.33    0.00   19.39    0.00    0.00    0.00    0.00    0.00    0.00   27.28
11:43:51     all   49.44    0.00   21.24    0.00    0.00    0.01    0.00    0.00    0.00   29.31
11:43:52     all   48.36    0.00   20.93    0.00    0.00    0.00    0.00    0.00    0.00   30.71
11:43:53     all   44.86    0.00   22.55    0.00    0.00    0.01    0.00    0.00    0.00   32.58
11:43:54     all   44.01    0.00   22.56    0.00    0.00    0.00    0.00    0.00    0.00   33.43
11:43:55     all   47.35    0.00   20.06    0.00    0.00    0.00    0.00    0.00    0.00   32.60
11:43:56     all   50.47    0.00   21.94    0.00    0.00    0.00    0.00    0.00    0.00   27.60
11:43:57     all   45.13    0.00   24.63    0.00    0.00    0.00    0.00    0.00    0.00   30.24
11:43:58     all   49.34    0.00   22.64    0.00    0.00    0.01    0.00    0.00    0.00   28.01
11:43:59     all   49.17    0.00   22.25    0.00    0.00    0.00    0.00    0.00    0.00   28.58
11:44:00     all   45.20    0.00   24.26    0.00    0.00    0.00    0.00    0.00    0.00   30.54
11:44:01     all   47.18    0.00   23.53    0.00    0.00    0.01    0.00    0.00    0.00   29.28
11:44:02     all   48.51    0.00   22.77    0.00    0.00    0.00    0.00    0.00    0.00   28.71
11:44:03     all   45.49    0.00   23.98    0.00    0.00    0.01    0.00    0.00    0.00   30.51
11:44:04     all   49.39    0.00   22.34    0.00    0.00    0.03    0.00    0.00    0.00   28.24
11:44:05     all   45.82    0.00   21.34    0.00    0.00    0.00    0.00    0.00    0.00   32.84
11:44:06     all   49.24    0.00   21.81    0.00    0.00    0.00    0.00    0.00    0.00   28.95
11:44:07     all   45.98    0.00   24.09    0.00    0.00    0.01    0.00    0.00    0.00   29.92
11:44:08     all   45.61    0.00   21.96    0.00    0.00    0.03    0.00    0.00    0.00   32.41
11:44:09     all   47.62    0.00   22.86    0.00    0.00    0.00    0.00    0.00    0.00   29.53
11:44:10     all   43.42    0.00   24.49    0.00    0.00    0.00    0.00    0.00    0.00   32.09
11:44:11     all   43.03    0.00   25.11    0.00    0.00    0.00    0.00    0.00    0.00   31.86
11:44:12     all   41.49    0.00   24.53    0.00    0.00    0.00    0.00    0.00    0.00   33.98
11:44:13     all   44.26    0.00   22.83    0.00    0.00    0.00    0.00    0.00    0.00   32.91
11:44:14     all   40.97    0.01   25.33    0.00    0.00    0.01    0.00    0.00    0.00   33.67
11:44:15     all   42.48    0.01   24.06    0.00    0.00    0.00    0.00    0.00    0.00   33.45
11:44:16     all   46.83    0.00   21.94    0.00    0.00    0.00    0.00    0.00    0.00   31.24
11:44:17     all   43.58    0.00   25.09    0.00    0.00    0.01    0.00    0.00    0.00   31.32
11:44:18     all   42.54    0.00   25.55    0.00    0.00    0.01    0.00    0.00    0.00   31.90
11:44:19     all   40.43    0.00   24.57    0.00    0.00    0.00    0.00    0.00    0.00   35.01
11:44:20     all   39.48    0.00   22.45    0.00    0.00    0.00    0.00    0.00    0.00   38.06
11:44:21     all   38.21    0.00   19.13    0.00    0.00    0.01    0.00    0.00    0.00   42.64
11:44:22     all   42.91    0.00   23.84    0.00    0.00    0.00    0.00    0.00    0.00   33.25
11:44:23     all   47.20    0.00   22.76    0.00    0.00    0.00    0.00    0.00    0.00   30.04
11:44:24     all   49.13    0.00   22.83    0.00    0.00    0.00    0.00    0.00    0.00   28.04
11:44:25     all   40.85    0.00   21.24    0.00    0.00    0.01    0.00    0.00    0.00   37.89
11:44:26     all   46.59    0.00   24.31    0.00    0.00    0.00    0.00    0.00    0.00   29.10
11:44:27     all   48.13    0.00   25.27    0.00    0.00    0.00    0.00    0.00    0.00   26.60
11:44:28     all   46.31    0.00   22.47    0.00    0.00    0.03    0.00    0.00    0.00   31.19
11:44:29     all   44.73    0.00   22.58    0.00    0.00    0.03    0.00    0.00    0.00   32.66
11:44:30     all   46.56    0.00   22.97    0.00    0.00    0.00    0.00    0.00    0.00   30.47
11:44:31     all   42.28    0.00   23.22    0.00    0.00    0.00    0.00    0.00    0.00   34.50
11:44:32     all   45.87    0.00   22.02    0.00    0.00    0.00    0.00    0.00    0.00   32.11
11:44:33     all   48.64    0.00   21.33    0.00    0.00    0.00    0.00    0.00    0.00   30.03
11:44:34     all   42.04    0.00   20.30    0.00    0.00    0.03    0.00    0.00    0.00   37.63
11:44:35     all   39.78    0.00   19.30    0.00    0.00    0.03    0.00    0.00    0.00   40.89
11:44:36     all   47.80    0.00   18.26    0.00    0.00    0.00    0.00    0.00    0.00   33.93
11:44:37     all   41.64    0.00   18.18    0.00    0.00    0.01    0.00    0.00    0.00   40.17
11:44:38     all   43.17    0.00   20.09    0.00    0.00    0.00    0.00    0.00    0.00   36.74
11:44:39     all   25.92    0.00   20.46    0.00    0.00    0.00    0.00    0.00    0.00   53.61
11:44:40     all   15.56    0.00   10.46    0.00    0.00    0.00    0.00    0.00    0.00   73.98
11:44:41     all   14.72    0.00    8.33    0.00    0.00    0.00    0.00    0.00    0.00   76.95
11:44:42     all   13.42    0.00    8.16    0.00    0.00    0.01    0.00    0.00    0.00   78.41
11:44:43     all   12.24    0.00    7.47    0.00    0.00    0.00    0.00    0.00    0.00   80.28
11:44:44     all   12.30    0.00    8.15    0.00    0.00    0.00    0.00    0.00    0.00   79.55
11:44:45     all   11.99    0.00    7.84    0.00    0.00    0.00    0.00    0.00    0.00   80.17
11:44:46     all   12.10    0.00    7.83    0.00    0.00    0.01    0.00    0.00    0.00   80.05
11:44:47     all   11.49    0.00    7.11    0.00    0.00    0.00    0.00    0.00    0.00   81.41
11:44:48     all   10.51    0.00    6.45    0.00    0.00    0.01    0.00    0.00    0.00   83.03
11:44:49     all    9.73    0.00    6.04    0.00    0.00    0.00    0.00    0.00    0.00   84.23
Average:     all   37.06    0.00   13.76    0.00    0.00    0.00    0.00    0.00    0.00   49.18
