Linux 6.8.0-136-generic (856a17914eb3) 	08/10/26 	_x86_64_	(72 CPU)

16:15:14     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
16:15:15     all   11.60    0.00    0.40    0.00    0.00    0.00    0.00    0.00    0.00   88.00
16:15:16     all    1.64    0.00    1.17    0.00    0.00    0.00    0.00    0.00    0.00   97.19
16:15:17     all    1.50    0.00    0.37    0.00    0.00    0.00    0.00    0.00    0.00   98.13
16:15:18     all    1.67    0.00    0.26    0.00    0.00    0.00    0.00    0.00    0.00   98.07
16:15:19     all    1.60    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.20
16:15:20     all    1.33    0.00    0.24    0.00    0.00    0.00    0.00    0.00    0.00   98.43
16:15:21     all    1.60    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.21
16:15:22     all    1.58    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   98.17
16:15:23     all    1.38    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   98.47
16:15:24     all    1.63    0.00    0.26    0.00    0.00    0.00    0.00    0.00    0.00   98.11
16:15:25     all    2.10    0.00    0.35    0.00    0.00    0.00    0.00    0.00    0.00   97.55
16:15:26     all    1.49    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.31
16:15:27     all    2.24    0.00    0.46    0.00    0.00    0.00    0.00    0.00    0.00   97.30
16:15:28     all    1.89    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   97.91
16:15:29     all    1.11    0.00    0.46    0.00    0.00    0.00    0.00    0.00    0.00   98.43
16:15:30     all    1.49    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.30
16:15:31     all    1.64    0.00    0.31    0.00    0.00    0.00    0.00    0.00    0.00   98.05
16:15:32     all    1.42    0.00    0.31    0.00    0.00    0.00    0.00    0.00    0.00   98.28
16:15:33     all    1.56    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.24
16:15:34     all    1.58    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   98.25
16:15:35     all    1.39    0.01    0.25    0.00    0.00    0.00    0.00    0.00    0.00   98.35
16:15:36     all    1.57    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   98.18
16:15:37     all    1.63    0.00    0.32    0.00    0.00    0.00    0.00    0.00    0.00   98.06
16:15:38     all    1.39    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   98.44
16:15:39     all    1.57    0.00    0.14    0.00    0.00    0.00    0.00    0.00    0.00   98.29
16:15:40     all    1.68    0.00    0.28    0.00    0.00    0.00    0.00    0.00    0.00   98.04
16:15:41     all    1.33    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.44
16:15:42     all    1.74    0.00    0.43    0.00    0.00    0.00    0.00    0.00    0.00   97.83
16:15:43     all   25.40    0.00    3.19    0.00    0.00    0.00    0.00    0.00    0.00   71.41
16:15:44     all   43.39    0.00    2.70    0.00    0.00    0.00    0.00    0.00    0.00   53.91
16:15:45     all   52.62    0.00    6.33    0.00    0.00    0.00    0.00    0.00    0.00   41.05
16:15:46     all   40.57    0.00    5.89    0.00    0.00    0.00    0.00    0.00    0.00   53.54
16:15:47     all   34.37    0.00    4.54    0.03    0.00    0.00    0.00    0.00    0.00   61.07
16:15:48     all   36.05    0.00    3.97    0.00    0.00    0.00    0.00    0.00    0.00   59.98
16:15:49     all   38.30    0.00    3.51    0.00    0.00    0.00    0.00    0.00    0.00   58.18
16:15:50     all   36.10    0.00    3.30    0.00    0.00    0.00    0.00    0.00    0.00   60.60
16:15:51     all   38.29    0.00    2.41    0.00    0.00    0.00    0.00    0.00    0.00   59.30
16:15:52     all   44.25    0.00    1.96    0.01    0.00    0.00    0.00    0.00    0.00   53.77
16:15:53     all   45.88    0.00    1.34    0.00    0.00    0.00    0.00    0.00    0.00   52.78
16:15:54     all   33.20    0.00    1.46    0.00    0.00    0.01    0.00    0.00    0.00   65.32
16:15:55     all   43.99    0.00    1.42    0.00    0.00    0.00    0.00    0.00    0.00   54.58
16:15:56     all   49.48    0.00    3.53    0.00    0.00    0.00    0.00    0.00    0.00   46.99
16:15:57     all   40.65    0.00    7.34    0.00    0.00    0.00    0.00    0.00    0.00   52.01
16:15:58     all   29.99    0.00    5.47    0.00    0.00    0.00    0.00    0.00    0.00   64.54
16:15:59     all   28.71    0.00    4.74    0.00    0.00    0.00    0.00    0.00    0.00   66.55
16:16:00     all   29.99    0.00    4.74    0.00    0.00    0.00    0.00    0.00    0.00   65.27
16:16:01     all   36.91    0.00    4.75    0.00    0.00    0.01    0.00    0.00    0.00   58.32
16:16:02     all   42.64    0.00    5.70    0.00    0.00    0.00    0.00    0.00    0.00   51.66
16:16:03     all   43.97    0.00    7.65    0.00    0.00    0.00    0.00    0.00    0.00   48.39
16:16:04     all   49.78    0.00    8.02    0.00    0.00    0.00    0.00    0.00    0.00   42.19
16:16:05     all   51.87    0.00   12.20    0.00    0.00    0.00    0.00    0.00    0.00   35.93
16:16:06     all   51.67    0.00   13.19    0.00    0.00    0.00    0.00    0.00    0.00   35.14
16:16:07     all   51.78    0.00   13.93    0.00    0.00    0.00    0.00    0.00    0.00   34.29
16:16:08     all   47.43    0.00   12.64    0.00    0.00    0.00    0.00    0.00    0.00   39.93
16:16:09     all   40.19    0.00   10.51    0.00    0.00    0.00    0.00    0.00    0.00   49.30
16:16:10     all   36.10    0.00   10.18    0.00    0.00    0.00    0.00    0.00    0.00   53.71
16:16:11     all   34.63    0.00    9.84    0.00    0.00    0.03    0.00    0.00    0.00   55.50
16:16:12     all   31.87    0.00    6.48    0.00    0.00    0.00    0.00    0.00    0.00   61.65
16:16:13     all   26.41    0.00    5.99    0.00    0.00    0.00    0.00    0.00    0.00   67.60
16:16:14     all   34.89    0.00    7.63    0.00    0.00    0.00    0.00    0.00    0.00   57.48
16:16:15     all   27.20    0.00    5.87    0.00    0.00    0.00    0.00    0.00    0.00   66.92
16:16:16     all   29.55    0.00    7.07    0.00    0.00    0.01    0.00    0.00    0.00   63.37
16:16:17     all   29.16    0.00    7.31    0.00    0.00    0.01    0.00    0.00    0.00   63.51
16:16:18     all   34.63    0.00    5.68    0.00    0.00    0.00    0.00    0.00    0.00   59.69
16:16:19     all   36.53    0.00    7.70    0.00    0.00    0.00    0.00    0.00    0.00   55.77
16:16:20     all   38.79    0.00    7.67    0.00    0.00    0.00    0.00    0.00    0.00   53.54
16:16:21     all   40.90    0.00    6.68    0.00    0.00    0.00    0.00    0.00    0.00   52.43
16:16:22     all   43.61    0.00    6.39    0.00    0.00    0.01    0.00    0.00    0.00   49.99
16:16:23     all   37.48    0.00    7.54    0.00    0.00    0.00    0.00    0.00    0.00   54.98
16:16:24     all   48.30    0.00    9.19    0.00    0.00    0.00    0.00    0.00    0.00   42.51
