Linux 6.8.0-136-generic (856a17914eb3) 	08/10/26 	_x86_64_	(72 CPU)

16:08:37     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
16:08:38     all   11.79    0.00    0.54    0.00    0.00    0.00    0.00    0.00    0.00   87.66
16:08:39     all    1.49    0.00    0.82    0.00    0.00    0.00    0.00    0.00    0.00   97.69
16:08:40     all    1.32    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.46
16:08:41     all    1.51    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.29
16:08:42     all    1.60    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.20
16:08:43     all    1.51    0.00    0.28    0.00    0.00    0.00    0.00    0.00    0.00   98.21
16:08:44     all    1.98    0.00    0.26    0.00    0.00    0.00    0.00    0.00    0.00   97.76
16:08:45     all    1.85    0.00    0.53    0.00    0.00    0.00    0.00    0.00    0.00   97.62
16:08:46     all    1.49    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.29
16:08:47     all    1.54    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.24
16:08:48     all    2.15    0.00    0.58    0.00    0.00    0.00    0.00    0.00    0.00   97.26
16:08:49     all    1.56    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.22
16:08:50     all    1.49    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.32
16:08:51     all    1.57    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.22
16:08:52     all    1.26    0.00    0.53    0.00    0.00    0.00    0.00    0.00    0.00   98.21
16:08:53     all    1.50    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.29
16:08:54     all    1.72    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   98.11
16:08:55     all    1.54    0.00    0.29    0.00    0.00    0.00    0.00    0.00    0.00   98.17
16:08:56     all    1.88    0.00    0.29    0.00    0.00    0.00    0.00    0.00    0.00   97.83
16:08:57     all    1.69    0.00    0.18    0.01    0.00    0.00    0.00    0.00    0.00   98.11
16:08:58     all    1.63    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.15
16:08:59     all    1.42    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   98.42
16:09:00     all    1.68    0.00    0.32    0.00    0.00    0.00    0.00    0.00    0.00   98.00
16:09:01     all    2.14    0.00    0.47    0.00    0.00    0.00    0.00    0.00    0.00   97.39
16:09:02     all    1.38    0.01    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.43
16:09:03     all    1.71    0.00    0.32    0.00    0.00    0.00    0.00    0.00    0.00   97.97
16:09:04     all    1.56    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.22
16:09:05     all    1.43    0.00    0.14    0.00    0.00    0.00    0.00    0.00    0.00   98.43
16:09:06     all   18.65    0.00    2.72    0.00    0.00    0.00    0.00    0.00    0.00   78.64
16:09:07     all   43.53    0.00    3.44    0.00    0.00    0.01    0.00    0.00    0.00   53.01
16:09:08     all   52.08    0.00    5.62    0.00    0.00    0.00    0.00    0.00    0.00   42.30
16:09:09     all   40.18    0.00    5.99    0.00    0.00    0.00    0.00    0.00    0.00   53.83
16:09:10     all   43.72    0.00    5.94    0.00    0.00    0.00    0.00    0.00    0.00   50.33
16:09:11     all   36.24    0.00    4.05    0.00    0.00    0.00    0.00    0.00    0.00   59.71
16:09:12     all   36.76    0.00    3.34    0.00    0.00    0.00    0.00    0.00    0.00   59.90
16:09:13     all   33.80    0.00    3.15    0.00    0.00    0.00    0.00    0.00    0.00   63.05
16:09:14     all   37.85    0.00    2.68    0.00    0.00    0.00    0.00    0.00    0.00   59.48
16:09:15     all   42.05    0.00    1.92    0.00    0.00    0.01    0.00    0.00    0.00   56.01
16:09:16     all   46.70    0.00    1.41    0.00    0.00    0.00    0.00    0.00    0.00   51.89
16:09:17     all   32.73    0.00    1.63    0.00    0.00    0.00    0.00    0.00    0.00   65.65
16:09:18     all   41.91    0.00    1.23    0.00    0.00    0.00    0.00    0.00    0.00   56.86
16:09:19     all   53.31    0.00    3.34    0.00    0.00    0.01    0.00    0.00    0.00   43.34
16:09:20     all   41.66    0.00    7.14    0.00    0.00    0.00    0.00    0.00    0.00   51.21
16:09:21     all   33.33    0.00    5.59    0.00    0.00    0.00    0.00    0.00    0.00   61.07
16:09:22     all   25.50    0.00    4.56    0.01    0.00    0.00    0.00    0.00    0.00   69.93
16:09:23     all   32.65    0.00    4.46    0.00    0.00    0.00    0.00    0.00    0.00   62.90
16:09:24     all   35.32    0.00    4.75    0.00    0.00    0.00    0.00    0.00    0.00   59.93
16:09:25     all   40.60    0.00    6.55    0.00    0.00    0.00    0.00    0.00    0.00   52.85
16:09:26     all   49.73    0.00    6.76    0.00    0.00    0.03    0.00    0.00    0.00   43.48
16:09:27     all   49.91    0.00   11.16    0.00    0.00    0.00    0.00    0.00    0.00   38.93
16:09:28     all   54.07    0.00   12.30    0.00    0.00    0.01    0.00    0.00    0.00   33.62
16:09:29     all   54.99    0.00   12.30    0.00    0.00    0.00    0.00    0.00    0.00   32.72
16:09:30     all   45.05    0.00   12.13    0.00    0.00    0.00    0.00    0.00    0.00   42.82
16:09:31     all   47.31    0.00   11.05    0.00    0.00    0.00    0.00    0.00    0.00   41.64
16:09:32     all   44.17    0.00   10.97    0.00    0.00    0.00    0.00    0.00    0.00   44.87
16:09:33     all   43.41    0.00   11.71    0.00    0.00    0.00    0.00    0.00    0.00   44.88
16:09:34     all   37.25    0.03   10.69    0.00    0.00    0.01    0.00    0.00    0.00   52.02
16:09:35     all   37.42    0.00    9.78    0.00    0.00    0.00    0.00    0.00    0.00   52.81
16:09:36     all   24.07    0.00    5.71    0.00    0.00    0.00    0.00    0.00    0.00   70.22
16:09:37     all   25.50    0.00    6.57    0.01    0.00    0.00    0.00    0.00    0.00   67.91
16:09:38     all   34.50    0.00    7.68    0.00    0.00    0.00    0.00    0.00    0.00   57.82
16:09:39     all   36.77    0.00    9.47    0.00    0.00    0.00    0.00    0.00    0.00   53.76
16:09:40     all   27.86    0.00    6.94    0.00    0.00    0.00    0.00    0.00    0.00   65.20
16:09:41     all   31.55    0.00    7.87    0.00    0.00    0.01    0.00    0.00    0.00   60.57
16:09:42     all   39.61    0.00    6.93    0.00    0.00    0.00    0.00    0.00    0.00   53.46
16:09:43     all   31.99    0.00    5.82    0.01    0.00    0.00    0.00    0.00    0.00   62.17
16:09:44     all   39.53    0.00    8.12    0.00    0.00    0.01    0.00    0.00    0.00   52.34
16:09:45     all   46.60    0.00    9.10    0.00    0.00    0.00    0.00    0.00    0.00   44.29
16:09:46     all   47.30    0.00    8.58    0.00    0.00    0.00    0.00    0.00    0.00   44.12
16:09:47     all   43.18    0.00    9.70    0.00    0.00    0.00    0.00    0.00    0.00   47.12
16:09:48     all   39.00    0.00   10.50    0.00    0.00    0.00    0.00    0.00    0.00   50.49
16:09:49     all   31.41    0.00    7.33    0.00    0.00    0.00    0.00    0.00    0.00   61.27
16:09:50     all   25.89    0.00    6.68    0.00    0.00    0.00    0.00    0.00    0.00   67.43
16:09:51     all   33.52    0.00    6.94    0.00    0.00    0.00    0.00    0.00    0.00   59.54
16:09:52     all   40.00    0.00    7.96    0.00    0.00    0.00    0.00    0.00    0.00   52.04
16:09:53     all   35.99    0.00    8.32    0.00    0.00    0.00    0.00    0.00    0.00   55.69
16:09:54     all   28.54    0.00    5.30    0.00    0.00    0.00    0.00    0.00    0.00   66.16
16:09:55     all   23.21    0.00    5.40    0.00    0.00    0.01    0.00    0.00    0.00   71.38
16:09:56     all   41.29    0.00    6.81    0.00    0.00    0.00    0.00    0.00    0.00   51.90
16:09:57     all   37.62    0.00    8.03    0.00    0.00    0.00    0.00    0.00    0.00   54.35
16:09:58     all   44.78    0.00    9.70    0.00    0.00    0.00    0.00    0.00    0.00   45.52
16:09:59     all   44.94    0.00    9.61    0.00    0.00    0.00    0.00    0.00    0.00   45.45
16:10:00     all   41.61    0.00   10.63    0.00    0.00    0.00    0.00    0.00    0.00   47.75
16:10:01     all   36.54    0.00   10.46    0.00    0.00    0.01    0.00    0.00    0.00   52.98
16:10:02     all   46.43    0.00   11.18    0.00    0.00    0.01    0.00    0.00    0.00   42.38
16:10:03     all   49.48    0.00   13.76    0.00    0.00    0.01    0.00    0.00    0.00   36.74
16:10:04     all   45.31    0.00   12.19    0.01    0.00    0.00    0.00    0.00    0.00   42.49
16:10:05     all   42.36    0.00   10.68    0.00    0.00    0.01    0.00    0.00    0.00   46.94
16:10:06     all   33.26    0.00    9.32    0.00    0.00    0.00    0.00    0.00    0.00   57.42
16:10:07     all   40.63    0.00    9.87    0.00    0.00    0.01    0.00    0.00    0.00   49.49
16:10:08     all   41.57    0.00   11.95    0.00    0.00    0.00    0.00    0.00    0.00   46.48
16:10:09     all   41.95    0.00    9.85    0.00    0.00    0.00    0.00    0.00    0.00   48.21
16:10:10     all   37.03    0.00    9.71    0.00    0.00    0.00    0.00    0.00    0.00   53.26
16:10:11     all   37.55    0.00   10.00    0.00    0.00    0.00    0.00    0.00    0.00   52.44
16:10:12     all   38.99    0.00   10.07    0.00    0.00    0.00    0.00    0.00    0.00   50.94
16:10:13     all   42.77    0.00   10.78    0.00    0.00    0.01    0.00    0.00    0.00   46.44
16:10:14     all   46.45    0.01   12.92    0.00    0.00    0.01    0.00    0.00    0.00   40.60
16:10:15     all   43.35    0.00   12.85    0.00    0.00    0.00    0.00    0.00    0.00   43.80
16:10:16     all   40.33    0.00   11.32    0.00    0.00    0.01    0.00    0.00    0.00   48.33
16:10:17     all   41.02    0.00   11.10    0.00    0.00    0.00    0.00    0.00    0.00   47.89
16:10:18     all   37.08    0.00   10.36    0.00    0.00    0.00    0.00    0.00    0.00   52.56
16:10:19     all   41.89    0.00   11.64    0.00    0.00    0.01    0.00    0.00    0.00   46.46
16:10:20     all   47.04    0.00   11.26    0.00    0.00    0.00    0.00    0.00    0.00   41.70
16:10:21     all   44.04    0.00   12.54    0.00    0.00    0.01    0.00    0.00    0.00   43.40
16:10:22     all   48.43    0.00   13.03    0.00    0.00    0.00    0.00    0.00    0.00   38.55
16:10:23     all   48.78    0.00   12.86    0.00    0.00    0.01    0.00    0.00    0.00   38.34
16:10:24     all   42.79    0.00   12.31    0.00    0.00    0.00    0.00    0.00    0.00   44.90
16:10:25     all   42.98    0.00   11.55    0.00    0.00    0.00    0.00    0.00    0.00   45.47
16:10:26     all   41.01    0.00   11.17    0.00    0.00    0.01    0.00    0.00    0.00   47.81
16:10:27     all   36.01    0.00   10.09    0.00    0.00    0.00    0.00    0.00    0.00   53.90
16:10:28     all   38.29    0.00   11.10    0.00    0.00    0.00    0.00    0.00    0.00   50.60
16:10:29     all   34.13    0.00   10.73    0.01    0.00    0.00    0.00    0.00    0.00   55.13
16:10:30     all   40.76    0.00    9.00    0.00    0.00    0.00    0.00    0.00    0.00   50.24
16:10:31     all   40.48    0.00   10.91    0.00    0.00    0.01    0.00    0.00    0.00   48.60
16:10:32     all   47.37    0.00   12.16    0.00    0.00    0.00    0.00    0.00    0.00   40.47
16:10:33     all   46.00    0.00   11.13    0.00    0.00    0.00    0.00    0.00    0.00   42.87
16:10:34     all   45.98    0.00   12.03    0.00    0.00    0.00    0.00    0.00    0.00   41.99
16:10:35     all   44.75    0.00   11.30    0.00    0.00    0.01    0.00    0.00    0.00   43.94
16:10:36     all   45.59    0.00   13.29    0.00    0.00    0.00    0.00    0.00    0.00   41.12
16:10:37     all   52.84    0.00   13.41    0.00    0.00    0.00    0.00    0.00    0.00   33.75
16:10:38     all   42.91    0.00   13.40    0.00    0.00    0.00    0.00    0.00    0.00   43.69
16:10:39     all   49.62    0.00   12.13    0.00    0.00    0.01    0.00    0.00    0.00   38.23
16:10:40     all   38.81    0.00   10.46    0.00    0.00    0.00    0.00    0.00    0.00   50.72
16:10:41     all   47.00    0.00   11.09    0.01    0.00    0.00    0.00    0.00    0.00   41.90
16:10:42     all   44.46    0.00   11.24    0.00    0.00    0.00    0.00    0.00    0.00   44.29
16:10:43     all   46.16    0.00   12.44    0.00    0.00    0.01    0.00    0.00    0.00   41.39
16:10:44     all   45.86    0.00   10.92    0.00    0.00    0.00    0.00    0.00    0.00   43.22
16:10:45     all   40.00    0.00   10.16    0.00    0.00    0.00    0.00    0.00    0.00   49.84
16:10:46     all   39.03    0.00   11.31    0.00    0.00    0.00    0.00    0.00    0.00   49.65
16:10:47     all   46.89    0.00   11.48    0.00    0.00    0.00    0.00    0.00    0.00   41.63
16:10:48     all   41.49    0.00   11.18    0.00    0.00    0.00    0.00    0.00    0.00   47.33
16:10:49     all   45.65    0.00   12.73    0.00    0.00    0.03    0.00    0.00    0.00   41.60
16:10:50     all   46.94    0.00   13.03    0.00    0.00    0.00    0.00    0.00    0.00   40.03
16:10:51     all   49.32    0.00   11.50    0.00    0.00    0.00    0.00    0.00    0.00   39.17
16:10:52     all   47.09    0.00   12.93    0.00    0.00    0.00    0.00    0.00    0.00   39.99
16:10:53     all   42.56    0.00   14.77    0.00    0.00    0.01    0.00    0.00    0.00   42.66
16:10:54     all   47.22    0.00   14.55    0.00    0.00    0.00    0.00    0.00    0.00   38.23
16:10:55     all   46.98    0.00   14.36    0.00    0.00    0.00    0.00    0.00    0.00   38.66
16:10:56     all   49.44    0.00   13.89    0.00    0.00    0.00    0.00    0.00    0.00   36.67
16:10:57     all   49.00    0.00   13.93    0.00    0.00    0.00    0.00    0.00    0.00   37.06
16:10:58     all   46.34    0.00   14.05    0.00    0.00    0.01    0.00    0.00    0.00   39.59
16:10:59     all   42.11    0.00   13.53    0.00    0.00    0.00    0.00    0.00    0.00   44.37
16:11:00     all   47.58    0.00   14.64    0.00    0.00    0.01    0.00    0.00    0.00   37.77
16:11:01     all   44.08    0.00   14.98    0.00    0.00    0.00    0.00    0.00    0.00   40.94
16:11:02     all   41.80    0.00   16.17    0.00    0.00    0.00    0.00    0.00    0.00   42.03
16:11:03     all   41.74    0.00   14.38    0.00    0.00    0.00    0.00    0.00    0.00   43.87
16:11:04     all   40.48    0.00   11.86    0.00    0.00    0.01    0.00    0.00    0.00   47.65
16:11:05     all   44.99    0.00   12.21    0.00    0.00    0.01    0.00    0.00    0.00   42.79
16:11:06     all   44.10    0.00   14.11    0.00    0.00    0.00    0.00    0.00    0.00   41.80
16:11:07     all   25.35    0.00   13.20    0.00    0.00    0.01    0.00    0.00    0.00   61.43
16:11:08     all   16.27    0.00    7.35    0.00    0.00    0.00    0.00    0.00    0.00   76.38
16:11:09     all   12.70    0.00    6.70    0.00    0.00    0.01    0.00    0.00    0.00   80.58
16:11:10     all   10.76    0.00    5.34    0.00    0.00    0.00    0.00    0.00    0.00   83.90
16:11:11     all    9.43    0.00    3.82    0.00    0.00    0.00    0.00    0.00    0.00   86.74
16:11:12     all    5.88    0.00    3.31    0.00    0.00    0.00    0.00    0.00    0.00   90.81
16:11:13     all    5.39    0.00    2.06    0.01    0.00    0.00    0.00    0.00    0.00   92.54
16:11:14     all    3.88    0.00    1.99    0.00    0.00    0.00    0.00    0.00    0.00   94.14
16:11:15     all    3.88    0.00    2.07    0.00    0.00    0.00    0.00    0.00    0.00   94.05
16:11:16     all    3.72    0.00    1.77    0.00    0.00    0.00    0.00    0.00    0.00   94.51
16:11:17     all    2.85    0.00    1.57    0.00    0.00    0.00    0.00    0.00    0.00   95.58
Average:     all   32.20    0.00    7.72    0.00    0.00    0.00    0.00    0.00    0.00   60.08
