Linux 6.8.0-136-generic (856a17914eb3) 	08/10/26 	_x86_64_	(72 CPU)

16:02:11     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
16:02:12     all   11.58    0.00    0.40    0.00    0.00    0.00    0.00    0.00    0.00   88.02
16:02:13     all    1.03    0.00    0.87    0.01    0.00    0.00    0.00    0.00    0.00   98.08
16:02:14     all    1.61    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.18
16:02:15     all    1.61    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   98.14
16:02:16     all    1.35    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.44
16:02:17     all    1.57    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.21
16:02:18     all    1.61    0.00    0.28    0.00    0.00    0.00    0.00    0.00    0.00   98.11
16:02:19     all    1.43    0.00    0.24    0.00    0.00    0.00    0.00    0.00    0.00   98.33
16:02:20     all    1.63    0.00    0.29    0.00    0.00    0.00    0.00    0.00    0.00   98.08
16:02:21     all    1.74    0.00    0.56    0.00    0.00    0.00    0.00    0.00    0.00   97.71
16:02:22     all    1.54    0.00    0.31    0.00    0.00    0.00    0.00    0.00    0.00   98.15
16:02:23     all    1.71    0.00    0.26    0.00    0.00    0.00    0.00    0.00    0.00   98.03
16:02:24     all    2.13    0.00    0.46    0.00    0.00    0.00    0.00    0.00    0.00   97.42
16:02:25     all    1.81    0.00    0.32    0.00    0.00    0.00    0.00    0.00    0.00   97.87
16:02:26     all    1.56    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.22
16:02:27     all    1.35    0.00    0.56    0.00    0.00    0.00    0.00    0.00    0.00   98.09
16:02:28     all    1.39    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.39
16:02:29     all    2.03    0.00    0.28    0.00    0.00    0.01    0.00    0.00    0.00   97.68
16:02:30     all    1.72    0.00    0.36    0.00    0.00    0.00    0.00    0.00    0.00   97.92
16:02:31     all    1.36    0.00    0.14    0.00    0.00    0.00    0.00    0.00    0.00   98.50
16:02:32     all    1.56    0.00    0.22    0.00    0.00    0.01    0.00    0.00    0.00   98.21
16:02:33     all    1.62    0.00    0.24    0.00    0.00    0.00    0.00    0.00    0.00   98.14
16:02:34     all    1.36    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   98.47
16:02:35     all    1.71    0.01    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.05
16:02:36     all    1.67    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.12
16:02:37     all    1.43    0.00    0.24    0.00    0.00    0.00    0.00    0.00    0.00   98.33
16:02:38     all    1.63    0.00    0.28    0.00    0.00    0.00    0.00    0.00    0.00   98.10
16:02:39     all    1.61    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.21
16:02:40     all    8.05    0.00    1.67    0.00    0.00    0.00    0.00    0.00    0.00   90.28
16:02:41     all   39.64    0.00    3.63    0.00    0.00    0.03    0.00    0.00    0.00   56.70
16:02:42     all   48.20    0.00    3.58    0.00    0.00    0.00    0.00    0.00    0.00   48.22
16:02:43     all   48.55    0.00    6.94    0.00    0.00    0.00    0.00    0.00    0.00   44.51
16:02:44     all   42.34    0.00    5.73    0.00    0.00    0.01    0.00    0.00    0.00   51.91
16:02:45     all   35.10    0.00    4.17    0.00    0.00    0.00    0.00    0.00    0.00   60.74
16:02:46     all   41.45    0.00    4.11    0.00    0.00    0.01    0.00    0.00    0.00   54.43
16:02:47     all   37.52    0.00    3.51    0.00    0.00    0.00    0.00    0.00    0.00   58.98
16:02:48     all   36.89    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   60.05
16:02:49     all   38.85    0.00    2.16    0.00    0.00    0.00    0.00    0.00    0.00   58.99
16:02:50     all   52.14    0.00    1.59    0.00    0.00    0.00    0.00    0.00    0.00   46.28
16:02:51     all   33.79    0.00    1.35    0.00    0.00    0.00    0.00    0.00    0.00   64.86
16:02:52     all   36.63    0.00    1.77    0.00    0.00    0.00    0.00    0.00    0.00   61.60
16:02:53     all   52.71    0.00    2.36    0.00    0.00    0.00    0.00    0.00    0.00   44.93
16:02:54     all   43.97    0.00    7.26    0.00    0.00    0.01    0.00    0.00    0.00   48.76
16:02:55     all   37.65    0.00    7.77    0.00    0.00    0.01    0.00    0.00    0.00   54.56
16:02:56     all   30.19    0.00    5.76    0.00    0.00    0.00    0.00    0.00    0.00   64.05
16:02:57     all   27.80    0.00    5.37    0.00    0.00    0.00    0.00    0.00    0.00   66.83
16:02:58     all   36.35    0.00    6.37    0.00    0.00    0.00    0.00    0.00    0.00   57.28
16:02:59     all   39.01    0.00    8.45    0.01    0.00    0.00    0.00    0.00    0.00   52.53
16:03:00     all   46.15    0.00    9.13    0.00    0.00    0.00    0.00    0.00    0.00   44.72
16:03:01     all   52.52    0.00   11.23    0.00    0.00    0.00    0.00    0.00    0.00   36.26
16:03:02     all   52.72    0.00   12.97    0.00    0.00    0.01    0.00    0.00    0.00   34.30
16:03:03     all   50.41    0.00   13.60    0.00    0.00    0.00    0.00    0.00    0.00   35.99
16:03:04     all   52.78    0.00   13.00    0.00    0.00    0.00    0.00    0.00    0.00   34.22
16:03:05     all   45.68    0.00   14.44    0.00    0.00    0.00    0.00    0.00    0.00   39.88
16:03:06     all   47.36    0.00   12.84    0.00    0.00    0.00    0.00    0.00    0.00   39.80
