Linux 6.8.0-136-generic (856a17914eb3) 	08/10/26 	_x86_64_	(72 CPU)

06:24:52     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:24:53     all   11.35    0.00    0.40    0.00    0.00    0.00    0.00    0.00    0.00   88.25
06:24:54     all    1.13    0.00    0.71    0.00    0.00    0.00    0.00    0.00    0.00   98.16
06:24:55     all    1.60    0.00    0.29    0.01    0.00    0.00    0.00    0.00    0.00   98.10
06:24:56     all    1.43    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.35
06:24:57     all    1.49    0.00    0.24    0.00    0.00    0.00    0.00    0.00    0.00   98.28
06:24:58     all    1.56    0.00    0.19    0.00    0.00    0.01    0.00    0.00    0.00   98.24
06:24:59     all    1.35    0.00    0.12    0.00    0.00    0.00    0.00    0.00    0.00   98.53
06:25:00     all    1.57    0.00    0.17    0.01    0.00    0.00    0.00    0.00    0.00   98.25
06:25:01     all    1.46    0.00    0.53    0.00    0.00    0.00    0.00    0.00    0.00   98.01
06:25:02     all    2.20    0.00    0.89    0.00    0.00    0.00    0.00    0.00    0.00   96.91
06:25:03     all    2.43    0.00    0.58    0.00    0.00    0.00    0.00    0.00    0.00   96.98
06:25:04     all    2.43    0.00    0.43    0.00    0.00    0.00    0.00    0.00    0.00   97.14
06:25:05     all    1.64    0.00    0.31    0.01    0.00    0.00    0.00    0.00    0.00   98.04
06:25:06     all    1.65    0.01    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.11
06:25:07     all    1.60    0.00    0.12    0.00    0.00    0.00    0.00    0.00    0.00   98.28
06:25:08     all   13.28    0.01    3.12    0.00    0.00    0.00    0.00    0.00    0.00   83.59
06:25:09     all   31.13    0.00    1.48    0.00    0.00    0.00    0.00    0.00    0.00   67.39
06:25:10     all   28.48    0.00    0.93    0.00    0.00    0.00    0.00    0.00    0.00   70.58
06:25:11     all   42.08    0.00    3.01    0.00    0.00    0.00    0.00    0.00    0.00   54.91
06:25:12     all   32.32    0.00    2.77    0.00    0.00    0.00    0.00    0.00    0.00   64.91
06:25:13     all   32.46    0.00    2.49    0.00    0.00    0.00    0.00    0.00    0.00   65.05
06:25:14     all   27.78    0.00    2.15    0.00    0.00    0.00    0.00    0.00    0.00   70.07
06:25:15     all   30.85    0.00    1.07    0.00    0.00    0.01    0.00    0.00    0.00   68.07
06:25:16     all   31.90    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   67.11
06:25:17     all   28.25    0.00    1.21    0.00    0.00    0.00    0.00    0.00    0.00   70.54
06:25:18     all   32.21    0.00    0.72    0.00    0.00    0.00    0.00    0.00    0.00   67.06
06:25:19     all   35.74    0.00    0.93    0.00    0.00    0.01    0.00    0.00    0.00   63.32
06:25:20     all   38.43    0.00    0.86    0.00    0.00    0.00    0.00    0.00    0.00   60.70
06:25:21     all   34.83    0.00    0.88    0.00    0.00    0.00    0.00    0.00    0.00   64.29
06:25:22     all   30.16    0.00    0.70    0.00    0.00    0.01    0.00    0.00    0.00   69.13
06:25:23     all   35.73    0.00    0.61    0.00    0.00    0.00    0.00    0.00    0.00   63.66
06:25:24     all   46.80    0.00    1.27    0.00    0.00    0.00    0.00    0.00    0.00   51.93
06:25:25     all   31.27    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   66.71
06:25:26     all   27.59    0.00    1.53    0.00    0.00    0.00    0.00    0.00    0.00   70.88
06:25:27     all   25.07    0.00    1.73    0.00    0.00    0.00    0.00    0.00    0.00   73.21
06:25:28     all   25.79    0.00    1.42    0.00    0.00    0.00    0.00    0.00    0.00   72.79
06:25:29     all   26.05    0.00    1.50    0.01    0.00    0.01    0.00    0.00    0.00   72.42
06:25:30     all   29.76    0.00    1.55    0.00    0.00    0.01    0.00    0.00    0.00   68.68
06:25:31     all   30.91    0.00    1.63    0.00    0.00    0.00    0.00    0.00    0.00   67.46
06:25:32     all   37.25    0.00    1.92    0.00    0.00    0.00    0.00    0.00    0.00   60.83
06:25:33     all   34.05    0.00    2.67    0.00    0.00    0.00    0.00    0.00    0.00   63.27
06:25:34     all   39.27    0.00    2.68    0.00    0.00    0.00    0.00    0.00    0.00   58.05
06:25:35     all   39.28    0.00    3.60    0.00    0.00    0.00    0.00    0.00    0.00   57.12
06:25:36     all   44.22    0.00    5.38    0.00    0.00    0.00    0.00    0.00    0.00   50.40
06:25:37     all   37.70    0.00    4.40    0.00    0.00    0.00    0.00    0.00    0.00   57.90
06:25:38     all   40.10    0.00    3.52    0.00    0.00    0.00    0.00    0.00    0.00   56.38
06:25:39     all   35.99    0.00    3.95    0.01    0.00    0.01    0.00    0.00    0.00   60.03
06:25:40     all   39.74    0.00    3.98    0.00    0.00    0.00    0.00    0.00    0.00   56.27
06:25:41     all   29.67    0.00    2.92    0.00    0.00    0.00    0.00    0.00    0.00   67.40
06:25:42     all   22.58    0.00    3.10    0.00    0.00    0.00    0.00    0.00    0.00   74.32
06:25:43     all   21.35    0.00    2.65    0.00    0.00    0.00    0.00    0.00    0.00   76.00
06:25:44     all   25.02    0.00    2.24    0.00    0.00    0.01    0.00    0.00    0.00   72.73
06:25:45     all   29.76    0.00    2.08    0.00    0.00    0.03    0.00    0.00    0.00   68.13
