Linux 6.8.0-136-generic (856a17914eb3) 	08/10/26 	_x86_64_	(72 CPU)

10:16:31     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:16:32     all   11.51    0.00    0.47    0.00    0.00    0.00    0.00    0.00    0.00   88.01
10:16:33     all    1.10    0.00    0.96    0.00    0.00    0.00    0.00    0.00    0.00   97.94
10:16:34     all    1.51    0.00    0.29    0.00    0.00    0.00    0.00    0.00    0.00   98.20
10:16:35     all    1.67    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.12
10:16:36     all    1.89    0.00    0.40    0.00    0.00    0.00    0.00    0.00    0.00   97.71
10:16:37     all    1.68    0.00    0.36    0.00    0.00    0.00    0.00    0.00    0.00   97.96
10:16:38     all    1.75    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   97.75
10:16:39     all    1.39    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.43
10:16:40     all    1.53    0.00    0.24    0.00    0.00    0.00    0.00    0.00    0.00   98.24
10:16:41     all    1.64    0.00    0.24    0.00    0.00    0.00    0.00    0.00    0.00   98.13
10:16:42     all    1.36    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   98.49
10:16:43     all    1.63    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.15
10:16:44     all    1.35    0.01    0.46    0.00    0.00    0.00    0.00    0.00    0.00   98.18
10:16:45     all    1.47    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.31
10:16:46     all    2.00    0.00    0.35    0.00    0.00    0.00    0.00    0.00    0.00   97.65
10:16:47     all    1.57    0.00    0.24    0.00    0.00    0.00    0.00    0.00    0.00   98.19
10:16:48     all    1.53    0.00    0.24    0.00    0.00    0.00    0.00    0.00    0.00   98.23
10:16:49     all    1.43    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.35
10:16:50     all    1.65    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.17
10:16:51     all    1.47    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.35
10:16:52     all    1.42    0.01    0.24    0.00    0.00    0.00    0.00    0.00    0.00   98.33
10:16:53     all    1.67    0.00    0.32    0.00    0.00    0.00    0.00    0.00    0.00   98.01
10:16:54     all    4.66    0.00    1.50    0.00    0.00    0.01    0.00    0.00    0.00   93.82
