Linux 6.8.0-136-generic (856a17914eb3) 	08/10/26 	_x86_64_	(72 CPU)

17:31:08     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:31:09     all   11.66    0.00    0.53    0.00    0.00    0.00    0.00    0.00    0.00   87.81
17:31:10     all    1.18    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   97.80
17:31:11     all    1.62    0.00    0.32    0.00    0.00    0.00    0.00    0.00    0.00   98.06
17:31:12     all    2.68    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   97.11
17:31:13     all    1.68    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.10
17:31:14     all    1.61    0.01    0.24    0.00    0.00    0.00    0.00    0.00    0.00   98.14
17:31:15     all    1.64    0.00    0.29    0.00    0.00    0.00    0.00    0.00    0.00   98.07
17:31:16     all    1.78    0.00    0.31    0.00    0.00    0.00    0.00    0.00    0.00   97.91
17:31:17     all    1.58    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   98.17
17:31:18     all    1.61    0.00    0.24    0.00    0.00    0.00    0.00    0.00    0.00   98.15
17:31:19     all    1.33    0.00    0.14    0.00    0.00    0.00    0.00    0.00    0.00   98.53
17:31:20     all    1.69    0.00    0.26    0.00    0.00    0.00    0.00    0.00    0.00   98.04
17:31:21     all    1.67    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   98.08
17:31:22     all    1.65    0.00    0.57    0.00    0.00    0.00    0.00    0.00    0.00   97.78
17:31:23     all    1.88    0.00    0.26    0.00    0.00    0.00    0.00    0.00    0.00   97.86
17:31:24     all    1.38    0.00    0.46    0.00    0.00    0.00    0.00    0.00    0.00   98.17
17:31:25     all    1.54    0.00    0.40    0.00    0.00    0.00    0.00    0.00    0.00   98.06
17:31:26     all    2.16    0.00    0.65    0.00    0.00    0.00    0.00    0.00    0.00   97.19
17:31:27     all    1.54    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   98.29
17:31:28     all    1.39    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.42
17:31:29     all    1.57    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.22
17:31:30     all    1.62    0.00    0.28    0.00    0.00    0.00    0.00    0.00    0.00   98.10
17:31:31     all    1.36    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   98.47
17:31:32     all    1.57    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   98.33
17:31:33     all    1.61    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   98.14
17:31:34     all    1.46    0.00    0.26    0.00    0.00    0.00    0.00    0.00    0.00   98.28
17:31:35     all    1.68    0.00    0.28    0.00    0.00    0.00    0.00    0.00    0.00   98.04
17:31:36     all    1.60    0.01    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.21
17:31:37     all   13.12    0.00    2.17    0.00    0.00    0.00    0.00    0.00    0.00   84.71
17:31:38     all   41.44    0.00    3.41    0.00    0.00    0.00    0.00    0.00    0.00   55.16
17:31:39     all   45.68    0.00    5.37    0.00    0.00    0.01    0.00    0.00    0.00   48.94
17:31:40     all   40.26    0.00    6.89    0.00    0.00    0.01    0.00    0.00    0.00   52.83
17:31:41     all   38.28    0.00    5.48    0.00    0.00    0.00    0.00    0.00    0.00   56.24
17:31:42     all   37.73    0.00    4.38    0.00    0.00    0.00    0.00    0.00    0.00   57.89
17:31:43     all   36.27    0.00    3.36    0.00    0.00    0.00    0.00    0.00    0.00   60.38
17:31:44     all   35.10    0.00    3.33    0.00    0.00    0.00    0.00    0.00    0.00   61.57
17:31:45     all   42.82    0.00    2.64    0.00    0.00    0.01    0.00    0.00    0.00   54.52
17:31:46     all   37.97    0.00    1.24    0.00    0.00    0.00    0.00    0.00    0.00   60.79
