Linux 6.8.0-136-generic (856a17914eb3) 	08/10/26 	_x86_64_	(72 CPU)

17:40:26     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:40:27     all   11.34    0.00    0.51    0.00    0.00    0.01    0.00    0.00    0.00   88.13
17:40:28     all    1.49    0.00    0.90    0.00    0.00    0.00    0.00    0.00    0.00   97.61
17:40:29     all    2.02    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   97.65
17:40:30     all    1.49    0.00    0.44    0.00    0.00    0.00    0.00    0.00    0.00   98.07
17:40:31     all    1.57    0.00    0.24    0.00    0.00    0.00    0.00    0.00    0.00   98.19
17:40:32     all    1.56    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.22
17:40:33     all    1.35    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.44
17:40:34     all    1.64    0.00    0.28    0.00    0.00    0.00    0.00    0.00    0.00   98.08
17:40:35     all    1.51    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.26
17:40:36     all    1.46    0.00    0.26    0.00    0.00    0.00    0.00    0.00    0.00   98.28
17:40:37     all    1.93    0.00    0.29    0.00    0.00    0.00    0.00    0.00    0.00   97.77
17:40:38     all    1.58    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.24
17:40:39     all    1.49    0.00    0.31    0.00    0.00    0.00    0.00    0.00    0.00   98.21
17:40:40     all    1.62    0.00    0.28    0.00    0.00    0.00    0.00    0.00    0.00   98.10
17:40:41     all    1.53    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.25
17:40:42     all    1.15    0.00    0.39    0.00    0.00    0.00    0.00    0.00    0.00   98.46
17:40:43     all    1.65    0.00    0.29    0.00    0.00    0.00    0.00    0.00    0.00   98.06
17:40:44     all    1.65    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   98.01
17:40:45     all    1.43    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.37
17:40:46     all    1.68    0.00    0.42    0.00    0.00    0.00    0.00    0.00    0.00   97.90
17:40:47     all    1.42    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.39
17:40:48     all    2.01    0.00    0.38    0.01    0.00    0.00    0.00    0.00    0.00   97.60
17:40:49     all    1.70    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.08
17:40:50     all    1.40    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   98.44
17:40:51     all    1.57    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.24
17:40:52     all    1.56    0.00    0.26    0.00    0.00    0.00    0.00    0.00    0.00   98.18
17:40:53     all    1.36    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.46
17:40:54     all    1.64    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.15
17:40:55     all   12.23    0.00    2.17    0.00    0.00    0.00    0.00    0.00    0.00   85.60
17:40:56     all   36.20    0.00    3.51    0.00    0.00    0.00    0.00    0.00    0.00   60.29
17:40:57     all   43.75    0.00    4.23    0.00    0.00    0.01    0.00    0.00    0.00   52.01
17:40:58     all   39.97    0.00    6.52    0.00    0.00    0.00    0.00    0.00    0.00   53.51
17:40:59     all   34.78    0.00    4.79    0.00    0.00    0.01    0.00    0.00    0.00   60.42
17:41:00     all   36.12    0.00    4.65    0.00    0.00    0.00    0.00    0.00    0.00   59.23
17:41:01     all   35.99    0.00    3.65    0.00    0.00    0.00    0.00    0.00    0.00   60.36
17:41:02     all   33.51    0.01    3.72    0.00    0.00    0.00    0.00    0.00    0.00   62.75
17:41:03     all   37.22    0.00    2.78    0.00    0.00    0.00    0.00    0.00    0.00   60.00
17:41:04     all   41.70    0.00    1.95    0.00    0.00    0.01    0.00    0.00    0.00   56.34
17:41:05     all   36.82    0.00    1.13    0.00    0.00    0.00    0.00    0.00    0.00   62.05
17:41:06     all   32.17    0.00    1.49    0.01    0.00    0.01    0.00    0.00    0.00   66.31
17:41:07     all   33.93    0.00    1.23    0.00    0.00    0.00    0.00    0.00    0.00   64.84
17:41:08     all   44.15    0.00    3.37    0.00    0.00    0.00    0.00    0.00    0.00   52.48
17:41:09     all   32.33    0.00    5.26    0.00    0.00    0.01    0.00    0.00    0.00   62.40
17:41:10     all   28.80    0.00    5.35    0.00    0.00    0.00    0.00    0.00    0.00   65.85
17:41:11     all   23.73    0.00    4.31    0.00    0.00    0.00    0.00    0.00    0.00   71.95
17:41:12     all   27.53    0.00    3.82    0.00    0.00    0.00    0.00    0.00    0.00   68.65
17:41:13     all   31.98    0.00    4.16    0.00    0.00    0.01    0.00    0.00    0.00   63.85
17:41:14     all   37.02    0.00    5.42    0.01    0.00    0.00    0.00    0.00    0.00   57.54
17:41:15     all   31.61    0.00    6.06    0.00    0.00    0.01    0.00    0.00    0.00   62.31
17:41:16     all   37.42    0.00    7.69    0.00    0.00    0.00    0.00    0.00    0.00   54.89
17:41:17     all   42.99    0.00    9.13    0.00    0.00    0.00    0.00    0.00    0.00   47.88
17:41:18     all   47.62    0.00   12.41    0.00    0.00    0.00    0.00    0.00    0.00   39.97
17:41:19     all   42.65    0.00   12.36    0.00    0.00    0.00    0.00    0.00    0.00   44.99
17:41:20     all   34.19    0.00    9.28    0.00    0.00    0.00    0.00    0.00    0.00   56.53
17:41:21     all   31.33    0.00    8.52    0.00    0.00    0.00    0.00    0.00    0.00   60.15
17:41:22     all   28.90    0.00    7.83    0.00    0.00    0.00    0.00    0.00    0.00   63.27
17:41:23     all   27.86    0.00    7.00    0.00    0.00    0.00    0.00    0.00    0.00   65.15
17:41:24     all   26.13    0.00    6.40    0.00    0.00    0.00    0.00    0.00    0.00   67.46
17:41:25     all   25.90    0.00    6.89    0.00    0.00    0.00    0.00    0.00    0.00   67.21
17:41:26     all   24.30    0.00    6.94    0.00    0.00    0.00    0.00    0.00    0.00   68.76
17:41:27     all   25.51    0.00    5.92    0.00    0.00    0.01    0.00    0.00    0.00   68.55
17:41:28     all   21.02    0.00    6.04    0.00    0.00    0.00    0.00    0.00    0.00   72.93
17:41:29     all   30.29    0.00    5.61    0.00    0.00    0.00    0.00    0.00    0.00   64.11
17:41:30     all   31.87    0.00    6.37    0.00    0.00    0.00    0.00    0.00    0.00   61.76
17:41:31     all   38.12    0.00    6.97    0.00    0.00    0.00    0.00    0.00    0.00   54.91
17:41:32     all   34.15    0.00    5.51    0.00    0.00    0.01    0.00    0.00    0.00   60.32
17:41:33     all   39.77    0.00    5.88    0.00    0.00    0.00    0.00    0.00    0.00   54.34
17:41:34     all   35.18    0.00    6.83    0.00    0.00    0.00    0.00    0.00    0.00   57.98
17:41:35     all   36.91    0.00    6.49    0.00    0.00    0.00    0.00    0.00    0.00   56.59
17:41:36     all   36.04    0.00    6.93    0.00    0.00    0.01    0.00    0.00    0.00   57.01
17:41:37     all   31.86    0.00    7.30    0.01    0.00    0.00    0.00    0.00    0.00   60.83
17:41:38     all   24.69    0.00    5.56    0.00    0.00    0.00    0.00    0.00    0.00   69.76
17:41:39     all   21.40    0.00    5.53    0.00    0.00    0.00    0.00    0.00    0.00   73.07
17:41:40     all   26.10    0.00    5.11    0.00    0.00    0.00    0.00    0.00    0.00   68.79
17:41:41     all   29.39    0.00    6.33    0.00    0.00    0.00    0.00    0.00    0.00   64.28
17:41:42     all   22.03    0.00    5.85    0.00    0.00    0.00    0.00    0.00    0.00   72.12
17:41:43     all   26.07    0.00    5.93    0.00    0.00    0.00    0.00    0.00    0.00   68.00
17:41:44     all   26.95    0.00    5.40    0.00    0.00    0.01    0.00    0.00    0.00   67.64
17:41:45     all   28.28    0.00    5.51    0.00    0.00    0.01    0.00    0.00    0.00   66.20
17:41:46     all   36.08    0.00    6.24    0.00    0.00    0.00    0.00    0.00    0.00   57.69
17:41:47     all   38.45    0.00    8.07    0.00    0.00    0.00    0.00    0.00    0.00   53.49
17:41:48     all   38.12    0.00    8.52    0.00    0.00    0.00    0.00    0.00    0.00   53.36
17:41:49     all   45.18    0.00   10.48    0.00    0.00    0.00    0.00    0.00    0.00   44.34
17:41:50     all   39.92    0.00    9.91    0.00    0.00    0.01    0.00    0.00    0.00   50.15
17:41:51     all   31.78    0.00    9.51    0.00    0.00    0.00    0.00    0.00    0.00   58.71
17:41:52     all   28.20    0.00    7.13    0.00    0.00    0.00    0.00    0.00    0.00   64.68
17:41:53     all   27.87    0.00    7.20    0.00    0.00    0.00    0.00    0.00    0.00   64.94
17:41:54     all   30.76    0.00    7.21    0.00    0.00    0.00    0.00    0.00    0.00   62.03
17:41:55     all   27.56    0.00    6.70    0.00    0.00    0.00    0.00    0.00    0.00   65.73
17:41:56     all   28.42    0.00    6.36    0.00    0.00    0.00    0.00    0.00    0.00   65.23
