Linux 6.8.0-136-generic (856a17914eb3) 	08/10/26 	_x86_64_	(72 CPU)

16:20:51     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
16:20:52     all   11.54    0.00    0.47    0.00    0.00    0.00    0.00    0.00    0.00   87.99
16:20:53     all    1.15    0.00    0.79    0.00    0.00    0.00    0.00    0.00    0.00   98.05
16:20:54     all    1.32    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.50
16:20:55     all    1.67    0.00    0.29    0.00    0.00    0.00    0.00    0.00    0.00   98.04
16:20:56     all    1.77    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   97.98
16:20:57     all    1.38    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   98.37
16:20:58     all    1.72    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.07
16:20:59     all    1.60    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   98.23
16:21:00     all    1.38    0.00    0.28    0.00    0.00    0.00    0.00    0.00    0.00   98.35
16:21:01     all    1.58    0.00    0.26    0.00    0.00    0.00    0.00    0.00    0.00   98.15
16:21:02     all    1.65    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.14
16:21:03     all    1.70    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   98.05
16:21:04     all    1.78    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   97.97
16:21:05     all    1.67    0.00    0.32    0.00    0.00    0.00    0.00    0.00    0.00   98.01
16:21:06     all    1.45    0.00    0.14    0.00    0.00    0.00    0.00    0.00    0.00   98.42
16:21:07     all    1.71    0.00    0.57    0.00    0.00    0.00    0.00    0.00    0.00   97.72
16:21:08     all    1.85    0.00    0.39    0.00    0.00    0.00    0.00    0.00    0.00   97.77
16:21:09     all    1.40    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.40
16:21:10     all    2.07    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   97.59
16:21:11     all    1.65    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.17
16:21:12     all    1.31    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.49
16:21:13     all    1.65    0.00    0.29    0.01    0.00    0.00    0.00    0.00    0.00   98.04
16:21:14     all    1.63    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   98.21
16:21:15     all    1.83    0.00    0.31    0.00    0.00    0.00    0.00    0.00    0.00   97.86
16:21:16     all    1.58    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.24
16:21:17     all    1.70    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.11
16:21:18     all    1.47    0.00    0.46    0.01    0.00    0.00    0.00    0.00    0.00   98.06
16:21:19     all    1.64    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   98.11
16:21:20     all    8.03    0.00    1.64    0.00    0.00    0.00    0.00    0.00    0.00   90.33
16:21:21     all   28.98    0.00    2.75    0.00    0.00    0.00    0.00    0.00    0.00   68.27
16:21:22     all   42.37    0.00    2.34    0.00    0.00    0.00    0.00    0.00    0.00   55.29
16:21:23     all   53.99    0.00    7.55    0.00    0.00    0.00    0.00    0.00    0.00   38.46
16:21:24     all   38.38    0.00    5.06    0.00    0.00    0.00    0.00    0.00    0.00   56.56
16:21:25     all   39.02    0.00    5.46    0.00    0.00    0.00    0.00    0.00    0.00   55.52
16:21:26     all   38.34    0.00    3.57    0.00    0.00    0.00    0.00    0.00    0.00   58.09
16:21:27     all   37.37    0.00    3.29    0.00    0.00    0.00    0.00    0.00    0.00   59.35
16:21:28     all   36.18    0.00    2.93    0.00    0.00    0.01    0.00    0.00    0.00   60.88
16:21:29     all   40.10    0.00    2.38    0.00    0.00    0.00    0.00    0.00    0.00   57.52
16:21:30     all   49.71    0.00    1.73    0.00    0.00    0.00    0.00    0.00    0.00   48.57
16:21:31     all   37.89    0.00    1.27    0.00    0.00    0.03    0.00    0.00    0.00   60.81
16:21:32     all   36.72    0.00    1.66    0.00    0.00    0.00    0.00    0.00    0.00   61.63
16:21:33     all   52.22    0.00    1.62    0.00    0.00    0.00    0.00    0.00    0.00   46.16
16:21:34     all   48.65    0.00    6.11    0.00    0.00    0.00    0.00    0.00    0.00   45.23
16:21:35     all   36.59    0.03    5.91    0.00    0.00    0.00    0.00    0.00    0.00   57.47
16:21:36     all   30.33    0.00    5.48    0.00    0.00    0.00    0.00    0.00    0.00   64.19
16:21:37     all   30.90    0.00    5.21    0.00    0.00    0.00    0.00    0.00    0.00   63.89
16:21:38     all   30.85    0.00    4.33    0.00    0.00    0.00    0.00    0.00    0.00   64.82
16:21:39     all   38.77    0.00    4.93    0.00    0.00    0.01    0.00    0.00    0.00   56.29
16:21:40     all   45.96    0.00    8.44    0.00    0.00    0.00    0.00    0.00    0.00   45.61
16:21:41     all   56.82    0.00   10.50    0.01    0.00    0.00    0.00    0.00    0.00   32.67
16:21:42     all   52.87    0.00   12.05    0.00    0.00    0.00    0.00    0.00    0.00   35.08
16:21:43     all   51.35    0.00   11.53    0.00    0.00    0.01    0.00    0.00    0.00   37.10
16:21:44     all   48.36    0.00   12.37    0.00    0.00    0.00    0.00    0.00    0.00   39.27
16:21:45     all   49.53    0.00   11.21    0.00    0.00    0.03    0.00    0.00    0.00   39.22
16:21:46     all   46.35    0.00   11.94    0.00    0.00    0.03    0.00    0.00    0.00   41.69
16:21:47     all   38.62    0.00    9.18    0.00    0.00    0.00    0.00    0.00    0.00   52.20
16:21:48     all   33.44    0.00    8.68    0.00    0.00    0.00    0.00    0.00    0.00   57.88
16:21:49     all   35.63    0.00    7.69    0.00    0.00    0.00    0.00    0.00    0.00   56.69
16:21:50     all   38.17    0.00    9.29    0.00    0.00    0.00    0.00    0.00    0.00   52.54
16:21:51     all   33.26    0.00    7.42    0.00    0.00    0.00    0.00    0.00    0.00   59.32
16:21:52     all   30.65    0.00    8.21    0.00    0.00    0.01    0.00    0.00    0.00   61.13
16:21:53     all   25.88    0.00    7.36    0.00    0.00    0.00    0.00    0.00    0.00   66.75
16:21:54     all   31.26    0.00    7.08    0.00    0.00    0.01    0.00    0.00    0.00   61.64
