Linux 6.8.0-136-generic (856a17914eb3) 	08/10/26 	_x86_64_	(72 CPU)

10:22:12     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:22:13     all   11.54    0.00    0.39    0.00    0.00    0.00    0.00    0.00    0.00   88.07
10:22:14     all    1.20    0.00    1.06    0.00    0.00    0.00    0.00    0.00    0.00   97.75
10:22:15     all    1.63    0.00    0.32    0.00    0.00    0.00    0.00    0.00    0.00   98.06
10:22:16     all    1.83    0.00    0.28    0.00    0.00    0.01    0.00    0.00    0.00   97.87
10:22:17     all    1.60    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.19
10:22:18     all    1.54    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   98.21
10:22:19     all    1.44    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.36
10:22:20     all    1.75    0.01    0.28    0.00    0.00    0.00    0.00    0.00    0.00   97.96
10:22:21     all    1.51    0.00    0.26    0.00    0.00    0.00    0.00    0.00    0.00   98.22
10:22:22     all    1.58    0.00    0.26    0.00    0.00    0.00    0.00    0.00    0.00   98.15
10:22:23     all    1.96    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   97.71
10:22:24     all    1.53    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.29
10:22:25     all    1.17    0.00    0.69    0.00    0.00    0.00    0.00    0.00    0.00   98.14
10:22:26     all    1.54    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.28
10:22:27     all    1.57    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.25
10:22:28     all    1.36    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.42
10:22:29     all    1.60    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.21
10:22:30     all    1.56    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.26
10:22:31     all    1.39    0.00    0.29    0.00    0.00    0.00    0.00    0.00    0.00   98.32
10:22:32     all    1.64    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.15
10:22:33     all    1.61    0.00    0.28    0.00    0.00    0.00    0.00    0.00    0.00   98.11
10:22:34     all    1.36    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   98.49
10:22:35     all    1.54    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   98.29
10:22:36     all   25.67    0.00    3.75    0.00    0.00    0.00    0.00    0.00    0.00   70.57
10:22:37     all   38.64    0.00    1.26    0.00    0.00    0.00    0.00    0.00    0.00   60.11
10:22:38     all   50.76    0.00    3.27    0.00    0.00    0.00    0.00    0.00    0.00   45.97
10:22:39     all   43.99    0.00    2.13    0.00    0.00    0.00    0.00    0.00    0.00   53.88
10:22:40     all   41.97    0.00    1.86    0.00    0.00    0.00    0.00    0.00    0.00   56.16
10:22:41     all   39.73    0.00    1.77    0.00    0.00    0.00    0.00    0.00    0.00   58.50
10:22:42     all   41.69    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   57.32
10:22:43     all   38.02    0.00    1.00    0.00    0.00    0.03    0.00    0.00    0.00   60.95
10:22:44     all   32.68    0.00    0.82    0.00    0.00    0.00    0.00    0.00    0.00   66.50
10:22:45     all   39.94    0.00    0.67    0.00    0.00    0.00    0.00    0.00    0.00   59.39
10:22:46     all   44.97    0.00    0.75    0.00    0.00    0.00    0.00    0.00    0.00   54.27
10:22:47     all   47.99    0.00    0.88    0.00    0.00    0.01    0.00    0.00    0.00   51.12
10:22:48     all   35.26    0.00    1.14    0.00    0.00    0.00    0.00    0.00    0.00   63.60
10:22:49     all   33.70    0.00    1.13    0.00    0.00    0.01    0.00    0.00    0.00   65.15
10:22:50     all   51.87    0.00    0.74    0.00    0.00    0.00    0.00    0.00    0.00   47.39
10:22:51     all   46.73    0.00    2.30    0.00    0.00    0.00    0.00    0.00    0.00   50.97
10:22:52     all   39.60    0.00    2.03    0.00    0.00    0.00    0.00    0.00    0.00   58.37
10:22:53     all   32.13    0.00    1.45    0.00    0.00    0.01    0.00    0.00    0.00   66.41
10:22:54     all   27.29    0.00    1.64    0.00    0.00    0.00    0.00    0.00    0.00   71.06
10:22:55     all   36.23    0.00    1.49    0.00    0.00    0.00    0.00    0.00    0.00   62.28
10:22:56     all   39.58    0.00    2.61    0.00    0.00    0.00    0.00    0.00    0.00   57.81
10:22:57     all   39.14    0.00    1.90    0.00    0.00    0.00    0.00    0.00    0.00   58.96
10:22:58     all   48.99    0.00    2.41    0.00    0.00    0.01    0.00    0.00    0.00   48.59
10:22:59     all   53.87    0.00    3.16    0.00    0.00    0.01    0.00    0.00    0.00   42.96
10:23:00     all   57.06    0.00    3.27    0.00    0.00    0.00    0.00    0.00    0.00   39.67
10:23:01     all   56.44    0.00    3.90    0.00    0.00    0.00    0.00    0.00    0.00   39.66
10:23:02     all   57.93    0.00    4.27    0.00    0.00    0.01    0.00    0.00    0.00   37.79
10:23:03     all   53.05    0.00    5.10    0.00    0.00    0.00    0.00    0.00    0.00   41.85
10:23:04     all   54.96    0.00    3.90    0.01    0.00    0.00    0.00    0.00    0.00   41.13
10:23:05     all   56.12    0.00    4.61    0.00    0.00    0.00    0.00    0.00    0.00   39.27
10:23:06     all   45.84    0.00    3.99    0.00    0.00    0.00    0.00    0.00    0.00   50.17
10:23:07     all   53.50    0.00    3.27    0.00    0.00    0.01    0.00    0.00    0.00   43.22
10:23:08     all   43.25    0.00    2.67    0.00    0.00    0.00    0.00    0.00    0.00   54.07
10:23:09     all   35.33    0.00    2.31    0.00    0.00    0.00    0.00    0.00    0.00   62.36
10:23:10     all   37.30    0.00    2.28    0.00    0.00    0.00    0.00    0.00    0.00   60.42
10:23:11     all   34.33    0.00    1.60    0.00    0.00    0.00    0.00    0.00    0.00   64.07
10:23:12     all   36.59    0.00    1.74    0.00    0.00    0.03    0.00    0.00    0.00   61.64
10:23:13     all   39.10    0.00    2.46    0.00    0.00    0.00    0.00    0.00    0.00   58.43
10:23:14     all   42.46    0.04    1.66    0.00    0.00    0.00    0.00    0.00    0.00   55.84
10:23:15     all   36.40    0.00    1.64    0.00    0.00    0.00    0.00    0.00    0.00   61.96
10:23:16     all   37.46    0.00    1.94    0.00    0.00    0.01    0.00    0.00    0.00   60.59
10:23:17     all   36.07    0.00    1.91    0.00    0.00    0.00    0.00    0.00    0.00   62.03
10:23:18     all   40.61    0.00    2.36    0.00    0.00    0.00    0.00    0.00    0.00   57.02
10:23:19     all   49.78    0.00    1.53    0.00    0.00    0.00    0.00    0.00    0.00   48.69
10:23:20     all   48.17    0.00    1.16    0.00    0.00    0.00    0.00    0.00    0.00   50.68
10:23:21     all   48.52    0.00    1.48    0.01    0.00    0.00    0.00    0.00    0.00   49.99
10:23:22     all   53.01    0.00    1.84    0.00    0.00    0.01    0.00    0.00    0.00   45.14
10:23:23     all   48.80    0.00    1.82    0.00    0.00    0.00    0.00    0.00    0.00   49.38
10:23:24     all   54.30    0.00    2.46    0.00    0.00    0.00    0.00    0.00    0.00   43.25
10:23:25     all   47.88    0.00    2.03    0.00    0.00    0.01    0.00    0.00    0.00   50.08
10:23:26     all   44.69    0.00    2.03    0.00    0.00    0.00    0.00    0.00    0.00   53.27
10:23:27     all   47.62    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   50.40
10:23:28     all   50.84    0.00    2.28    0.00    0.00    0.00    0.00    0.00    0.00   46.88
10:23:29     all   50.90    0.00    2.76    0.00    0.00    0.00    0.00    0.00    0.00   46.34
10:23:30     all   50.25    0.00    2.82    0.00    0.00    0.00    0.00    0.00    0.00   46.92
10:23:31     all   45.95    0.00    2.98    0.00    0.00    0.00    0.00    0.00    0.00   51.07
10:23:32     all   49.34    0.00    2.79    0.00    0.00    0.00    0.00    0.00    0.00   47.87
10:23:33     all   46.67    0.00    2.17    0.00    0.00    0.00    0.00    0.00    0.00   51.16
10:23:34     all   44.15    0.00    2.00    0.00    0.00    0.01    0.00    0.00    0.00   53.84
10:23:35     all   39.39    0.00    2.21    0.00    0.00    0.00    0.00    0.00    0.00   58.40
10:23:36     all   43.33    0.00    2.52    0.00    0.00    0.00    0.00    0.00    0.00   54.15
10:23:37     all   45.84    0.00    2.65    0.00    0.00    0.00    0.00    0.00    0.00   51.51
10:23:38     all   40.13    0.00    3.22    0.01    0.00    0.00    0.00    0.00    0.00   56.64
10:23:39     all   41.31    0.00    2.35    0.00    0.00    0.00    0.00    0.00    0.00   56.33
10:23:40     all   49.78    0.00    3.41    0.00    0.00    0.00    0.00    0.00    0.00   46.80
10:23:41     all   56.15    0.00    3.65    0.00    0.00    0.00    0.00    0.00    0.00   40.21
10:23:42     all   48.66    0.00    3.34    0.00    0.00    0.00    0.00    0.00    0.00   48.00
10:23:43     all   50.72    0.00    2.84    0.00    0.00    0.01    0.00    0.00    0.00   46.42
10:23:44     all   51.19    0.01    2.65    0.00    0.00    0.00    0.00    0.00    0.00   46.15
10:23:45     all   54.82    0.01    3.06    0.00    0.00    0.00    0.00    0.00    0.00   42.11
10:23:46     all   54.02    0.00    3.37    0.00    0.00    0.00    0.00    0.00    0.00   42.62
10:23:47     all   53.65    0.00    3.51    0.00    0.00    0.00    0.00    0.00    0.00   42.84
10:23:48     all   52.49    0.00    3.89    0.00    0.00    0.00    0.00    0.00    0.00   43.62
10:23:49     all   52.68    0.00    3.89    0.00    0.00    0.00    0.00    0.00    0.00   43.42
10:23:50     all   52.35    0.00    3.44    0.00    0.00    0.00    0.00    0.00    0.00   44.21
10:23:51     all   50.32    0.00    2.96    0.00    0.00    0.00    0.00    0.00    0.00   46.72
10:23:52     all   45.79    0.00    2.88    0.00    0.00    0.01    0.00    0.00    0.00   51.31
10:23:53     all   48.60    0.00    3.40    0.00    0.00    0.00    0.00    0.00    0.00   48.00
