Linux 6.8.0-136-generic (856a17914eb3) 	08/10/26 	_x86_64_	(72 CPU)

07:53:55     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:53:56     all   14.08    0.00    0.64    0.00    0.00    0.00    0.00    0.00    0.00   85.28
07:53:57     all    2.45    0.00    1.25    0.00    0.00    0.00    0.00    0.00    0.00   96.30
07:53:58     all    2.10    0.00    0.90    0.00    0.00    0.00    0.00    0.00    0.00   97.00
07:53:59     all    2.74    0.00    0.42    0.00    0.00    0.00    0.00    0.00    0.00   96.85
07:54:00     all    2.88    0.00    0.33    0.01    0.00    0.00    0.00    0.00    0.00   96.78
07:54:01     all    2.95    0.00    0.32    0.00    0.00    0.00    0.00    0.00    0.00   96.74
07:54:02     all    3.19    0.00    0.40    0.00    0.00    0.00    0.00    0.00    0.00   96.40
07:54:03     all    2.88    0.00    0.24    0.00    0.00    0.00    0.00    0.00    0.00   96.89
07:54:04     all    7.01    0.00    1.53    0.00    0.00    0.00    0.00    0.00    0.00   91.46
07:54:05     all   24.64    0.00    1.59    0.00    0.00    0.00    0.00    0.00    0.00   73.77
07:54:06     all   27.14    0.00    1.10    0.00    0.00    0.01    0.00    0.00    0.00   71.74
07:54:07     all   38.79    0.00    2.28    0.00    0.00    0.00    0.00    0.00    0.00   58.93
07:54:08     all   36.86    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   61.12
07:54:09     all   34.15    0.00    1.58    0.00    0.00    0.00    0.00    0.00    0.00   64.26
07:54:10     all   33.04    0.00    1.45    0.00    0.00    0.01    0.00    0.00    0.00   65.50
07:54:11     all   28.43    0.00    0.64    0.00    0.00    0.00    0.00    0.00    0.00   70.93
07:54:12     all   31.80    0.00    0.77    0.00    0.00    0.00    0.00    0.00    0.00   67.44
07:54:13     all   28.78    0.00    0.92    0.00    0.00    0.00    0.00    0.00    0.00   70.30
07:54:14     all   27.53    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   71.96
07:54:15     all   31.70    0.00    0.39    0.00    0.00    0.00    0.00    0.00    0.00   67.91
07:54:16     all   40.37    0.00    0.61    0.00    0.00    0.00    0.00    0.00    0.00   59.02
07:54:17     all   35.88    0.00    0.70    0.00    0.00    0.00    0.00    0.00    0.00   63.43
07:54:18     all   29.14    0.00    0.54    0.00    0.00    0.00    0.00    0.00    0.00   70.31
07:54:19     all   31.63    0.00    0.66    0.00    0.00    0.01    0.00    0.00    0.00   67.70
07:54:20     all   41.44    0.00    0.61    0.00    0.00    0.00    0.00    0.00    0.00   57.95
07:54:21     all   37.24    0.00    1.84    0.00    0.00    0.01    0.00    0.00    0.00   60.91
07:54:22     all   26.30    0.00    1.60    0.00    0.00    0.00    0.00    0.00    0.00   72.09
07:54:23     all   25.40    0.00    1.91    0.00    0.00    0.00    0.00    0.00    0.00   72.69
07:54:24     all   25.24    0.00    1.81    0.00    0.00    0.00    0.00    0.00    0.00   72.95
07:54:25     all   22.23    0.00    1.42    0.00    0.00    0.00    0.00    0.00    0.00   76.35
07:54:26     all   25.57    0.00    1.61    0.00    0.00    0.00    0.00    0.00    0.00   72.81
07:54:27     all   29.64    0.00    1.16    0.00    0.00    0.00    0.00    0.00    0.00   69.21
07:54:28     all   33.12    0.00    1.64    0.00    0.00    0.00    0.00    0.00    0.00   65.23
07:54:29     all   41.32    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   56.66
07:54:30     all   45.51    0.00    2.70    0.00    0.00    0.00    0.00    0.00    0.00   51.78
07:54:31     all   39.39    0.00    3.34    0.00    0.00    0.00    0.00    0.00    0.00   57.27
07:54:32     all   46.25    0.00    3.02    0.00    0.00    0.00    0.00    0.00    0.00   50.72
07:54:33     all   42.28    0.00    2.95    0.00    0.00    0.00    0.00    0.00    0.00   54.78
07:54:34     all   40.19    0.00    2.69    0.00    0.00    0.00    0.00    0.00    0.00   57.12
07:54:35     all   39.33    0.00    4.15    0.00    0.00    0.01    0.00    0.00    0.00   56.50
07:54:36     all   34.98    0.00    3.23    0.00    0.00    0.00    0.00    0.00    0.00   61.79
07:54:37     all   41.25    0.00    2.32    0.00    0.00    0.00    0.00    0.00    0.00   56.42
07:54:38     all   31.18    0.00    2.46    0.00    0.00    0.00    0.00    0.00    0.00   66.36
07:54:39     all   27.83    0.00    2.10    0.00    0.00    0.00    0.00    0.00    0.00   70.06
07:54:40     all   21.09    0.00    1.48    0.00    0.00    0.00    0.00    0.00    0.00   77.44
07:54:41     all   26.35    0.00    1.89    0.00    0.00    0.00    0.00    0.00    0.00   71.76
07:54:42     all   27.98    0.00    1.67    0.00    0.00    0.00    0.00    0.00    0.00   70.35
07:54:43     all   29.06    0.00    1.88    0.00    0.00    0.01    0.00    0.00    0.00   69.05
07:54:44     all   29.44    0.00    1.63    0.00    0.00    0.00    0.00    0.00    0.00   68.93
07:54:45     all   22.87    0.00    2.47    0.00    0.00    0.00    0.00    0.00    0.00   74.65
07:54:46     all   23.11    0.00    1.52    0.00    0.00    0.00    0.00    0.00    0.00   75.37
07:54:47     all   22.95    0.00    1.10    0.01    0.00    0.01    0.00    0.00    0.00   75.93
07:54:48     all   19.71    0.00    1.46    0.00    0.00    0.00    0.00    0.00    0.00   78.83
07:54:49     all   25.07    0.00    0.97    0.00    0.00    0.01    0.00    0.00    0.00   73.94
07:54:50     all   27.05    0.00    1.31    0.00    0.00    0.00    0.00    0.00    0.00   71.64
07:54:51     all   36.27    0.00    1.18    0.00    0.00    0.00    0.00    0.00    0.00   62.55
07:54:52     all   43.40    0.00    1.13    0.00    0.00    0.00    0.00    0.00    0.00   55.47
07:54:53     all   38.01    0.00    1.71    0.00    0.00    0.00    0.00    0.00    0.00   60.28
07:54:54     all   38.61    0.00    1.36    0.00    0.00    0.00    0.00    0.00    0.00   60.03
07:54:55     all   47.76    0.00    2.28    0.00    0.00    0.00    0.00    0.00    0.00   49.96
07:54:56     all   43.84    0.00    1.74    0.00    0.00    0.00    0.00    0.00    0.00   54.42
07:54:57     all   42.25    0.00    1.50    0.00    0.00    0.01    0.00    0.00    0.00   56.23
07:54:58     all   42.05    0.00    1.55    0.00    0.00    0.00    0.00    0.00    0.00   56.40
07:54:59     all   36.01    0.00    1.70    0.00    0.00    0.01    0.00    0.00    0.00   62.27
07:55:00     all   32.48    0.00    1.41    0.00    0.00    0.00    0.00    0.00    0.00   66.11
07:55:01     all   24.45    0.00    2.07    0.00    0.00    0.00    0.00    0.00    0.00   73.48
07:55:02     all   26.11    0.00    1.91    0.00    0.00    0.03    0.00    0.00    0.00   71.95
07:55:03     all   34.34    0.00    2.09    0.00    0.00    0.00    0.00    0.00    0.00   63.57
07:55:04     all   27.97    0.00    1.88    0.00    0.00    0.00    0.00    0.00    0.00   70.15
07:55:05     all   30.01    0.00    1.47    0.00    0.00    0.00    0.00    0.00    0.00   68.52
07:55:06     all    9.33    0.00    1.42    0.00    0.00    0.00    0.00    0.00    0.00   89.25
07:55:07     all    2.31    0.00    1.28    0.00    0.00    0.01    0.00    0.00    0.00   96.40
