Linux 6.8.0-136-generic (856a17914eb3) 	08/10/26 	_x86_64_	(72 CPU)

15:15:00     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15:15:01     all    6.80    0.00    0.36    0.00    0.00    0.00    0.00    0.00    0.00   92.84
15:15:02     all    2.02    0.00    1.24    0.00    0.00    0.00    0.00    0.00    0.00   96.75
15:15:03     all    2.16    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   96.86
15:15:04     all    1.33    0.00    0.32    0.00    0.00    0.00    0.00    0.00    0.00   98.35
15:15:05     all    1.61    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.18
15:15:06     all    1.54    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.24
15:15:07     all    1.36    0.00    0.32    0.00    0.00    0.00    0.00    0.00    0.00   98.32
15:15:08     all    1.57    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.25
15:15:09     all    1.68    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   98.15
15:15:10     all    1.49    0.00    0.29    0.00    0.00    0.00    0.00    0.00    0.00   98.22
15:15:11     all    1.58    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.23
15:15:12     all    1.64    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.17
15:15:13     all    1.44    0.00    0.24    0.00    0.00    0.01    0.00    0.00    0.00   98.31
15:15:14     all    1.81    0.00    0.31    0.00    0.00    0.00    0.00    0.00    0.00   97.89
15:15:15     all    1.84    0.00    0.29    0.00    0.00    0.00    0.00    0.00    0.00   97.87
15:15:16     all    1.36    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   98.49
15:15:17     all    1.86    0.00    0.28    0.00    0.00    0.00    0.00    0.00    0.00   97.86
15:15:18     all    1.63    0.00    0.31    0.00    0.00    0.00    0.00    0.00    0.00   98.07
15:15:19     all    1.31    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.48
15:15:20     all    1.75    0.00    0.28    0.00    0.00    0.00    0.00    0.00    0.00   97.97
15:15:21     all    1.70    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   97.97
15:15:22     all    2.24    0.00    0.43    0.00    0.00    0.00    0.00    0.00    0.00   97.33
15:15:23     all    1.63    0.00    0.26    0.00    0.00    0.00    0.00    0.00    0.00   98.11
15:15:24     all    1.67    0.00    0.26    0.00    0.00    0.00    0.00    0.00    0.00   98.07
15:15:25     all    1.53    0.00    0.43    0.00    0.00    0.00    0.00    0.00    0.00   98.04
15:15:26     all    1.62    0.00    0.24    0.00    0.00    0.00    0.00    0.00    0.00   98.14
15:15:27     all    2.08    0.00    0.29    0.00    0.00    0.00    0.00    0.00    0.00   97.62
15:15:28     all    1.33    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   98.42
15:15:29     all    2.05    0.00    0.32    0.01    0.00    0.00    0.00    0.00    0.00   97.61
15:15:30     all    1.62    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   98.12
15:15:31     all    1.33    0.00    0.24    0.00    0.00    0.00    0.00    0.00    0.00   98.43
15:15:32     all    1.58    0.01    0.19    0.00    0.00    0.01    0.00    0.00    0.00   98.19
15:15:33     all    1.57    0.00    0.24    0.00    0.00    0.00    0.00    0.00    0.00   98.19
15:15:34     all    1.42    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.39
15:15:35     all    1.51    0.00    0.28    0.00    0.00    0.00    0.00    0.00    0.00   98.21
15:15:36     all    6.64    0.00    1.63    0.00    0.00    0.00    0.00    0.00    0.00   91.73
15:15:37     all   28.04    0.00    2.80    0.00    0.00    0.00    0.00    0.00    0.00   69.17
15:15:38     all   14.56    0.00    1.23    0.01    0.00    0.01    0.00    0.00    0.00   84.19
15:15:39     all   17.64    0.00    1.77    0.00    0.00    0.01    0.00    0.00    0.00   80.58
15:15:40     all   27.90    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   68.02
15:15:41     all   29.88    0.00    3.62    0.00    0.00    0.00    0.00    0.00    0.00   66.50
15:15:42     all   23.28    0.00    3.48    0.00    0.00    0.01    0.00    0.00    0.00   73.23
15:15:43     all   20.82    0.00    2.70    0.00    0.00    0.00    0.00    0.00    0.00   76.48
15:15:44     all   26.15    0.00    2.53    0.00    0.00    0.01    0.00    0.00    0.00   71.30
15:15:45     all   26.46    0.00    2.23    0.00    0.00    0.00    0.00    0.00    0.00   71.32
15:15:46     all   16.97    0.00    1.59    0.00    0.00    0.00    0.00    0.00    0.00   81.45
15:15:47     all   20.82    0.00    1.24    0.00    0.00    0.00    0.00    0.00    0.00   77.94
15:15:48     all   20.52    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   78.46
15:15:49     all   17.07    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   81.94
15:15:50     all   17.21    0.00    0.93    0.00    0.00    0.00    0.00    0.00    0.00   81.86
15:15:51     all   18.51    0.00    1.17    0.00    0.00    0.00    0.00    0.00    0.00   80.32
15:15:52     all   13.83    0.00    1.32    0.00    0.00    0.00    0.00    0.00    0.00   84.85
15:15:53     all   12.57    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   86.44
15:15:54     all   16.84    0.00    1.35    0.00    0.00    0.00    0.00    0.00    0.00   81.81
15:15:55     all    6.58    0.00    1.59    0.00    0.00    0.00    0.00    0.00    0.00   91.83
15:15:56     all    6.86    0.00    1.17    0.00    0.00    0.00    0.00    0.00    0.00   91.97
15:15:57     all    2.21    0.00    0.72    0.00    0.00    0.00    0.00    0.00    0.00   97.07
15:15:58     all    7.69    0.00    0.95    0.00    0.00    0.00    0.00    0.00    0.00   91.37
15:15:59     all    2.27    0.00    0.88    0.00    0.00    0.00    0.00    0.00    0.00   96.86
15:16:00     all    2.65    0.00    0.64    0.00    0.00    0.00    0.00    0.00    0.00   96.71
15:16:01     all    2.80    0.00    0.57    0.00    0.00    0.00    0.00    0.00    0.00   96.63
15:16:02     all    2.85    0.00    0.26    0.00    0.00    0.01    0.00    0.00    0.00   96.87
15:16:03     all    2.95    0.00    0.35    0.00    0.00    0.00    0.00    0.00    0.00   96.71
15:16:04     all    3.24    0.00    0.46    0.00    0.00    0.00    0.00    0.00    0.00   96.30
15:16:05     all    2.81    0.00    0.28    0.00    0.00    0.00    0.00    0.00    0.00   96.92
15:16:06     all    3.46    0.00    0.46    0.00    0.00    0.00    0.00    0.00    0.00   96.08
15:16:07     all    3.06    0.00    0.38    0.00    0.00    0.00    0.00    0.00    0.00   96.57
15:16:08     all    2.75    0.00    0.38    0.00    0.00    0.00    0.00    0.00    0.00   96.87
15:16:09     all    2.92    0.00    0.31    0.00    0.00    0.00    0.00    0.00    0.00   96.77
15:16:10     all    2.89    0.00    0.31    0.00    0.00    0.00    0.00    0.00    0.00   96.81
15:16:11     all    2.79    0.00    0.39    0.00    0.00    0.00    0.00    0.00    0.00   96.82
15:16:12     all    2.89    0.00    0.40    0.00    0.00    0.00    0.00    0.00    0.00   96.71
