Linux 6.8.0-136-generic (856a17914eb3) 	08/10/26 	_x86_64_	(72 CPU)

15:15:55     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15:15:56     all    6.90    0.00    0.87    0.00    0.00    0.00    0.00    0.00    0.00   92.23
15:15:57     all    7.73    0.00    1.08    0.00    0.00    0.00    0.00    0.00    0.00   91.18
15:15:58     all    2.54    0.00    0.57    0.00    0.00    0.00    0.00    0.00    0.00   96.88
15:15:59     all    2.24    0.00    0.75    0.00    0.00    0.00    0.00    0.00    0.00   97.01
15:16:00     all    2.70    0.00    0.79    0.00    0.00    0.00    0.00    0.00    0.00   96.51
15:16:01     all    2.92    0.00    0.43    0.00    0.00    0.01    0.00    0.00    0.00   96.64
15:16:02     all    2.75    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   97.03
15:16:03     all    2.96    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   96.71
15:16:04     all    3.25    0.00    0.46    0.00    0.00    0.00    0.00    0.00    0.00   96.29
15:16:05     all    2.81    0.00    0.40    0.00    0.00    0.00    0.00    0.00    0.00   96.79
15:16:06     all    3.50    0.00    0.40    0.00    0.00    0.00    0.00    0.00    0.00   96.10
15:16:07     all    3.01    0.00    0.29    0.00    0.00    0.00    0.00    0.00    0.00   96.69
15:16:08     all    2.70    0.00    0.35    0.00    0.00    0.00    0.00    0.00    0.00   96.95
15:16:09     all    2.88    0.00    0.35    0.00    0.00    0.00    0.00    0.00    0.00   96.78
15:16:10     all    3.03    0.00    0.43    0.00    0.00    0.00    0.00    0.00    0.00   96.54
15:16:11     all    2.65    0.00    0.31    0.00    0.00    0.00    0.00    0.00    0.00   97.04
15:16:12     all    2.93    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   96.74
15:16:13     all    2.90    0.00    0.38    0.00    0.00    0.00    0.00    0.00    0.00   96.72
15:16:14     all    2.72    0.00    0.36    0.00    0.00    0.00    0.00    0.00    0.00   96.92
15:16:15     all    2.94    0.00    0.28    0.00    0.00    0.00    0.00    0.00    0.00   96.78
15:16:16     all    2.92    0.00    0.49    0.00    0.00    0.00    0.00    0.00    0.00   96.59
15:16:17     all    2.66    0.00    0.39    0.00    0.00    0.00    0.00    0.00    0.00   96.96
15:16:18     all    2.93    0.00    0.42    0.00    0.00    0.00    0.00    0.00    0.00   96.65
15:16:19     all    2.86    0.00    0.29    0.00    0.00    0.00    0.00    0.00    0.00   96.84
15:16:20     all    2.70    0.00    0.29    0.00    0.00    0.00    0.00    0.00    0.00   97.01
15:16:21     all    7.39    0.00    1.47    0.00    0.00    0.00    0.00    0.00    0.00   91.13
15:16:22     all   28.09    0.00    3.18    0.00    0.00    0.00    0.00    0.00    0.00   68.74
15:16:23     all   16.62    0.00    1.79    0.00    0.00    0.03    0.00    0.00    0.00   81.56
15:16:24     all   19.19    0.00    1.88    0.00    0.00    0.00    0.00    0.00    0.00   78.93
15:16:25     all   30.73    0.00    5.66    0.00    0.00    0.00    0.00    0.00    0.00   63.61
15:16:26     all   29.28    0.00    4.90    0.00    0.00    0.00    0.00    0.00    0.00   65.82
15:16:27     all   28.87    0.00    3.41    0.00    0.00    0.00    0.00    0.00    0.00   67.73
15:16:28     all   18.12    0.00    2.93    0.00    0.00    0.00    0.00    0.00    0.00   78.95
15:16:29     all   28.97    0.00    2.62    0.00    0.00    0.01    0.00    0.00    0.00   68.40
15:16:30     all   18.91    0.00    2.13    0.00    0.00    0.00    0.00    0.00    0.00   78.96
15:16:31     all   18.84    0.01    1.84    0.00    0.00    0.00    0.00    0.00    0.00   79.31
15:16:32     all   21.48    0.00    1.59    0.00    0.00    0.00    0.00    0.00    0.00   76.93
15:16:33     all   21.85    0.00    1.45    0.00    0.00    0.00    0.00    0.00    0.00   76.70
15:16:34     all   26.26    0.00    2.52    0.00    0.00    0.00    0.00    0.00    0.00   71.22
15:16:35     all   34.58    0.00    2.60    0.00    0.00    0.01    0.00    0.00    0.00   62.80
15:16:36     all   29.39    0.00    2.21    0.00    0.00    0.00    0.00    0.00    0.00   68.39
15:16:37     all   22.11    0.00    1.78    0.00    0.00    0.00    0.00    0.00    0.00   76.11
15:16:38     all   31.90    0.00    3.62    0.00    0.00    0.03    0.00    0.00    0.00   64.46
15:16:39     all   26.21    0.00    3.79    0.00    0.00    0.00    0.00    0.00    0.00   70.00
