Linux 6.8.0-136-generic (856a17914eb3) 	08/10/26 	_x86_64_	(72 CPU)

15:18:20     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15:18:21     all   36.59    0.00   13.81    0.00    0.00    0.00    0.00    0.00    0.00   49.60
15:18:22     all   35.68    0.00   15.67    0.00    0.00    0.01    0.00    0.00    0.00   48.63
15:18:23     all   33.05    0.00   17.20    0.00    0.00    0.00    0.00    0.00    0.00   49.74
15:18:24     all   33.27    0.00   16.88    0.00    0.00    0.00    0.00    0.00    0.00   49.85
15:18:25     all   33.28    0.00   17.05    0.00    0.00    0.00    0.00    0.00    0.00   49.67
15:18:26     all   31.71    0.00   16.43    0.00    0.00    0.00    0.00    0.00    0.00   51.86
15:18:27     all   31.33    0.00   16.71    0.00    0.00    0.01    0.00    0.00    0.00   51.95
15:18:28     all   32.29    0.00   16.74    0.00    0.00    0.01    0.00    0.00    0.00   50.95
15:18:29     all   32.46    0.00   15.31    0.00    0.00    0.00    0.00    0.00    0.00   52.23
15:18:30     all   34.54    0.00   16.70    0.01    0.00    0.00    0.00    0.00    0.00   48.75
15:18:31     all   34.00    0.00   16.80    0.00    0.00    0.01    0.00    0.00    0.00   49.19
15:18:32     all   33.10    0.01   16.85    0.00    0.00    0.00    0.00    0.00    0.00   50.03
15:18:33     all   34.19    0.00   15.73    0.00    0.00    0.01    0.00    0.00    0.00   50.06
15:18:34     all   33.50    0.00   16.82    0.00    0.00    0.00    0.00    0.00    0.00   49.69
15:18:35     all   33.07    0.00   17.62    0.00    0.00    0.01    0.00    0.00    0.00   49.29
15:18:36     all   32.37    0.00   18.36    0.00    0.00    0.00    0.00    0.00    0.00   49.26
15:18:37     all   31.95    0.00   18.23    0.00    0.00    0.00    0.00    0.00    0.00   49.81
15:18:38     all   31.62    0.00   19.03    0.00    0.00    0.00    0.00    0.00    0.00   49.35
15:18:39     all   32.40    0.00   18.17    0.00    0.00    0.00    0.00    0.00    0.00   49.43
15:18:40     all   31.80    0.00   18.44    0.00    0.00    0.00    0.00    0.00    0.00   49.76
15:18:41     all   32.05    0.00   18.86    0.00    0.00    0.01    0.00    0.00    0.00   49.07
15:18:42     all   31.31    0.00   19.35    0.00    0.00    0.00    0.00    0.00    0.00   49.34
15:18:43     all   29.96    0.00   20.33    0.00    0.00    0.00    0.00    0.00    0.00   49.72
15:18:44     all   29.54    0.00   21.42    0.00    0.00    0.00    0.00    0.00    0.00   49.04
15:18:45     all   30.68    0.00   20.85    0.00    0.00    0.00    0.00    0.00    0.00   48.47
15:18:46     all   30.80    0.00   19.69    0.00    0.00    0.03    0.00    0.00    0.00   49.48
15:18:47     all   31.07    0.00   19.36    0.00    0.00    0.00    0.00    0.00    0.00   49.57
15:18:48     all   31.80    0.00   18.17    0.00    0.00    0.00    0.00    0.00    0.00   50.02
15:18:49     all   31.50    0.00   18.50    0.00    0.00    0.00    0.00    0.00    0.00   50.00
15:18:50     all   30.91    0.00   19.71    0.00    0.00    0.01    0.00    0.00    0.00   49.36
15:18:51     all   31.78    0.00   19.94    0.00    0.00    0.00    0.00    0.00    0.00   48.28
15:18:52     all   29.65    0.00   21.33    0.00    0.00    0.00    0.00    0.00    0.00   49.02
15:18:53     all   29.16    0.00   21.91    0.00    0.00    0.01    0.00    0.00    0.00   48.91
15:18:54     all   28.78    0.00   21.35    0.00    0.00    0.00    0.00    0.00    0.00   49.87
15:18:55     all   29.87    0.00   20.24    0.00    0.00    0.00    0.00    0.00    0.00   49.89
15:18:56     all   30.87    0.00   19.63    0.00    0.00    0.01    0.00    0.00    0.00   49.48
15:18:57     all   29.94    0.00   20.26    0.00    0.00    0.00    0.00    0.00    0.00   49.79
