Linux 6.8.0-136-generic (856a17914eb3) 	08/10/26 	_x86_64_	(72 CPU)

15:15:57     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15:15:58     all    7.84    0.00    0.76    0.00    0.00    0.00    0.00    0.00    0.00   91.40
15:15:59     all    2.21    0.00    0.88    0.00    0.00    0.00    0.00    0.00    0.00   96.91
15:16:00     all    2.64    0.00    0.75    0.00    0.00    0.00    0.00    0.00    0.00   96.61
15:16:01     all    2.85    0.00    0.46    0.00    0.00    0.00    0.00    0.00    0.00   96.70
15:16:02     all    2.79    0.00    0.26    0.00    0.00    0.01    0.00    0.00    0.00   96.93
15:16:03     all    2.99    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   96.68
15:16:04     all    3.24    0.00    0.46    0.00    0.00    0.00    0.00    0.00    0.00   96.30
15:16:05     all    2.78    0.00    0.29    0.00    0.00    0.00    0.00    0.00    0.00   96.93
15:16:06     all    3.47    0.00    0.44    0.00    0.00    0.00    0.00    0.00    0.00   96.08
15:16:07     all    3.04    0.00    0.39    0.00    0.00    0.00    0.00    0.00    0.00   96.57
15:16:08     all    2.75    0.00    0.36    0.00    0.00    0.00    0.00    0.00    0.00   96.89
15:16:09     all    2.89    0.00    0.35    0.00    0.00    0.00    0.00    0.00    0.00   96.76
15:16:10     all    2.93    0.00    0.29    0.00    0.00    0.00    0.00    0.00    0.00   96.78
15:16:11     all    2.78    0.00    0.38    0.00    0.00    0.00    0.00    0.00    0.00   96.84
15:16:12     all    2.90    0.00    0.40    0.00    0.00    0.00    0.00    0.00    0.00   96.69
15:16:13     all    2.88    0.00    0.39    0.00    0.00    0.00    0.00    0.00    0.00   96.73
15:16:14     all    2.71    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   97.04
15:16:15     all    3.00    0.00    0.29    0.00    0.00    0.00    0.00    0.00    0.00   96.71
15:16:16     all    2.90    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   96.60
15:16:17     all    2.61    0.00    0.40    0.00    0.00    0.00    0.00    0.00    0.00   96.99
15:16:18     all    2.96    0.00    0.38    0.00    0.00    0.00    0.00    0.00    0.00   96.66
15:16:19     all    2.88    0.00    0.28    0.00    0.00    0.00    0.00    0.00    0.00   96.85
15:16:20     all    2.64    0.00    0.32    0.00    0.00    0.00    0.00    0.00    0.00   97.04
15:16:21     all    7.53    0.00    1.42    0.00    0.00    0.00    0.00    0.00    0.00   91.06
15:16:22     all   21.31    0.00    2.51    0.00    0.00    0.00    0.00    0.00    0.00   76.18
15:16:23     all   23.38    0.00    2.35    0.00    0.00    0.03    0.00    0.00    0.00   74.24
15:16:24     all   17.03    0.00    1.74    0.00    0.00    0.00    0.00    0.00    0.00   81.23
15:16:25     all   30.57    0.00    5.67    0.00    0.00    0.00    0.00    0.00    0.00   63.76
15:16:26     all   28.96    0.00    4.31    0.00    0.00    0.00    0.00    0.00    0.00   66.73
15:16:27     all   23.62    0.00    3.12    0.00    0.00    0.00    0.00    0.00    0.00   73.26
15:16:28     all   21.11    0.00    3.74    0.00    0.00    0.00    0.00    0.00    0.00   75.15
15:16:29     all   30.78    0.00    2.64    0.00    0.00    0.01    0.00    0.00    0.00   66.56
15:16:30     all   20.70    0.00    2.18    0.00    0.00    0.00    0.00    0.00    0.00   77.12
15:16:31     all   17.95    0.01    1.95    0.00    0.00    0.00    0.00    0.00    0.00   80.09
15:16:32     all   22.33    0.00    1.59    0.00    0.00    0.00    0.00    0.00    0.00   76.09
15:16:33     all   20.38    0.00    1.57    0.00    0.00    0.00    0.00    0.00    0.00   78.05
15:16:34     all   21.55    0.00    2.22    0.00    0.00    0.00    0.00    0.00    0.00   76.22
