Linux 6.8.0-136-generic (856a17914eb3) 	08/10/26 	_x86_64_	(72 CPU)

15:27:36     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15:27:37     all    6.42    0.00    0.78    0.00    0.00    0.00    0.00    0.00    0.00   92.80
15:27:38     all    1.10    0.00    0.60    0.00    0.00    0.00    0.00    0.00    0.00   98.30
15:27:39     all    1.28    0.00    0.47    0.00    0.00    0.00    0.00    0.00    0.00   98.25
15:27:40     all    1.28    0.00    0.29    0.00    0.00    0.00    0.00    0.00    0.00   98.43
15:27:41     all    1.59    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   98.25
15:27:42     all    1.64    0.00    0.31    0.00    0.00    0.00    0.00    0.00    0.00   98.06
15:27:43     all    1.43    0.00    0.32    0.00    0.00    0.00    0.00    0.00    0.00   98.25
15:27:44     all    1.57    0.00    0.17    0.01    0.00    0.00    0.00    0.00    0.00   98.25
15:27:45     all    1.65    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.17
15:27:46     all    1.33    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   98.42
15:27:47     all    1.58    0.00    0.31    0.00    0.00    0.00    0.00    0.00    0.00   98.11
15:27:48     all    1.61    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   97.89
15:27:49     all    1.43    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.38
15:27:50     all    1.61    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.17
15:27:51     all    1.53    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.29
15:27:52     all    1.43    0.00    0.24    0.00    0.00    0.00    0.00    0.00    0.00   98.33
15:27:53     all    1.65    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.14
15:27:54     all    1.79    0.00    0.32    0.00    0.00    0.00    0.00    0.00    0.00   97.89
15:27:55     all    1.46    0.00    0.31    0.00    0.00    0.00    0.00    0.00    0.00   98.23
15:27:56     all    2.49    0.00    0.47    0.00    0.00    0.00    0.00    0.00    0.00   97.04
