Linux 6.8.0-136-generic (856a17914eb3) 	08/10/26 	_x86_64_	(72 CPU)

07:37:30     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:37:31     all   11.33    0.00    0.38    0.00    0.00    0.00    0.00    0.00    0.00   88.29
07:37:32     all    1.12    0.00    0.81    0.00    0.00    0.00    0.00    0.00    0.00   98.07
07:37:33     all    1.53    0.00    0.14    0.00    0.00    0.00    0.00    0.00    0.00   98.33
07:37:34     all    1.33    0.01    0.14    0.00    0.00    0.00    0.00    0.00    0.00   98.51
07:37:35     all    1.72    0.00    0.29    0.00    0.00    0.00    0.00    0.00    0.00   97.99
07:37:36     all    1.67    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   98.08
07:37:37     all    1.36    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   98.47
07:37:38     all    1.56    0.00    0.14    0.00    0.00    0.00    0.00    0.00    0.00   98.30
07:37:39     all    1.35    0.00    0.40    0.00    0.00    0.00    0.00    0.00    0.00   98.25
07:37:40     all    1.32    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.50
07:37:41     all    1.75    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   97.92
07:37:42     all    2.35    0.00    0.44    0.01    0.00    0.00    0.00    0.00    0.00   97.19
07:37:43     all    1.43    0.00    0.14    0.00    0.00    0.00    0.00    0.00    0.00   98.43
07:37:44     all    1.65    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.15
07:37:45     all    6.55    0.00    3.32    0.00    0.00    0.00    0.00    0.00    0.00   90.13
07:37:46     all   24.73    0.00    1.64    0.00    0.00    0.00    0.00    0.00    0.00   73.63
07:37:47     all   29.63    0.00    1.14    0.00    0.00    0.00    0.00    0.00    0.00   69.22
07:37:48     all   40.48    0.00    2.13    0.00    0.00    0.00    0.00    0.00    0.00   57.39
07:37:49     all   37.39    0.00    1.80    0.00    0.00    0.00    0.00    0.00    0.00   60.82
07:37:50     all   35.58    0.00    1.60    0.00    0.00    0.00    0.00    0.00    0.00   62.82
07:37:51     all   32.69    0.00    1.52    0.00    0.00    0.00    0.00    0.00    0.00   65.79
07:37:52     all   32.34    0.00    0.93    0.00    0.00    0.00    0.00    0.00    0.00   66.72
07:37:53     all   31.88    0.00    0.71    0.00    0.00    0.00    0.00    0.00    0.00   67.41
07:37:54     all   30.93    0.00    0.66    0.00    0.00    0.00    0.00    0.00    0.00   68.42
07:37:55     all   31.33    0.00    0.52    0.00    0.00    0.00    0.00    0.00    0.00   68.16
07:37:56     all   33.58    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   65.42
07:37:57     all   38.31    0.00    0.84    0.00    0.00    0.00    0.00    0.00    0.00   60.86
07:37:58     all   35.82    0.00    0.66    0.03    0.00    0.01    0.00    0.00    0.00   63.48
07:37:59     all   28.34    0.00    0.67    0.00    0.00    0.00    0.00    0.00    0.00   70.99
07:38:00     all   30.10    0.00    0.78    0.01    0.00    0.00    0.00    0.00    0.00   69.10
07:38:01     all   41.68    0.00    0.60    0.00    0.00    0.00    0.00    0.00    0.00   57.72
07:38:02     all   38.14    0.00    1.46    0.00    0.00    0.01    0.00    0.00    0.00   60.38
07:38:03     all   32.25    0.00    2.05    0.00    0.00    0.00    0.00    0.00    0.00   65.70
07:38:04     all   22.17    0.00    1.07    0.00    0.00    0.00    0.00    0.00    0.00   76.76
07:38:05     all   26.18    0.00    1.42    0.00    0.00    0.00    0.00    0.00    0.00   72.40
07:38:06     all   24.84    0.00    1.56    0.01    0.00    0.03    0.00    0.00    0.00   73.56
07:38:07     all   29.07    0.00    1.39    0.00    0.00    0.01    0.00    0.00    0.00   69.53
07:38:08     all   31.30    0.00    1.50    0.00    0.00    0.00    0.00    0.00    0.00   67.20
07:38:09     all   31.65    0.00    1.67    0.00    0.00    0.00    0.00    0.00    0.00   66.68
07:38:10     all   38.53    0.00    1.89    0.00    0.00    0.00    0.00    0.00    0.00   59.58
07:38:11     all   42.31    0.00    3.13    0.00    0.00    0.00    0.00    0.00    0.00   54.56
07:38:12     all   38.21    0.00    3.20    0.00    0.00    0.00    0.00    0.00    0.00   58.59
07:38:13     all   43.77    0.00    2.99    0.00    0.00    0.00    0.00    0.00    0.00   53.24
07:38:14     all   43.70    0.00    2.88    0.00    0.00    0.00    0.00    0.00    0.00   53.42
07:38:15     all   40.30    0.00    3.20    0.00    0.00    0.00    0.00    0.00    0.00   56.50
07:38:16     all   42.96    0.00    3.42    0.01    0.00    0.00    0.00    0.00    0.00   53.60
07:38:17     all   39.09    0.00    2.38    0.00    0.00    0.00    0.00    0.00    0.00   58.53
07:38:18     all   37.25    0.00    3.34    0.00    0.00    0.00    0.00    0.00    0.00   59.41
07:38:19     all   28.90    0.00    1.95    0.00    0.00    0.01    0.00    0.00    0.00   69.13
07:38:20     all   27.27    0.00    1.66    0.00    0.00    0.00    0.00    0.00    0.00   71.08
07:38:21     all   23.82    0.00    1.64    0.01    0.00    0.00    0.00    0.00    0.00   74.52
07:38:22     all   30.30    0.00    1.41    0.00    0.00    0.00    0.00    0.00    0.00   68.29
07:38:23     all   18.98    0.00    1.42    0.00    0.00    0.00    0.00    0.00    0.00   79.60
07:38:24     all   30.88    0.00    1.09    0.00    0.00    0.00    0.00    0.00    0.00   68.04
07:38:25     all   29.71    0.00    1.89    0.00    0.00    0.01    0.00    0.00    0.00   68.38
07:38:26     all   33.07    0.00    1.96    0.01    0.00    0.00    0.00    0.00    0.00   64.95
07:38:27     all   24.22    0.00    1.47    0.00    0.00    0.00    0.00    0.00    0.00   74.30
07:38:28     all   24.26    0.00    1.68    0.00    0.00    0.01    0.00    0.00    0.00   74.05
07:38:29     all   26.79    0.00    1.34    0.00    0.00    0.01    0.00    0.00    0.00   71.86
07:38:30     all   28.36    0.00    1.63    0.00    0.00    0.00    0.00    0.00    0.00   70.01
07:38:31     all   32.08    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   66.90
07:38:32     all   41.17    0.00    1.89    0.00    0.00    0.00    0.00    0.00    0.00   56.93
07:38:33     all   42.40    0.00    1.52    0.00    0.00    0.00    0.00    0.00    0.00   56.08
07:38:34     all   39.38    0.00    1.37    0.00    0.00    0.00    0.00    0.00    0.00   59.26
07:38:35     all   40.43    0.00    1.38    0.00    0.00    0.00    0.00    0.00    0.00   58.19
07:38:36     all   45.65    0.00    1.92    0.00    0.00    0.00    0.00    0.00    0.00   52.43
07:38:37     all   46.78    0.00    2.03    0.00    0.00    0.01    0.00    0.00    0.00   51.17
07:38:38     all   42.64    0.00    2.27    0.00    0.00    0.00    0.00    0.00    0.00   55.09
07:38:39     all   41.83    0.00    2.77    0.00    0.00    0.00    0.00    0.00    0.00   55.40
07:38:40     all   32.53    0.00    1.99    0.00    0.00    0.01    0.00    0.00    0.00   65.47
07:38:41     all   29.39    0.00    1.81    0.00    0.00    0.00    0.00    0.00    0.00   68.80
07:38:42     all   30.26    0.00    2.07    0.00    0.00    0.00    0.00    0.00    0.00   67.66
07:38:43     all   31.29    0.00    1.91    0.00    0.00    0.01    0.00    0.00    0.00   66.79
07:38:44     all   32.66    0.00    1.75    0.00    0.00    0.00    0.00    0.00    0.00   65.58
07:38:45     all   27.63    0.00    1.55    0.00    0.00    0.00    0.00    0.00    0.00   70.82
07:38:46     all   21.56    0.00    0.84    0.00    0.00    0.00    0.00    0.00    0.00   77.60
07:38:47     all    7.18    0.00    1.25    0.00    0.00    0.00    0.00    0.00    0.00   91.57
07:38:48     all    2.02    0.00    0.44    0.00    0.00    0.00    0.00    0.00    0.00   97.54
07:38:49     all    1.45    0.00    0.26    0.00    0.00    0.00    0.00    0.00    0.00   98.29
07:38:50     all    1.67    0.00    0.28    0.00    0.00    0.01    0.00    0.00    0.00   98.04
07:38:51     all    1.62    0.00    0.37    0.00    0.00    0.00    0.00    0.00    0.00   98.00
07:38:52     all    2.00    0.00    0.43    0.00    0.00    0.00    0.00    0.00    0.00   97.57
07:38:53     all    1.54    0.00    0.35    0.00    0.00    0.00    0.00    0.00    0.00   98.11
07:38:54     all    1.18    0.00    0.31    0.00    0.00    0.00    0.00    0.00    0.00   98.51
07:38:55     all    1.52    0.00    0.29    0.00    0.00    0.00    0.00    0.00    0.00   98.19
