Linux 6.8.0-136-generic (856a17914eb3) 	08/10/26 	_x86_64_	(72 CPU)

14:48:01     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
14:48:02     all    7.36    0.00    0.44    0.00    0.00    0.00    0.00    0.00    0.00   92.19
14:48:03     all    1.08    0.00    0.78    0.00    0.00    0.00    0.00    0.00    0.00   98.14
14:48:04     all    1.31    0.00    0.53    0.00    0.00    0.00    0.00    0.00    0.00   98.17
14:48:05     all    1.51    0.00    0.24    0.00    0.00    0.00    0.00    0.00    0.00   98.25
14:48:06     all    1.35    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.44
14:48:07     all    1.56    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.24
14:48:08     all    1.76    0.00    0.36    0.00    0.00    0.00    0.00    0.00    0.00   97.87
14:48:09     all    1.57    0.00    0.31    0.00    0.00    0.00    0.00    0.00    0.00   98.13
14:48:10     all    2.10    0.00    0.31    0.00    0.00    0.00    0.00    0.00    0.00   97.60
14:48:11     all    1.76    0.00    0.42    0.00    0.00    0.00    0.00    0.00    0.00   97.82
14:48:12     all    1.35    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.43
14:48:13     all    1.63    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   98.21
14:48:14     all    1.69    0.00    0.31    0.00    0.00    0.00    0.00    0.00    0.00   98.00
14:48:15     all    1.33    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   98.42
14:48:16     all    1.53    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.29
14:48:17     all    1.50    0.00    0.14    0.00    0.00    0.00    0.00    0.00    0.00   98.36
14:48:18     all    1.44    0.00    0.24    0.00    0.00    0.00    0.00    0.00    0.00   98.32
14:48:19     all    1.61    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   98.14
14:48:20     all    1.64    0.00    0.28    0.00    0.00    0.00    0.00    0.00    0.00   98.08
14:48:21     all    1.38    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.42
14:48:22     all    1.57    0.00    0.14    0.00    0.00    0.00    0.00    0.00    0.00   98.29
14:48:23     all    1.75    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.03
14:48:24     all    1.58    0.00    0.43    0.00    0.00    0.00    0.00    0.00    0.00   97.99
